time,Memphis,pts.away,score,pts.home,Phoenix
5:07.0,,,109-83,1,E. Bledsoe makes free throw 2 of 3
5:07.0,,,109-84,1,E. Bledsoe makes free throw 3 of 3
5:07.0,,,109-81,,D. Jones enters the game for D. Booker
5:07.0,,,109-81,,A. Williams enters the game for A. Len
5:07.0,T. Douglas enters the game for M. Gasol,,109-81,,
5:07.0,B. Wright enters the game for M. Conley,,109-81,,
5:07.0,W. Baldwin enters the game for V. Carter,,109-81,,
4:54.0,B. Wright makes 2-pt shot at rim (assist by C. Parsons),2,111-84,,
4:40.0,Personal foul by C. Parsons (drawn by M. Chriss),,111-84,,
4:40.0,,,111-84,,M. Chriss misses free throw 1 of 2
4:40.0,,,111-84,,Offensive rebound by Team
4:40.0,,,111-85,1,M. Chriss makes free throw 2 of 2
4:40.0,,,111-84,,T. Ulis enters the game for E. Bledsoe
4:33.0,,,111-85,,Personal foul by T. Ulis (drawn by T. Douglas)
4:28.0,Turnover by T. Douglas (bad pass; steal by M. Chriss),,111-85,,
4:25.0,,,111-87,2,M. Chriss makes 2-pt shot from 2 ft
4:00.0,J. Ennis misses 3-pt shot from 25 ft,,111-87,,
3:59.0,,,111-87,,Defensive rebound by A. Williams
3:51.0,,,111-87,,Shooting foul by W. Baldwin (drawn by A. Williams)
3:51.0,,,111-87,,A. Williams misses free throw 1 of 2
3:51.0,,,111-87,,Offensive rebound by Team
3:51.0,,,111-88,1,A. Williams makes free throw 2 of 2
3:34.0,B. Wright misses 2-pt shot at rim (block by A. Williams),,111-88,,
3:34.0,,,111-88,,Defensive rebound by A. Williams
3:31.0,,,111-88,,Turnover by A. Williams (bad pass; steal by W. Baldwin)
3:25.0,B. Wright misses 2-pt shot from 1 ft,,111-88,,
3:23.0,Offensive rebound by B. Wright,,111-88,,
3:14.0,W. Baldwin misses 2-pt shot from 12 ft,,111-88,,
3:12.0,,,111-88,,Defensive rebound by T. Ulis
3:02.0,,,111-88,,T. Ulis misses 2-pt shot from 4 ft
3:02.0,,,111-88,,Offensive rebound by A. Williams
3:02.0,,,111-90,2,A. Williams makes 2-pt shot from 2 ft
3:02.0,,,111-90,,Shooting foul by T. Douglas (drawn by A. Williams)
3:02.0,,,111-91,1,A. Williams makes free throw 1 of 1
3:02.0,,,111-90,,D. Booker enters the game for B. Knight
2:48.0,Turnover by T. Douglas (traveling),,111-91,,
2:48.0,Memphis full timeout,,111-91,,
2:48.0,T. Daniels enters the game for C. Parsons,,111-91,,
2:34.0,,,111-91,,Shooting foul by W. Baldwin (drawn by D. Booker)
2:34.0,,,111-92,1,D. Booker makes free throw 1 of 2
2:34.0,,,111-93,1,D. Booker makes free throw 2 of 2
2:15.0,B. Wright makes 2-pt shot from 1 ft (assist by W. Baldwin),2,113-93,,
2:04.0,Personal foul by W. Baldwin (drawn by D. Booker),,113-93,,
2:04.0,,,113-94,1,D. Booker makes free throw 1 of 2
2:04.0,,,113-94,,D. Booker misses free throw 2 of 2
2:03.0,Defensive rebound by J. Ennis,,113-94,,
1:44.0,T. Douglas misses 2-pt shot from 20 ft,,113-94,,
1:43.0,,,113-94,,Defensive rebound by M. Chriss
1:39.0,,,113-96,2,A. Williams makes 2-pt shot from 2 ft (assist by D. Booker)
1:20.0,Turnover by T. Daniels (traveling),,113-96,,
1:05.0,,,113-96,,M. Chriss misses 3-pt shot from 24 ft
1:05.0,Defensive rebound by T. Douglas,,113-96,,
0:55.0,B. Wright makes 2-pt shot from 11 ft (assist by T. Douglas),2,115-96,,
0:42.0,,,115-96,,D. Booker misses 2-pt shot from 9 ft
0:41.0,,,115-96,,Offensive rebound by T. Ulis
0:36.0,,,115-96,,A. Williams misses 2-pt shot from 13 ft
0:36.0,Defensive rebound by B. Wright,,115-96,,
0:28.0,Turnover by Team (turnover),,115-96,,
0:20.0,,,115-96,,Turnover by T. Ulis (bad pass; steal by T. Daniels)
0:00.0,End of 4th quarter,,,,End of 4th quarter
