time,LA Lakers,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Mozgov vs. T. Thompson (K. Irving gains possession),,,,Jump ball: T. Mozgov vs. T. Thompson (K. Irving gains possession)
11:45.0,,,0-2,2,K. Love makes 2-pt shot from 7 ft (assist by L. James)
11:29.0,B. Ingram misses 2-pt shot from 11 ft,,0-2,,
11:27.0,,,0-2,,Defensive rebound by K. Love
11:20.0,,,0-2,,K. Love misses 3-pt shot from 25 ft
11:19.0,Defensive rebound by T. Mozgov,,0-2,,
11:11.0,L. Deng makes 2-pt shot from 13 ft (assist by J. Randle),2,2-2,,
10:52.0,,,2-2,,K. Irving misses 2-pt shot from 14 ft
10:52.0,,,2-2,,Offensive rebound by T. Thompson
10:46.0,,,2-2,,K. Irving misses 3-pt shot from 23 ft
10:45.0,Defensive rebound by T. Mozgov,,2-2,,
10:33.0,N. Young makes 2-pt shot from 1 ft,2,4-2,,
10:22.0,,,4-2,,K. Love misses 3-pt shot from 25 ft
10:21.0,Defensive rebound by B. Ingram,,4-2,,
10:07.0,T. Mozgov makes 2-pt shot at rim (assist by N. Young),2,6-2,,
9:50.0,,,6-2,,Turnover by K. Love (bad pass)
9:36.0,N. Young makes 2-pt shot from 18 ft (assist by J. Randle),2,8-2,,
9:13.0,,,8-2,,L. James misses 2-pt shot from 13 ft
9:12.0,Defensive rebound by N. Young,,8-2,,
8:54.0,Turnover by J. Randle (lost ball),,8-2,,
8:34.0,,,8-4,2,K. Love makes 2-pt shot from 16 ft (assist by K. Irving)
8:18.0,L. Deng misses 3-pt shot from 25 ft,,8-4,,
8:17.0,,,8-4,,Defensive rebound by K. Love
8:11.0,,,8-4,,T. Thompson misses 2-pt shot from 7 ft
8:10.0,Defensive rebound by Team,,8-4,,
7:53.0,N. Young misses 3-pt shot from 27 ft,,8-4,,
7:52.0,Offensive rebound by J. Randle,,8-4,,
7:35.0,Turnover by T. Mozgov (lost ball; steal by L. James),,8-4,,
7:28.0,,,8-6,2,L. James makes 2-pt shot at rim (assist by T. Thompson)
7:17.0,N. Young misses 2-pt shot from 14 ft,,8-6,,
7:15.0,Offensive rebound by T. Mozgov,,8-6,,
7:15.0,Jump ball: T. Mozgov vs. T. Thompson (B. Ingram gains possession),,,,Jump ball: T. Mozgov vs. T. Thompson (B. Ingram gains possession)
7:13.0,B. Ingram misses 2-pt shot from 17 ft,,8-6,,
7:12.0,,,8-6,,Defensive rebound by K. Love
7:01.0,,,8-6,,Turnover by L. James (bad pass; steal by T. Mozgov)
6:55.0,J. Randle makes 2-pt shot from 1 ft,2,10-6,,
6:40.0,,,10-8,2,K. Irving makes 2-pt shot from 20 ft
6:19.0,J. Randle misses 2-pt shot from 20 ft,,10-8,,
6:19.0,,,10-8,,Defensive rebound by K. Love
6:10.0,,,10-8,,K. Love misses 3-pt shot from 25 ft
6:10.0,Defensive rebound by L. Deng,,10-8,,
5:59.0,J. Randle makes 2-pt shot from 11 ft (assist by L. Deng),2,12-8,,
5:48.0,,,12-10,2,T. Thompson makes 2-pt shot from 7 ft (assist by K. Irving)
5:39.0,J. Randle makes 2-pt shot from 8 ft,2,14-10,,
5:31.0,,,14-10,,Turnover by J. Smith (illegal screen)
5:31.0,,,14-10,,Cleveland full timeout
5:20.0,B. Ingram makes 2-pt shot at rim (assist by L. Deng),2,16-10,,
5:04.0,,,16-10,,J. Smith misses 2-pt shot from 21 ft
5:04.0,Defensive rebound by J. Randle,,16-10,,
4:57.0,N. Young misses 3-pt shot from 24 ft,,16-10,,
4:54.0,,,16-10,,Defensive rebound by K. Irving
4:50.0,,,16-12,2,J. Smith makes 2-pt shot at rim (assist by K. Irving)
4:32.0,T. Mozgov misses 2-pt shot from 11 ft,,16-12,,
4:30.0,,,16-12,,Defensive rebound by T. Thompson
4:26.0,Personal foul by J. Randle (drawn by K. Love),,16-12,,
4:26.0,J. Clarkson enters the game for L. Deng,,16-12,,
4:26.0,L. Nance enters the game for T. Mozgov,,16-12,,
4:13.0,,,16-12,,K. Irving misses 2-pt shot from 8 ft
4:11.0,Defensive rebound by B. Ingram,,16-12,,
4:03.0,J. Clarkson makes 2-pt shot from 10 ft (assist by B. Ingram),2,18-12,,
3:41.0,,,18-15,3,J. Smith makes 3-pt shot from 24 ft (assist by K. Love)
3:33.0,J. Randle misses 2-pt shot from 7 ft,,18-15,,
3:33.0,,,18-15,,Defensive rebound by Team
3:13.0,,,18-15,,J. Smith misses 2-pt shot from 18 ft
3:12.0,Defensive rebound by L. Nance,,18-15,,
3:07.0,Shooting foul by J. Smith (drawn by J. Randle),,18-15,,
3:07.0,J. Randle makes 2-pt shot from 1 ft (assist by N. Young),2,20-15,,
3:07.0,J. Randle misses free throw 1 of 1,,20-15,,
3:05.0,,,20-15,,Defensive rebound by K. Love
2:57.0,,,20-17,2,T. Thompson makes 2-pt shot at rim (assist by K. Irving)
2:52.0,LA Lakers full timeout,,20-17,,
