time,Miami,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. W. Reed,,,,Jump ball: T. Chandler vs. W. Reed
11:49.0,R. McGruder misses 3-pt shot from 24 ft,,0-0,,
11:47.0,,,0-0,,Defensive rebound by M. Chriss
11:47.0,Personal foul by J. Richardson (drawn by M. Chriss),,0-0,,
11:38.0,,,0-0,,T. Warren misses 2-pt shot from 14 ft
11:36.0,Defensive rebound by G. Dragic,,0-0,,
11:26.0,L. Babbitt makes 2-pt shot from 13 ft,2,2-0,,
11:15.0,,,2-2,2,D. Booker makes 2-pt shot from 1 ft
10:55.0,W. Reed makes 2-pt shot from 13 ft (assist by J. Richardson),2,4-2,,
10:44.0,,,4-2,,Offensive foul by T. Chandler
10:44.0,,,4-2,,Turnover by T. Chandler (offensive foul)
10:12.0,R. McGruder makes 2-pt shot from 17 ft (assist by W. Reed),2,6-2,,
9:50.0,,,6-2,,T. Chandler misses 2-pt shot from 2 ft
9:45.0,Defensive rebound by W. Reed,,6-2,,
9:40.0,W. Reed makes 2-pt shot from 6 ft (assist by G. Dragic),2,8-2,,
9:36.0,,,8-2,,Phoenix full timeout
9:19.0,,,8-2,,E. Bledsoe misses 2-pt shot from 11 ft
9:18.0,,,8-2,,Offensive rebound by Team
9:18.0,Personal foul by W. Reed (drawn by T. Chandler),,8-2,,
9:16.0,,,8-2,,D. Booker misses 2-pt shot from 17 ft
9:15.0,Defensive rebound by W. Reed,,8-2,,
9:04.0,Turnover by G. Dragic (lost ball; steal by M. Chriss),,8-2,,
8:59.0,,,8-2,,Shooting foul by L. Babbitt (drawn by M. Chriss)
8:59.0,,,8-3,1,M. Chriss makes free throw 1 of 2
8:59.0,,,8-4,1,M. Chriss makes free throw 2 of 2
8:43.0,Turnover by G. Dragic (lost ball; steal by D. Booker),,8-4,,
8:38.0,,,8-4,,Turnover by D. Booker (lost ball; steal by G. Dragic)
8:32.0,J. Richardson misses 2-pt shot from 21 ft,,8-4,,
8:30.0,,,8-4,,Defensive rebound by E. Bledsoe
8:30.0,Personal foul by R. McGruder (drawn by E. Bledsoe),,8-4,,
8:14.0,,,8-6,2,M. Chriss makes 2-pt shot from 3 ft (assist by E. Bledsoe)
7:56.0,W. Reed makes 2-pt shot at rim (assist by G. Dragic),2,10-6,,
7:33.0,,,10-6,,M. Chriss misses 2-pt shot from 2 ft (block by J. Richardson)
7:31.0,Defensive rebound by G. Dragic,,10-6,,
7:24.0,L. Babbitt makes 2-pt shot from 13 ft,2,12-6,,
7:11.0,,,12-6,,Offensive foul by T. Warren
7:11.0,,,12-6,,Turnover by T. Warren (offensive foul)
7:11.0,,,12-6,,L. Barbosa enters the game for D. Booker
7:11.0,W. Ellington enters the game for J. Richardson,,12-6,,
6:56.0,W. Ellington misses 2-pt shot from 18 ft,,12-6,,
6:53.0,,,12-6,,Defensive rebound by T. Chandler
6:40.0,,,12-9,3,E. Bledsoe makes 3-pt shot from 25 ft (assist by M. Chriss)
6:29.0,G. Dragic makes 2-pt shot from 13 ft,2,14-9,,
6:18.0,Personal block foul by L. Babbitt (drawn by E. Bledsoe),,14-9,,
6:18.0,,,14-10,1,E. Bledsoe makes free throw 1 of 2
6:18.0,,,14-11,1,E. Bledsoe makes free throw 2 of 2
6:18.0,D. Williams enters the game for L. Babbitt,,14-10,,
6:18.0,,,14-10,,P. Tucker enters the game for T. Warren
6:08.0,G. Dragic makes 2-pt shot from 14 ft,2,16-11,,
5:57.0,,,16-13,2,M. Chriss makes 2-pt shot at rim (assist by L. Barbosa)
5:55.0,Miami full timeout,,16-13,,
5:36.0,R. McGruder misses 3-pt shot from 26 ft,,16-13,,
5:35.0,Offensive rebound by Team,,16-13,,
5:23.0,G. Dragic makes 2-pt shot from 13 ft,2,18-13,,
5:23.0,Shooting foul by P. Tucker (drawn by G. Dragic),,18-13,,
5:23.0,G. Dragic makes free throw 1 of 1,1,19-13,,
5:11.0,,,19-15,2,T. Chandler makes 2-pt shot at rim (assist by E. Bledsoe)
4:49.0,G. Dragic makes 3-pt shot from 26 ft,3,22-15,,
4:29.0,,,22-15,,M. Chriss misses 3-pt shot from 25 ft
4:27.0,Defensive rebound by W. Reed,,22-15,,
4:21.0,G. Dragic makes 2-pt shot from 1 ft,2,24-15,,
4:03.0,,,24-18,3,L. Barbosa makes 3-pt shot from 26 ft (assist by M. Chriss)
3:53.0,G. Dragic misses 3-pt shot from 24 ft,,24-18,,
3:51.0,,,24-18,,Defensive rebound by T. Chandler
3:48.0,,,24-20,2,L. Barbosa makes 2-pt shot from 1 ft (assist by E. Bledsoe)
3:30.0,W. Ellington makes 2-pt shot from 21 ft (assist by G. Dragic),2,26-20,,
3:13.0,,,26-20,,Turnover by L. Barbosa (lost ball; steal by D. Williams)
3:03.0,Shooting foul by M. Chriss (drawn by G. Dragic),,26-20,,
3:03.0,G. Dragic misses free throw 1 of 2,,26-20,,
3:03.0,Offensive rebound by Team,,26-20,,
3:03.0,G. Dragic makes free throw 2 of 2,1,27-20,,
3:03.0,,,26-20,,A. Len enters the game for T. Chandler
3:03.0,,,26-20,,D. Bender enters the game for M. Chriss
3:03.0,,,26-20,,T. Ulis enters the game for E. Bledsoe
3:03.0,J. Richardson enters the game for R. McGruder,,26-20,,
3:03.0,U. Haslem enters the game for W. Reed,,26-20,,
2:46.0,,,27-20,,Turnover by D. Bender (lost ball; steal by J. Richardson)
2:46.0,,,27-20,,Personal foul by L. Barbosa (drawn by G. Dragic)
2:46.0,L. Babbitt enters the game for G. Dragic,,27-20,,
2:37.0,Turnover by J. Richardson (bad pass; steal by L. Barbosa),,27-20,,
2:32.0,,,27-20,,T. Ulis misses 2-pt shot from 2 ft (block by J. Richardson)
2:29.0,,,27-20,,Offensive rebound by T. Ulis
2:20.0,,,27-20,,T. Ulis misses 2-pt shot from 6 ft
2:18.0,Defensive rebound by L. Babbitt,,27-20,,
2:09.0,J. Richardson makes 2-pt shot from 17 ft,2,29-20,,
1:50.0,,,29-23,3,L. Barbosa makes 3-pt shot from 25 ft (assist by T. Ulis)
1:26.0,D. Williams misses 2-pt shot from 3 ft (block by A. Len),,29-23,,
1:24.0,,,29-23,,Defensive rebound by A. Len
1:12.0,,,29-23,,A. Len misses 2-pt shot from 3 ft
1:10.0,,,29-23,,Offensive rebound by A. Len
1:09.0,,,29-25,2,A. Len makes 2-pt shot from 4 ft
0:52.0,J. Richardson misses 3-pt shot from 25 ft,,29-25,,
0:50.0,,,29-25,,Defensive rebound by P. Tucker
0:43.0,,,29-25,,Shooting foul by D. Williams (drawn by A. Len)
0:43.0,,,29-25,,A. Len misses free throw 1 of 2
0:43.0,,,29-25,,Offensive rebound by Team
0:43.0,,,29-26,1,A. Len makes free throw 2 of 2
0:33.0,Turnover by J. Richardson (lost ball; steal by T. Ulis),,29-26,,
0:30.0,,,29-28,2,D. Bender makes 2-pt shot at rim (assist by P. Tucker)
0:21.0,J. Richardson misses 2-pt shot from 2 ft,,29-28,,
0:16.0,,,29-28,,Defensive rebound by D. Bender
0:13.0,,,29-28,,D. Bender misses 3-pt shot from 24 ft
0:10.0,Defensive rebound by U. Haslem,,29-28,,
0:00.0,L. Babbitt misses 2-pt shot from 15 ft,,29-28,,
0:00.0,Offensive rebound by Team,,29-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,29-28,,D. Bender misses 3-pt shot from 25 ft
11:44.0,Defensive rebound by U. Haslem,,29-28,,
11:38.0,Offensive foul by U. Haslem,,29-28,,
11:38.0,Turnover by U. Haslem (offensive foul),,29-28,,
11:38.0,R. McGruder enters the game for L. Babbitt,,29-28,,
11:23.0,,,29-30,2,L. Barbosa makes 2-pt shot from 2 ft
11:04.0,D. Williams misses 2-pt shot from 18 ft,,29-30,,
11:02.0,,,29-30,,Defensive rebound by A. Len
10:47.0,,,29-32,2,A. Len makes 2-pt shot from 1 ft (assist by P. Tucker)
10:26.0,R. McGruder makes 3-pt shot from 26 ft (assist by D. Williams),3,32-32,,
10:10.0,Personal foul by D. Williams (drawn by D. Bender),,32-32,,
10:10.0,G. Dragic enters the game for W. Ellington,,32-32,,
10:10.0,W. Reed enters the game for U. Haslem,,32-32,,
10:10.0,,,32-32,,D. Booker enters the game for L. Barbosa
9:54.0,,,32-32,,A. Len misses 2-pt shot from 7 ft
9:52.0,Defensive rebound by G. Dragic,,32-32,,
9:45.0,R. McGruder makes 3-pt shot from 23 ft (assist by G. Dragic),3,35-32,,
9:35.0,,,35-32,,T. Ulis misses 2-pt shot from 10 ft
9:31.0,Defensive rebound by D. Williams,,35-32,,
9:26.0,G. Dragic misses 2-pt shot from 3 ft,,35-32,,
9:23.0,Offensive rebound by W. Reed,,35-32,,
9:23.0,W. Reed makes 2-pt shot from 1 ft,2,37-32,,
9:23.0,,,37-32,,Phoenix full timeout
9:13.0,,,37-34,2,P. Tucker makes 2-pt shot from 3 ft (assist by D. Booker)
9:13.0,,,37-34,,Shooting foul by R. McGruder (drawn by P. Tucker)
9:13.0,,,37-35,1,P. Tucker makes free throw 1 of 1
8:55.0,G. Dragic makes 2-pt shot from 1 ft,2,39-35,,
8:55.0,Shooting foul by A. Len (drawn by G. Dragic),,39-35,,
8:55.0,G. Dragic makes free throw 1 of 1,1,40-35,,
8:55.0,W. Ellington enters the game for J. Richardson,,39-35,,
8:45.0,,,40-37,2,D. Booker makes 2-pt shot from 18 ft
8:34.0,G. Dragic makes 2-pt shot from 1 ft,2,42-37,,
8:19.0,,,42-37,,D. Booker misses 2-pt shot from 1 ft
8:17.0,,,42-37,,Offensive rebound by D. Booker
8:17.0,,,42-37,,Turnover by D. Booker (lost ball)
8:08.0,G. Dragic misses 2-pt shot from 16 ft,,42-37,,
8:06.0,Offensive rebound by D. Williams,,42-37,,
8:06.0,D. Williams misses 2-pt shot from 1 ft,,42-37,,
8:04.0,Offensive rebound by W. Reed,,42-37,,
8:04.0,W. Reed misses 2-pt shot from 1 ft,,42-37,,
8:04.0,Offensive rebound by W. Reed,,42-37,,
8:04.0,W. Reed misses 2-pt shot from 1 ft,,42-37,,
8:02.0,,,42-37,,Defensive rebound by A. Len
7:49.0,,,42-39,2,A. Len makes 2-pt shot from 10 ft
7:36.0,,,42-39,,Personal foul by A. Len (drawn by D. Williams)
7:36.0,,,42-39,,T. Chandler enters the game for A. Len
7:36.0,,,42-39,,E. Bledsoe enters the game for T. Ulis
7:27.0,W. Ellington misses 3-pt shot from 25 ft,,42-39,,
7:25.0,,,42-39,,Defensive rebound by P. Tucker
7:23.0,L. Babbitt enters the game for D. Williams,,42-39,,
7:21.0,,,42-39,,D. Bender misses 2-pt shot from 17 ft
7:19.0,,,42-39,,Offensive rebound by Team
7:17.0,Personal block foul by R. McGruder (drawn by E. Bledsoe),,42-39,,
7:17.0,J. Richardson enters the game for R. McGruder,,42-39,,
7:13.0,,,42-39,,P. Tucker misses 3-pt shot from 24 ft
7:11.0,Defensive rebound by L. Babbitt,,42-39,,
7:01.0,L. Babbitt misses 2-pt shot from 6 ft,,42-39,,
6:59.0,,,42-39,,Defensive rebound by D. Bender
6:52.0,,,42-42,3,E. Bledsoe makes 3-pt shot from 25 ft (assist by D. Booker)
6:21.0,W. Reed misses 2-pt shot from 12 ft,,42-42,,
6:17.0,,,42-42,,Defensive rebound by P. Tucker
6:07.0,,,42-42,,E. Bledsoe misses 2-pt shot from 8 ft
6:03.0,Defensive rebound by J. Richardson,,42-42,,
5:53.0,J. Richardson misses 2-pt shot from 15 ft,,42-42,,
5:51.0,,,42-42,,Defensive rebound by T. Chandler
5:32.0,,,42-42,,D. Booker misses 2-pt shot from 23 ft
5:30.0,Defensive rebound by L. Babbitt,,42-42,,
5:24.0,Miami full timeout,,42-42,,
5:24.0,,,42-42,,M. Chriss enters the game for D. Bender
5:24.0,U. Haslem enters the game for W. Reed,,42-42,,
5:05.0,Turnover by W. Ellington (lost ball; steal by E. Bledsoe),,42-42,,
4:55.0,,,42-45,3,M. Chriss makes 3-pt shot from 24 ft (assist by P. Tucker)
