time,Washington,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. J. Nurkic (C. McCollum gains possession),,,,Jump ball: M. Gortat vs. J. Nurkic (C. McCollum gains possession)
11:44.0,,,0-2,2,N. Vonleh makes 2-pt shot at rim (assist by D. Lillard)
11:24.0,M. Gortat makes 2-pt shot from 5 ft,2,2-2,,
11:14.0,,,2-2,,C. McCollum misses 3-pt shot from 28 ft
11:13.0,Defensive rebound by O. Porter,,2-2,,
11:08.0,B. Beal makes 2-pt shot from 1 ft (assist by O. Porter),2,4-2,,
10:59.0,,,4-2,,Offensive foul by J. Nurkic
10:59.0,,,4-2,,Turnover by J. Nurkic (offensive foul)
10:45.0,J. Wall makes 3-pt shot from 25 ft (assist by O. Porter),3,7-2,,
10:25.0,,,7-2,,M. Harkless misses 3-pt shot from 22 ft
10:24.0,Defensive rebound by M. Gortat,,7-2,,
10:11.0,M. Morris makes 2-pt shot from 22 ft,2,9-2,,
9:53.0,,,9-4,2,N. Vonleh makes 2-pt shot at rim (assist by D. Lillard)
9:39.0,Turnover by J. Wall (bad pass),,9-4,,
9:25.0,,,9-4,,D. Lillard misses 3-pt shot from 25 ft
9:24.0,Defensive rebound by M. Morris,,9-4,,
9:12.0,M. Gortat makes 2-pt shot from 10 ft (assist by B. Beal),2,11-4,,
8:54.0,,,11-7,3,C. McCollum makes 3-pt shot from 25 ft (assist by D. Lillard)
8:45.0,Turnover by J. Wall (bad pass; steal by J. Nurkic),,11-7,,
8:44.0,Personal foul by M. Morris (drawn by D. Lillard),,11-7,,
8:30.0,,,11-7,,J. Nurkic misses 2-pt shot from 9 ft
8:29.0,Defensive rebound by M. Gortat,,11-7,,
8:21.0,J. Wall misses 3-pt shot from 25 ft,,11-7,,
8:20.0,,,11-7,,Defensive rebound by N. Vonleh
8:11.0,,,11-9,2,J. Nurkic makes 2-pt shot from 4 ft (assist by C. McCollum)
7:56.0,B. Beal makes 3-pt shot from 25 ft,3,14-9,,
7:37.0,,,14-9,,J. Nurkic misses 2-pt shot from 16 ft
7:36.0,,,14-9,,Offensive rebound by N. Vonleh
7:31.0,,,14-11,2,C. McCollum makes 2-pt shot from 16 ft
7:31.0,,,14-11,,Shooting foul by B. Beal
7:31.0,,,14-12,1,C. McCollum makes free throw 1 of 1
7:19.0,B. Beal misses 3-pt shot from 25 ft,,14-12,,
7:18.0,,,14-12,,Defensive rebound by N. Vonleh
7:11.0,,,14-12,,Turnover by D. Lillard (bad pass; steal by O. Porter)
7:05.0,J. Wall misses 2-pt shot from 2 ft (block by J. Nurkic),,14-12,,
7:04.0,Offensive rebound by O. Porter,,14-12,,
7:00.0,O. Porter misses 2-pt shot from 20 ft,,14-12,,
7:00.0,,,14-12,,Defensive rebound by N. Vonleh
6:48.0,,,14-14,2,D. Lillard makes 2-pt shot from 1 ft
6:31.0,M. Morris makes 2-pt shot at rim (assist by J. Wall),2,16-14,,
6:10.0,,,16-16,2,M. Harkless makes 2-pt shot from 1 ft (assist by J. Nurkic)
5:54.0,J. Wall misses 2-pt shot from 20 ft,,16-16,,
5:53.0,,,16-16,,Defensive rebound by N. Vonleh
5:40.0,,,16-18,2,M. Harkless makes 2-pt shot at rim
5:40.0,Washington full timeout,,16-18,,
5:40.0,K. Oubre enters the game for B. Beal,,16-18,,
5:40.0,,,16-18,,A. Crabbe enters the game for C. McCollum
5:27.0,Shooting foul by J. Nurkic (drawn by M. Gortat),,16-18,,
5:27.0,M. Gortat makes free throw 1 of 2,1,17-18,,
5:27.0,M. Gortat misses free throw 2 of 2,,17-18,,
5:27.0,,,17-18,,M. Leonard enters the game for J. Nurkic
5:25.0,,,17-18,,Defensive rebound by N. Vonleh
5:09.0,,,17-18,,D. Lillard misses 3-pt shot from 24 ft
5:08.0,Defensive rebound by M. Morris,,17-18,,
5:01.0,J. Wall makes 2-pt shot from 18 ft,2,19-18,,
4:40.0,,,19-21,3,D. Lillard makes 3-pt shot from 28 ft
4:30.0,O. Porter misses 2-pt shot from 20 ft,,19-21,,
4:29.0,,,19-21,,Defensive rebound by A. Crabbe
4:19.0,,,19-23,2,M. Leonard makes 2-pt shot from 15 ft (assist by D. Lillard)
3:56.0,O. Porter makes 2-pt shot from 19 ft,2,21-23,,
3:38.0,,,21-26,3,D. Lillard makes 3-pt shot from 27 ft (assist by M. Leonard)
3:23.0,Shooting foul by M. Leonard (drawn by M. Gortat),,21-26,,
3:23.0,M. Gortat makes free throw 1 of 2,1,22-26,,
3:23.0,M. Gortat makes free throw 2 of 2,1,23-26,,
3:23.0,B. Bogdanovic enters the game for M. Morris,,22-26,,
3:23.0,,,22-26,,A. Aminu enters the game for N. Vonleh
3:23.0,B. Jennings enters the game for O. Porter,,22-26,,
3:10.0,,,23-28,2,A. Crabbe makes 2-pt shot at rim (assist by D. Lillard)
3:00.0,Shooting foul by M. Leonard (drawn by J. Wall),,23-28,,
3:00.0,J. Wall makes 2-pt shot from 2 ft,2,25-28,,
3:00.0,J. Wall makes free throw 1 of 1,1,26-28,,
3:00.0,,,25-28,,S. Napier enters the game for M. Harkless
3:00.0,I. Mahinmi enters the game for M. Gortat,,25-28,,
2:44.0,,,26-31,3,A. Crabbe makes 3-pt shot from 25 ft (assist by S. Napier)
2:32.0,Shooting foul by D. Lillard (drawn by J. Wall),,26-31,,
2:32.0,,,26-31,,Portland full timeout
2:32.0,J. Wall makes free throw 1 of 2,1,27-31,,
2:32.0,J. Wall misses free throw 2 of 2,,27-31,,
2:32.0,,,26-31,,C. McCollum enters the game for D. Lillard
2:30.0,,,27-31,,Defensive rebound by M. Leonard
2:11.0,,,27-31,,Shooting foul by I. Mahinmi (drawn by A. Crabbe)
2:11.0,,,27-32,1,A. Crabbe makes free throw 1 of 2
2:11.0,,,27-32,,A. Crabbe misses free throw 2 of 2
2:11.0,J. Smith enters the game for J. Wall,,27-32,,
2:09.0,Defensive rebound by I. Mahinmi,,27-32,,
1:49.0,B. Jennings makes 2-pt shot from 13 ft,2,29-32,,
1:38.0,,,29-34,2,C. McCollum makes 2-pt shot from 20 ft
1:27.0,Shooting foul by S. Napier (drawn by B. Jennings),,29-34,,
1:27.0,B. Jennings makes free throw 1 of 2,1,30-34,,
1:27.0,B. Jennings misses free throw 2 of 2,,30-34,,
1:24.0,,,30-34,,Defensive rebound by A. Aminu
1:09.0,,,30-34,,A. Crabbe misses 3-pt shot from 25 ft
1:08.0,Defensive rebound by B. Jennings,,30-34,,
0:54.0,B. Bogdanovic misses 2-pt shot from 17 ft,,30-34,,
0:54.0,,,30-34,,Defensive rebound by M. Leonard
0:31.0,,,30-34,,M. Leonard misses 2-pt shot from 16 ft
0:29.0,Defensive rebound by B. Bogdanovic,,30-34,,
0:09.0,Turnover by B. Jennings (bad pass),,30-34,,
0:09.0,,,30-34,,D. Lillard enters the game for A. Aminu
0:06.0,Personal take foul by K. Oubre,,30-34,,
0:02.0,,,30-36,2,M. Leonard makes 2-pt shot from 10 ft (assist by D. Lillard)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,Offensive foul by I. Mahinmi,,30-36,,
11:51.0,Turnover by I. Mahinmi (offensive foul),,30-36,,
11:34.0,,,30-38,2,C. McCollum makes 2-pt shot from 19 ft (assist by M. Leonard)
11:22.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by B. Jennings),2,32-38,,
11:00.0,,,32-40,2,C. McCollum makes 2-pt shot from 14 ft (assist by A. Crabbe)
10:47.0,Shooting foul by A. Crabbe (drawn by B. Bogdanovic),,32-40,,
10:47.0,B. Bogdanovic misses free throw 1 of 2,,32-40,,
10:47.0,Offensive rebound by Team,,32-40,,
10:47.0,B. Bogdanovic makes free throw 2 of 2,1,33-40,,
10:33.0,,,33-40,,A. Crabbe misses 2-pt shot from 23 ft
10:33.0,Defensive rebound by K. Oubre,,33-40,,
10:27.0,Turnover by B. Jennings (offensive foul),,33-40,,
10:27.0,Offensive foul by B. Jennings,,33-40,,
10:16.0,Personal foul by B. Bogdanovic,,33-40,,
10:02.0,,,33-42,2,C. McCollum makes 2-pt shot from 15 ft
9:47.0,I. Mahinmi misses 2-pt shot from 2 ft (block by A. Aminu),,33-42,,
9:46.0,,,33-42,,Defensive rebound by M. Leonard
9:34.0,Personal foul by K. Oubre (drawn by S. Napier),,33-42,,
9:27.0,,,33-45,3,C. McCollum makes 3-pt shot from 24 ft
9:26.0,Washington full timeout,,33-45,,
9:26.0,M. Morris enters the game for J. Smith,,33-45,,
9:05.0,Turnover by I. Mahinmi (traveling),,33-45,,
8:45.0,,,33-48,3,C. McCollum makes 3-pt shot from 24 ft
8:28.0,B. Jennings misses 2-pt shot from 4 ft,,33-48,,
8:28.0,,,33-48,,Defensive rebound by M. Leonard
8:07.0,,,33-50,2,A. Crabbe makes 2-pt shot from 1 ft (assist by S. Napier)
7:57.0,B. Bogdanovic misses 3-pt shot from 24 ft,,33-50,,
7:56.0,,,33-50,,Defensive rebound by A. Aminu
7:49.0,,,33-50,,Turnover by S. Napier (bad pass)
7:49.0,M. Gortat enters the game for I. Mahinmi,,33-50,,
7:49.0,J. Wall enters the game for B. Jennings,,33-50,,
7:40.0,B. Bogdanovic misses 3-pt shot from 23 ft,,33-50,,
7:37.0,Offensive rebound by M. Gortat,,33-50,,
7:31.0,Shooting foul by A. Aminu (drawn by M. Gortat),,33-50,,
7:31.0,M. Gortat misses free throw 1 of 2,,33-50,,
7:31.0,Offensive rebound by Team,,33-50,,
7:31.0,M. Gortat misses free throw 2 of 2,,33-50,,
7:31.0,,,33-50,,D. Lillard enters the game for S. Napier
7:31.0,,,33-50,,J. Nurkic enters the game for M. Leonard
7:31.0,O. Porter enters the game for K. Oubre,,33-50,,
7:29.0,Offensive rebound by M. Morris,,33-50,,
