time,Houston,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. J. Noah (K. Porzingis gains possession),,,,Jump ball: C. Capela vs. J. Noah (K. Porzingis gains possession)
11:42.0,,,0-2,2,C. Lee makes 2-pt shot from 7 ft (assist by J. Noah)
11:29.0,R. Anderson makes 3-pt shot from 25 ft (assist by J. Harden),3,3-2,,
11:10.0,,,3-2,,J. Noah misses 2-pt shot from 2 ft
11:09.0,Defensive rebound by T. Ariza,,3-2,,
10:55.0,J. Harden misses 3-pt shot from 24 ft (block by C. Lee),,3-2,,
10:54.0,,,3-2,,Defensive rebound by J. Noah
10:50.0,,,3-4,2,C. Lee makes 2-pt shot from 1 ft (assist by J. Noah)
10:27.0,T. Ariza misses 3-pt shot from 24 ft,,3-4,,
10:26.0,Offensive rebound by C. Capela,,3-4,,
10:20.0,R. Anderson makes 3-pt shot from 24 ft (assist by T. Ariza),3,6-4,,
10:06.0,,,6-4,,C. Lee misses 3-pt shot from 24 ft
10:05.0,Defensive rebound by Team,,6-4,,
9:50.0,R. Anderson misses 3-pt shot from 27 ft,,6-4,,
9:49.0,,,6-4,,Defensive rebound by C. Anthony
9:40.0,,,6-4,,C. Anthony misses 2-pt shot from 15 ft
9:39.0,Defensive rebound by E. Gordon,,6-4,,
9:28.0,R. Anderson makes 2-pt shot from 1 ft,2,8-4,,
9:08.0,,,8-6,2,D. Rose makes 2-pt shot from 10 ft
8:58.0,J. Harden makes 2-pt shot at rim,2,10-6,,
8:40.0,,,10-8,2,C. Anthony makes 2-pt shot from 2 ft
8:30.0,Shooting foul by C. Lee (drawn by J. Harden),,10-8,,
8:30.0,J. Harden misses free throw 1 of 3,,10-8,,
8:30.0,Offensive rebound by Team,,10-8,,
8:30.0,J. Harden makes free throw 2 of 3,1,11-8,,
8:30.0,J. Harden makes free throw 3 of 3,1,12-8,,
8:09.0,,,12-8,,Turnover by C. Lee (bad pass; steal by C. Capela)
8:01.0,,,12-8,,Personal foul by K. Porzingis (drawn by J. Harden)
7:57.0,Turnover by J. Harden (bad pass; steal by D. Rose),,12-8,,
7:51.0,,,12-8,,K. Porzingis misses 2-pt shot from 18 ft
7:50.0,Defensive rebound by T. Ariza,,12-8,,
7:40.0,J. Harden makes 3-pt shot from 25 ft (assist by T. Ariza),3,15-8,,
7:27.0,,,15-8,,Shooting foul by T. Ariza (drawn by C. Anthony)
7:27.0,,,15-9,1,C. Anthony makes free throw 1 of 2
7:27.0,,,15-10,1,C. Anthony makes free throw 2 of 2
7:27.0,,,15-9,,L. Thomas enters the game for J. Noah
7:12.0,T. Ariza makes 3-pt shot from 24 ft (assist by E. Gordon),3,18-10,,
6:58.0,,,18-10,,Turnover by L. Thomas (bad pass; steal by T. Ariza)
6:49.0,J. Harden misses 3-pt shot from 27 ft,,18-10,,
6:48.0,,,18-10,,Defensive rebound by K. Porzingis
6:27.0,,,18-12,2,D. Rose makes 2-pt shot from 1 ft
6:18.0,,,18-12,,Personal foul by D. Rose (drawn by E. Gordon)
6:12.0,Shooting foul by L. Thomas (drawn by J. Harden),,18-12,,
6:12.0,J. Harden makes free throw 1 of 2,1,19-12,,
6:12.0,J. Harden makes free throw 2 of 2,1,20-12,,
5:57.0,,,20-12,,Turnover by C. Anthony (lost ball; steal by J. Harden)
5:50.0,J. Harden makes 2-pt shot from 1 ft,2,22-12,,
5:46.0,,,22-12,,New York full timeout
5:46.0,K. McDaniels enters the game for E. Gordon,,22-12,,
5:29.0,,,22-14,2,D. Rose makes 2-pt shot from 1 ft
5:16.0,C. Capela makes 2-pt shot from 2 ft (assist by J. Harden),2,24-14,,
5:04.0,,,24-14,,Turnover by D. Rose (bad pass)
4:51.0,R. Anderson misses 3-pt shot from 25 ft,,24-14,,
4:50.0,,,24-14,,Defensive rebound by L. Thomas
4:39.0,,,24-17,3,L. Thomas makes 3-pt shot from 25 ft (assist by C. Lee)
4:22.0,T. Ariza makes 2-pt shot from 1 ft (assist by J. Harden),2,26-17,,
4:07.0,,,26-19,2,C. Anthony makes 2-pt shot at rim (assist by D. Rose)
3:48.0,T. Ariza misses 3-pt shot from 23 ft,,26-19,,
3:47.0,,,26-19,,Defensive rebound by K. Porzingis
3:41.0,,,26-21,2,D. Rose makes 2-pt shot from 2 ft
3:38.0,Houston full timeout,,26-21,,
3:38.0,S. Dekker enters the game for R. Anderson,,26-21,,
3:38.0,M. Harrell enters the game for C. Capela,,26-21,,
3:26.0,J. Harden misses 3-pt shot from 26 ft,,26-21,,
3:25.0,,,26-21,,Defensive rebound by L. Thomas
3:04.0,,,26-21,,C. Anthony misses 3-pt shot from 25 ft
3:03.0,Defensive rebound by J. Harden,,26-21,,
2:55.0,Shooting foul by C. Anthony (drawn by S. Dekker),,26-21,,
2:55.0,S. Dekker misses free throw 1 of 2,,26-21,,
2:55.0,Offensive rebound by Team,,26-21,,
2:55.0,S. Dekker makes free throw 2 of 2,1,27-21,,
2:55.0,,,26-21,,J. Holiday enters the game for K. Porzingis
2:55.0,,,26-21,,K. O'Quinn enters the game for L. Thomas
2:38.0,,,27-21,,D. Rose misses 2-pt shot from 12 ft
2:37.0,Defensive rebound by J. Harden,,27-21,,
2:30.0,T. Ariza misses 2-pt shot from 17 ft,,27-21,,
2:29.0,,,27-21,,Defensive rebound by K. O'Quinn
2:23.0,,,27-21,,D. Rose misses 2-pt shot from 1 ft
2:22.0,Defensive rebound by M. Harrell,,27-21,,
2:11.0,M. Harrell makes 2-pt shot from 5 ft (assist by T. Ariza),2,29-21,,
1:47.0,,,29-21,,D. Rose misses 2-pt shot from 4 ft
1:46.0,,,29-21,,Offensive rebound by D. Rose
1:43.0,,,29-21,,C. Anthony misses 2-pt shot from 18 ft
1:42.0,Defensive rebound by S. Dekker,,29-21,,
1:39.0,Turnover by S. Dekker (lost ball),,29-21,,
1:39.0,C. Brewer enters the game for T. Ariza,,29-21,,
1:23.0,Personal foul by C. Brewer (drawn by C. Anthony),,29-21,,
1:23.0,,,29-21,,B. Jennings enters the game for D. Rose
1:10.0,,,29-21,,C. Anthony misses 2-pt shot from 6 ft
1:09.0,Defensive rebound by S. Dekker,,29-21,,
1:05.0,K. McDaniels misses 2-pt shot from 1 ft,,29-21,,
1:04.0,Offensive rebound by M. Harrell,,29-21,,
1:04.0,M. Harrell misses 2-pt shot at rim,,29-21,,
