time,Charlotte,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. R. Hibbert (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. R. Hibbert (R. Jackson gains possession)
11:46.0,,,0-0,,M. Morris misses 2-pt shot from 18 ft
11:46.0,,,0-0,,Offensive rebound by A. Drummond
11:46.0,,,0-0,,Shooting foul by N. Batum (drawn by A. Drummond)
11:46.0,,,0-1,1,A. Drummond makes free throw 1 of 2
11:46.0,,,0-1,,A. Drummond misses free throw 2 of 2
11:46.0,Defensive rebound by R. Hibbert,,0-1,,
11:19.0,M. Kidd-Gilchrist misses 2-pt shot from 18 ft,,0-1,,
11:18.0,,,0-1,,Defensive rebound by A. Drummond
11:09.0,,,0-3,2,A. Drummond makes 2-pt shot from 7 ft (assist by J. Leuer)
11:00.0,,,0-3,,Personal foul by R. Jackson (drawn by K. Walker)
10:50.0,R. Hibbert makes 2-pt shot at rim (assist by N. Batum),2,2-3,,
10:31.0,,,2-3,,K. Caldwell-Pope misses 3-pt shot from 27 ft
10:31.0,Defensive rebound by N. Batum,,2-3,,
10:27.0,Turnover by N. Batum (lost ball; steal by K. Caldwell-Pope),,2-3,,
10:22.0,,,2-5,2,J. Leuer makes 2-pt shot at rim (assist by R. Jackson)
10:04.0,K. Walker makes 2-pt shot at rim,2,4-5,,
9:56.0,,,4-8,3,M. Morris makes 3-pt shot from 25 ft (assist by R. Jackson)
9:46.0,K. Walker misses 3-pt shot from 26 ft,,4-8,,
9:46.0,,,4-8,,Defensive rebound by M. Morris
9:34.0,,,4-8,,K. Caldwell-Pope misses 2-pt shot from 4 ft (block by R. Hibbert)
9:33.0,Defensive rebound by M. Williams,,4-8,,
9:15.0,Turnover by K. Walker (lost ball),,4-8,,
8:57.0,,,4-11,3,J. Leuer makes 3-pt shot from 24 ft (assist by K. Caldwell-Pope)
8:43.0,Shooting foul by J. Leuer (drawn by N. Batum),,4-11,,
8:43.0,N. Batum makes free throw 1 of 2,1,5-11,,
8:43.0,N. Batum makes free throw 2 of 2,1,6-11,,
8:28.0,,,6-11,,A. Drummond misses 2-pt shot from 7 ft
8:28.0,,,6-11,,Offensive rebound by M. Morris
8:28.0,,,6-11,,Shooting foul by M. Kidd-Gilchrist (drawn by M. Morris)
8:28.0,,,6-12,1,M. Morris makes free throw 1 of 2
8:28.0,,,6-13,1,M. Morris makes free throw 2 of 2
8:13.0,Shooting foul by J. Leuer (drawn by M. Williams),,6-13,,
8:13.0,M. Williams makes free throw 1 of 2,1,7-13,,
8:13.0,M. Williams makes free throw 2 of 2,1,8-13,,
8:13.0,,,7-13,,T. Harris enters the game for J. Leuer
8:04.0,,,8-15,2,A. Drummond makes 2-pt shot from 7 ft (assist by M. Morris)
8:04.0,,,8-15,,Shooting foul by R. Hibbert (drawn by A. Drummond)
8:04.0,,,8-16,1,A. Drummond makes free throw 1 of 1
7:46.0,M. Williams makes 2-pt shot from 8 ft (assist by N. Batum),2,10-16,,
7:46.0,Shooting foul by T. Harris (drawn by M. Williams),,10-16,,
7:46.0,M. Williams makes free throw 1 of 1,1,11-16,,
7:31.0,,,11-18,2,T. Harris makes 2-pt shot from 16 ft
7:14.0,Shooting foul by A. Drummond (drawn by R. Hibbert),,11-18,,
7:14.0,R. Hibbert makes free throw 1 of 2,1,12-18,,
7:14.0,R. Hibbert makes free throw 2 of 2,1,13-18,,
7:01.0,,,13-18,,R. Jackson misses 2-pt shot from 17 ft
7:01.0,Defensive rebound by R. Hibbert,,13-18,,
6:43.0,M. Kidd-Gilchrist misses 2-pt shot from 1 ft,,13-18,,
6:43.0,Offensive rebound by M. Williams,,13-18,,
6:42.0,M. Williams misses 2-pt shot from 1 ft,,13-18,,
6:42.0,Offensive rebound by Team,,13-18,,
6:42.0,,,13-18,,Loose ball foul by A. Drummond (drawn by M. Kidd-Gilchrist)
