time,Washington,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. D. Howard (D. Schroder gains possession),,,,Jump ball: M. Gortat vs. D. Howard (D. Schroder gains possession)
11:36.0,,,0-2,2,T. Waller-Prince makes 2-pt shot from 3 ft (assist by D. Howard)
11:14.0,M. Morris misses 3-pt shot from 25 ft,,0-2,,
11:13.0,,,0-2,,Defensive rebound by Team
10:58.0,,,0-2,,D. Schroder misses 2-pt shot from 12 ft
10:57.0,Defensive rebound by M. Morris,,0-2,,
10:52.0,J. Wall makes 2-pt shot from 19 ft,2,2-2,,
10:37.0,,,2-5,3,T. Hardaway makes 3-pt shot from 25 ft (assist by P. Millsap)
10:29.0,B. Beal misses 3-pt shot from 24 ft,,2-5,,
10:27.0,,,2-5,,Defensive rebound by D. Howard
10:13.0,,,2-5,,P. Millsap misses 2-pt shot from 12 ft
10:11.0,Defensive rebound by O. Porter,,2-5,,
10:05.0,M. Morris misses 2-pt shot from 1 ft,,2-5,,
10:03.0,,,2-5,,Defensive rebound by D. Howard
10:03.0,,,2-5,,Turnover by D. Schroder (bad pass)
9:59.0,B. Beal misses 3-pt shot from 25 ft,,2-5,,
9:58.0,,,2-5,,Defensive rebound by T. Waller-Prince
9:50.0,,,2-5,,D. Schroder misses 2-pt shot from 1 ft (block by O. Porter)
9:48.0,Defensive rebound by M. Gortat,,2-5,,
9:42.0,O. Porter makes 3-pt shot from 25 ft (assist by J. Wall),3,5-5,,
9:25.0,,,5-7,2,T. Waller-Prince makes 2-pt shot from 15 ft (assist by D. Schroder)
9:10.0,B. Beal makes 2-pt shot from 2 ft (assist by M. Morris),2,7-7,,
8:53.0,,,7-7,,D. Howard misses 2-pt shot from 2 ft (block by M. Gortat)
8:53.0,,,7-7,,Offensive rebound by Team
8:46.0,,,7-10,3,P. Millsap makes 3-pt shot from 25 ft
8:35.0,O. Porter misses 3-pt shot from 23 ft,,7-10,,
8:33.0,Offensive rebound by M. Gortat,,7-10,,
8:30.0,B. Beal makes 2-pt shot from 15 ft (assist by M. Gortat),2,9-10,,
8:12.0,,,9-12,2,D. Howard makes 2-pt shot at rim (assist by P. Millsap)
7:56.0,M. Morris misses 2-pt shot from 17 ft,,9-12,,
7:55.0,,,9-12,,Defensive rebound by P. Millsap
7:50.0,,,9-12,,Shooting foul by M. Morris (drawn by P. Millsap)
7:50.0,Washington full timeout,,9-12,,
7:50.0,,,9-13,1,P. Millsap makes free throw 1 of 2
7:50.0,,,9-14,1,P. Millsap makes free throw 2 of 2
7:28.0,B. Beal makes 3-pt shot from 25 ft,3,12-14,,
7:09.0,,,12-14,,P. Millsap misses 3-pt shot from 25 ft
7:07.0,,,12-14,,Offensive rebound by D. Howard
7:07.0,,,12-14,,D. Howard misses 2-pt shot from 1 ft
7:05.0,,,12-14,,Offensive rebound by D. Howard
7:05.0,,,12-14,,D. Howard misses 2-pt shot from 1 ft
7:05.0,,,12-14,,Offensive rebound by D. Howard
7:05.0,,,12-14,,Shooting foul by O. Porter (drawn by D. Howard)
7:05.0,,,12-15,1,D. Howard makes free throw 1 of 2
7:05.0,,,12-16,1,D. Howard makes free throw 2 of 2
6:54.0,M. Morris makes 2-pt shot from 20 ft (assist by J. Wall),2,14-16,,
6:44.0,Personal foul by M. Morris (drawn by P. Millsap),,14-16,,
6:44.0,J. Smith enters the game for M. Morris,,14-16,,
6:36.0,,,14-16,,D. Howard misses 2-pt shot from 7 ft
6:34.0,Defensive rebound by B. Beal,,14-16,,
6:28.0,B. Beal misses 3-pt shot from 25 ft,,14-16,,
6:27.0,,,14-16,,Defensive rebound by T. Waller-Prince
6:18.0,,,14-16,,D. Schroder misses 2-pt shot from 21 ft
6:16.0,Defensive rebound by O. Porter,,14-16,,
6:07.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,16-16,,
5:46.0,,,16-18,2,P. Millsap makes 2-pt shot from 2 ft
5:27.0,J. Smith makes 3-pt shot from 23 ft (assist by M. Gortat),3,19-18,,
4:59.0,,,19-18,,D. Howard misses 2-pt shot from 19 ft
4:58.0,Defensive rebound by M. Gortat,,19-18,,
4:51.0,Shooting foul by D. Schroder (drawn by J. Wall),,19-18,,
4:51.0,J. Wall makes free throw 1 of 2,1,20-18,,
4:51.0,J. Wall makes free throw 2 of 2,1,21-18,,
4:51.0,,,20-18,,K. Bazemore enters the game for T. Hardaway
4:51.0,,,20-18,,M. Dunleavy enters the game for T. Waller-Prince
4:36.0,,,21-18,,P. Millsap misses 2-pt shot from 2 ft
4:34.0,Defensive rebound by J. Smith,,21-18,,
4:20.0,O. Porter makes 2-pt shot from 20 ft (assist by J. Wall),2,23-18,,
4:19.0,,,23-18,,Atlanta full timeout
4:19.0,,,23-18,,M. Muscala enters the game for P. Millsap
4:19.0,,,23-18,,E. Ilyasova enters the game for D. Howard
4:09.0,,,23-18,,Turnover by M. Dunleavy (bad pass; steal by J. Wall)
4:08.0,J. Wall makes 2-pt shot from 1 ft,2,25-18,,
4:08.0,Shooting foul by D. Schroder (drawn by J. Wall),,25-18,,
4:08.0,J. Wall misses free throw 1 of 1,,25-18,,
4:06.0,Offensive rebound by J. Smith,,25-18,,
3:43.0,B. Beal makes 2-pt shot from 1 ft (assist by J. Wall),2,27-18,,
3:21.0,,,27-18,,M. Muscala misses 2-pt shot from 16 ft
3:18.0,Defensive rebound by J. Wall,,27-18,,
3:08.0,B. Beal misses 2-pt shot from 2 ft,,27-18,,
3:06.0,Offensive rebound by M. Gortat,,27-18,,
3:06.0,M. Gortat misses 2-pt shot at rim,,27-18,,
3:05.0,,,27-18,,Defensive rebound by M. Dunleavy
2:45.0,,,27-18,,M. Dunleavy misses 2-pt shot from 2 ft
2:44.0,,,27-18,,Offensive rebound by M. Dunleavy
2:40.0,,,27-18,,K. Bazemore misses 3-pt shot from 25 ft
2:39.0,Defensive rebound by M. Gortat,,27-18,,
2:29.0,,,27-18,,Personal foul by D. Schroder (drawn by J. Wall)
2:29.0,,,27-18,,J. Calderon enters the game for D. Schroder
2:29.0,B. Jennings enters the game for J. Wall,,27-18,,
2:29.0,K. Oubre enters the game for O. Porter,,27-18,,
2:29.0,B. Bogdanovic enters the game for M. Gortat,,27-18,,
2:16.0,B. Beal misses 2-pt shot from 17 ft,,27-18,,
2:13.0,,,27-18,,Defensive rebound by E. Ilyasova
1:59.0,,,27-20,2,E. Ilyasova makes 2-pt shot from 2 ft (assist by K. Bazemore)
1:35.0,B. Jennings makes 2-pt shot from 22 ft,2,29-20,,
1:20.0,,,29-23,3,K. Bazemore makes 3-pt shot from 25 ft
1:10.0,J. Smith makes 2-pt shot from 2 ft (assist by B. Jennings),2,31-23,,
1:02.0,,,31-26,3,E. Ilyasova makes 3-pt shot from 25 ft (assist by K. Bazemore)
1:00.0,,,31-26,,Personal foul by J. Calderon (drawn by B. Jennings)
0:52.0,B. Jennings makes 2-pt shot from 21 ft,2,33-26,,
0:37.0,,,33-26,,M. Muscala misses 3-pt shot from 25 ft
0:35.0,Defensive rebound by K. Oubre,,33-26,,
0:27.0,B. Jennings misses 2-pt shot from 1 ft,,33-26,,
0:26.0,,,33-26,,Defensive rebound by K. Bazemore
0:10.0,,,33-26,,Shooting foul by B. Bogdanovic (drawn by K. Bazemore)
0:10.0,,,33-27,1,K. Bazemore makes free throw 1 of 2
0:10.0,,,33-28,1,K. Bazemore makes free throw 2 of 2
0:10.0,,,33-27,,T. Waller-Prince enters the game for M. Dunleavy
0:10.0,,,33-27,,T. Sefolosha enters the game for J. Calderon
0:10.0,J. Wall enters the game for K. Oubre,,33-27,,
0:02.0,J. Wall makes 2-pt shot from 1 ft,2,35-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,B. Bogdanovic misses 2-pt shot from 3 ft,,35-28,,
11:33.0,,,35-28,,Defensive rebound by P. Millsap
11:22.0,,,35-28,,P. Millsap misses 3-pt shot from 24 ft
11:20.0,,,35-28,,Offensive rebound by E. Ilyasova
11:20.0,,,35-28,,Shooting foul by K. Oubre (drawn by E. Ilyasova)
11:20.0,,,35-29,1,E. Ilyasova makes free throw 1 of 2
11:20.0,,,35-29,,E. Ilyasova misses free throw 2 of 2
11:19.0,Defensive rebound by K. Oubre,,35-29,,
10:56.0,K. Oubre misses 3-pt shot from 25 ft,,35-29,,
10:54.0,,,35-29,,Defensive rebound by P. Millsap
10:38.0,,,35-29,,K. Bazemore misses 3-pt shot from 25 ft
10:38.0,Defensive rebound by Team,,35-29,,
10:38.0,,,35-29,,Loose ball foul by E. Ilyasova (drawn by J. Smith)
10:22.0,B. Bogdanovic makes 2-pt shot from 9 ft,2,37-29,,
10:22.0,Shooting foul by J. Calderon (drawn by B. Bogdanovic),,37-29,,
10:22.0,B. Bogdanovic makes free throw 1 of 1,1,38-29,,
10:11.0,,,38-31,2,J. Calderon makes 2-pt shot from 2 ft (assist by K. Bazemore)
9:57.0,,,38-31,,Personal foul by J. Calderon (drawn by B. Jennings)
9:56.0,Offensive foul by K. Oubre,,38-31,,
9:56.0,Turnover by K. Oubre (offensive foul),,38-31,,
9:46.0,,,38-31,,J. Calderon misses 3-pt shot from 24 ft
9:44.0,Defensive rebound by B. Jennings,,38-31,,
9:38.0,Turnover by B. Bogdanovic (bad pass; steal by K. Bazemore),,38-31,,
9:33.0,,,38-33,2,K. Bazemore makes 2-pt shot from 2 ft
9:19.0,B. Bogdanovic misses 3-pt shot from 27 ft,,38-33,,
9:17.0,,,38-33,,Defensive rebound by K. Bazemore
9:12.0,,,38-33,,T. Hardaway misses 3-pt shot from 25 ft
9:10.0,,,38-33,,Offensive rebound by J. Calderon
9:05.0,,,38-33,,Turnover by T. Hardaway (lost ball; steal by B. Bogdanovic)
9:02.0,Offensive charge foul by K. Oubre,,38-33,,
9:02.0,Turnover by K. Oubre (offensive foul),,38-33,,
9:02.0,O. Porter enters the game for K. Oubre,,38-33,,
9:02.0,,,38-33,,T. Waller-Prince enters the game for K. Bazemore
8:42.0,,,38-33,,P. Millsap misses 2-pt shot from 16 ft
8:41.0,Defensive rebound by J. Wall,,38-33,,
8:37.0,Official timeout,,38-33,,
