time,Atlanta,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. R. Lopez (D. Schroder gains possession),,,,Jump ball: D. Howard vs. R. Lopez (D. Schroder gains possession)
11:39.0,T. Hardaway makes 2-pt shot from 20 ft,2,2-0,,
11:17.0,,,2-2,2,J. Butler makes 2-pt shot from 14 ft (assist by R. Lopez)
10:59.0,E. Ilyasova makes 2-pt shot from 3 ft (assist by T. Hardaway),2,4-2,,
10:44.0,,,4-2,,R. Rondo misses 2-pt shot from 3 ft (block by D. Schroder)
10:42.0,,,4-2,,Offensive rebound by R. Rondo
10:39.0,,,4-2,,R. Lopez misses 2-pt shot from 19 ft
10:37.0,Defensive rebound by T. Hardaway,,4-2,,
10:27.0,Turnover by D. Howard (lost ball; steal by N. Mirotic),,4-2,,
10:13.0,,,4-5,3,P. Zipser makes 3-pt shot from 24 ft (assist by N. Mirotic)
9:58.0,D. Schroder misses 2-pt shot from 16 ft,,4-5,,
9:57.0,,,4-5,,Defensive rebound by R. Rondo
9:36.0,,,4-7,2,R. Lopez makes 2-pt shot from 20 ft (assist by R. Rondo)
9:13.0,D. Howard makes 2-pt shot from 18 ft (assist by D. Schroder),2,6-7,,
9:00.0,,,6-7,,R. Rondo misses 3-pt shot from 25 ft
8:59.0,Defensive rebound by T. Waller-Prince,,6-7,,
8:47.0,D. Schroder misses 2-pt shot from 19 ft,,6-7,,
8:46.0,,,6-7,,Defensive rebound by J. Butler
8:32.0,,,6-7,,Shooting foul by D. Schroder (drawn by P. Zipser)
8:32.0,,,6-8,1,P. Zipser makes free throw 1 of 2
8:32.0,,,6-9,1,P. Zipser makes free throw 2 of 2
8:12.0,T. Waller-Prince makes 2-pt shot from 2 ft (assist by T. Hardaway),2,8-9,,
7:57.0,,,8-12,3,P. Zipser makes 3-pt shot from 22 ft (assist by N. Mirotic)
7:40.0,D. Howard makes 2-pt shot from 6 ft (assist by E. Ilyasova),2,10-12,,
7:26.0,,,10-15,3,R. Rondo makes 3-pt shot from 26 ft (assist by J. Butler)
7:07.0,D. Howard misses 2-pt shot from 23 ft,,10-15,,
7:05.0,,,10-15,,Defensive rebound by P. Zipser
7:00.0,Violation by D. Schroder (kicked ball),,10-15,,
6:55.0,,,10-17,2,R. Rondo makes 2-pt shot from 2 ft
6:47.0,Atlanta full timeout,,10-17,,
6:37.0,E. Ilyasova misses 2-pt shot from 19 ft,,10-17,,
6:36.0,,,10-17,,Defensive rebound by R. Rondo
6:24.0,,,10-17,,P. Zipser misses 3-pt shot from 23 ft
6:23.0,Defensive rebound by D. Schroder,,10-17,,
6:10.0,T. Waller-Prince misses 2-pt shot from 2 ft,,10-17,,
6:09.0,,,10-17,,Defensive rebound by R. Lopez
6:07.0,,,10-17,,Turnover by R. Rondo (lost ball)
5:53.0,D. Schroder makes 2-pt shot from 16 ft,2,12-17,,
5:29.0,,,12-17,,J. Butler misses 2-pt shot from 17 ft
5:27.0,Defensive rebound by E. Ilyasova,,12-17,,
5:18.0,E. Ilyasova misses 2-pt shot from 14 ft,,12-17,,
5:16.0,,,12-17,,Defensive rebound by J. Butler
5:05.0,,,12-17,,N. Mirotic misses 2-pt shot from 1 ft
5:04.0,Defensive rebound by D. Howard,,12-17,,
4:57.0,T. Hardaway misses 3-pt shot from 25 ft,,12-17,,
4:56.0,,,12-17,,Defensive rebound by N. Mirotic
4:46.0,,,12-17,,R. Rondo misses 2-pt shot from 2 ft
4:45.0,Defensive rebound by D. Schroder,,12-17,,
4:44.0,Turnover by D. Schroder (lost ball; steal by R. Rondo),,12-17,,
4:40.0,,,12-17,,N. Mirotic misses 2-pt shot from 2 ft
4:38.0,,,12-17,,Offensive rebound by N. Mirotic
4:35.0,,,12-17,,N. Mirotic misses 2-pt shot from 19 ft
4:35.0,Defensive rebound by Team,,12-17,,
4:35.0,,,12-17,,Loose ball foul by J. Butler (drawn by D. Howard)
4:35.0,K. Bazemore enters the game for E. Ilyasova,,12-17,,
4:35.0,,,12-17,,D. Valentine enters the game for P. Zipser
4:35.0,M. Muscala enters the game for T. Waller-Prince,,12-17,,
4:35.0,,,12-17,,B. Portis enters the game for N. Mirotic
4:17.0,D. Schroder misses 3-pt shot from 25 ft,,12-17,,
4:17.0,Offensive rebound by Team,,12-17,,
4:17.0,,,12-17,,Loose ball foul by R. Rondo (drawn by M. Muscala)
4:06.0,D. Howard makes 2-pt shot from 2 ft (assist by K. Bazemore),2,14-17,,
3:53.0,,,14-19,2,R. Lopez makes 2-pt shot from 4 ft (assist by J. Butler)
3:35.0,K. Bazemore makes 3-pt shot from 24 ft (assist by D. Schroder),3,17-19,,
3:08.0,,,17-19,,R. Rondo misses 3-pt shot from 26 ft
3:07.0,,,17-19,,Offensive rebound by R. Lopez
2:53.0,,,17-19,,J. Butler misses 2-pt shot from 13 ft
