time,Cleveland,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. T. Thompson,,,,Jump ball: M. Plumlee vs. T. Thompson
11:41.0,K. Love misses 2-pt shot from 2 ft (block by M. Plumlee),,0-0,,
11:40.0,,,0-0,,Defensive rebound by A. Aminu
11:33.0,,,0-0,,Turnover by A. Aminu (lost ball)
11:18.0,K. Love misses 3-pt shot from 23 ft,,0-0,,
11:16.0,,,0-0,,Defensive rebound by Team
11:02.0,,,0-3,3,D. Lillard makes 3-pt shot from 25 ft
10:50.0,T. Thompson makes 2-pt shot from 8 ft,2,2-3,,
10:31.0,,,2-3,,M. Plumlee misses 2-pt shot from 2 ft
10:31.0,Defensive rebound by T. Thompson,,2-3,,
10:24.0,K. Love misses 3-pt shot from 23 ft,,2-3,,
10:22.0,Offensive rebound by K. Irving,,2-3,,
10:19.0,K. Love makes 3-pt shot from 25 ft (assist by K. Irving),3,5-3,,
10:08.0,,,5-5,2,C. McCollum makes 2-pt shot from 10 ft
9:53.0,L. James makes 2-pt shot from 14 ft,2,7-5,,
9:47.0,,,7-5,,C. McCollum misses 3-pt shot from 25 ft
9:46.0,Defensive rebound by L. James,,7-5,,
9:33.0,L. James misses 2-pt shot from 5 ft,,7-5,,
9:33.0,,,7-5,,Defensive rebound by M. Plumlee
9:17.0,,,7-7,2,A. Aminu makes 2-pt shot from 2 ft (assist by D. Lillard)
8:56.0,D. Liggins misses 3-pt shot from 24 ft,,7-7,,
8:55.0,,,7-7,,Defensive rebound by A. Aminu
8:47.0,,,7-9,2,A. Aminu makes 2-pt shot from 4 ft
8:22.0,K. Irving misses 2-pt shot from 20 ft,,7-9,,
8:22.0,,,7-9,,Defensive rebound by C. McCollum
8:12.0,,,7-11,2,A. Aminu makes 2-pt shot from 4 ft (assist by C. McCollum)
7:51.0,K. Love makes 2-pt shot from 16 ft,2,9-11,,
7:40.0,,,9-11,,D. Lillard misses 2-pt shot from 8 ft (block by D. Liggins)
7:40.0,,,9-11,,Offensive rebound by Team
7:30.0,,,9-13,2,A. Aminu makes 2-pt shot from 1 ft (assist by D. Lillard)
7:11.0,K. Irving misses 2-pt shot from 19 ft,,9-13,,
7:10.0,Offensive rebound by Team,,9-13,,
7:03.0,K. Love misses 2-pt shot from 2 ft (block by M. Plumlee),,9-13,,
7:03.0,,,9-13,,Defensive rebound by D. Lillard
6:59.0,,,9-13,,M. Harkless misses 2-pt shot from 2 ft (block by T. Thompson)
6:58.0,,,9-13,,Offensive rebound by M. Harkless
6:56.0,,,9-13,,M. Harkless misses 2-pt shot at rim
6:55.0,Defensive rebound by L. James,,9-13,,
6:49.0,K. Love makes 3-pt shot from 23 ft (assist by L. James),3,12-13,,
6:30.0,,,12-15,2,M. Harkless makes 2-pt shot from 2 ft (assist by M. Plumlee)
6:24.0,Turnover by K. Irving (lost ball),,12-15,,
6:06.0,,,12-15,,A. Aminu misses 2-pt shot from 11 ft
6:05.0,Defensive rebound by T. Thompson,,12-15,,
6:03.0,Turnover by T. Thompson (lost ball; steal by M. Plumlee),,12-15,,
5:48.0,,,12-15,,M. Plumlee misses 2-pt shot from 1 ft (block by L. James)
5:47.0,Defensive rebound by K. Love,,12-15,,
5:47.0,Shooting foul by A. Aminu (drawn by L. James),,12-15,,
5:47.0,,,12-15,,Portland full timeout
5:47.0,L. James makes free throw 1 of 2,1,13-15,,
5:47.0,L. James makes free throw 2 of 2,1,14-15,,
5:32.0,,,14-15,,C. McCollum misses 3-pt shot from 25 ft
5:32.0,Defensive rebound by L. James,,14-15,,
5:29.0,Shooting foul by C. McCollum (drawn by L. James),,14-15,,
5:29.0,L. James makes free throw 1 of 2,1,15-15,,
5:29.0,L. James makes free throw 2 of 2,1,16-15,,
5:29.0,,,15-15,,E. Turner enters the game for M. Harkless
5:29.0,,,15-15,,A. Crabbe enters the game for C. McCollum
5:14.0,,,16-15,,M. Plumlee misses 2-pt shot from 18 ft
5:14.0,Defensive rebound by K. Love,,16-15,,
5:03.0,K. Korver enters the game for D. Liggins,,16-15,,
4:53.0,L. James misses 2-pt shot from 16 ft,,16-15,,
4:52.0,Offensive rebound by T. Thompson,,16-15,,
4:46.0,K. Irving makes 2-pt shot from 5 ft (assist by L. James),2,18-15,,
4:30.0,,,18-17,2,A. Crabbe makes 2-pt shot from 12 ft (assist by D. Lillard)
4:18.0,K. Love misses 3-pt shot from 23 ft,,18-17,,
4:17.0,,,18-17,,Defensive rebound by A. Crabbe
4:02.0,,,18-19,2,D. Lillard makes 2-pt shot from 1 ft (assist by M. Plumlee)
3:46.0,Turnover by K. Irving (bad pass),,18-19,,
3:46.0,,,18-19,,E. Davis enters the game for M. Plumlee
3:34.0,,,18-19,,Turnover by A. Aminu (step out of bounds)
3:22.0,K. Korver misses 2-pt shot from 20 ft,,18-19,,
3:21.0,,,18-19,,Defensive rebound by A. Aminu
3:07.0,,,18-21,2,E. Turner makes 2-pt shot from 14 ft
2:53.0,K. Irving makes 2-pt shot from 1 ft,2,20-21,,
2:30.0,,,20-23,2,A. Crabbe makes 2-pt shot from 5 ft (assist by E. Davis)
2:21.0,T. Thompson misses 2-pt shot from 3 ft,,20-23,,
2:18.0,,,20-23,,Defensive rebound by E. Davis
2:10.0,,,20-23,,Shooting foul by K. Korver (drawn by A. Crabbe)
2:10.0,Cleveland full timeout,,20-23,,
2:10.0,,,20-23,,A. Crabbe misses free throw 1 of 3
2:10.0,,,20-23,,Offensive rebound by Team
2:10.0,,,20-24,1,A. Crabbe makes free throw 2 of 3
2:10.0,,,20-25,1,A. Crabbe makes free throw 3 of 3
2:10.0,R. Jefferson enters the game for L. James,,20-23,,
2:10.0,K. Felder enters the game for K. Irving,,20-23,,
1:52.0,Offensive foul by T. Thompson,,20-25,,
1:52.0,Turnover by T. Thompson (offensive foul),,20-25,,
1:34.0,,,20-25,,D. Lillard misses 3-pt shot from 27 ft
1:33.0,Defensive rebound by K. Korver,,20-25,,
1:21.0,Cleveland full timeout,,20-25,,
1:21.0,C. Frye enters the game for K. Love,,20-25,,
1:21.0,,,20-25,,C. McCollum enters the game for D. Lillard
1:11.0,K. Felder misses 2-pt shot from 7 ft (block by C. McCollum),,20-25,,
1:09.0,Offensive rebound by C. Frye,,20-25,,
1:09.0,Turnover by Team (shot clock),,20-25,,
0:51.0,,,20-25,,E. Turner misses 2-pt shot from 13 ft
0:50.0,,,20-25,,Offensive rebound by E. Davis
0:49.0,,,20-27,2,E. Davis makes 2-pt shot from 4 ft
0:40.0,K. Felder misses 2-pt shot from 9 ft,,20-27,,
0:40.0,,,20-27,,Defensive rebound by E. Turner
0:30.0,,,20-27,,C. McCollum misses 2-pt shot from 22 ft
0:30.0,,,20-27,,Offensive rebound by Team
0:30.0,Loose ball foul by C. Frye (drawn by E. Davis),,20-27,,
0:30.0,,,20-27,,M. Harkless enters the game for A. Aminu
0:21.0,,,20-27,,Turnover by E. Turner (bad pass; steal by K. Felder)
0:02.0,K. Felder misses 2-pt shot from 19 ft,,20-27,,
0:02.0,,,20-27,,Defensive rebound by C. McCollum
0:00.0,,,20-27,,C. McCollum misses 3-pt shot from 49 ft
0:00.0,,,20-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,20-27,,Offensive foul by E. Davis
11:49.0,,,20-27,,Turnover by E. Davis (offensive foul)
11:34.0,,,20-27,,Personal foul by A. Crabbe (drawn by C. Frye)
11:29.0,C. Frye makes 3-pt shot from 24 ft (assist by I. Shumpert),3,23-27,,
11:08.0,,,23-27,,E. Turner misses 2-pt shot from 15 ft
11:07.0,Defensive rebound by I. Shumpert,,23-27,,
10:52.0,C. Frye misses 2-pt shot from 6 ft,,23-27,,
10:51.0,,,23-27,,Defensive rebound by Team
10:34.0,,,23-29,2,C. McCollum makes 2-pt shot from 6 ft (assist by E. Turner)
10:23.0,Shooting foul by C. McCollum (drawn by K. Felder),,23-29,,
10:23.0,K. Felder makes free throw 1 of 2,1,24-29,,
10:23.0,K. Felder misses free throw 2 of 2,,24-29,,
10:22.0,,,24-29,,Defensive rebound by M. Harkless
10:11.0,,,24-29,,C. McCollum misses 2-pt shot from 19 ft
10:10.0,Defensive rebound by I. Shumpert,,24-29,,
10:01.0,C. Frye misses 2-pt shot from 9 ft,,24-29,,
9:58.0,,,24-29,,Defensive rebound by A. Crabbe
9:35.0,,,24-29,,M. Harkless misses 2-pt shot from 7 ft
9:33.0,,,24-29,,Offensive rebound by M. Harkless
9:31.0,,,24-29,,A. Crabbe misses 3-pt shot from 24 ft
9:30.0,,,24-29,,Offensive rebound by M. Harkless
9:26.0,,,24-29,,M. Harkless misses 2-pt shot from 5 ft (block by C. Frye)
9:25.0,Defensive rebound by R. Jefferson,,24-29,,
9:18.0,K. Korver misses 3-pt shot from 25 ft,,24-29,,
9:16.0,,,24-29,,Defensive rebound by A. Crabbe
9:04.0,,,24-31,2,C. McCollum makes 2-pt shot from 6 ft
8:52.0,Offensive foul by C. Frye,,24-31,,
8:52.0,Turnover by C. Frye (offensive foul),,24-31,,
8:52.0,Official timeout,,24-31,,
8:41.0,,,24-33,2,A. Crabbe makes 2-pt shot from 23 ft (assist by E. Davis)
8:41.0,,,24-33,,Shooting foul by K. Korver (drawn by A. Crabbe)
8:41.0,,,24-34,1,A. Crabbe makes free throw 1 of 1
8:41.0,K. Irving enters the game for K. Felder,,24-33,,
8:41.0,L. James enters the game for R. Jefferson,,24-33,,
8:22.0,Shooting foul by M. Harkless (drawn by I. Shumpert),,24-34,,
8:22.0,I. Shumpert misses free throw 1 of 2,,24-34,,
8:22.0,Offensive rebound by Team,,24-34,,
8:22.0,I. Shumpert misses free throw 2 of 2,,24-34,,
8:22.0,K. Love enters the game for C. Frye,,24-34,,
8:21.0,,,24-34,,Defensive rebound by E. Davis
8:03.0,,,24-34,,E. Davis misses 2-pt shot from 6 ft
8:02.0,Defensive rebound by K. Love,,24-34,,
7:48.0,K. Love misses 2-pt shot from 6 ft,,24-34,,
7:46.0,,,24-34,,Defensive rebound by M. Harkless
7:37.0,,,24-34,,M. Harkless misses 3-pt shot from 24 ft
7:35.0,Defensive rebound by K. Love,,24-34,,
7:29.0,K. Irving misses 2-pt shot from 2 ft,,24-34,,
7:28.0,,,24-34,,Defensive rebound by E. Davis
7:21.0,,,24-34,,C. McCollum misses 3-pt shot from 23 ft
7:21.0,Defensive rebound by K. Love,,24-34,,
7:06.0,K. Love misses 2-pt shot from 2 ft (block by C. McCollum),,24-34,,
7:05.0,,,24-34,,Defensive rebound by E. Turner
7:01.0,,,24-37,3,A. Crabbe makes 3-pt shot from 25 ft (assist by E. Turner)
6:40.0,Shooting foul by E. Davis (drawn by K. Love),,24-37,,
6:40.0,K. Love makes free throw 1 of 2,1,25-37,,
6:40.0,K. Love makes free throw 2 of 2,1,26-37,,
6:40.0,,,24-37,,D. Lillard enters the game for C. McCollum
6:40.0,,,24-37,,A. Aminu enters the game for E. Davis
6:40.0,D. Liggins enters the game for K. Korver,,24-37,,
6:21.0,,,26-37,,D. Lillard misses 3-pt shot from 28 ft
6:21.0,Defensive rebound by K. Love,,26-37,,
6:16.0,Offensive charge foul by L. James,,26-37,,
6:16.0,Turnover by L. James (offensive foul),,26-37,,
6:04.0,,,26-40,3,A. Crabbe makes 3-pt shot from 26 ft (assist by E. Turner)
