time,New Orleans,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. M. Plumlee (J. Parker gains possession),,,,Jump ball: A. Davis vs. M. Plumlee (J. Parker gains possession)
11:46.0,,,0-0,,Shooting foul by T. Frazier (drawn by M. Dellavedova)
11:46.0,,,0-2,2,M. Dellavedova makes 2-pt shot from 2 ft (assist by G. Antetokounmpo)
11:46.0,,,0-3,1,M. Dellavedova makes free throw 1 of 1
11:27.0,T. Jones misses 2-pt shot from 5 ft,,0-3,,
11:26.0,,,0-3,,Defensive rebound by G. Antetokounmpo
11:21.0,,,0-3,,Turnover by G. Antetokounmpo (lost ball; steal by D. Cunningham)
11:15.0,E. Moore misses 2-pt shot from 1 ft,,0-3,,
11:13.0,Offensive rebound by T. Jones,,0-3,,
11:13.0,T. Jones misses 2-pt shot from 1 ft,,0-3,,
11:12.0,,,0-3,,Defensive rebound by J. Parker
11:04.0,,,0-5,2,G. Antetokounmpo makes 2-pt shot from 17 ft (assist by M. Dellavedova)
10:59.0,New Orleans full timeout,,0-5,,
10:41.0,T. Frazier makes 3-pt shot from 26 ft (assist by A. Davis),3,3-5,,
10:11.0,,,3-5,,M. Dellavedova misses 2-pt shot from 14 ft
10:10.0,Defensive rebound by D. Cunningham,,3-5,,
9:58.0,D. Cunningham misses 3-pt shot from 24 ft,,3-5,,
9:57.0,,,3-5,,Defensive rebound by T. Snell
9:48.0,,,3-5,,J. Parker misses 2-pt shot from 6 ft
9:47.0,Defensive rebound by E. Moore,,3-5,,
9:36.0,D. Cunningham makes 2-pt shot from 18 ft (assist by E. Moore),2,5-5,,
9:19.0,,,5-5,,M. Plumlee misses 2-pt shot at rim (block by D. Cunningham)
9:17.0,Defensive rebound by T. Frazier,,5-5,,
9:11.0,E. Moore misses 3-pt shot from 26 ft,,5-5,,
9:10.0,,,5-5,,Defensive rebound by J. Parker
9:00.0,,,5-7,2,J. Parker makes 2-pt shot from 21 ft (assist by M. Dellavedova)
8:42.0,E. Moore misses 2-pt shot from 8 ft,,5-7,,
8:41.0,,,5-7,,Defensive rebound by G. Antetokounmpo
8:32.0,,,5-7,,T. Snell misses 3-pt shot from 23 ft
8:31.0,Defensive rebound by T. Jones,,5-7,,
8:21.0,A. Davis misses 2-pt shot from 19 ft,,5-7,,
8:19.0,,,5-7,,Defensive rebound by G. Antetokounmpo
8:12.0,,,5-7,,Turnover by G. Antetokounmpo (bad pass; steal by A. Davis)
8:06.0,E. Moore misses 3-pt shot from 24 ft,,5-7,,
8:04.0,,,5-7,,Defensive rebound by J. Parker
7:50.0,,,5-7,,G. Antetokounmpo misses 2-pt shot from 4 ft
7:48.0,Defensive rebound by D. Cunningham,,5-7,,
7:41.0,Turnover by A. Davis (lost ball),,5-7,,
7:24.0,,,5-10,3,J. Parker makes 3-pt shot from 24 ft (assist by M. Dellavedova)
7:03.0,T. Frazier makes 3-pt shot from 27 ft (assist by E. Moore),3,8-10,,
6:54.0,,,8-12,2,G. Antetokounmpo makes 2-pt shot from 6 ft
6:54.0,Shooting block foul by D. Cunningham (drawn by G. Antetokounmpo),,8-12,,
6:54.0,,,8-13,1,G. Antetokounmpo makes free throw 1 of 1
6:28.0,E. Moore makes 2-pt shot from 5 ft (assist by D. Cunningham),2,10-13,,
6:14.0,,,10-13,,Turnover by G. Antetokounmpo (lost ball; steal by T. Frazier)
6:09.0,E. Moore misses 2-pt shot from 1 ft (block by G. Antetokounmpo),,10-13,,
6:05.0,Offensive rebound by A. Davis,,10-13,,
6:05.0,A. Davis makes 2-pt shot at rim,2,12-13,,
5:53.0,,,12-15,2,M. Dellavedova makes 2-pt shot from 6 ft
5:35.0,A. Davis misses 2-pt shot from 8 ft,,12-15,,
5:34.0,Offensive rebound by A. Davis,,12-15,,
5:26.0,T. Frazier misses 2-pt shot from 16 ft,,12-15,,
5:25.0,,,12-15,,Defensive rebound by J. Parker
5:20.0,,,12-17,2,J. Parker makes 2-pt shot from 16 ft
4:57.0,T. Jones makes 2-pt shot from 6 ft,2,14-17,,
4:42.0,,,14-17,,J. Parker misses 3-pt shot from 27 ft
4:41.0,,,14-17,,Offensive rebound by G. Antetokounmpo
4:38.0,,,14-17,,G. Antetokounmpo misses 2-pt shot from 1 ft
4:36.0,Defensive rebound by T. Jones,,14-17,,
4:28.0,D. Cunningham misses 3-pt shot from 26 ft,,14-17,,
4:28.0,,,14-17,,Defensive rebound by M. Dellavedova
4:28.0,,,14-17,,Milwaukee full timeout
4:28.0,,,14-17,,M. Teletovic enters the game for G. Antetokounmpo
4:28.0,,,14-17,,G. Monroe enters the game for M. Plumlee
4:28.0,O. Asik enters the game for D. Cunningham,,14-17,,
4:28.0,S. Hill enters the game for T. Jones,,14-17,,
4:28.0,B. Hield enters the game for E. Moore,,14-17,,
4:10.0,,,14-19,2,J. Parker makes 2-pt shot at rim
3:52.0,B. Hield makes 3-pt shot from 26 ft (assist by T. Frazier),3,17-19,,
3:29.0,,,17-19,,M. Teletovic misses 2-pt shot from 18 ft
3:28.0,Defensive rebound by O. Asik,,17-19,,
3:18.0,A. Davis makes 2-pt shot at rim (assist by T. Frazier),2,19-19,,
2:58.0,,,19-19,,Shooting foul by O. Asik (drawn by M. Teletovic)
2:58.0,,,19-20,1,M. Teletovic makes free throw 1 of 2
2:58.0,,,19-21,1,M. Teletovic makes free throw 2 of 2
2:58.0,,,19-20,,M. Brogdon enters the game for M. Dellavedova
2:37.0,Turnover by S. Hill (bad pass; steal by G. Monroe),,19-21,,
2:27.0,,,19-23,2,J. Parker makes 2-pt shot from 1 ft (assist by G. Monroe)
2:20.0,New Orleans full timeout,,19-23,,
2:20.0,,,19-23,,R. Vaughn enters the game for T. Snell
2:12.0,,,19-23,,Personal foul by G. Monroe (drawn by A. Davis)
2:04.0,A. Davis makes 2-pt shot from 9 ft (assist by S. Hill),2,21-23,,
2:04.0,Shooting foul by M. Teletovic (drawn by A. Davis),,21-23,,
2:04.0,A. Davis makes free throw 1 of 1,1,22-23,,
2:04.0,L. Galloway enters the game for T. Frazier,,21-23,,
1:44.0,,,22-23,,R. Vaughn misses 3-pt shot from 30 ft
1:43.0,Defensive rebound by L. Galloway,,22-23,,
1:28.0,B. Hield misses 3-pt shot from 24 ft,,22-23,,
1:26.0,,,22-23,,Defensive rebound by R. Vaughn
1:16.0,,,22-23,,G. Monroe misses 2-pt shot from 4 ft
1:14.0,Defensive rebound by S. Hill,,22-23,,
0:59.0,S. Hill makes 2-pt shot at rim (assist by A. Davis),2,24-23,,
0:38.0,,,24-25,2,R. Vaughn makes 2-pt shot from 1 ft (assist by M. Teletovic)
0:28.0,S. Hill misses 3-pt shot from 27 ft,,24-25,,
0:26.0,,,24-25,,Defensive rebound by G. Monroe
0:06.0,,,24-27,2,M. Brogdon makes 2-pt shot from 3 ft
0:01.0,S. Hill makes 2-pt shot from 1 ft,2,26-27,,
0:00.0,,,26-27,,J. Parker misses 3-pt shot from 62 ft
0:00.0,,,26-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,L. Galloway misses 2-pt shot at rim,,26-27,,
11:44.0,,,26-27,,Defensive rebound by M. Teletovic
11:36.0,,,26-27,,Turnover by M. Brogdon (bad pass)
11:15.0,O. Asik makes 2-pt shot at rim (assist by S. Hill),2,28-27,,
11:15.0,Shooting foul by M. Teletovic (drawn by O. Asik),,28-27,,
11:15.0,O. Asik makes free throw 1 of 1,1,29-27,,
11:15.0,,,28-27,,M. Beasley enters the game for M. Teletovic
11:08.0,,,29-29,2,M. Brogdon makes 2-pt shot at rim
10:46.0,L. Galloway misses 2-pt shot from 21 ft,,29-29,,
10:45.0,,,29-29,,Defensive rebound by M. Beasley
10:28.0,,,29-29,,G. Monroe misses 2-pt shot from 16 ft
10:27.0,Defensive rebound by B. Hield,,29-29,,
10:12.0,B. Hield makes 3-pt shot from 27 ft (assist by S. Hill),3,32-29,,
9:59.0,,,32-32,3,M. Beasley makes 3-pt shot from 23 ft (assist by M. Brogdon)
9:46.0,L. Galloway makes 3-pt shot from 26 ft (assist by S. Hill),3,35-32,,
9:29.0,,,35-32,,G. Antetokounmpo misses 2-pt shot from 20 ft
9:27.0,Defensive rebound by L. Galloway,,35-32,,
9:18.0,L. Galloway misses 2-pt shot from 1 ft,,35-32,,
9:15.0,Offensive rebound by O. Asik,,35-32,,
9:14.0,O. Asik makes 2-pt shot at rim,2,37-32,,
8:58.0,,,37-32,,R. Vaughn misses 2-pt shot from 4 ft
8:56.0,,,37-32,,Offensive rebound by G. Antetokounmpo
8:55.0,,,37-34,2,G. Antetokounmpo makes 2-pt shot at rim
8:36.0,Shooting foul by G. Antetokounmpo (drawn by T. Jones),,37-34,,
8:36.0,Official timeout,,37-34,,
8:36.0,T. Jones makes free throw 1 of 2,1,38-34,,
8:36.0,T. Jones makes free throw 2 of 2,1,39-34,,
8:22.0,,,39-34,,M. Beasley misses 2-pt shot from 16 ft
8:21.0,Defensive rebound by L. Galloway,,39-34,,
8:10.0,Turnover by B. Hield (bad pass; steal by G. Antetokounmpo),,39-34,,
8:05.0,,,39-36,2,G. Antetokounmpo makes 2-pt shot from 1 ft
7:56.0,O. Asik misses 2-pt shot at rim,,39-36,,
7:54.0,,,39-36,,Defensive rebound by M. Beasley
7:46.0,,,39-38,2,R. Vaughn makes 2-pt shot at rim
7:29.0,B. Hield misses 3-pt shot from 27 ft,,39-38,,
7:28.0,,,39-38,,Defensive rebound by M. Beasley
7:24.0,,,39-40,2,G. Monroe makes 2-pt shot from 1 ft (assist by M. Brogdon)
7:16.0,New Orleans full timeout,,39-40,,
7:16.0,T. Frazier enters the game for B. Hield,,39-40,,
7:16.0,D. Cunningham enters the game for S. Hill,,39-40,,
7:16.0,E. Moore enters the game for L. Galloway,,39-40,,
7:16.0,A. Davis enters the game for O. Asik,,39-40,,
7:06.0,A. Davis misses 2-pt shot from 5 ft,,39-40,,
7:04.0,,,39-40,,Defensive rebound by M. Brogdon
6:42.0,,,39-42,2,G. Monroe makes 2-pt shot from 16 ft (assist by M. Beasley)
6:29.0,D. Cunningham makes 3-pt shot from 27 ft (assist by T. Frazier),3,42-42,,
