time,Detroit,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. R. Lopez,,,,Jump ball: A. Drummond vs. R. Lopez
11:45.0,,,0-2,2,D. Wade makes 2-pt shot from 6 ft
11:33.0,Turnover by T. Harris (bad pass; steal by J. Butler),,0-2,,
11:20.0,,,0-2,,R. Lopez misses 2-pt shot from 6 ft
11:19.0,Defensive rebound by T. Harris,,0-2,,
10:58.0,A. Drummond misses 2-pt shot from 11 ft,,0-2,,
10:57.0,,,0-2,,Defensive rebound by T. Gibson
10:47.0,,,0-4,2,T. Gibson makes 2-pt shot from 16 ft (assist by D. Wade)
10:31.0,K. Caldwell-Pope misses 2-pt shot from 18 ft,,0-4,,
10:30.0,,,0-4,,Defensive rebound by R. Rondo
10:15.0,,,0-6,2,R. Lopez makes 2-pt shot from 15 ft (assist by J. Butler)
9:51.0,T. Harris misses 3-pt shot from 24 ft,,0-6,,
9:51.0,,,0-6,,Defensive rebound by R. Rondo
9:42.0,Personal foul by R. Jackson (drawn by R. Rondo),,0-6,,
9:37.0,,,0-8,2,J. Butler makes 2-pt shot from 21 ft (assist by R. Rondo)
9:13.0,T. Harris misses 2-pt shot from 1 ft,,0-8,,
9:12.0,Offensive rebound by A. Drummond,,0-8,,
9:12.0,A. Drummond makes 2-pt shot from 2 ft,2,2-8,,
8:51.0,,,2-10,2,D. Wade makes 2-pt shot from 6 ft (assist by J. Butler)
8:33.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,2-10,,
8:32.0,,,2-10,,Defensive rebound by R. Rondo
8:12.0,,,2-12,2,R. Lopez makes 2-pt shot from 10 ft (assist by J. Butler)
8:05.0,Detroit full timeout,,2-12,,
7:50.0,Turnover by M. Morris (bad pass; steal by R. Rondo),,2-12,,
7:46.0,,,2-14,2,D. Wade makes 2-pt shot from 2 ft (assist by R. Rondo)
7:32.0,T. Harris makes 2-pt shot from 9 ft (assist by R. Jackson),2,4-14,,
7:17.0,,,4-14,,R. Rondo misses 2-pt shot from 9 ft
7:17.0,,,4-14,,Offensive rebound by R. Lopez
7:14.0,,,4-16,2,R. Lopez makes 2-pt shot at rim (assist by J. Butler)
6:58.0,T. Harris makes 2-pt shot from 9 ft (assist by M. Morris),2,6-16,,
6:38.0,,,6-16,,D. Wade misses 2-pt shot from 12 ft (block by K. Caldwell-Pope)
6:36.0,,,6-16,,Offensive rebound by R. Lopez
6:33.0,,,6-18,2,T. Gibson makes 2-pt shot from 7 ft (assist by R. Rondo)
6:06.0,M. Morris misses 3-pt shot from 25 ft,,6-18,,
