time,Utah,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. T. Mozgov (B. Ingram gains possession),,,,Jump ball: R. Gobert vs. T. Mozgov (B. Ingram gains possession)
11:44.0,,,0-0,,T. Mozgov misses 2-pt shot from 19 ft
11:43.0,Defensive rebound by B. Diaw,,0-0,,
11:24.0,G. Hayward makes 3-pt shot from 24 ft (assist by R. Hood),3,3-0,,
11:07.0,,,3-0,,L. Deng misses 2-pt shot at rim
11:03.0,,,3-0,,Offensive rebound by L. Deng
11:03.0,,,3-0,,L. Deng misses 2-pt shot from 1 ft
11:00.0,Defensive rebound by R. Gobert,,3-0,,
10:52.0,G. Hayward misses 3-pt shot from 25 ft,,3-0,,
10:52.0,Offensive rebound by Team,,3-0,,
10:49.0,D. Exum makes 2-pt shot from 20 ft (assist by G. Hayward),2,5-0,,
10:34.0,,,5-0,,J. Randle misses 2-pt shot from 20 ft
10:32.0,Defensive rebound by G. Hayward,,5-0,,
10:22.0,R. Hood misses 3-pt shot from 25 ft,,5-0,,
10:20.0,,,5-0,,Defensive rebound by J. Randle
10:12.0,,,5-0,,M. World Peace misses 2-pt shot from 22 ft
10:10.0,,,5-0,,Offensive rebound by T. Mozgov
10:10.0,,,5-0,,Shooting foul by D. Exum (drawn by T. Mozgov)
10:10.0,,,5-0,,T. Mozgov misses free throw 1 of 2
10:10.0,,,5-0,,Offensive rebound by Team
10:10.0,,,5-1,1,T. Mozgov makes free throw 2 of 2
10:00.0,,,5-1,,Personal foul by B. Ingram (drawn by R. Gobert)
9:51.0,D. Exum makes 3-pt shot from 24 ft (assist by R. Hood),3,8-1,,
9:33.0,,,8-3,2,M. World Peace makes 2-pt shot from 1 ft
9:10.0,B. Diaw makes 2-pt shot from 1 ft,2,10-3,,
8:55.0,,,10-3,,M. World Peace misses 2-pt shot from 4 ft (block by R. Gobert)
8:53.0,Defensive rebound by G. Hayward,,10-3,,
8:48.0,R. Gobert makes 2-pt shot from 1 ft (assist by B. Diaw),2,12-3,,
8:16.0,,,12-3,,J. Randle misses 2-pt shot from 19 ft
8:14.0,Defensive rebound by R. Gobert,,12-3,,
8:05.0,Turnover by D. Exum (bad pass; steal by J. Randle),,12-3,,
8:01.0,,,12-5,2,L. Deng makes 2-pt shot from 2 ft (assist by M. World Peace)
8:01.0,,,12-5,,Shooting foul by B. Diaw (drawn by L. Deng)
8:01.0,,,12-6,1,L. Deng makes free throw 1 of 1
7:42.0,D. Exum makes 2-pt shot from 2 ft (assist by G. Hayward),2,14-6,,
7:19.0,,,14-6,,B. Ingram misses 2-pt shot from 5 ft
7:16.0,,,14-6,,Offensive rebound by J. Randle
7:16.0,,,14-6,,B. Ingram misses 3-pt shot from 24 ft
7:16.0,,,14-6,,Offensive rebound by Team
7:16.0,,,14-6,,Turnover by Team (shot clock)
6:59.0,Shooting foul by T. Mozgov (drawn by R. Gobert),,14-6,,
6:59.0,G. Hayward misses free throw 1 of 2,,14-6,,
6:59.0,Offensive rebound by Team,,14-6,,
6:59.0,G. Hayward makes free throw 2 of 2,1,15-6,,
6:59.0,,,14-6,,J. Clarkson enters the game for M. World Peace
6:39.0,,,15-8,2,T. Mozgov makes 2-pt shot from 5 ft
6:16.0,R. Hood misses 3-pt shot from 24 ft,,15-8,,
6:15.0,Offensive rebound by R. Gobert,,15-8,,
6:08.0,R. Hood makes 2-pt shot at rim,2,17-8,,
5:55.0,,,17-8,,LA Lakers full timeout
5:55.0,,,17-8,,L. Williams enters the game for L. Deng
5:55.0,J. Johnson enters the game for G. Hayward,,17-8,,
5:55.0,T. Lyles enters the game for B. Diaw,,17-8,,
5:45.0,Personal foul by J. Johnson (drawn by B. Ingram),,17-8,,
5:35.0,,,17-11,3,L. Williams makes 3-pt shot from 25 ft (assist by J. Randle)
5:35.0,Away from play foul by D. Exum (drawn by T. Mozgov),,17-11,,
5:35.0,,,17-12,1,T. Mozgov makes free throw 1 of 1
5:35.0,R. Hood misses 2-pt shot from 23 ft,,17-12,,
5:35.0,,,17-12,,Offensive rebound by B. Ingram
5:35.0,S. Mack enters the game for D. Exum,,17-11,,
4:59.0,,,17-14,2,T. Mozgov makes 2-pt shot from 16 ft (assist by L. Williams)
4:54.0,Turnover by S. Mack (bad pass; steal by J. Randle),,17-14,,
4:52.0,,,17-16,2,J. Randle makes 2-pt shot at rim
4:52.0,Utah full timeout,,17-16,,
4:36.0,T. Lyles misses 2-pt shot from 18 ft,,17-16,,
4:35.0,,,17-16,,Defensive rebound by Team
4:21.0,,,17-18,2,T. Mozgov makes 2-pt shot from 17 ft (assist by L. Williams)
3:55.0,T. Lyles makes 2-pt shot from 7 ft (assist by S. Mack),2,19-18,,
3:41.0,,,19-18,,Turnover by J. Clarkson (traveling)
3:27.0,R. Gobert misses 2-pt shot from 1 ft,,19-18,,
3:23.0,,,19-18,,Defensive rebound by T. Mozgov
3:12.0,,,19-18,,J. Clarkson misses 3-pt shot from 26 ft
3:10.0,Defensive rebound by R. Gobert,,19-18,,
2:54.0,T. Lyles misses 3-pt shot from 25 ft,,19-18,,
2:53.0,,,19-18,,Defensive rebound by J. Randle
2:46.0,,,19-21,3,L. Williams makes 3-pt shot from 26 ft (assist by B. Ingram)
2:27.0,J. Johnson misses 3-pt shot from 25 ft,,19-21,,
2:25.0,,,19-21,,Defensive rebound by J. Randle
2:22.0,,,19-21,,Shooting foul by S. Mack (drawn by J. Randle)
2:22.0,,,19-21,,J. Randle misses free throw 1 of 2
2:22.0,,,19-21,,Offensive rebound by Team
2:22.0,,,19-22,1,J. Randle makes free throw 2 of 2
2:22.0,G. Hayward enters the game for R. Hood,,19-21,,
2:22.0,,,19-21,,T. Black enters the game for T. Mozgov
1:57.0,S. Mack makes 3-pt shot from 22 ft (assist by G. Hayward),3,22-22,,
1:43.0,,,22-22,,J. Clarkson misses 2-pt shot from 13 ft
1:41.0,Defensive rebound by J. Johnson,,22-22,,
1:22.0,G. Hayward misses 2-pt shot from 12 ft,,22-22,,
1:19.0,Offensive rebound by R. Gobert,,22-22,,
1:17.0,R. Gobert misses 2-pt shot from 2 ft (block by B. Ingram),,22-22,,
1:12.0,,,22-22,,Defensive rebound by J. Clarkson
1:09.0,,,22-24,2,J. Clarkson makes 2-pt shot from 13 ft
0:59.0,G. Hayward makes 2-pt shot at rim (assist by J. Johnson),2,24-24,,
0:59.0,,,24-24,,LA Lakers full timeout
0:59.0,,,24-24,,L. Deng enters the game for J. Randle
0:59.0,J. Withey enters the game for R. Gobert,,24-24,,
0:47.0,,,24-24,,L. Williams misses 3-pt shot from 26 ft
0:42.0,Defensive rebound by J. Withey,,24-24,,
0:34.0,Shooting foul by J. Clarkson (drawn by G. Hayward),,24-24,,
0:34.0,G. Hayward makes free throw 1 of 2,1,25-24,,
0:34.0,G. Hayward makes free throw 2 of 2,1,26-24,,
0:21.0,,,26-24,,L. Williams misses 2-pt shot from 1 ft
0:21.0,,,26-24,,Offensive rebound by T. Black
0:21.0,,,26-26,2,T. Black makes 2-pt shot at rim
0:01.0,T. Lyles misses 2-pt shot from 16 ft,,26-26,,
0:00.0,Offensive rebound by Team,,26-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,Turnover by T. Lyles (bad pass),,26-26,,
11:37.0,,,26-26,,M. Huertas misses 2-pt shot from 15 ft
11:34.0,Defensive rebound by J. Johnson,,26-26,,
11:23.0,Turnover by J. Withey (lost ball; steal by L. Deng),,26-26,,
11:17.0,,,26-26,,Shooting foul by T. Lyles
11:17.0,,,26-28,2,L. Williams makes 2-pt shot from 14 ft (assist by M. Huertas)
11:17.0,,,26-29,1,L. Williams makes free throw 1 of 1
10:58.0,J. Withey makes 2-pt shot from 13 ft (assist by S. Mack),2,28-29,,
10:39.0,,,28-29,,L. Deng misses 2-pt shot from 1 ft
10:38.0,,,28-29,,Offensive rebound by T. Black
10:36.0,,,28-31,2,T. Black makes 2-pt shot at rim
10:12.0,S. Mack makes 3-pt shot from 24 ft,3,31-31,,
10:01.0,,,31-31,,Turnover by L. Williams (bad pass; steal by G. Hayward)
