time,Atlanta,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. J. Valanciunas (D. Carroll gains possession),,,,Jump ball: D. Howard vs. J. Valanciunas (D. Carroll gains possession)
11:43.0,,,0-2,2,D. DeRozan makes 2-pt shot from 11 ft
11:27.0,K. Korver misses 2-pt shot from 18 ft,,0-2,,
11:27.0,Offensive rebound by Team,,0-2,,
11:27.0,,,0-2,,Loose ball foul by J. Valanciunas (drawn by D. Howard)
11:23.0,K. Bazemore makes 2-pt shot from 2 ft (assist by K. Korver),2,2-2,,
11:04.0,Violation by D. Howard (def goaltending),,2-2,,
11:04.0,,,2-4,2,D. DeRozan makes 2-pt shot from 7 ft
11:04.0,,,2-4,,Shooting foul by K. Bazemore (drawn by D. DeRozan)
11:04.0,,,2-4,,D. DeRozan misses free throw 1 of 1
11:02.0,Defensive rebound by K. Bazemore,,2-4,,
10:43.0,D. Howard misses 2-pt shot from 16 ft,,2-4,,
10:42.0,,,2-4,,Defensive rebound by K. Lowry
10:28.0,,,2-6,2,P. Siakam makes 2-pt shot from 3 ft
10:20.0,M. Muscala makes 2-pt shot from 4 ft (assist by D. Schroder),2,4-6,,
10:07.0,,,4-6,,Offensive charge foul by J. Valanciunas
10:07.0,,,4-6,,Turnover by J. Valanciunas (offensive foul)
10:07.0,,,4-6,,L. Nogueira enters the game for J. Valanciunas
10:07.0,M. Delaney enters the game for D. Schroder,,4-6,,
9:52.0,D. Howard misses 2-pt shot from 7 ft,,4-6,,
9:51.0,,,4-6,,Defensive rebound by K. Lowry
9:32.0,,,4-6,,Turnover by D. DeRozan (bad pass; steal by M. Muscala)
9:26.0,K. Bazemore makes 2-pt shot from 16 ft,2,6-6,,
9:01.0,,,6-6,,K. Lowry misses 2-pt shot from 1 ft
9:01.0,Defensive rebound by M. Muscala,,6-6,,
9:00.0,Turnover by M. Delaney (step out of bounds),,6-6,,
9:00.0,D. Schroder enters the game for M. Delaney,,6-6,,
8:48.0,,,6-8,2,K. Lowry makes 2-pt shot from 23 ft
8:35.0,D. Schroder makes 2-pt shot from 12 ft,2,8-8,,
8:25.0,,,8-8,,Turnover by K. Lowry (bad pass; steal by M. Muscala)
8:17.0,D. Schroder makes 2-pt shot from 2 ft,2,10-8,,
8:17.0,Shooting foul by P. Siakam (drawn by D. Schroder),,10-8,,
8:17.0,D. Schroder makes free throw 1 of 1,1,11-8,,
7:53.0,,,11-8,,Turnover by Team (shot clock)
7:37.0,D. Schroder makes 2-pt shot from 6 ft,2,13-8,,
7:18.0,,,13-8,,D. Carroll misses 2-pt shot from 7 ft
7:18.0,Defensive rebound by D. Howard,,13-8,,
7:06.0,D. Howard misses 2-pt shot from 6 ft,,13-8,,
7:05.0,,,13-8,,Defensive rebound by D. Carroll
7:00.0,,,13-8,,Shooting foul by D. Howard (drawn by D. DeRozan)
7:00.0,,,13-9,1,D. DeRozan makes free throw 1 of 2
7:00.0,,,13-10,1,D. DeRozan makes free throw 2 of 2
7:00.0,M. Scott enters the game for D. Howard,,13-9,,
7:00.0,T. Sefolosha enters the game for K. Bazemore,,13-9,,
6:49.0,D. Schroder misses 2-pt shot from 16 ft,,13-10,,
6:49.0,,,13-10,,Defensive rebound by L. Nogueira
6:36.0,,,13-12,2,D. DeRozan makes 2-pt shot from 3 ft
6:25.0,M. Muscala misses 3-pt shot from 25 ft,,13-12,,
6:25.0,,,13-12,,Defensive rebound by P. Siakam
6:14.0,,,13-12,,D. DeRozan misses 2-pt shot from 8 ft
6:13.0,,,13-12,,Offensive rebound by P. Siakam
6:10.0,,,13-14,2,P. Siakam makes 2-pt shot from 2 ft
5:50.0,T. Sefolosha misses 2-pt shot from 16 ft,,13-14,,
5:50.0,,,13-14,,Defensive rebound by K. Lowry
5:37.0,,,13-14,,Shooting foul by M. Muscala (drawn by D. DeRozan)
5:37.0,,,13-14,,Toronto full timeout
5:37.0,,,13-15,1,D. DeRozan makes free throw 1 of 2
5:37.0,,,13-16,1,D. DeRozan makes free throw 2 of 2
5:24.0,M. Scott misses 3-pt shot from 24 ft,,13-16,,
5:22.0,Offensive rebound by T. Sefolosha,,13-16,,
