time,Orlando,pts.away,score,pts.home,Boston
2:45.0,D. Rudez makes 3-pt shot from 25 ft (assist by M. Hezonja),3,91-125,,
2:25.0,,,91-125,,T. Rozier misses 3-pt shot from 26 ft
2:24.0,Defensive rebound by A. Brown,,91-125,,
2:16.0,,,91-125,,Violation by J. Mickey (kicked ball)
2:16.0,,,91-125,,Boston full timeout
2:16.0,,,91-125,,J. Brown enters the game for T. Rozier
2:05.0,B. Biyombo misses 2-pt shot from 8 ft,,91-125,,
2:04.0,,,91-125,,Defensive rebound by J. Mickey
1:53.0,,,91-125,,G. Green misses 3-pt shot from 24 ft
1:52.0,Defensive rebound by A. Brown,,91-125,,
1:36.0,M. Hezonja makes 2-pt shot from 15 ft (assist by C. Watson),2,93-125,,
1:18.0,,,93-125,,J. Brown misses 3-pt shot from 24 ft
1:17.0,Defensive rebound by M. Hezonja,,93-125,,
1:07.0,B. Biyombo makes 2-pt shot from 9 ft (assist by M. Hezonja),2,95-125,,
0:52.0,,,95-128,3,J. Young makes 3-pt shot from 27 ft (assist by J. Brown)
0:32.0,C. Watson misses 3-pt shot from 25 ft,,95-128,,
0:31.0,,,95-128,,Defensive rebound by J. Young
0:11.0,,,95-128,,J. Mickey misses 3-pt shot from 23 ft
0:11.0,Defensive rebound by A. Brown,,95-128,,
0:03.0,M. Hezonja makes 3-pt shot from 29 ft (assist by D. Rudez),3,98-128,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
