time,Orlando,pts.away,score,pts.home,Boston
1:10.0,,,24-35,2,K. Olynyk makes 2-pt shot from 1 ft (assist by T. Zeller)
0:52.0,D. Augustin misses 2-pt shot from 2 ft,,24-35,,
0:52.0,Offensive rebound by Team,,24-35,,
0:52.0,D. Rudez enters the game for A. Gordon,,24-35,,
0:52.0,Jump ball: B. Biyombo vs. K. Olynyk (D. Augustin gains possession),,,,Jump ball: B. Biyombo vs. K. Olynyk (D. Augustin gains possession)
0:45.0,M. Hezonja misses 3-pt shot from 23 ft,,24-35,,
0:43.0,,,24-35,,Defensive rebound by J. Brown
0:39.0,,,24-37,2,T. Zeller makes 2-pt shot from 1 ft (assist by M. Smart)
0:22.0,J. Green misses 2-pt shot from 20 ft,,24-37,,
0:20.0,,,24-37,,Defensive rebound by K. Olynyk
0:05.0,Personal foul by D. Augustin (drawn by T. Rozier),,24-37,,
0:00.0,,,24-39,2,T. Zeller makes 2-pt shot from 7 ft (assist by M. Smart)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,24-41,2,T. Zeller makes 2-pt shot from 1 ft (assist by T. Rozier)
11:18.0,B. Biyombo misses 2-pt shot from 2 ft,,24-41,,
11:17.0,,,24-41,,Defensive rebound by K. Olynyk
11:04.0,,,24-41,,G. Green misses 2-pt shot from 20 ft
11:02.0,Defensive rebound by B. Biyombo,,24-41,,
10:58.0,B. Biyombo misses 2-pt shot from 4 ft,,24-41,,
10:57.0,Offensive rebound by J. Green,,24-41,,
10:57.0,,,24-41,,Personal foul by G. Green (drawn by J. Green)
10:57.0,J. Green makes free throw 1 of 2,1,25-41,,
10:57.0,J. Green makes free throw 2 of 2,1,26-41,,
10:35.0,,,26-43,2,T. Rozier makes 2-pt shot from 3 ft (assist by M. Smart)
10:16.0,M. Hezonja misses 2-pt shot from 11 ft,,26-43,,
10:14.0,,,26-43,,Defensive rebound by G. Green
10:03.0,,,26-45,2,K. Olynyk makes 2-pt shot from 1 ft (assist by M. Smart)
9:46.0,D. Rudez makes 3-pt shot from 25 ft (assist by D. Augustin),3,29-45,,
9:35.0,,,29-45,,Turnover by M. Smart (lost ball; steal by D. Rudez)
9:23.0,J. Green misses 2-pt shot from 1 ft,,29-45,,
9:21.0,Offensive rebound by J. Green,,29-45,,
9:12.0,,,29-45,,Personal block foul by T. Zeller (drawn by B. Biyombo)
9:12.0,,,29-45,,J. Jerebko enters the game for T. Zeller
9:02.0,B. Biyombo makes 2-pt shot at rim (assist by D. Augustin),2,31-45,,
9:02.0,Shooting foul by J. Jerebko (drawn by B. Biyombo),,31-45,,
9:02.0,B. Biyombo misses free throw 1 of 1,,31-45,,
9:02.0,,,31-45,,Defensive rebound by K. Olynyk
8:47.0,,,31-45,,M. Smart misses 3-pt shot from 26 ft
8:44.0,Defensive rebound by J. Green,,31-45,,
8:38.0,J. Green misses 3-pt shot from 25 ft,,31-45,,
8:37.0,,,31-45,,Defensive rebound by K. Olynyk
8:23.0,,,31-47,2,G. Green makes 2-pt shot from 6 ft
8:08.0,Turnover by D. Augustin (bad pass),,31-47,,
8:08.0,Official timeout,,31-47,,
7:51.0,,,31-49,2,K. Olynyk makes 2-pt shot at rim (assist by M. Smart)
7:36.0,B. Biyombo makes 2-pt shot at rim (assist by M. Hezonja),2,33-49,,
7:20.0,,,33-49,,T. Rozier misses 3-pt shot from 24 ft
7:19.0,,,33-49,,Offensive rebound by T. Rozier
7:16.0,,,33-49,,G. Green misses 2-pt shot from 4 ft
7:15.0,Defensive rebound by B. Biyombo,,33-49,,
7:01.0,D. Augustin misses 2-pt shot from 18 ft,,33-49,,
6:59.0,,,33-49,,Defensive rebound by K. Olynyk
6:48.0,,,33-52,3,K. Olynyk makes 3-pt shot from 25 ft (assist by M. Smart)
6:24.0,Offensive charge foul by J. Green,,33-52,,
6:24.0,Turnover by J. Green (offensive foul),,33-52,,
6:24.0,,,33-52,,I. Thomas enters the game for M. Smart
6:24.0,C. Watson enters the game for D. Augustin,,33-52,,
6:24.0,E. Payton enters the game for M. Hezonja,,33-52,,
6:03.0,,,33-52,,I. Thomas misses 3-pt shot from 27 ft
6:02.0,Defensive rebound by E. Payton,,33-52,,
5:57.0,C. Watson makes 2-pt shot from 2 ft (assist by E. Payton),2,35-52,,
5:32.0,,,35-52,,J. Jerebko misses 2-pt shot from 20 ft
5:31.0,Defensive rebound by B. Biyombo,,35-52,,
5:26.0,,,35-52,,Personal foul by G. Green (drawn by B. Biyombo)
5:26.0,,,35-52,,Boston full timeout
5:26.0,S. Ibaka enters the game for J. Green,,35-52,,
5:26.0,A. Gordon enters the game for B. Biyombo,,35-52,,
5:26.0,N. Vucevic enters the game for D. Rudez,,35-52,,
5:26.0,,,35-52,,A. Johnson enters the game for K. Olynyk
5:26.0,,,35-52,,J. Crowder enters the game for T. Rozier
5:09.0,A. Gordon misses 2-pt shot from 3 ft,,35-52,,
5:09.0,Offensive rebound by Team,,35-52,,
5:09.0,Turnover by Team (shot clock),,35-52,,
4:57.0,,,35-52,,Turnover by J. Jerebko (bad pass; steal by N. Vucevic)
4:45.0,A. Gordon makes 2-pt shot from 3 ft (assist by N. Vucevic),2,37-52,,
4:33.0,,,37-54,2,I. Thomas makes 2-pt shot from 14 ft
4:22.0,S. Ibaka misses 2-pt shot from 17 ft,,37-54,,
4:21.0,,,37-54,,Defensive rebound by J. Crowder
4:13.0,,,37-54,,G. Green misses 2-pt shot from 2 ft
4:10.0,Defensive rebound by N. Vucevic,,37-54,,
4:07.0,E. Payton misses 2-pt shot from 9 ft,,37-54,,
4:06.0,,,37-54,,Defensive rebound by I. Thomas
3:57.0,,,37-54,,I. Thomas misses 3-pt shot from 25 ft
3:55.0,,,37-54,,Offensive rebound by G. Green
3:46.0,,,37-56,2,I. Thomas makes 2-pt shot from 8 ft
3:45.0,Orlando full timeout,,37-56,,
3:45.0,,,37-56,,M. Smart enters the game for G. Green
3:33.0,C. Watson makes 2-pt shot from 15 ft,2,39-56,,
3:18.0,,,39-56,,J. Crowder misses 2-pt shot from 4 ft
3:17.0,,,39-56,,Offensive rebound by J. Jerebko
3:11.0,,,39-58,2,A. Johnson makes 2-pt shot from 1 ft (assist by I. Thomas)
2:50.0,N. Vucevic makes 2-pt shot from 19 ft (assist by E. Payton),2,41-58,,
2:41.0,,,41-58,,I. Thomas misses 3-pt shot from 27 ft
2:40.0,Defensive rebound by Team,,41-58,,
2:27.0,,,41-58,,Personal foul by I. Thomas (drawn by C. Watson)
2:27.0,C. Watson makes free throw 1 of 2,1,42-58,,
2:27.0,C. Watson makes free throw 2 of 2,1,43-58,,
2:10.0,,,43-58,,Turnover by M. Smart (bad pass; steal by A. Gordon)
2:05.0,A. Gordon misses 2-pt shot from 1 ft (block by J. Crowder),,43-58,,
2:03.0,,,43-58,,Defensive rebound by M. Smart
1:56.0,,,43-60,2,A. Johnson makes 2-pt shot from 1 ft (assist by J. Crowder)
1:47.0,E. Payton makes 2-pt shot from 1 ft,2,45-60,,
1:30.0,,,45-63,3,J. Crowder makes 3-pt shot from 26 ft (assist by I. Thomas)
1:17.0,A. Gordon misses 2-pt shot from 5 ft,,45-63,,
1:16.0,,,45-63,,Defensive rebound by Team
