time,Phoenix,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. A. Len (M. Conley gains possession),,,,Jump ball: M. Gasol vs. A. Len (M. Conley gains possession)
11:38.0,,,0-3,3,M. Conley makes 3-pt shot from 25 ft (assist by C. Parsons)
11:21.0,E. Bledsoe misses 2-pt shot from 21 ft,,0-3,,
11:21.0,,,0-3,,Defensive rebound by M. Conley
11:15.0,,,0-3,,Turnover by M. Gasol (bad pass)
11:01.0,T. Warren makes 2-pt shot from 7 ft (assist by E. Bledsoe),2,2-3,,
10:40.0,,,2-3,,T. Allen misses 3-pt shot from 23 ft
10:40.0,Defensive rebound by T. Warren,,2-3,,
10:26.0,D. Booker misses 3-pt shot from 26 ft,,2-3,,
10:23.0,,,2-3,,Defensive rebound by M. Conley
10:05.0,,,2-3,,M. Gasol misses 2-pt shot at rim (block by M. Chriss)
10:01.0,Defensive rebound by E. Bledsoe,,2-3,,
9:57.0,T. Warren makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,4-3,,
9:46.0,,,4-6,3,M. Gasol makes 3-pt shot from 24 ft (assist by M. Conley)
9:34.0,A. Len makes 2-pt shot at rim,2,6-6,,
9:14.0,Personal foul by T. Warren,,6-6,,
9:00.0,,,6-6,,M. Conley misses 3-pt shot from 26 ft
8:58.0,Defensive rebound by T. Warren,,6-6,,
8:51.0,E. Bledsoe makes 3-pt shot from 25 ft (assist by A. Len),3,9-6,,
8:30.0,,,9-6,,Turnover by T. Allen (traveling)
8:17.0,T. Warren misses 2-pt shot from 11 ft,,9-6,,
8:16.0,,,9-6,,Defensive rebound by M. Gasol
7:53.0,,,9-6,,M. Conley misses 2-pt shot from 6 ft
7:51.0,,,9-6,,Offensive rebound by M. Conley
7:48.0,,,9-6,,M. Conley misses 2-pt shot from 4 ft
7:45.0,Defensive rebound by M. Chriss,,9-6,,
7:32.0,E. Bledsoe makes 2-pt shot from 21 ft (assist by T. Warren),2,11-6,,
7:14.0,,,11-6,,Turnover by C. Parsons (bad pass; steal by A. Len)
7:08.0,T. Warren misses 3-pt shot from 26 ft,,11-6,,
7:05.0,Offensive rebound by A. Len,,11-6,,
7:04.0,A. Len makes 2-pt shot from 4 ft,2,13-6,,
7:04.0,,,13-6,,Memphis full timeout
6:45.0,,,13-8,2,M. Gasol makes 2-pt shot from 15 ft
