time,Denver,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. C. Zeller (M. Williams gains possession),,,,Jump ball: N. Jokic vs. C. Zeller (M. Williams gains possession)
11:36.0,,,0-0,,C. Zeller misses 2-pt shot from 1 ft
11:35.0,Defensive rebound by N. Jokic,,0-0,,
11:28.0,G. Harris misses 3-pt shot from 25 ft,,0-0,,
11:27.0,,,0-0,,Defensive rebound by C. Zeller
11:18.0,,,0-0,,N. Batum misses 2-pt shot from 1 ft
11:17.0,Defensive rebound by K. Faried,,0-0,,
11:07.0,N. Jokic makes 2-pt shot from 16 ft (assist by D. Gallinari),2,2-0,,
10:48.0,,,2-0,,M. Kidd-Gilchrist misses 2-pt shot from 16 ft
10:47.0,Defensive rebound by J. Nelson,,2-0,,
10:37.0,K. Faried makes 2-pt shot from 2 ft (assist by N. Jokic),2,4-0,,
10:23.0,,,4-3,3,K. Walker makes 3-pt shot from 25 ft (assist by N. Batum)
10:01.0,J. Nelson misses 3-pt shot from 26 ft,,4-3,,
9:58.0,Offensive rebound by N. Jokic,,4-3,,
9:48.0,Turnover by K. Faried (lost ball; steal by M. Williams),,4-3,,
9:45.0,,,4-3,,Shooting foul by J. Nelson (drawn by M. Kidd-Gilchrist)
9:45.0,,,4-4,1,M. Kidd-Gilchrist makes free throw 1 of 2
9:45.0,,,4-4,,M. Kidd-Gilchrist misses free throw 2 of 2
9:43.0,Defensive rebound by K. Faried,,4-4,,
9:27.0,G. Harris misses 3-pt shot from 25 ft,,4-4,,
9:26.0,,,4-4,,Defensive rebound by N. Batum
9:17.0,,,4-6,2,N. Batum makes 2-pt shot at rim
8:50.0,N. Jokic misses 2-pt shot from 10 ft (block by C. Zeller),,4-6,,
8:48.0,Offensive rebound by K. Faried,,4-6,,
8:48.0,K. Faried makes 2-pt shot from 1 ft,2,6-6,,
8:31.0,,,6-6,,C. Zeller misses 2-pt shot from 8 ft
8:30.0,Defensive rebound by K. Faried,,6-6,,
8:26.0,Turnover by K. Faried (bad pass; steal by N. Batum),,6-6,,
8:23.0,Violation by K. Faried (def goaltending),,6-6,,
8:23.0,,,6-8,2,K. Walker makes 2-pt shot from 1 ft (assist by N. Batum)
8:04.0,J. Nelson makes 3-pt shot from 25 ft (assist by N. Jokic),3,9-8,,
7:51.0,,,9-8,,K. Walker misses 3-pt shot from 26 ft
7:49.0,Defensive rebound by D. Gallinari,,9-8,,
7:29.0,G. Harris makes 2-pt shot from 1 ft (assist by D. Gallinari),2,11-8,,
7:15.0,,,11-8,,C. Zeller misses 2-pt shot from 5 ft
7:14.0,Defensive rebound by N. Jokic,,11-8,,
7:04.0,D. Gallinari misses 3-pt shot from 26 ft,,11-8,,
7:03.0,,,11-8,,Defensive rebound by M. Kidd-Gilchrist
6:52.0,,,11-8,,Shooting foul by N. Jokic (drawn by N. Batum)
6:52.0,,,11-9,1,N. Batum makes free throw 1 of 2
6:52.0,,,11-9,,N. Batum misses free throw 2 of 2
6:50.0,Defensive rebound by N. Jokic,,11-9,,
6:33.0,N. Jokic makes 2-pt shot from 8 ft (assist by G. Harris),2,13-9,,
6:15.0,,,13-11,2,M. Kidd-Gilchrist makes 2-pt shot from 10 ft (assist by N. Batum)
5:55.0,N. Jokic misses 3-pt shot from 26 ft,,13-11,,
5:54.0,,,13-11,,Defensive rebound by M. Williams
5:42.0,,,13-11,,M. Williams misses 3-pt shot from 25 ft
5:41.0,Defensive rebound by D. Gallinari,,13-11,,
5:30.0,N. Jokic misses 2-pt shot from 9 ft,,13-11,,
5:28.0,,,13-11,,Defensive rebound by M. Williams
5:13.0,,,13-11,,N. Batum misses 3-pt shot from 25 ft
5:12.0,,,13-11,,Offensive rebound by M. Kidd-Gilchrist
