time,Oklahoma City,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:42.0,S. Adams misses 2-pt shot from 7 ft,,0-0,,
12:00.0,Jump ball: S. Adams vs. J. Noah (A. Roberson gains possession),,,,Jump ball: S. Adams vs. J. Noah (A. Roberson gains possession)
11:41.0,,,0-0,,Defensive rebound by C. Anthony
11:25.0,,,0-0,,C. Anthony misses 2-pt shot from 9 ft
11:23.0,Defensive rebound by R. Westbrook,,0-0,,
11:15.0,Turnover by R. Westbrook (bad pass; steal by C. Lee),,0-0,,
11:03.0,,,0-0,,K. Porzingis misses 2-pt shot from 7 ft
11:02.0,Defensive rebound by S. Adams,,0-0,,
10:50.0,D. Sabonis misses 2-pt shot from 6 ft,,0-0,,
10:49.0,,,0-0,,Defensive rebound by K. Porzingis
10:27.0,,,0-0,,Shooting foul by V. Oladipo (drawn by C. Anthony)
10:27.0,,,0-1,1,C. Anthony makes free throw 1 of 2
10:27.0,,,0-2,1,C. Anthony makes free throw 2 of 2
10:14.0,D. Sabonis makes 3-pt shot from 23 ft (assist by R. Westbrook),3,3-2,,
9:57.0,,,3-2,,Turnover by C. Anthony (bad pass; steal by V. Oladipo)
9:51.0,R. Westbrook makes 2-pt shot at rim (assist by V. Oladipo),2,5-2,,
9:32.0,,,5-4,2,D. Rose makes 2-pt shot from 2 ft
9:16.0,V. Oladipo misses 3-pt shot from 23 ft,,5-4,,
9:16.0,,,5-4,,Defensive rebound by K. Porzingis
8:58.0,,,5-7,3,K. Porzingis makes 3-pt shot from 25 ft (assist by D. Rose)
8:44.0,Offensive foul by D. Sabonis,,5-7,,
8:44.0,Turnover by D. Sabonis (offensive foul),,5-7,,
8:32.0,,,5-7,,D. Rose misses 3-pt shot from 23 ft
8:31.0,,,5-7,,Offensive rebound by J. Noah
8:20.0,,,5-7,,K. Porzingis misses 3-pt shot from 26 ft
8:20.0,Defensive rebound by R. Westbrook,,5-7,,
8:13.0,D. Sabonis misses 2-pt shot from 3 ft (block by J. Noah),,5-7,,
8:11.0,Offensive rebound by S. Adams,,5-7,,
8:11.0,S. Adams makes 2-pt shot at rim,2,7-7,,
7:56.0,,,7-10,3,C. Lee makes 3-pt shot from 24 ft (assist by K. Porzingis)
7:40.0,R. Westbrook makes 2-pt shot from 1 ft,2,9-10,,
7:27.0,,,9-12,2,C. Anthony makes 2-pt shot from 20 ft (assist by D. Rose)
7:07.0,V. Oladipo misses 3-pt shot from 25 ft,,9-12,,
7:07.0,,,9-12,,Defensive rebound by D. Rose
6:55.0,,,9-14,2,K. Porzingis makes 2-pt shot from 1 ft (assist by D. Rose)
6:40.0,D. Sabonis misses 2-pt shot from 17 ft,,9-14,,
6:40.0,,,9-14,,Defensive rebound by C. Anthony
6:26.0,,,9-14,,D. Rose misses 2-pt shot from 4 ft
6:25.0,Defensive rebound by Team,,9-14,,
6:25.0,J. Lauvergne enters the game for D. Sabonis,,9-14,,
6:11.0,S. Adams misses 2-pt shot from 10 ft,,9-14,,
6:11.0,,,9-14,,Defensive rebound by K. Porzingis
5:53.0,,,9-14,,K. Porzingis misses 2-pt shot from 4 ft
5:52.0,,,9-14,,Offensive rebound by J. Noah
5:52.0,,,9-16,2,J. Noah makes 2-pt shot at rim
5:41.0,R. Westbrook makes 3-pt shot from 25 ft,3,12-16,,
5:34.0,,,12-16,,Shooting foul by S. Adams (drawn by D. Rose)
5:34.0,,,12-16,,New York full timeout
5:34.0,,,12-17,1,D. Rose makes free throw 1 of 2
5:34.0,,,12-18,1,D. Rose makes free throw 2 of 2
5:34.0,A. Morrow enters the game for V. Oladipo,,12-16,,
5:34.0,,,12-16,,W. Hernangomez enters the game for K. Porzingis
5:19.0,S. Adams misses 2-pt shot at rim (block by J. Noah),,12-18,,
5:18.0,,,12-18,,Defensive rebound by W. Hernangomez
4:59.0,,,12-20,2,C. Lee makes 2-pt shot from 1 ft (assist by J. Noah)
4:44.0,A. Roberson makes 2-pt shot from 2 ft (assist by R. Westbrook),2,14-20,,
4:28.0,,,14-20,,Shooting foul by R. Westbrook (drawn by D. Rose)
4:28.0,,,14-21,1,D. Rose makes free throw 1 of 2
4:28.0,,,14-22,1,D. Rose makes free throw 2 of 2
4:28.0,E. Kanter enters the game for S. Adams,,14-21,,
4:28.0,,,14-21,,K. O'Quinn enters the game for J. Noah
4:16.0,Offensive foul by R. Westbrook,,14-22,,
4:16.0,Turnover by R. Westbrook (offensive foul),,14-22,,
4:04.0,,,14-24,2,D. Rose makes 2-pt shot from 1 ft (assist by W. Hernangomez)
4:04.0,Oklahoma City full timeout,,14-24,,
4:04.0,Technical foul by Team,,14-24,,
4:04.0,,,14-25,1,C. Anthony makes technical free throw
3:45.0,A. Roberson misses 3-pt shot from 25 ft,,14-25,,
3:44.0,,,14-25,,Defensive rebound by C. Anthony
3:24.0,,,14-25,,Offensive foul by K. O'Quinn
3:24.0,,,14-25,,Turnover by K. O'Quinn (offensive foul)
3:24.0,,,14-25,,J. Holiday enters the game for C. Lee
3:17.0,Shooting foul by K. O'Quinn (drawn by R. Westbrook),,14-25,,
3:17.0,R. Westbrook makes free throw 1 of 2,1,15-25,,
3:17.0,R. Westbrook makes free throw 2 of 2,1,16-25,,
2:59.0,,,16-27,2,C. Anthony makes 2-pt shot at rim
2:43.0,E. Kanter makes 2-pt shot at rim (assist by R. Westbrook),2,18-27,,
2:29.0,,,18-27,,K. O'Quinn misses 2-pt shot from 15 ft
2:27.0,Defensive rebound by A. Roberson,,18-27,,
2:19.0,A. Morrow misses 3-pt shot from 25 ft,,18-27,,
2:18.0,,,18-27,,Defensive rebound by Team
2:18.0,S. Christon enters the game for R. Westbrook,,18-27,,
2:01.0,,,18-27,,C. Anthony misses 2-pt shot from 18 ft
2:00.0,Defensive rebound by J. Lauvergne,,18-27,,
1:54.0,,,18-27,,B. Jennings enters the game for D. Rose
1:54.0,,,18-27,,Violation by J. Holiday (kicked ball)
1:54.0,,,18-27,,K. Porzingis enters the game for W. Hernangomez
1:54.0,J. Grant enters the game for A. Roberson,,18-27,,
1:54.0,,,18-27,,M. Kuzminskas enters the game for C. Anthony
1:45.0,J. Lauvergne misses 3-pt shot from 25 ft,,18-27,,
1:44.0,Offensive rebound by E. Kanter,,18-27,,
1:31.0,A. Morrow makes 2-pt shot from 2 ft,2,20-27,,
1:22.0,Personal foul by J. Lauvergne (drawn by K. Porzingis),,20-27,,
1:20.0,Personal foul by J. Grant (drawn by M. Kuzminskas),,20-27,,
1:20.0,,,20-28,1,M. Kuzminskas makes free throw 1 of 2
1:20.0,,,20-29,1,M. Kuzminskas makes free throw 2 of 2
1:10.0,,,20-29,,Personal foul by B. Jennings (drawn by S. Christon)
1:00.0,,,20-29,,Personal foul by J. Holiday (drawn by A. Morrow)
1:00.0,A. Morrow makes free throw 1 of 2,1,21-29,,
1:00.0,A. Morrow misses free throw 2 of 2,,21-29,,
1:00.0,,,21-29,,Defensive rebound by K. O'Quinn
0:45.0,,,21-29,,J. Holiday misses 3-pt shot from 24 ft
0:44.0,Defensive rebound by J. Lauvergne,,21-29,,
0:38.0,A. Morrow makes 3-pt shot from 24 ft (assist by S. Christon),3,24-29,,
0:26.0,,,24-29,,K. Porzingis misses 3-pt shot from 26 ft
0:26.0,Defensive rebound by E. Kanter,,24-29,,
0:04.0,E. Kanter misses 3-pt shot from 25 ft,,24-29,,
0:03.0,,,24-29,,Defensive rebound by J. Holiday
0:00.0,,,24-29,,J. Holiday misses 3-pt shot from 65 ft
0:00.0,,,24-29,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
