time,Brooklyn,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. M. Turner (T. Young gains possession),,,,Jump ball: B. Lopez vs. M. Turner (T. Young gains possession)
11:44.0,,,0-2,2,M. Turner makes 2-pt shot from 18 ft (assist by J. Teague)
11:22.0,B. Lopez misses 2-pt shot from 4 ft,,0-2,,
11:21.0,Offensive rebound by T. Booker,,0-2,,
11:16.0,S. Kilpatrick misses 3-pt shot from 23 ft,,0-2,,
11:16.0,,,0-2,,Defensive rebound by J. Teague
11:11.0,,,0-2,,Turnover by J. Teague (bad pass; steal by I. Whitehead)
11:00.0,B. Bogdanovic misses 2-pt shot from 3 ft (block by G. Robinson),,0-2,,
10:59.0,,,0-2,,Defensive rebound by J. Teague
10:53.0,,,0-2,,Shooting foul by B. Lopez (drawn by M. Turner)
10:53.0,,,0-3,1,M. Turner makes free throw 1 of 2
10:53.0,,,0-4,1,M. Turner makes free throw 2 of 2
10:27.0,B. Bogdanovic misses 3-pt shot from 26 ft,,0-4,,
10:27.0,Offensive rebound by T. Booker,,0-4,,
10:24.0,T. Booker makes 2-pt shot from 1 ft,2,2-4,,
10:24.0,Shooting foul by G. Robinson (drawn by T. Booker),,2-4,,
10:24.0,T. Booker misses free throw 1 of 1,,2-4,,
10:24.0,,,2-4,,Defensive rebound by T. Young
10:09.0,,,2-6,2,M. Ellis makes 2-pt shot from 17 ft
9:49.0,B. Lopez makes 2-pt shot from 1 ft (assist by S. Kilpatrick),2,4-6,,
9:42.0,,,4-6,,Turnover by M. Turner (bad pass)
9:31.0,B. Lopez makes 2-pt shot from 22 ft (assist by S. Kilpatrick),2,6-6,,
9:14.0,,,6-6,,J. Teague misses 2-pt shot from 11 ft (block by I. Whitehead)
9:13.0,Defensive rebound by T. Booker,,6-6,,
9:00.0,T. Booker makes 2-pt shot from 3 ft (assist by S. Kilpatrick),2,8-6,,
8:46.0,,,8-6,,Turnover by T. Young (lost ball)
8:39.0,I. Whitehead makes 2-pt shot from 2 ft (assist by B. Lopez),2,10-6,,
8:27.0,,,10-6,,M. Turner misses 3-pt shot from 25 ft
8:24.0,Defensive rebound by B. Lopez,,10-6,,
