time,Golden State,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. Z. Pachulia (B. Portis gains possession),,,,Jump ball: R. Lopez vs. Z. Pachulia (B. Portis gains possession)
11:39.0,,,0-0,,D. Wade misses 2-pt shot from 15 ft
11:38.0,,,0-0,,Offensive rebound by R. Lopez
11:38.0,,,0-2,2,R. Lopez makes 2-pt shot from 1 ft
11:17.0,Turnover by D. Green (bad pass; steal by J. Butler),,0-2,,
11:01.0,,,0-2,,R. Lopez misses 2-pt shot from 1 ft
10:59.0,Defensive rebound by D. Green,,0-2,,
10:51.0,K. Thompson misses 2-pt shot from 19 ft,,0-2,,
10:50.0,,,0-2,,Defensive rebound by J. Butler
10:42.0,,,0-2,,R. Lopez misses 2-pt shot from 4 ft
10:41.0,Defensive rebound by Z. Pachulia,,0-2,,
10:24.0,Z. Pachulia makes 2-pt shot from 19 ft (assist by D. Green),2,2-2,,
10:04.0,,,2-2,,B. Portis misses 2-pt shot from 18 ft
10:01.0,Defensive rebound by D. Green,,2-2,,
9:55.0,Z. Pachulia misses 2-pt shot from 2 ft,,2-2,,
9:53.0,Offensive rebound by Z. Pachulia,,2-2,,
9:53.0,Z. Pachulia misses 2-pt shot from 2 ft,,2-2,,
9:52.0,,,2-2,,Defensive rebound by D. Wade
9:42.0,,,2-2,,D. Wade misses 2-pt shot from 10 ft
9:41.0,Defensive rebound by S. Curry,,2-2,,
9:35.0,S. Curry misses 2-pt shot from 2 ft,,2-2,,
9:34.0,,,2-2,,Defensive rebound by B. Portis
9:26.0,,,2-2,,Turnover by D. Wade (bad pass; steal by D. Green)
9:21.0,K. Thompson makes 2-pt shot from 3 ft (assist by D. Green),2,4-2,,
9:02.0,,,4-2,,R. Lopez misses 2-pt shot from 18 ft
9:01.0,Defensive rebound by D. Green,,4-2,,
8:54.0,D. Green misses 2-pt shot from 3 ft,,4-2,,
8:53.0,,,4-2,,Defensive rebound by B. Portis
8:37.0,,,4-4,2,J. Grant makes 2-pt shot from 20 ft (assist by J. Butler)
8:20.0,S. Curry makes 2-pt shot from 22 ft,2,6-4,,
8:02.0,,,6-4,,B. Portis misses 2-pt shot from 13 ft
8:02.0,,,6-4,,Offensive rebound by Team
