time,Houston,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. M. Harrell (T. Ariza gains possession),,,,Jump ball: M. Gasol vs. M. Harrell (T. Ariza gains possession)
11:43.0,M. Harrell misses 2-pt shot at rim (block by M. Gasol),,0-0,,
11:40.0,,,0-0,,Defensive rebound by M. Gasol
11:21.0,,,0-0,,M. Gasol misses 2-pt shot from 21 ft
11:20.0,Defensive rebound by P. Beverley,,0-0,,
11:10.0,T. Ariza misses 3-pt shot from 24 ft,,0-0,,
11:09.0,,,0-0,,Defensive rebound by M. Gasol
11:02.0,,,0-0,,M. Conley misses 3-pt shot from 25 ft
11:00.0,,,0-0,,Offensive rebound by J. Green
10:50.0,,,0-0,,Turnover by T. Allen (lost ball; steal by S. Dekker)
10:43.0,,,0-0,,Violation by T. Allen (kicked ball)
10:35.0,T. Ariza misses 3-pt shot from 26 ft,,0-0,,
10:34.0,,,0-0,,Defensive rebound by C. Parsons
10:19.0,,,0-0,,T. Allen misses 2-pt shot at rim
10:18.0,,,0-0,,Offensive rebound by T. Allen
10:18.0,,,0-0,,T. Allen misses 2-pt shot from 2 ft
10:16.0,,,0-0,,Offensive rebound by J. Green
10:16.0,,,0-0,,J. Green misses 2-pt shot from 2 ft
10:14.0,,,0-0,,Offensive rebound by J. Green
10:13.0,,,0-0,,J. Green misses 2-pt shot from 2 ft (block by J. Harden)
10:11.0,Defensive rebound by J. Harden,,0-0,,
10:07.0,J. Harden makes 2-pt shot from 1 ft,2,2-0,,
10:07.0,Shooting foul by M. Conley (drawn by J. Harden),,2-0,,
10:07.0,J. Harden makes free throw 1 of 1,1,3-0,,
9:50.0,,,3-2,2,M. Gasol makes 2-pt shot from 6 ft
9:40.0,P. Beverley misses 3-pt shot from 25 ft,,3-2,,
9:39.0,,,3-2,,Defensive rebound by J. Green
9:34.0,,,3-2,,Turnover by M. Conley (lost ball; steal by J. Harden)
9:27.0,S. Dekker makes 2-pt shot from 2 ft (assist by J. Harden),2,5-2,,
9:12.0,,,5-4,2,C. Parsons makes 2-pt shot from 12 ft (assist by M. Conley)
8:53.0,M. Harrell makes 2-pt shot at rim (assist by J. Harden),2,7-4,,
