time,Boston,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. A. Johnson (D. Schroder gains possession),,,,Jump ball: D. Howard vs. A. Johnson (D. Schroder gains possession)
11:42.0,,,0-2,2,D. Howard makes 2-pt shot at rim (assist by P. Millsap)
11:23.0,Shooting foul by D. Howard (drawn by A. Horford),,0-2,,
11:23.0,A. Horford misses free throw 1 of 2,,0-2,,
11:23.0,Offensive rebound by Team,,0-2,,
11:23.0,A. Horford misses free throw 2 of 2,,0-2,,
11:22.0,,,0-2,,Defensive rebound by D. Howard
11:06.0,,,0-2,,P. Millsap misses 2-pt shot from 6 ft (block by A. Johnson)
11:04.0,Defensive rebound by A. Johnson,,0-2,,
11:00.0,J. Crowder makes 3-pt shot from 25 ft (assist by M. Smart),3,3-2,,
10:42.0,,,3-2,,T. Sefolosha misses 2-pt shot from 21 ft
10:40.0,Defensive rebound by A. Horford,,3-2,,
10:34.0,,,3-2,,Personal foul by D. Schroder (drawn by I. Thomas)
10:16.0,A. Horford misses 2-pt shot from 12 ft,,3-2,,
10:15.0,,,3-2,,Defensive rebound by D. Howard
10:02.0,,,3-2,,Turnover by P. Millsap (bad pass; steal by M. Smart)
9:58.0,M. Smart misses 2-pt shot from 12 ft (block by P. Millsap),,3-2,,
9:58.0,,,3-2,,Defensive rebound by Team
9:58.0,Violation by M. Smart (kicked ball),,3-2,,
9:47.0,,,3-4,2,D. Schroder makes 2-pt shot at rim
9:27.0,M. Smart misses 3-pt shot from 24 ft,,3-4,,
9:26.0,Offensive rebound by M. Smart,,3-4,,
9:23.0,J. Crowder misses 3-pt shot from 25 ft,,3-4,,
9:21.0,Offensive rebound by A. Johnson,,3-4,,
9:18.0,I. Thomas misses 3-pt shot from 25 ft,,3-4,,
9:16.0,,,3-4,,Defensive rebound by D. Schroder
9:01.0,,,3-4,,D. Schroder misses 2-pt shot from 17 ft
8:59.0,Defensive rebound by J. Crowder,,3-4,,
8:49.0,M. Smart misses 2-pt shot from 8 ft,,3-4,,
8:46.0,,,3-4,,Defensive rebound by T. Sefolosha
8:32.0,,,3-6,2,P. Millsap makes 2-pt shot from 14 ft
8:32.0,,,3-6,,Shooting foul by A. Johnson (drawn by P. Millsap)
8:32.0,,,3-7,1,P. Millsap makes free throw 1 of 1
8:13.0,M. Smart misses 2-pt shot from 10 ft (block by K. Bazemore),,3-7,,
8:13.0,K. Olynyk enters the game for A. Johnson,,3-7,,
8:13.0,Jump ball: K. Bazemore vs. M. Smart (D. Schroder gains possession),,,,Jump ball: K. Bazemore vs. M. Smart (D. Schroder gains possession)
8:13.0,,,3-7,,Offensive rebound by Team
7:57.0,,,3-7,,D. Schroder misses 2-pt shot from 10 ft
7:56.0,Defensive rebound by J. Crowder,,3-7,,
7:42.0,J. Crowder makes 2-pt shot from 21 ft (assist by I. Thomas),2,5-7,,
7:26.0,,,5-7,,Shooting foul by J. Crowder (drawn by T. Sefolosha)
7:26.0,,,5-8,1,T. Sefolosha makes free throw 1 of 2
7:26.0,,,5-8,,T. Sefolosha misses free throw 2 of 2
7:25.0,Defensive rebound by J. Crowder,,5-8,,
7:04.0,K. Olynyk makes 3-pt shot from 24 ft (assist by I. Thomas),3,8-8,,
6:46.0,,,8-8,,K. Bazemore misses 3-pt shot from 24 ft
6:45.0,Defensive rebound by K. Olynyk,,8-8,,
6:30.0,K. Olynyk makes 3-pt shot from 25 ft (assist by A. Horford),3,11-8,,
6:23.0,,,11-8,,Atlanta full timeout
6:22.0,,,11-8,,T. Hardaway enters the game for K. Bazemore
6:15.0,,,11-8,,D. Schroder misses 2-pt shot from 20 ft
6:14.0,Defensive rebound by J. Crowder,,11-8,,
5:52.0,I. Thomas makes 3-pt shot from 25 ft (assist by A. Horford),3,14-8,,
5:30.0,,,14-8,,P. Millsap misses 2-pt shot from 18 ft
5:28.0,Defensive rebound by A. Horford,,14-8,,
5:19.0,M. Smart makes 3-pt shot from 25 ft (assist by K. Olynyk),3,17-8,,
5:04.0,,,17-8,,Offensive charge foul by P. Millsap
5:04.0,,,17-8,,Turnover by P. Millsap (offensive foul)
5:04.0,,,17-8,,M. Delaney enters the game for D. Schroder
4:54.0,J. Crowder makes 2-pt shot at rim (assist by A. Horford),2,19-8,,
4:36.0,,,19-8,,T. Hardaway misses 2-pt shot from 19 ft
4:34.0,,,19-8,,Offensive rebound by D. Howard
4:28.0,,,19-8,,Shooting foul by K. Olynyk (drawn by T. Sefolosha)
4:28.0,,,19-9,1,T. Sefolosha makes free throw 1 of 2
4:28.0,,,19-10,1,T. Sefolosha makes free throw 2 of 2
4:28.0,,,19-9,,M. Muscala enters the game for D. Howard
4:28.0,T. Rozier enters the game for M. Smart,,19-9,,
4:12.0,A. Horford makes 3-pt shot from 25 ft (assist by I. Thomas),3,22-10,,
3:49.0,,,22-10,,M. Delaney misses 2-pt shot from 19 ft
3:48.0,,,22-10,,Offensive rebound by M. Muscala
3:47.0,,,22-10,,M. Muscala misses 2-pt shot at rim
3:47.0,Defensive rebound by Team,,22-10,,
3:47.0,,,22-10,,T. Waller-Prince enters the game for T. Sefolosha
3:34.0,J. Crowder makes 3-pt shot from 25 ft (assist by K. Olynyk),3,25-10,,
3:34.0,,,25-10,,Atlanta full timeout
3:19.0,,,25-13,3,M. Delaney makes 3-pt shot from 24 ft (assist by T. Hardaway)
3:02.0,J. Crowder misses 2-pt shot from 18 ft,,25-13,,
3:00.0,,,25-13,,Defensive rebound by P. Millsap
2:52.0,,,25-16,3,T. Hardaway makes 3-pt shot from 26 ft (assist by P. Millsap)
2:34.0,K. Olynyk makes 3-pt shot from 26 ft (assist by I. Thomas),3,28-16,,
2:16.0,,,28-16,,M. Muscala misses 2-pt shot from 16 ft
2:14.0,Defensive rebound by I. Thomas,,28-16,,
2:06.0,I. Thomas misses 3-pt shot from 25 ft,,28-16,,
2:05.0,,,28-16,,Defensive rebound by Team
2:05.0,Boston full timeout,,28-16,,
2:05.0,,,28-16,,D. Schroder enters the game for T. Waller-Prince
2:05.0,J. Brown enters the game for A. Horford,,28-16,,
2:05.0,J. Jerebko enters the game for I. Thomas,,28-16,,
1:54.0,,,28-16,,M. Muscala misses 2-pt shot from 17 ft
1:52.0,,,28-16,,Offensive rebound by P. Millsap
1:40.0,,,28-16,,M. Delaney misses 2-pt shot from 3 ft
1:38.0,Defensive rebound by J. Brown,,28-16,,
1:20.0,K. Olynyk misses 3-pt shot from 24 ft,,28-16,,
1:18.0,,,28-16,,Defensive rebound by Team
1:18.0,M. Smart enters the game for J. Crowder,,28-16,,
1:04.0,,,28-18,2,P. Millsap makes 2-pt shot from 14 ft
0:48.0,Offensive charge foul by M. Smart,,28-18,,
0:48.0,Turnover by M. Smart (offensive foul),,28-18,,
0:31.0,,,28-18,,M. Muscala misses 3-pt shot from 23 ft
0:30.0,Defensive rebound by J. Brown,,28-18,,
0:28.0,,,28-18,,Personal foul by D. Schroder (drawn by J. Brown)
0:28.0,,,28-18,,D. Bembry enters the game for D. Schroder
0:07.0,M. Smart misses 3-pt shot from 24 ft,,28-18,,
0:06.0,,,28-18,,Defensive rebound by M. Muscala
0:00.0,,,28-18,,T. Hardaway misses 2-pt shot from 2 ft
0:00.0,,,28-18,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,J. Brown makes 2-pt shot at rim (assist by M. Smart),2,30-18,,
11:22.0,,,30-20,2,M. Delaney makes 2-pt shot from 20 ft
11:04.0,,,30-20,,Personal foul by M. Delaney (drawn by J. Brown)
10:55.0,T. Rozier makes 2-pt shot from 5 ft (assist by K. Olynyk),2,32-20,,
10:42.0,,,32-20,,T. Hardaway misses 3-pt shot from 25 ft
10:41.0,Defensive rebound by K. Olynyk,,32-20,,
10:29.0,M. Smart misses 2-pt shot from 2 ft (block by T. Hardaway),,32-20,,
10:27.0,,,32-20,,Defensive rebound by D. Bembry
10:15.0,,,32-20,,M. Delaney misses 2-pt shot from 20 ft
10:12.0,,,32-20,,Offensive rebound by M. Muscala
10:11.0,,,32-20,,M. Muscala misses 2-pt shot at rim
10:10.0,Defensive rebound by T. Rozier,,32-20,,
10:06.0,J. Brown misses 2-pt shot at rim,,32-20,,
10:06.0,Offensive rebound by Team,,32-20,,
10:06.0,A. Johnson enters the game for K. Olynyk,,32-20,,
10:04.0,J. Jerebko misses 3-pt shot from 24 ft,,32-20,,
10:02.0,,,32-20,,Defensive rebound by M. Delaney
9:56.0,,,32-22,2,K. Humphries makes 2-pt shot at rim (assist by M. Delaney)
9:33.0,M. Smart misses 3-pt shot from 27 ft,,32-22,,
9:32.0,,,32-22,,Defensive rebound by D. Bembry
9:26.0,,,32-22,,M. Muscala misses 2-pt shot from 19 ft
9:24.0,Defensive rebound by J. Jerebko,,32-22,,
9:06.0,Turnover by J. Jerebko (offensive foul),,32-22,,
9:06.0,Offensive charge foul by J. Jerebko,,32-22,,
9:06.0,,,32-22,,D. Howard enters the game for M. Muscala
8:46.0,,,32-22,,Turnover by K. Humphries (lost ball; steal by A. Johnson)
8:40.0,J. Brown misses 3-pt shot from 26 ft,,32-22,,
8:39.0,,,32-22,,Defensive rebound by K. Humphries
8:30.0,,,32-22,,Shooting foul by A. Johnson (drawn by T. Hardaway)
8:30.0,Official timeout,,32-22,,
8:30.0,,,32-23,1,T. Hardaway makes free throw 1 of 2
8:30.0,,,32-24,1,T. Hardaway makes free throw 2 of 2
8:09.0,J. Brown misses 2-pt shot from 3 ft,,32-24,,
8:09.0,Offensive rebound by Team,,32-24,,
8:09.0,A. Horford enters the game for J. Jerebko,,32-24,,
8:09.0,K. Olynyk enters the game for A. Johnson,,32-24,,
8:09.0,,,32-24,,K. Bazemore enters the game for T. Hardaway
8:09.0,,,32-24,,T. Sefolosha enters the game for M. Delaney
8:09.0,,,32-24,,D. Schroder enters the game for K. Humphries
8:05.0,M. Smart misses 2-pt shot from 22 ft,,32-24,,
8:04.0,,,32-24,,Defensive rebound by D. Howard
7:51.0,,,32-24,,T. Sefolosha misses 3-pt shot from 25 ft
7:48.0,Defensive rebound by A. Horford,,32-24,,
7:42.0,K. Olynyk makes 2-pt shot at rim (assist by A. Horford),2,34-24,,
7:25.0,,,34-26,2,D. Schroder makes 2-pt shot from 2 ft
7:05.0,K. Olynyk misses 2-pt shot from 8 ft,,34-26,,
7:03.0,,,34-26,,Defensive rebound by D. Bembry
6:50.0,,,34-26,,D. Schroder misses 2-pt shot from 14 ft
6:48.0,Defensive rebound by J. Brown,,34-26,,
6:31.0,J. Brown misses 3-pt shot from 25 ft,,34-26,,
6:29.0,,,34-26,,Defensive rebound by D. Howard
6:14.0,,,34-26,,T. Sefolosha misses 3-pt shot from 24 ft
6:12.0,,,34-26,,Offensive rebound by D. Howard
6:11.0,,,34-28,2,D. Howard makes 2-pt shot from 6 ft
6:08.0,Boston full timeout,,34-28,,
6:08.0,,,34-28,,P. Millsap enters the game for D. Bembry
6:08.0,I. Thomas enters the game for M. Smart,,34-28,,
6:08.0,J. Crowder enters the game for J. Brown,,34-28,,
5:52.0,A. Horford makes 2-pt shot at rim (assist by I. Thomas),2,36-28,,
5:34.0,,,36-28,,P. Millsap misses 2-pt shot from 4 ft
5:31.0,Defensive rebound by J. Crowder,,36-28,,
5:21.0,Turnover by I. Thomas (traveling),,36-28,,
5:06.0,,,36-31,3,K. Bazemore makes 3-pt shot from 24 ft (assist by D. Schroder)
4:45.0,T. Rozier misses 3-pt shot from 25 ft,,36-31,,
4:42.0,Offensive rebound by K. Olynyk,,36-31,,
4:42.0,K. Olynyk makes 2-pt shot at rim,2,38-31,,
4:31.0,,,38-31,,P. Millsap misses 3-pt shot from 25 ft
4:29.0,Defensive rebound by A. Horford,,38-31,,
4:23.0,Turnover by A. Horford (bad pass; steal by D. Howard),,38-31,,
