time,Boston,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. R. Lopez (T. Gibson gains possession),,,,Jump ball: A. Johnson vs. R. Lopez (T. Gibson gains possession)
11:43.0,,,0-2,2,D. Wade makes 2-pt shot from 20 ft (assist by R. Rondo)
11:33.0,Turnover by I. Thomas (lost ball; steal by R. Rondo),,0-2,,
11:29.0,,,0-2,,Shooting foul by A. Johnson (drawn by R. Lopez)
11:29.0,,,0-3,1,R. Lopez makes free throw 1 of 2
11:29.0,,,0-4,1,R. Lopez makes free throw 2 of 2
11:11.0,A. Bradley misses 2-pt shot from 22 ft,,0-4,,
11:10.0,,,0-4,,Defensive rebound by J. Butler
10:52.0,,,0-4,,T. Gibson misses 2-pt shot from 4 ft
10:51.0,,,0-4,,Offensive rebound by J. Butler
10:45.0,,,0-4,,R. Rondo misses 2-pt shot from 2 ft
10:45.0,,,0-4,,Offensive rebound by R. Lopez
10:45.0,Personal foul by A. Johnson (drawn by R. Lopez),,0-4,,
10:33.0,,,0-4,,R. Lopez misses 2-pt shot from 5 ft
10:32.0,Defensive rebound by J. Crowder,,0-4,,
10:19.0,A. Johnson makes 2-pt shot from 3 ft (assist by J. Crowder),2,2-4,,
10:03.0,,,2-4,,D. Wade misses 2-pt shot from 19 ft
10:02.0,Defensive rebound by A. Horford,,2-4,,
10:00.0,Turnover by A. Bradley (bad pass),,2-4,,
9:50.0,,,2-4,,J. Butler misses 2-pt shot from 21 ft
9:49.0,Defensive rebound by A. Bradley,,2-4,,
9:33.0,A. Horford misses 2-pt shot from 20 ft,,2-4,,
9:32.0,,,2-4,,Defensive rebound by R. Rondo
9:22.0,,,2-6,2,T. Gibson makes 2-pt shot from 18 ft (assist by R. Rondo)
9:04.0,I. Thomas misses 3-pt shot from 26 ft,,2-6,,
9:03.0,,,2-6,,Defensive rebound by J. Butler
8:54.0,,,2-8,2,T. Gibson makes 2-pt shot from 4 ft (assist by D. Wade)
8:38.0,I. Thomas makes 3-pt shot from 25 ft (assist by A. Johnson),3,5-8,,
8:14.0,,,5-8,,Shooting foul by A. Horford (drawn by J. Butler)
8:14.0,,,5-9,1,J. Butler makes free throw 1 of 2
8:14.0,,,5-10,1,J. Butler makes free throw 2 of 2
8:05.0,I. Thomas misses 3-pt shot from 25 ft,,5-10,,
8:04.0,,,5-10,,Defensive rebound by T. Gibson
7:46.0,,,5-13,3,J. Butler makes 3-pt shot from 23 ft (assist by D. Wade)
7:32.0,A. Johnson misses 2-pt shot from 22 ft,,5-13,,
7:31.0,,,5-13,,Defensive rebound by T. Gibson
7:21.0,,,5-15,2,T. Gibson makes 2-pt shot from 13 ft (assist by J. Butler)
7:20.0,Boston full timeout,,5-15,,
7:09.0,A. Bradley makes 2-pt shot from 15 ft (assist by A. Horford),2,7-15,,
6:46.0,,,7-15,,J. Butler misses 2-pt shot from 14 ft
6:45.0,,,7-15,,Offensive rebound by R. Lopez
6:45.0,,,7-17,2,R. Lopez makes 2-pt shot from 2 ft
6:26.0,Shooting foul by R. Lopez (drawn by A. Johnson),,7-17,,
6:26.0,A. Johnson misses free throw 1 of 2,,7-17,,
6:26.0,Offensive rebound by Team,,7-17,,
6:26.0,A. Johnson makes free throw 2 of 2,1,8-17,,
6:15.0,Personal foul by I. Thomas (drawn by R. Rondo),,8-17,,
6:15.0,T. Zeller enters the game for A. Johnson,,8-17,,
6:05.0,,,8-20,3,D. Wade makes 3-pt shot from 25 ft (assist by R. Rondo)
5:52.0,J. Crowder misses 2-pt shot from 20 ft,,8-20,,
5:51.0,,,8-20,,Defensive rebound by R. Rondo
5:40.0,,,8-20,,Turnover by R. Lopez (3 sec)
5:24.0,A. Horford misses 3-pt shot from 24 ft,,8-20,,
5:23.0,,,8-20,,Defensive rebound by T. Gibson
5:09.0,,,8-22,2,R. Lopez makes 2-pt shot at rim (assist by R. Rondo)
4:59.0,T. Zeller misses 2-pt shot from 9 ft,,8-22,,
4:58.0,,,8-22,,Defensive rebound by R. Rondo
4:53.0,,,8-22,,J. Butler misses 2-pt shot from 3 ft (block by A. Horford)
4:53.0,,,8-22,,Offensive rebound by Team
4:53.0,,,8-22,,D. McDermott enters the game for D. Wade
4:53.0,T. Rozier enters the game for A. Bradley,,8-22,,
