time,Brooklyn,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. B. Lopez (D. Cunningham gains possession),,,,Jump ball: A. Davis vs. B. Lopez (D. Cunningham gains possession)
11:42.0,,,0-0,,A. Davis misses 2-pt shot from 17 ft
11:41.0,Defensive rebound by B. Bogdanovic,,0-0,,
11:30.0,,,0-0,,Violation by A. Davis (kicked ball)
11:19.0,B. Lopez makes 2-pt shot from 11 ft (assist by S. Dinwiddie),2,2-0,,
11:08.0,,,2-3,3,D. Cunningham makes 3-pt shot from 24 ft (assist by J. Holiday)
10:52.0,Shooting foul by A. Davis (drawn by B. Lopez),,2-3,,
10:52.0,B. Lopez makes free throw 1 of 2,1,3-3,,
10:52.0,B. Lopez makes free throw 2 of 2,1,4-3,,
10:45.0,,,4-3,,J. Holiday misses 2-pt shot from 18 ft
10:41.0,Defensive rebound by J. Harris,,4-3,,
10:33.0,J. Harris makes 3-pt shot from 26 ft (assist by B. Lopez),3,7-3,,
10:19.0,,,7-5,2,S. Hill makes 2-pt shot from 1 ft (assist by D. Cunningham)
9:58.0,Turnover by B. Bogdanovic (bad pass; steal by A. Davis),,7-5,,
9:54.0,,,7-5,,J. Holiday misses 2-pt shot from 2 ft
9:53.0,Defensive rebound by J. Harris,,7-5,,
9:45.0,B. Bogdanovic misses 3-pt shot from 28 ft,,7-5,,
9:42.0,,,7-5,,Defensive rebound by D. Cunningham
9:33.0,,,7-5,,B. Hield misses 3-pt shot from 24 ft
9:31.0,Defensive rebound by B. Lopez,,7-5,,
9:18.0,J. Hamilton makes 2-pt shot from 2 ft (assist by J. Harris),2,9-5,,
9:01.0,,,9-7,2,D. Cunningham makes 2-pt shot from 11 ft (assist by A. Davis)
8:44.0,J. Harris misses 2-pt shot from 2 ft,,9-7,,
8:43.0,Offensive rebound by J. Hamilton,,9-7,,
8:42.0,J. Hamilton makes 2-pt shot from 3 ft,2,11-7,,
8:25.0,,,11-10,3,D. Cunningham makes 3-pt shot from 23 ft (assist by A. Davis)
8:11.0,J. Hamilton misses 2-pt shot from 4 ft,,11-10,,
8:10.0,,,11-10,,Defensive rebound by A. Davis
8:02.0,,,11-10,,Shooting foul by B. Lopez (drawn by A. Davis)
8:02.0,,,11-10,,A. Davis misses free throw 1 of 2
8:02.0,,,11-10,,Offensive rebound by Team
8:02.0,,,11-11,1,A. Davis makes free throw 2 of 2
7:49.0,B. Bogdanovic misses 2-pt shot from 3 ft (block by S. Hill),,11-11,,
7:47.0,,,11-11,,Defensive rebound by A. Davis
7:41.0,,,11-11,,A. Davis misses 2-pt shot from 2 ft (block by B. Lopez)
7:39.0,,,11-11,,Offensive rebound by B. Hield
7:31.0,,,11-11,,J. Holiday misses 2-pt shot from 2 ft
7:30.0,Defensive rebound by J. Hamilton,,11-11,,
7:25.0,B. Lopez misses 3-pt shot from 24 ft,,11-11,,
7:22.0,,,11-11,,Defensive rebound by J. Holiday
7:07.0,,,11-13,2,J. Holiday makes 2-pt shot from 2 ft (assist by A. Davis)
7:05.0,Brooklyn full timeout,,11-13,,
6:54.0,Shooting foul by D. Cunningham (drawn by S. Dinwiddie),,11-13,,
6:54.0,S. Dinwiddie makes free throw 1 of 2,1,12-13,,
6:54.0,S. Dinwiddie makes free throw 2 of 2,1,13-13,,
6:39.0,,,13-15,2,A. Davis makes 2-pt shot from 1 ft
6:20.0,J. Hamilton misses 3-pt shot from 24 ft,,13-15,,
6:19.0,,,13-15,,Defensive rebound by B. Hield
6:06.0,,,13-15,,D. Cunningham misses 3-pt shot from 26 ft
6:04.0,Defensive rebound by B. Bogdanovic,,13-15,,
5:53.0,B. Lopez makes 2-pt shot from 2 ft (assist by J. Harris),2,15-15,,
5:45.0,,,15-18,3,J. Holiday makes 3-pt shot from 26 ft
5:34.0,J. Harris makes 2-pt shot from 2 ft,2,17-18,,
5:21.0,,,17-18,,J. Holiday misses 3-pt shot from 26 ft
5:19.0,Defensive rebound by Team,,17-18,,
5:19.0,C. LeVert enters the game for J. Harris,,17-18,,
5:19.0,,,17-18,,E. Moore enters the game for B. Hield
5:12.0,Turnover by B. Bogdanovic (bad pass),,17-18,,
5:12.0,,,17-18,,T. Jones enters the game for D. Cunningham
5:03.0,,,17-18,,A. Davis misses 2-pt shot from 17 ft
5:02.0,Defensive rebound by B. Lopez,,17-18,,
4:47.0,J. Hamilton misses 3-pt shot from 23 ft,,17-18,,
4:46.0,,,17-18,,Defensive rebound by T. Jones
4:39.0,,,17-21,3,E. Moore makes 3-pt shot from 24 ft (assist by J. Holiday)
4:18.0,B. Lopez misses 3-pt shot from 23 ft,,17-21,,
4:17.0,,,17-21,,Defensive rebound by T. Jones
4:09.0,,,17-23,2,S. Hill makes 2-pt shot from 2 ft
3:50.0,B. Lopez makes 2-pt shot from 3 ft (assist by S. Dinwiddie),2,19-23,,
3:41.0,,,19-25,2,A. Davis makes 2-pt shot from 3 ft (assist by J. Holiday)
3:28.0,B. Lopez misses 2-pt shot from 2 ft,,19-25,,
3:27.0,,,19-25,,Defensive rebound by A. Davis
3:17.0,,,19-27,2,A. Davis makes 2-pt shot from 21 ft (assist by J. Holiday)
3:15.0,Brooklyn full timeout,,19-27,,
3:15.0,Q. Acy enters the game for B. Bogdanovic,,19-27,,
3:15.0,I. Whitehead enters the game for J. Hamilton,,19-27,,
3:15.0,R. Hollis-Jefferson enters the game for B. Lopez,,19-27,,
3:15.0,R. Foye enters the game for S. Dinwiddie,,19-27,,
3:04.0,Turnover by R. Hollis-Jefferson (lost ball),,19-27,,
2:59.0,,,19-27,,Turnover by J. Holiday (traveling)
2:59.0,,,19-27,,New Orleans full timeout
2:45.0,Turnover by C. LeVert (lost ball; steal by E. Moore),,19-27,,
2:40.0,,,19-27,,S. Hill misses 2-pt shot from 3 ft
2:39.0,Defensive rebound by Q. Acy,,19-27,,
2:33.0,Shooting foul by S. Hill (drawn by R. Hollis-Jefferson),,19-27,,
2:33.0,R. Hollis-Jefferson makes free throw 1 of 2,1,20-27,,
2:33.0,R. Hollis-Jefferson makes free throw 2 of 2,1,21-27,,
2:33.0,,,20-27,,L. Galloway enters the game for S. Hill
2:14.0,,,21-29,2,A. Davis makes 2-pt shot from 14 ft
2:14.0,,,21-29,,Shooting foul by C. LeVert (drawn by A. Davis)
2:14.0,,,21-30,1,A. Davis makes free throw 1 of 1
2:02.0,Q. Acy makes 3-pt shot from 25 ft (assist by C. LeVert),3,24-30,,
1:51.0,,,24-30,,E. Moore misses 2-pt shot from 6 ft
1:50.0,Defensive rebound by I. Whitehead,,24-30,,
1:34.0,R. Hollis-Jefferson misses 2-pt shot from 13 ft,,24-30,,
1:33.0,,,24-30,,Defensive rebound by L. Galloway
1:22.0,,,24-30,,T. Jones misses 2-pt shot from 12 ft
1:21.0,Defensive rebound by I. Whitehead,,24-30,,
1:00.0,C. LeVert makes 3-pt shot from 25 ft,3,27-30,,
0:54.0,,,27-30,,Turnover by A. Davis (bad pass; steal by C. LeVert)
0:52.0,C. LeVert makes 2-pt shot at rim,2,29-30,,
0:31.0,,,29-30,,J. Holiday misses 2-pt shot from 12 ft
0:29.0,Defensive rebound by Q. Acy,,29-30,,
0:08.0,Q. Acy misses 3-pt shot from 26 ft,,29-30,,
0:07.0,,,29-30,,Defensive rebound by L. Galloway
0:00.0,,,29-32,2,T. Jones makes 2-pt shot from 9 ft (assist by E. Moore)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,R. Hollis-Jefferson makes 2-pt shot at rim (assist by B. Lopez),2,31-32,,
11:46.0,Shooting foul by T. Evans (drawn by R. Hollis-Jefferson),,31-32,,
11:46.0,R. Hollis-Jefferson makes free throw 1 of 1,1,32-32,,
11:31.0,,,32-34,2,L. Galloway makes 2-pt shot from 20 ft
11:13.0,R. Foye makes 3-pt shot from 25 ft (assist by R. Hollis-Jefferson),3,35-34,,
10:53.0,,,35-34,,T. Evans misses 2-pt shot from 2 ft
10:51.0,Defensive rebound by B. Lopez,,35-34,,
10:47.0,Turnover by R. Foye (bad pass; steal by T. Jones),,35-34,,
10:41.0,,,35-34,,T. Jones misses 2-pt shot from 1 ft
10:41.0,,,35-34,,Offensive rebound by T. Evans
10:40.0,,,35-34,,T. Evans misses 2-pt shot from 2 ft
10:38.0,,,35-34,,Offensive rebound by T. Evans
10:37.0,,,35-34,,Shooting foul by R. Foye (drawn by T. Evans)
10:37.0,,,35-35,1,T. Evans makes free throw 1 of 2
10:37.0,,,35-36,1,T. Evans makes free throw 2 of 2
10:37.0,,,35-35,,D. Cunningham enters the game for T. Jones
10:20.0,I. Whitehead makes 2-pt shot from 1 ft,2,37-36,,
10:12.0,,,37-38,2,T. Evans makes 2-pt shot from 2 ft
10:00.0,B. Lopez misses 2-pt shot from 12 ft,,37-38,,
9:59.0,,,37-38,,Defensive rebound by D. Cunningham
9:53.0,,,37-38,,T. Evans misses 3-pt shot from 26 ft
9:50.0,Defensive rebound by R. Foye,,37-38,,
9:40.0,R. Foye makes 3-pt shot from 29 ft (assist by B. Bogdanovic),3,40-38,,
9:32.0,,,40-38,,New Orleans full timeout
9:25.0,,,40-38,,L. Galloway misses 2-pt shot from 3 ft
9:22.0,Defensive rebound by R. Hollis-Jefferson,,40-38,,
9:13.0,B. Lopez misses 2-pt shot from 5 ft,,40-38,,
9:12.0,Offensive rebound by B. Lopez,,40-38,,
9:10.0,B. Lopez makes 2-pt shot at rim,2,42-38,,
8:56.0,,,42-38,,L. Galloway misses 3-pt shot from 27 ft
8:56.0,Defensive rebound by R. Hollis-Jefferson,,42-38,,
8:47.0,R. Hollis-Jefferson misses 2-pt shot from 3 ft (block by D. Cunningham),,42-38,,
8:45.0,,,42-38,,Defensive rebound by T. Evans
8:33.0,,,42-38,,D. Motiejunas misses 3-pt shot from 26 ft
8:32.0,Defensive rebound by B. Bogdanovic,,42-38,,
8:24.0,Shooting foul by L. Galloway (drawn by B. Bogdanovic),,42-38,,
8:24.0,B. Bogdanovic makes free throw 1 of 2,1,43-38,,
8:24.0,B. Bogdanovic makes free throw 2 of 2,1,44-38,,
8:24.0,,,43-38,,A. Davis enters the game for D. Motiejunas
8:24.0,Q. Acy enters the game for B. Lopez,,43-38,,
8:08.0,,,44-40,2,A. Davis makes 2-pt shot from 13 ft
8:00.0,Shooting foul by E. Moore (drawn by B. Bogdanovic),,44-40,,
8:00.0,B. Bogdanovic makes free throw 1 of 2,1,45-40,,
8:00.0,B. Bogdanovic makes free throw 2 of 2,1,46-40,,
7:46.0,,,46-40,,L. Galloway misses 2-pt shot from 7 ft
7:45.0,Defensive rebound by Q. Acy,,46-40,,
7:26.0,B. Bogdanovic makes 3-pt shot from 25 ft,3,49-40,,
7:14.0,,,49-40,,Turnover by T. Evans (lost ball; steal by I. Whitehead)
7:10.0,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by I. Whitehead),2,51-40,,
7:07.0,,,51-40,,New Orleans full timeout
7:07.0,,,51-40,,S. Hill enters the game for L. Galloway
7:07.0,,,51-40,,J. Holiday enters the game for T. Evans
6:53.0,,,51-42,2,A. Davis makes 2-pt shot from 5 ft (assist by J. Holiday)
6:32.0,I. Whitehead misses 3-pt shot from 25 ft (block by A. Davis),,51-42,,
6:30.0,,,51-42,,Defensive rebound by D. Cunningham
6:21.0,,,51-42,,S. Hill misses 2-pt shot from 3 ft
6:20.0,Defensive rebound by R. Foye,,51-42,,
6:04.0,R. Foye misses 2-pt shot from 21 ft,,51-42,,
6:03.0,Offensive rebound by Q. Acy,,51-42,,
6:02.0,Q. Acy makes 2-pt shot from 2 ft,2,53-42,,
5:50.0,,,53-42,,Turnover by J. Holiday (lost ball; steal by R. Hollis-Jefferson)
5:42.0,,,53-42,,Shooting block foul by E. Moore (drawn by Q. Acy)
5:42.0,Q. Acy makes free throw 1 of 2,1,54-42,,
5:42.0,Q. Acy makes free throw 2 of 2,1,55-42,,
5:42.0,S. Dinwiddie enters the game for B. Bogdanovic,,54-42,,
5:42.0,J. Harris enters the game for R. Foye,,54-42,,
5:42.0,C. LeVert enters the game for I. Whitehead,,54-42,,
5:42.0,,,54-42,,T. Evans enters the game for E. Moore
5:22.0,,,55-44,2,A. Davis makes 2-pt shot from 16 ft (assist by S. Hill)
5:19.0,Brooklyn full timeout,,55-44,,
5:19.0,R. Foye enters the game for J. Harris,,55-44,,
5:19.0,J. Hamilton enters the game for R. Hollis-Jefferson,,55-44,,
5:06.0,Turnover by S. Dinwiddie (lost ball; steal by J. Holiday),,55-44,,
4:53.0,,,55-44,,T. Evans misses 2-pt shot from 1 ft
4:50.0,Defensive rebound by C. LeVert,,55-44,,
4:29.0,S. Dinwiddie makes 2-pt shot at rim (assist by C. LeVert),2,57-44,,
4:10.0,,,57-46,2,A. Davis makes 2-pt shot from 2 ft
3:40.0,R. Foye makes 2-pt shot from 4 ft,2,59-46,,
3:31.0,,,59-46,,T. Evans misses 3-pt shot from 27 ft
3:29.0,Defensive rebound by S. Dinwiddie,,59-46,,
3:20.0,S. Dinwiddie misses 2-pt shot from 2 ft,,59-46,,
3:19.0,,,59-46,,Defensive rebound by A. Davis
3:05.0,,,59-48,2,T. Evans makes 2-pt shot from 1 ft (assist by A. Davis)
2:48.0,Turnover by C. LeVert (bad pass; steal by T. Evans),,59-48,,
2:45.0,,,59-48,,Shooting foul by S. Dinwiddie (drawn by T. Evans)
2:45.0,,,59-49,1,T. Evans makes free throw 1 of 2
2:45.0,,,59-49,,T. Evans misses free throw 2 of 2
2:45.0,B. Lopez enters the game for R. Foye,,59-49,,
2:45.0,I. Whitehead enters the game for Q. Acy,,59-49,,
2:44.0,Defensive rebound by J. Hamilton,,59-49,,
2:36.0,Offensive foul by S. Dinwiddie,,59-49,,
2:36.0,Turnover by S. Dinwiddie (offensive foul),,59-49,,
2:23.0,,,59-49,,J. Holiday misses 2-pt shot from 2 ft
