time,Atlanta,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:41.0,,,0-0,,T. Harris misses 2-pt shot from 8 ft (block by D. Howard)
12:00.0,Jump ball: A. Drummond vs. D. Howard (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. D. Howard (R. Jackson gains possession)
11:40.0,Defensive rebound by P. Millsap,,0-0,,
11:16.0,P. Millsap misses 3-pt shot from 27 ft,,0-0,,
11:15.0,,,0-0,,Defensive rebound by A. Drummond
11:06.0,,,0-2,2,T. Harris makes 2-pt shot from 15 ft (assist by R. Jackson)
10:56.0,Turnover by K. Bazemore (step out of bounds),,0-2,,
10:37.0,,,0-2,,R. Bullock misses 2-pt shot from 1 ft
10:36.0,,,0-2,,Offensive rebound by R. Bullock
10:33.0,,,0-4,2,R. Bullock makes 2-pt shot at rim
10:25.0,Turnover by P. Millsap (offensive foul),,0-4,,
10:25.0,Offensive foul by P. Millsap,,0-4,,
10:13.0,,,0-4,,R. Jackson misses 2-pt shot from 16 ft
10:13.0,,,0-4,,Offensive rebound by A. Drummond
10:08.0,,,0-4,,A. Drummond misses 2-pt shot from 7 ft
10:06.0,Defensive rebound by T. Sefolosha,,0-4,,
9:59.0,Turnover by K. Bazemore (bad pass; steal by T. Harris),,0-4,,
9:44.0,,,0-7,3,T. Harris makes 3-pt shot from 26 ft (assist by R. Jackson)
9:21.0,T. Sefolosha misses 2-pt shot from 11 ft,,0-7,,
9:21.0,,,0-7,,Defensive rebound by T. Harris
9:09.0,,,0-7,,Turnover by A. Drummond (offensive goaltending)
8:57.0,P. Millsap makes 2-pt shot from 13 ft (assist by D. Schroder),2,2-7,,
8:57.0,Shooting foul by T. Harris (drawn by P. Millsap),,2-7,,
8:57.0,P. Millsap makes free throw 1 of 1,1,3-7,,
8:36.0,,,3-9,2,A. Drummond makes 2-pt shot at rim (assist by M. Morris)
8:24.0,P. Millsap makes 3-pt shot from 26 ft (assist by D. Schroder),3,6-9,,
8:04.0,,,6-9,,A. Drummond misses 2-pt shot from 8 ft
8:03.0,Defensive rebound by P. Millsap,,6-9,,
7:51.0,D. Schroder misses 2-pt shot from 1 ft,,6-9,,
