time,Sacramento,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. K. Koufos (D. Cousins gains possession),,,,Jump ball: R. Hibbert vs. K. Koufos (D. Cousins gains possession)
11:38.0,A. Afflalo misses 2-pt shot from 1 ft (block by M. Kidd-Gilchrist),,0-0,,
11:36.0,,,0-0,,Defensive rebound by M. Kidd-Gilchrist
11:26.0,,,0-0,,M. Williams misses 3-pt shot from 25 ft
11:24.0,Defensive rebound by K. Koufos,,0-0,,
11:16.0,G. Temple misses 2-pt shot from 15 ft,,0-0,,
11:16.0,Offensive rebound by Team,,0-0,,
11:16.0,,,0-0,,Loose ball foul by M. Kidd-Gilchrist (drawn by K. Koufos)
10:59.0,K. Koufos makes 2-pt shot from 12 ft (assist by A. Afflalo),2,2-0,,
10:46.0,,,2-0,,M. Williams misses 3-pt shot from 24 ft
10:45.0,Defensive rebound by K. Koufos,,2-0,,
10:32.0,,,2-0,,Personal foul by M. Williams (drawn by D. Cousins)
10:17.0,D. Cousins makes 3-pt shot from 25 ft (assist by K. Koufos),3,5-0,,
9:56.0,,,5-0,,K. Walker misses 2-pt shot from 1 ft (block by K. Koufos)
9:54.0,,,5-0,,Offensive rebound by R. Hibbert
9:54.0,,,5-2,2,R. Hibbert makes 2-pt shot at rim
9:37.0,G. Temple misses 2-pt shot from 22 ft,,5-2,,
9:36.0,,,5-2,,Defensive rebound by M. Kidd-Gilchrist
9:21.0,,,5-2,,M. Kidd-Gilchrist misses 2-pt shot from 14 ft
9:20.0,Defensive rebound by D. Cousins,,5-2,,
8:56.0,A. Afflalo makes 2-pt shot from 12 ft,2,7-2,,
8:43.0,Personal foul by K. Koufos (drawn by R. Hibbert),,7-2,,
8:33.0,,,7-2,,K. Walker misses 2-pt shot from 20 ft
8:31.0,,,7-2,,Offensive rebound by M. Kidd-Gilchrist
8:27.0,,,7-2,,M. Williams misses 3-pt shot from 29 ft
8:26.0,Defensive rebound by K. Koufos,,7-2,,
8:07.0,D. Cousins misses 2-pt shot from 16 ft,,7-2,,
8:07.0,,,7-2,,Defensive rebound by Team
8:07.0,Loose ball foul by K. Koufos (drawn by N. Batum),,7-2,,
7:55.0,,,7-5,3,N. Batum makes 3-pt shot from 25 ft (assist by R. Hibbert)
7:32.0,D. Collison misses 3-pt shot from 25 ft,,7-5,,
7:31.0,,,7-5,,Defensive rebound by M. Kidd-Gilchrist
7:22.0,,,7-5,,Shooting foul by G. Temple (drawn by N. Batum)
7:22.0,,,7-6,1,N. Batum makes free throw 1 of 2
7:22.0,,,7-7,1,N. Batum makes free throw 2 of 2
7:07.0,K. Koufos misses 2-pt shot from 8 ft,,7-7,,
7:06.0,,,7-7,,Defensive rebound by M. Williams
6:54.0,,,7-9,2,N. Batum makes 2-pt shot from 16 ft (assist by K. Walker)
6:38.0,K. Koufos misses 2-pt shot from 7 ft (block by R. Hibbert),,7-9,,
6:37.0,,,7-9,,Defensive rebound by R. Hibbert
6:26.0,Personal foul by G. Temple (drawn by N. Batum),,7-9,,
6:26.0,A. Tolliver enters the game for K. Koufos,,7-9,,
6:26.0,,,7-9,,F. Kaminsky enters the game for R. Hibbert
6:18.0,,,7-11,2,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by F. Kaminsky)
5:56.0,D. Collison makes 3-pt shot from 25 ft (assist by A. Tolliver),3,10-11,,
5:35.0,,,10-11,,Turnover by K. Walker (bad pass; steal by A. Tolliver)
5:35.0,Shooting foul by M. Kidd-Gilchrist (drawn by G. Temple),,10-11,,
5:35.0,,,10-11,,Charlotte full timeout
5:35.0,G. Temple misses free throw 1 of 2,,10-11,,
5:35.0,Offensive rebound by Team,,10-11,,
5:35.0,G. Temple makes free throw 2 of 2,1,11-11,,
5:35.0,,,10-11,,M. Belinelli enters the game for M. Kidd-Gilchrist
5:22.0,,,11-13,2,M. Williams makes 2-pt shot at rim (assist by F. Kaminsky)
5:05.0,A. Tolliver misses 3-pt shot from 25 ft,,11-13,,
5:04.0,,,11-13,,Defensive rebound by N. Batum
4:48.0,,,11-13,,N. Batum misses 3-pt shot from 24 ft
4:47.0,Defensive rebound by A. Afflalo,,11-13,,
4:36.0,D. Cousins makes 2-pt shot from 2 ft,2,13-13,,
4:22.0,,,13-15,2,F. Kaminsky makes 2-pt shot from 6 ft (assist by K. Walker)
4:04.0,A. Tolliver misses 3-pt shot from 24 ft,,13-15,,
4:03.0,,,13-15,,Defensive rebound by N. Batum
3:54.0,,,13-15,,F. Kaminsky misses 3-pt shot from 25 ft
3:52.0,,,13-15,,Offensive rebound by M. Williams
3:48.0,,,13-15,,M. Belinelli misses 3-pt shot from 27 ft
3:47.0,Defensive rebound by D. Cousins,,13-15,,
3:24.0,D. Collison makes 2-pt shot from 23 ft,2,15-15,,
3:12.0,,,15-15,,K. Walker misses 3-pt shot from 26 ft
3:11.0,Defensive rebound by G. Temple,,15-15,,
3:06.0,Shooting foul by M. Belinelli (drawn by G. Temple),,15-15,,
3:06.0,G. Temple makes free throw 1 of 2,1,16-15,,
3:06.0,G. Temple misses free throw 2 of 2,,16-15,,
3:06.0,,,16-15,,R. Sessions enters the game for K. Walker
3:06.0,T. Lawson enters the game for A. Afflalo,,16-15,,
3:06.0,M. Barnes enters the game for D. Collison,,16-15,,
3:03.0,Offensive rebound by D. Cousins,,16-15,,
3:03.0,D. Cousins makes 2-pt shot from 1 ft,2,18-15,,
2:42.0,,,18-15,,Turnover by N. Batum (lost ball; steal by M. Barnes)
2:36.0,M. Barnes misses 2-pt shot from 1 ft,,18-15,,
2:34.0,,,18-15,,Defensive rebound by R. Sessions
2:26.0,,,18-18,3,R. Sessions makes 3-pt shot from 25 ft (assist by F. Kaminsky)
2:25.0,Sacramento full timeout,,18-18,,
2:25.0,M. Richardson enters the game for G. Temple,,18-18,,
2:08.0,D. Cousins makes 2-pt shot from 1 ft (assist by T. Lawson),2,20-18,,
1:50.0,,,20-20,2,M. Williams makes 2-pt shot from 20 ft (assist by N. Batum)
1:35.0,T. Lawson misses 2-pt shot at rim (block by F. Kaminsky),,20-20,,
1:34.0,,,20-20,,Defensive rebound by F. Kaminsky
1:24.0,,,20-22,2,M. Belinelli makes 2-pt shot from 1 ft (assist by N. Batum)
1:02.0,M. Barnes misses 3-pt shot from 25 ft,,20-22,,
1:01.0,,,20-22,,Defensive rebound by N. Batum
0:52.0,,,20-22,,N. Batum misses 3-pt shot from 23 ft
0:51.0,Defensive rebound by A. Tolliver,,20-22,,
0:31.0,A. Tolliver makes 2-pt shot from 1 ft (assist by M. Barnes),2,22-22,,
0:16.0,,,22-22,,N. Batum misses 2-pt shot from 2 ft
0:15.0,Defensive rebound by D. Cousins,,22-22,,
0:01.0,Shooting foul by F. Kaminsky (drawn by D. Cousins),,22-22,,
0:01.0,D. Cousins makes free throw 1 of 2,1,23-22,,
0:01.0,D. Cousins makes free throw 2 of 2,1,24-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,24-25,3,F. Kaminsky makes 3-pt shot from 24 ft (assist by K. Walker)
11:19.0,W. Cauley-Stein misses 2-pt shot from 7 ft,,24-25,,
11:19.0,,,24-25,,Defensive rebound by Team
10:51.0,,,24-25,,Turnover by R. Sessions (bad pass; steal by A. Tolliver)
10:46.0,W. Cauley-Stein makes 2-pt shot at rim (assist by M. Barnes),2,26-25,,
10:30.0,,,26-25,,F. Kaminsky misses 3-pt shot from 26 ft
10:29.0,Defensive rebound by A. Tolliver,,26-25,,
10:17.0,W. Cauley-Stein makes 2-pt shot at rim (assist by M. Richardson),2,28-25,,
10:04.0,,,28-25,,K. Walker misses 2-pt shot from 16 ft
10:03.0,Defensive rebound by M. Barnes,,28-25,,
9:57.0,Turnover by M. Barnes (bad pass; steal by K. Walker),,28-25,,
9:52.0,,,28-27,2,K. Walker makes 2-pt shot from 1 ft
9:42.0,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by T. Lawson),2,30-27,,
9:42.0,,,30-27,,Charlotte full timeout
9:24.0,,,30-27,,M. Belinelli misses 3-pt shot from 25 ft
9:23.0,Defensive rebound by M. Barnes,,30-27,,
9:01.0,M. Barnes misses 3-pt shot from 25 ft,,30-27,,
9:00.0,,,30-27,,Defensive rebound by S. Hawes
8:45.0,,,30-29,2,R. Sessions makes 2-pt shot from 2 ft (assist by F. Kaminsky)
8:36.0,Offensive foul by W. Cauley-Stein,,30-29,,
8:36.0,Turnover by W. Cauley-Stein (offensive foul),,30-29,,
