time,Sacramento,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Cauley-Stein vs. A. Davis (T. Frazier gains possession),,,,Jump ball: W. Cauley-Stein vs. A. Davis (T. Frazier gains possession)
11:37.0,,,0-0,,D. Cousins misses 2-pt shot from 16 ft
11:36.0,Defensive rebound by B. Hield,,0-0,,
11:14.0,D. Collison misses 2-pt shot from 11 ft,,0-0,,
11:13.0,,,0-0,,Defensive rebound by J. Holiday
11:10.0,,,0-0,,Turnover by J. Holiday (lost ball; steal by D. Collison)
11:05.0,D. Collison misses 2-pt shot from 11 ft,,0-0,,
11:00.0,Offensive rebound by W. Cauley-Stein,,0-0,,
11:00.0,Turnover by S. Labissiere (lost ball; steal by A. Davis),,0-0,,
10:57.0,,,0-2,2,T. Frazier makes 2-pt shot from 1 ft (assist by S. Hill)
10:40.0,T. Evans makes 3-pt shot from 25 ft (assist by B. Hield),3,3-2,,
10:25.0,,,3-2,,S. Hill misses 3-pt shot from 24 ft
10:24.0,Defensive rebound by B. Hield,,3-2,,
10:13.0,S. Labissiere makes 2-pt shot from 3 ft (assist by B. Hield),2,5-2,,
10:07.0,,,5-2,,Turnover by J. Holiday (bad pass; steal by W. Cauley-Stein)
9:44.0,T. Evans misses 3-pt shot from 24 ft,,5-2,,
9:43.0,,,5-2,,Defensive rebound by D. Cousins
9:30.0,,,5-2,,A. Davis misses 2-pt shot from 17 ft
9:30.0,Defensive rebound by B. Hield,,5-2,,
9:19.0,Turnover by W. Cauley-Stein (bad pass; steal by J. Holiday),,5-2,,
9:11.0,,,5-2,,S. Hill misses 3-pt shot from 23 ft
9:10.0,,,5-2,,Offensive rebound by T. Frazier
9:03.0,,,5-2,,Turnover by D. Cousins (bad pass; steal by T. Evans)
8:59.0,Turnover by B. Hield (lost ball),,5-2,,
8:47.0,,,5-5,3,D. Cousins makes 3-pt shot from 26 ft (assist by J. Holiday)
8:33.0,T. Evans makes 2-pt shot from 2 ft,2,7-5,,
8:29.0,,,7-5,,Turnover by J. Holiday (bad pass)
8:10.0,S. Labissiere misses 2-pt shot from 4 ft,,7-5,,
8:09.0,,,7-5,,Defensive rebound by D. Cousins
8:01.0,,,7-5,,D. Cousins misses 2-pt shot from 1 ft
8:00.0,,,7-5,,Offensive rebound by A. Davis
8:00.0,,,7-7,2,A. Davis makes 2-pt shot from 2 ft
7:47.0,B. Hield misses 3-pt shot from 26 ft,,7-7,,
7:46.0,,,7-7,,Defensive rebound by Team
7:27.0,,,7-7,,A. Davis misses 2-pt shot from 16 ft
7:26.0,Defensive rebound by B. Hield,,7-7,,
7:12.0,B. Hield makes 2-pt shot from 15 ft,2,9-7,,
6:57.0,,,9-7,,J. Holiday misses 2-pt shot from 3 ft (block by B. Hield)
6:57.0,,,9-7,,Offensive rebound by Team
6:57.0,,,9-10,3,S. Hill makes 3-pt shot from 24 ft (assist by J. Holiday)
6:35.0,S. Labissiere makes 2-pt shot from 11 ft (assist by T. Evans),2,11-10,,
6:24.0,,,11-13,3,D. Cousins makes 3-pt shot from 25 ft (assist by J. Holiday)
6:08.0,W. Cauley-Stein misses 2-pt shot from 2 ft,,11-13,,
6:05.0,,,11-13,,Defensive rebound by A. Davis
6:03.0,Violation by W. Cauley-Stein (def goaltending),,11-13,,
6:03.0,,,11-15,2,A. Davis makes 2-pt shot from 3 ft
5:50.0,W. Cauley-Stein misses 2-pt shot from 1 ft,,11-15,,
5:48.0,,,11-15,,Defensive rebound by A. Davis
5:43.0,,,11-15,,T. Frazier misses 3-pt shot from 25 ft
5:42.0,Defensive rebound by W. Cauley-Stein,,11-15,,
5:35.0,,,11-15,,Shooting block foul by D. Cousins (drawn by S. Labissiere)
