time,Philadelphia,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. J. Okafor (D. Green gains possession),,,,Jump ball: D. Dedmon vs. J. Okafor (D. Green gains possession)
11:53.0,,,0-0,,D. Green misses 2-pt shot from 1 ft (block by T. McConnell)
11:52.0,,,0-0,,Offensive rebound by D. Green
11:49.0,,,0-0,,D. Bertans misses 3-pt shot from 25 ft
11:48.0,Defensive rebound by N. Stauskas,,0-0,,
11:34.0,E. Ilyasova misses 2-pt shot from 9 ft,,0-0,,
11:32.0,,,0-0,,Defensive rebound by T. Parker
11:19.0,,,0-0,,T. Parker misses 2-pt shot from 6 ft
11:19.0,,,0-0,,Offensive rebound by Team
11:11.0,,,0-2,2,K. Leonard makes 2-pt shot from 19 ft
10:59.0,Turnover by T. McConnell (bad pass; steal by T. Parker),,0-2,,
10:50.0,,,0-2,,Shooting foul by N. Stauskas (drawn by D. Dedmon)
10:50.0,,,0-4,2,D. Dedmon makes 2-pt shot from 1 ft (assist by D. Bertans)
10:50.0,,,0-5,1,D. Dedmon makes free throw 1 of 1
10:42.0,Turnover by N. Stauskas (lost ball; steal by D. Green),,0-5,,
10:36.0,,,0-5,,D. Bertans misses 2-pt shot from 1 ft
10:35.0,Defensive rebound by J. Okafor,,0-5,,
10:19.0,Shooting foul by D. Green (drawn by E. Ilyasova),,0-5,,
10:19.0,E. Ilyasova makes free throw 1 of 2,1,1-5,,
10:19.0,E. Ilyasova makes free throw 2 of 2,1,2-5,,
10:00.0,,,2-5,,Turnover by K. Leonard (bad pass; steal by N. Stauskas)
9:42.0,J. Okafor misses 2-pt shot from 5 ft,,2-5,,
9:41.0,,,2-5,,Defensive rebound by D. Dedmon
9:34.0,,,2-5,,T. Parker misses 2-pt shot from 6 ft
9:33.0,Defensive rebound by T. McConnell,,2-5,,
9:23.0,N. Stauskas misses 2-pt shot from 19 ft,,2-5,,
9:22.0,,,2-5,,Defensive rebound by Team
9:11.0,,,2-5,,K. Leonard misses 2-pt shot from 13 ft
9:10.0,Defensive rebound by T. McConnell,,2-5,,
9:04.0,,,2-5,,Personal foul by K. Leonard (drawn by D. Saric)
8:49.0,J. Okafor makes 2-pt shot at rim (assist by N. Stauskas),2,4-5,,
8:34.0,,,4-5,,K. Leonard misses 2-pt shot from 2 ft
8:33.0,,,4-5,,Offensive rebound by K. Leonard
