time,Milwaukee,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Maker vs. M. Turner (G. Antetokounmpo gains possession),,,,Jump ball: T. Maker vs. M. Turner (G. Antetokounmpo gains possession)
11:40.0,G. Antetokounmpo misses 2-pt shot from 4 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by L. Allen
11:30.0,,,0-0,,Turnover by P. George (bad pass)
11:06.0,M. Dellavedova misses 2-pt shot from 11 ft,,0-0,,
11:06.0,,,0-0,,Defensive rebound by P. George
10:50.0,,,0-0,,M. Turner misses 3-pt shot from 25 ft
10:50.0,Defensive rebound by M. Beasley,,0-0,,
10:24.0,M. Beasley misses 2-pt shot from 13 ft,,0-0,,
10:23.0,,,0-0,,Defensive rebound by J. Teague
10:16.0,,,0-0,,Shooting foul by G. Antetokounmpo (drawn by M. Turner)
10:16.0,,,0-1,1,M. Turner makes free throw 1 of 2
10:16.0,,,0-2,1,M. Turner makes free throw 2 of 2
9:58.0,T. Maker misses 2-pt shot from 20 ft,,0-2,,
9:58.0,,,0-2,,Defensive rebound by P. George
9:54.0,,,0-4,2,M. Turner makes 2-pt shot from 4 ft (assist by P. George)
9:54.0,,,0-4,,Shooting foul by T. Maker (drawn by M. Turner)
9:54.0,,,0-5,1,M. Turner makes free throw 1 of 1
9:36.0,M. Beasley misses 2-pt shot from 4 ft,,0-5,,
9:36.0,Offensive rebound by M. Beasley,,0-5,,
9:35.0,M. Beasley makes 2-pt shot from 3 ft,2,2-5,,
9:11.0,,,2-8,3,C. Miles makes 3-pt shot from 24 ft (assist by M. Turner)
8:59.0,Shooting foul by C. Miles (drawn by T. Snell),,2-8,,
8:59.0,T. Snell misses free throw 1 of 2,,2-8,,
8:59.0,Offensive rebound by Team,,2-8,,
8:59.0,T. Snell makes free throw 2 of 2,1,3-8,,
8:37.0,,,3-8,,C. Miles misses 2-pt shot from 20 ft
8:35.0,,,3-8,,Offensive rebound by Team
8:23.0,,,3-8,,C. Miles misses 2-pt shot from 18 ft
8:23.0,Defensive rebound by T. Snell,,3-8,,
8:09.0,Turnover by M. Beasley (lost ball; steal by J. Teague),,3-8,,
7:59.0,,,3-8,,C. Miles misses 2-pt shot from 4 ft
7:58.0,Defensive rebound by M. Beasley,,3-8,,
7:50.0,T. Snell makes 3-pt shot from 26 ft (assist by G. Antetokounmpo),3,6-8,,
7:28.0,,,6-11,3,C. Miles makes 3-pt shot from 23 ft (assist by M. Turner)
7:18.0,,,6-11,,Personal foul by P. George (drawn by G. Antetokounmpo)
7:13.0,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by T. Maker),2,8-11,,
7:00.0,,,8-11,,Offensive foul by P. George
7:00.0,,,8-11,,Turnover by P. George (offensive foul)
7:00.0,M. Brogdon enters the game for M. Dellavedova,,8-11,,
7:00.0,G. Monroe enters the game for T. Maker,,8-11,,
7:00.0,,,8-11,,G. Robinson enters the game for P. George
6:52.0,M. Beasley misses 2-pt shot from 4 ft,,8-11,,
6:51.0,Offensive rebound by G. Monroe,,8-11,,
6:46.0,T. Snell makes 3-pt shot from 25 ft (assist by G. Monroe),3,11-11,,
6:35.0,,,11-11,,C. Miles misses 3-pt shot from 24 ft
6:35.0,Defensive rebound by G. Monroe,,11-11,,
6:18.0,G. Monroe misses 2-pt shot from 5 ft,,11-11,,
6:17.0,,,11-11,,Defensive rebound by G. Robinson
6:01.0,,,11-11,,M. Turner misses 2-pt shot from 3 ft
6:00.0,,,11-11,,Offensive rebound by L. Allen
6:00.0,,,11-11,,Shooting foul by M. Beasley (drawn by L. Allen)
6:00.0,,,11-11,,L. Allen misses free throw 1 of 2
6:00.0,,,11-11,,Offensive rebound by Team
6:00.0,,,11-11,,L. Allen misses free throw 2 of 2
6:00.0,Defensive rebound by T. Snell,,11-11,,
6:00.0,M. Teletovic enters the game for M. Beasley,,11-11,,
5:43.0,M. Brogdon misses 3-pt shot from 25 ft,,11-11,,
5:43.0,Offensive rebound by Team,,11-11,,
5:43.0,,,11-11,,Loose ball foul by M. Turner (drawn by G. Monroe)
5:43.0,,,11-11,,Indiana full timeout
5:43.0,R. Vaughn enters the game for T. Snell,,11-11,,
5:43.0,,,11-11,,K. Seraphin enters the game for L. Allen
5:34.0,G. Monroe makes 2-pt shot from 3 ft (assist by G. Antetokounmpo),2,13-11,,
5:16.0,,,13-13,2,K. Seraphin makes 2-pt shot from 3 ft (assist by M. Turner)
4:59.0,M. Brogdon makes 2-pt shot from 22 ft,2,15-13,,
4:45.0,,,15-13,,M. Turner misses 2-pt shot from 19 ft
4:44.0,Defensive rebound by G. Monroe,,15-13,,
4:27.0,M. Brogdon misses 3-pt shot from 24 ft,,15-13,,
4:27.0,,,15-13,,Defensive rebound by J. Teague
4:14.0,,,15-13,,M. Turner misses 3-pt shot from 25 ft
4:14.0,Defensive rebound by M. Teletovic,,15-13,,
4:07.0,,,15-13,,Shooting block foul by G. Robinson (drawn by G. Antetokounmpo)
4:07.0,G. Antetokounmpo makes free throw 1 of 2,1,16-13,,
4:07.0,G. Antetokounmpo makes free throw 2 of 2,1,17-13,,
4:07.0,,,16-13,,M. Ellis enters the game for C. Miles
3:56.0,,,17-15,2,K. Seraphin makes 2-pt shot from 1 ft (assist by J. Teague)
3:37.0,G. Monroe makes 2-pt shot from 4 ft (assist by G. Antetokounmpo),2,19-15,,
3:23.0,,,19-15,,M. Turner misses 2-pt shot from 7 ft
3:22.0,Defensive rebound by M. Teletovic,,19-15,,
3:15.0,M. Teletovic misses 3-pt shot from 27 ft,,19-15,,
3:14.0,,,19-15,,Defensive rebound by M. Turner
2:57.0,,,19-15,,Turnover by M. Ellis (bad pass; steal by G. Antetokounmpo)
2:42.0,Shooting foul by K. Seraphin (drawn by G. Monroe),,19-15,,
2:42.0,Milwaukee full timeout,,19-15,,
2:42.0,G. Monroe makes free throw 1 of 2,1,20-15,,
2:42.0,G. Monroe misses free throw 2 of 2,,20-15,,
2:42.0,,,20-15,,Defensive rebound by A. Jefferson
2:42.0,,,19-15,,R. Stuckey enters the game for M. Turner
2:42.0,,,19-15,,A. Jefferson enters the game for J. Teague
2:25.0,,,20-15,,K. Seraphin misses 2-pt shot from 6 ft
2:25.0,Defensive rebound by G. Antetokounmpo,,20-15,,
2:14.0,Shooting foul by G. Robinson (drawn by G. Monroe),,20-15,,
2:14.0,G. Monroe makes free throw 1 of 2,1,21-15,,
2:14.0,G. Monroe makes free throw 2 of 2,1,22-15,,
2:02.0,,,22-15,,M. Ellis misses 3-pt shot from 24 ft
2:01.0,,,22-15,,Offensive rebound by G. Robinson
1:58.0,,,22-15,,Turnover by M. Ellis (traveling)
1:45.0,R. Vaughn misses 2-pt shot from 5 ft (block by M. Ellis),,22-15,,
1:44.0,,,22-15,,Defensive rebound by M. Ellis
1:39.0,,,22-17,2,M. Ellis makes 2-pt shot from 2 ft
1:19.0,M. Brogdon misses 2-pt shot from 4 ft (block by K. Seraphin),,22-17,,
1:19.0,,,22-17,,Defensive rebound by Team
1:04.0,,,22-17,,R. Stuckey misses 2-pt shot from 8 ft
1:03.0,Defensive rebound by G. Antetokounmpo,,22-17,,
0:58.0,M. Teletovic makes 2-pt shot from 20 ft (assist by G. Antetokounmpo),2,24-17,,
0:51.0,,,24-17,,Turnover by M. Ellis (step out of bounds)
0:41.0,G. Monroe makes 2-pt shot from 3 ft,2,26-17,,
0:24.0,,,26-17,,R. Stuckey misses 3-pt shot from 24 ft
0:23.0,,,26-17,,Offensive rebound by G. Robinson
0:23.0,,,26-17,,G. Robinson misses 2-pt shot from 3 ft (block by G. Monroe)
0:23.0,,,26-17,,Offensive rebound by G. Robinson
0:20.0,,,26-19,2,G. Robinson makes 2-pt shot from 6 ft
0:03.0,M. Teletovic makes 3-pt shot from 26 ft (assist by G. Antetokounmpo),3,29-19,,
0:01.0,,,29-19,,Shooting foul by M. Brogdon (drawn by R. Stuckey)
0:01.0,,,29-20,1,R. Stuckey makes free throw 1 of 3
0:01.0,,,29-21,1,R. Stuckey makes free throw 2 of 3
0:01.0,,,29-22,1,R. Stuckey makes free throw 3 of 3
0:01.0,T. Snell enters the game for G. Antetokounmpo,,29-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,Personal block foul by M. Teletovic (drawn by M. Ellis),,29-22,,
11:31.0,,,29-24,2,K. Seraphin makes 2-pt shot from 10 ft
11:13.0,M. Teletovic makes 3-pt shot from 26 ft (assist by M. Brogdon),3,32-24,,
10:47.0,,,32-24,,K. Seraphin misses 2-pt shot from 2 ft
10:46.0,Defensive rebound by T. Snell,,32-24,,
10:41.0,Shooting foul by K. Seraphin (drawn by M. Teletovic),,32-24,,
10:41.0,M. Teletovic makes free throw 1 of 3,1,33-24,,
10:41.0,M. Teletovic misses free throw 2 of 3,,33-24,,
10:41.0,Offensive rebound by Team,,33-24,,
10:41.0,M. Teletovic makes free throw 3 of 3,1,34-24,,
10:25.0,,,34-24,,Turnover by P. George (bad pass)
10:25.0,M. Dellavedova enters the game for M. Brogdon,,34-24,,
10:13.0,R. Vaughn misses 3-pt shot from 29 ft,,34-24,,
10:12.0,,,34-24,,Defensive rebound by A. Jefferson
9:48.0,,,34-24,,P. George misses 2-pt shot from 22 ft
9:48.0,Defensive rebound by G. Monroe,,34-24,,
9:28.0,M. Teletovic makes 3-pt shot from 26 ft (assist by G. Monroe),3,37-24,,
9:25.0,,,37-24,,Indiana full timeout
9:25.0,,,37-24,,C. Miles enters the game for K. Seraphin
9:09.0,,,37-26,2,A. Jefferson makes 2-pt shot from 6 ft
8:47.0,R. Vaughn makes 2-pt shot from 2 ft (assist by G. Monroe),2,39-26,,
8:30.0,,,39-29,3,R. Stuckey makes 3-pt shot from 25 ft (assist by P. George)
8:19.0,,,39-29,,Personal foul by R. Stuckey (drawn by M. Dellavedova)
8:19.0,M. Brogdon enters the game for M. Teletovic,,39-29,,
8:19.0,M. Beasley enters the game for T. Snell,,39-29,,
8:07.0,M. Beasley makes 3-pt shot from 26 ft (assist by R. Vaughn),3,42-29,,
7:53.0,,,42-31,2,P. George makes 2-pt shot from 6 ft
7:38.0,Shooting foul by R. Stuckey (drawn by M. Dellavedova),,42-31,,
7:38.0,M. Dellavedova makes free throw 1 of 2,1,43-31,,
7:38.0,M. Dellavedova misses free throw 2 of 2,,43-31,,
7:38.0,,,43-31,,Defensive rebound by A. Jefferson
7:38.0,,,43-31,,J. Teague enters the game for R. Stuckey
7:25.0,,,43-31,,Turnover by P. George (bad pass; steal by M. Brogdon)
7:21.0,M. Brogdon makes 2-pt shot at rim (assist by M. Dellavedova),2,45-31,,
6:57.0,,,45-33,2,A. Jefferson makes 2-pt shot from 1 ft
6:39.0,G. Monroe makes 2-pt shot from 6 ft (assist by M. Dellavedova),2,47-33,,
6:23.0,,,47-35,2,M. Ellis makes 2-pt shot at rim
6:02.0,M. Brogdon misses 3-pt shot from 23 ft,,47-35,,
6:02.0,Offensive rebound by M. Beasley,,47-35,,
5:59.0,M. Brogdon misses 2-pt shot from 3 ft,,47-35,,
5:59.0,,,47-35,,Defensive rebound by J. Teague
5:47.0,,,47-35,,P. George misses 3-pt shot from 23 ft
5:47.0,Defensive rebound by G. Monroe,,47-35,,
5:39.0,Milwaukee full timeout,,47-35,,
5:39.0,,,47-35,,M. Turner enters the game for A. Jefferson
5:39.0,T. Maker enters the game for G. Monroe,,47-35,,
5:39.0,G. Antetokounmpo enters the game for R. Vaughn,,47-35,,
5:24.0,T. Maker misses 3-pt shot from 27 ft,,47-35,,
5:24.0,Offensive rebound by M. Beasley,,47-35,,
5:17.0,M. Brogdon misses 3-pt shot from 27 ft,,47-35,,
5:17.0,,,47-35,,Defensive rebound by P. George
5:03.0,,,47-38,3,C. Miles makes 3-pt shot from 28 ft (assist by M. Turner)
4:47.0,Turnover by M. Beasley (bad pass),,47-38,,
4:36.0,,,47-38,,P. George misses 2-pt shot from 8 ft
4:35.0,Defensive rebound by T. Maker,,47-38,,
4:23.0,Jump ball: M. Dellavedova vs. P. George,,,,Jump ball: M. Dellavedova vs. P. George
4:13.0,T. Maker makes 2-pt shot at rim (assist by M. Beasley),2,49-38,,
3:58.0,,,49-38,,C. Miles misses 3-pt shot from 27 ft
3:58.0,Defensive rebound by M. Dellavedova,,49-38,,
3:46.0,T. Maker makes 3-pt shot from 25 ft (assist by M. Dellavedova),3,52-38,,
3:26.0,,,52-40,2,M. Turner makes 2-pt shot from 21 ft (assist by J. Teague)
3:07.0,Shooting foul by M. Turner (drawn by G. Antetokounmpo),,52-40,,
3:07.0,G. Antetokounmpo makes free throw 1 of 2,1,53-40,,
3:07.0,G. Antetokounmpo misses free throw 2 of 2,,53-40,,
3:05.0,,,53-40,,Defensive rebound by M. Ellis
2:53.0,,,53-43,3,C. Miles makes 3-pt shot from 23 ft (assist by M. Turner)
2:41.0,Shooting foul by P. George (drawn by G. Antetokounmpo),,53-43,,
2:41.0,Official timeout,,53-43,,
2:41.0,G. Antetokounmpo makes free throw 1 of 2,1,54-43,,
2:41.0,G. Antetokounmpo makes free throw 2 of 2,1,55-43,,
2:41.0,,,53-43,,G. Robinson enters the game for P. George
2:26.0,,,55-45,2,M. Turner makes 2-pt shot from 20 ft
2:10.0,Shooting foul by M. Ellis (drawn by M. Brogdon),,55-45,,
2:10.0,M. Brogdon makes free throw 1 of 2,1,56-45,,
2:10.0,M. Brogdon makes free throw 2 of 2,1,57-45,,
1:49.0,,,57-47,2,M. Ellis makes 2-pt shot from 5 ft
1:30.0,T. Maker misses 2-pt shot from 5 ft,,57-47,,
1:28.0,Offensive rebound by G. Antetokounmpo,,57-47,,
1:28.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,57-47,,
1:28.0,Offensive rebound by G. Antetokounmpo,,57-47,,
1:28.0,Shooting foul by C. Miles (drawn by G. Antetokounmpo),,57-47,,
1:28.0,G. Antetokounmpo makes free throw 1 of 2,1,58-47,,
1:28.0,G. Antetokounmpo makes free throw 2 of 2,1,59-47,,
1:06.0,,,59-47,,Shooting foul by T. Maker (drawn by M. Turner)
1:06.0,,,59-48,1,M. Turner makes free throw 1 of 2
1:06.0,,,59-49,1,M. Turner makes free throw 2 of 2
1:06.0,,,59-48,,L. Allen enters the game for C. Miles
0:52.0,T. Maker makes 3-pt shot from 27 ft (assist by G. Antetokounmpo),3,62-49,,
0:41.0,Violation by T. Maker (kicked ball),,62-49,,
0:27.0,,,62-52,3,M. Ellis makes 3-pt shot from 28 ft (assist by G. Robinson)
0:03.0,Turnover by Team (shot clock),,62-52,,
0:00.0,,,62-52,,G. Robinson misses 2-pt shot from 21 ft
0:00.0,,,62-52,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:34.0,,,62-54,2,M. Turner makes 2-pt shot from 17 ft (assist by J. Teague)
11:07.0,M. Dellavedova misses 3-pt shot from 24 ft,,62-54,,
11:06.0,,,62-54,,Defensive rebound by P. George
10:51.0,,,62-54,,P. George misses 2-pt shot from 12 ft
10:50.0,Defensive rebound by M. Beasley,,62-54,,
10:36.0,T. Maker misses 3-pt shot from 25 ft,,62-54,,
10:36.0,,,62-54,,Defensive rebound by P. George
10:25.0,,,62-56,2,L. Allen makes 2-pt shot from 17 ft (assist by P. George)
10:08.0,Offensive foul by G. Antetokounmpo,,62-56,,
10:08.0,Turnover by G. Antetokounmpo (offensive foul),,62-56,,
9:56.0,,,62-58,2,L. Allen makes 2-pt shot from 12 ft (assist by J. Teague)
9:56.0,Milwaukee full timeout,,62-58,,
9:42.0,T. Snell misses 3-pt shot from 23 ft,,62-58,,
9:40.0,,,62-58,,Defensive rebound by C. Miles
9:27.0,Def 3 sec tech foul by T. Maker,,62-58,,
9:27.0,,,62-59,1,P. George makes technical free throw
9:13.0,,,62-62,3,C. Miles makes 3-pt shot from 25 ft (assist by L. Allen)
8:47.0,G. Antetokounmpo misses 3-pt shot from 25 ft,,62-62,,
8:46.0,Offensive rebound by T. Snell,,62-62,,
8:31.0,M. Beasley misses 2-pt shot from 3 ft,,62-62,,
8:31.0,Offensive rebound by T. Maker,,62-62,,
8:27.0,G. Antetokounmpo makes 2-pt shot from 4 ft,2,64-62,,
8:09.0,,,64-62,,Turnover by M. Turner (bad pass)
7:56.0,M. Dellavedova makes 3-pt shot from 25 ft (assist by M. Beasley),3,67-62,,
7:45.0,Personal block foul by M. Dellavedova (drawn by J. Teague),,67-62,,
