time,Oklahoma City,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:34.0,,,0-0,,C. Paul misses 3-pt shot from 26 ft
12:00.0,Jump ball: S. Adams vs. D. Jordan (C. Paul gains possession),,,,Jump ball: S. Adams vs. D. Jordan (C. Paul gains possession)
11:33.0,,,0-0,,Offensive rebound by Team
11:24.0,,,0-0,,J. Redick misses 3-pt shot from 26 ft
11:23.0,Defensive rebound by S. Adams,,0-0,,
11:04.0,V. Oladipo makes 3-pt shot from 27 ft (assist by R. Westbrook),3,3-0,,
10:48.0,Personal foul by D. Sabonis (drawn by B. Griffin),,3-0,,
10:32.0,,,3-2,2,J. Redick makes 2-pt shot from 2 ft
10:07.0,D. Sabonis makes 3-pt shot from 27 ft (assist by R. Westbrook),3,6-2,,
9:53.0,,,6-2,,Turnover by D. Jordan (bad pass; steal by S. Adams)
9:45.0,V. Oladipo misses 3-pt shot from 27 ft,,6-2,,
9:44.0,,,6-2,,Defensive rebound by L. Mbah a Moute
9:33.0,,,6-2,,B. Griffin misses 2-pt shot from 19 ft
9:31.0,Defensive rebound by A. Roberson,,6-2,,
9:20.0,S. Adams misses 2-pt shot from 9 ft (block by B. Griffin),,6-2,,
9:17.0,,,6-2,,Defensive rebound by J. Redick
9:16.0,,,6-2,,Shooting foul by D. Sabonis (drawn by L. Mbah a Moute)
9:16.0,,,6-2,,L. Mbah a Moute misses free throw 1 of 2
9:16.0,,,6-2,,Offensive rebound by Team
9:16.0,,,6-3,1,L. Mbah a Moute makes free throw 2 of 2
9:03.0,R. Westbrook makes 2-pt shot from 18 ft,2,8-3,,
8:49.0,,,8-3,,L. Mbah a Moute misses 3-pt shot from 24 ft
8:48.0,Defensive rebound by A. Roberson,,8-3,,
8:39.0,D. Sabonis misses 3-pt shot from 26 ft,,8-3,,
8:38.0,Offensive rebound by Team,,8-3,,
8:38.0,,,8-3,,Loose ball foul by B. Griffin (drawn by S. Adams)
8:31.0,V. Oladipo misses 2-pt shot from 20 ft,,8-3,,
8:28.0,,,8-3,,Defensive rebound by C. Paul
8:21.0,Personal foul by A. Roberson (drawn by B. Griffin),,8-3,,
8:16.0,Personal foul by D. Sabonis (drawn by B. Griffin),,8-3,,
8:16.0,E. Kanter enters the game for D. Sabonis,,8-3,,
8:05.0,,,8-5,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
7:53.0,Turnover by R. Westbrook (bad pass; steal by C. Paul),,8-5,,
7:48.0,,,8-5,,C. Paul misses 2-pt shot from 3 ft (block by A. Roberson)
7:43.0,Defensive rebound by V. Oladipo,,8-5,,
7:39.0,R. Westbrook misses 3-pt shot from 27 ft,,8-5,,
7:35.0,Offensive rebound by E. Kanter,,8-5,,
7:30.0,E. Kanter makes 2-pt shot from 2 ft,2,10-5,,
7:21.0,,,10-5,,J. Redick misses 2-pt shot from 17 ft
7:19.0,Defensive rebound by V. Oladipo,,10-5,,
7:14.0,Shooting foul by B. Griffin (drawn by V. Oladipo),,10-5,,
7:14.0,V. Oladipo makes 2-pt shot from 12 ft,2,12-5,,
7:14.0,,,12-5,,Violation by Team (jump ball)
7:14.0,V. Oladipo makes free throw 1 of 1,1,13-5,,
7:14.0,,,12-5,,B. Bass enters the game for B. Griffin
6:57.0,,,13-7,2,B. Bass makes 2-pt shot from 16 ft (assist by C. Paul)
6:51.0,R. Westbrook misses 2-pt shot from 2 ft,,13-7,,
6:48.0,,,13-7,,Defensive rebound by D. Jordan
6:48.0,Personal foul by R. Westbrook (drawn by C. Paul),,13-7,,
6:48.0,,,13-8,1,C. Paul makes free throw 1 of 2
6:48.0,,,13-9,1,C. Paul makes free throw 2 of 2
6:37.0,E. Kanter misses 2-pt shot from 19 ft,,13-9,,
6:36.0,Offensive rebound by A. Roberson,,13-9,,
6:34.0,A. Roberson misses 2-pt shot from 4 ft (block by D. Jordan),,13-9,,
6:32.0,,,13-9,,Defensive rebound by J. Redick
