time,Utah,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. R. Gobert (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. R. Gobert (R. Jackson gains possession)
11:42.0,,,0-0,,M. Morris misses 2-pt shot from 18 ft
11:41.0,Defensive rebound by J. Johnson,,0-0,,
11:31.0,,,0-0,,Personal foul by A. Drummond (drawn by R. Gobert)
11:17.0,R. Hood misses 3-pt shot from 26 ft,,0-0,,
11:16.0,Offensive rebound by Team,,0-0,,
11:16.0,Turnover by Team (shot clock),,0-0,,
11:01.0,,,0-2,2,R. Jackson makes 2-pt shot from 2 ft
10:46.0,G. Hayward makes 3-pt shot from 26 ft (assist by R. Gobert),3,3-2,,
10:16.0,,,3-5,3,J. Leuer makes 3-pt shot from 23 ft (assist by M. Morris)
9:58.0,G. Hill makes 2-pt shot from 19 ft (assist by R. Gobert),2,5-5,,
9:45.0,,,5-5,,M. Morris misses 3-pt shot from 26 ft
9:43.0,Defensive rebound by R. Gobert,,5-5,,
9:33.0,J. Johnson makes 3-pt shot from 24 ft (assist by G. Hayward),3,8-5,,
9:15.0,,,8-5,,R. Jackson misses 2-pt shot from 6 ft
9:12.0,Defensive rebound by J. Johnson,,8-5,,
9:02.0,R. Hood misses 2-pt shot from 2 ft,,8-5,,
9:01.0,,,8-5,,Defensive rebound by Team
8:47.0,,,8-5,,R. Jackson misses 2-pt shot from 17 ft
8:46.0,Defensive rebound by G. Hayward,,8-5,,
8:39.0,G. Hayward makes 2-pt shot from 14 ft,2,10-5,,
8:39.0,,,10-5,,Detroit full timeout
8:22.0,,,10-5,,A. Drummond misses 2-pt shot from 7 ft
8:20.0,Defensive rebound by J. Johnson,,10-5,,
8:10.0,Turnover by J. Johnson (bad pass),,10-5,,
7:54.0,,,10-5,,M. Morris misses 2-pt shot from 17 ft
7:52.0,Defensive rebound by R. Hood,,10-5,,
7:41.0,G. Hill misses 2-pt shot from 6 ft,,10-5,,
7:41.0,Offensive rebound by R. Gobert,,10-5,,
7:41.0,Shooting foul by J. Leuer (drawn by R. Gobert),,10-5,,
7:41.0,R. Gobert makes free throw 1 of 2,1,11-5,,
7:41.0,R. Gobert misses free throw 2 of 2,,11-5,,
7:38.0,,,11-5,,Defensive rebound by A. Drummond
7:21.0,,,11-5,,Turnover by M. Morris (bad pass; steal by J. Johnson)
7:09.0,G. Hayward makes 3-pt shot from 26 ft (assist by J. Johnson),3,14-5,,
6:43.0,,,14-5,,M. Morris misses 3-pt shot from 25 ft
6:42.0,,,14-5,,Offensive rebound by J. Leuer
6:37.0,,,14-5,,J. Leuer misses 2-pt shot from 6 ft
6:36.0,Defensive rebound by R. Hood,,14-5,,
6:31.0,J. Johnson misses 2-pt shot from 5 ft,,14-5,,
6:31.0,,,14-5,,Defensive rebound by Team
6:18.0,,,14-7,2,J. Leuer makes 2-pt shot from 1 ft (assist by R. Jackson)
5:56.0,Turnover by R. Gobert (lost ball; steal by K. Caldwell-Pope),,14-7,,
5:45.0,,,14-9,2,R. Jackson makes 2-pt shot from 4 ft
5:28.0,G. Hayward misses 3-pt shot from 25 ft,,14-9,,
5:27.0,,,14-9,,Defensive rebound by A. Drummond
