time,Houston,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. C. Capela,,,,Jump ball: S. Adams vs. C. Capela
11:34.0,P. Beverley misses 2-pt shot from 1 ft,,0-0,,
11:33.0,Offensive rebound by C. Capela,,0-0,,
11:32.0,C. Capela makes 2-pt shot from 1 ft,2,2-0,,
11:13.0,,,2-0,,Shooting foul by R. Anderson (drawn by T. Gibson)
11:13.0,,,2-1,1,T. Gibson makes free throw 1 of 2
11:13.0,,,2-2,1,T. Gibson makes free throw 2 of 2
11:05.0,R. Anderson misses 3-pt shot from 26 ft,,2-2,,
11:04.0,,,2-2,,Defensive rebound by R. Westbrook
10:52.0,,,2-2,,Turnover by T. Gibson (lost ball; steal by R. Anderson)
10:47.0,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden),3,5-2,,
10:34.0,,,5-4,2,S. Adams makes 2-pt shot from 6 ft (assist by V. Oladipo)
10:25.0,J. Harden misses 3-pt shot from 25 ft,,5-4,,
10:24.0,,,5-4,,Defensive rebound by S. Adams
10:11.0,,,5-4,,T. Gibson misses 2-pt shot from 12 ft
10:11.0,Defensive rebound by C. Capela,,5-4,,
9:54.0,P. Beverley misses 3-pt shot from 24 ft,,5-4,,
9:53.0,,,5-4,,Defensive rebound by R. Westbrook
9:35.0,,,5-4,,T. Gibson misses 2-pt shot from 5 ft
9:35.0,,,5-4,,Offensive rebound by S. Adams
9:33.0,,,5-6,2,S. Adams makes 2-pt shot from 3 ft
9:21.0,C. Capela misses 2-pt shot from 1 ft (block by V. Oladipo),,5-6,,
9:19.0,,,5-6,,Defensive rebound by R. Westbrook
9:14.0,,,5-6,,Turnover by R. Westbrook (lost ball)
9:06.0,,,5-6,,Personal foul by R. Westbrook (drawn by P. Beverley)
8:58.0,Turnover by P. Beverley (step out of bounds),,5-6,,
8:44.0,,,5-6,,V. Oladipo misses 2-pt shot from 16 ft
8:43.0,Defensive rebound by J. Harden,,5-6,,
8:30.0,Turnover by J. Harden (lost ball; steal by A. Roberson),,5-6,,
8:26.0,,,5-8,2,A. Roberson makes 2-pt shot at rim (assist by S. Adams)
8:15.0,Turnover by R. Anderson (step out of bounds),,5-8,,
8:01.0,,,5-11,3,A. Roberson makes 3-pt shot from 25 ft (assist by T. Gibson)
7:42.0,J. Harden misses 2-pt shot from 1 ft (block by A. Roberson),,5-11,,
7:41.0,,,5-11,,Defensive rebound by Team
7:25.0,,,5-13,2,R. Westbrook makes 2-pt shot from 14 ft
7:06.0,Shooting foul by T. Gibson (drawn by R. Anderson),,5-13,,
7:06.0,R. Anderson makes free throw 1 of 2,1,6-13,,
7:06.0,R. Anderson makes free throw 2 of 2,1,7-13,,
6:56.0,,,7-13,,R. Westbrook misses 2-pt shot from 13 ft
6:56.0,Defensive rebound by C. Capela,,7-13,,
6:39.0,Shooting foul by T. Gibson (drawn by J. Harden),,7-13,,
6:39.0,J. Harden makes free throw 1 of 2,1,8-13,,
6:39.0,J. Harden makes free throw 2 of 2,1,9-13,,
