time,New Orleans,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. A. Davis (S. Hill gains possession),,,,Jump ball: S. Adams vs. A. Davis (S. Hill gains possession)
11:49.0,Turnover by J. Holiday (traveling),,0-0,,
11:38.0,,,0-2,2,D. Sabonis makes 2-pt shot from 1 ft (assist by R. Westbrook)
11:28.0,,,0-2,,Personal foul by S. Adams (drawn by D. Cousins)
11:28.0,,,0-2,,Technical foul by S. Adams (drawn by D. Cousins)
11:28.0,Technical foul by D. Cousins,,0-2,,
11:19.0,A. Davis makes 2-pt shot from 6 ft (assist by D. Cousins),2,2-2,,
11:19.0,Shooting foul by D. Sabonis (drawn by A. Davis),,2-2,,
11:19.0,A. Davis makes free throw 1 of 1,1,3-2,,
11:00.0,,,3-4,2,S. Adams makes 2-pt shot from 2 ft
11:00.0,,,3-4,,Shooting foul by D. Cousins (drawn by S. Adams)
11:00.0,,,3-4,,S. Adams misses free throw 1 of 1
10:59.0,Defensive rebound by D. Cousins,,3-4,,
10:43.0,A. Davis makes 2-pt shot from 19 ft (assist by D. Cousins),2,5-4,,
10:28.0,,,5-4,,S. Adams misses 2-pt shot from 9 ft
10:27.0,,,5-4,,Offensive rebound by S. Adams
10:25.0,Personal foul by D. Cousins (drawn by D. Sabonis),,5-4,,
10:25.0,D. Motiejunas enters the game for D. Cousins,,5-4,,
10:14.0,,,5-4,,D. Sabonis misses 3-pt shot from 26 ft
10:13.0,,,5-4,,Offensive rebound by S. Adams
10:13.0,,,5-6,2,S. Adams makes 2-pt shot at rim
9:52.0,A. Davis misses 2-pt shot from 17 ft,,5-6,,
9:52.0,,,5-6,,Defensive rebound by A. Roberson
9:38.0,,,5-6,,Turnover by R. Westbrook (bad pass; steal by J. Holiday)
9:31.0,A. Davis makes 2-pt shot at rim (assist by J. Holiday),2,7-6,,
9:12.0,,,7-6,,R. Westbrook misses 2-pt shot from 17 ft
9:12.0,Defensive rebound by H. Thompson,,7-6,,
9:00.0,H. Thompson makes 3-pt shot from 25 ft (assist by A. Davis),3,10-6,,
8:45.0,,,10-6,,Turnover by R. Westbrook (bad pass; steal by D. Motiejunas)
8:31.0,D. Motiejunas misses 3-pt shot from 23 ft,,10-6,,
8:31.0,,,10-6,,Defensive rebound by A. Roberson
8:26.0,,,10-6,,Oklahoma City full timeout
8:21.0,,,10-6,,Turnover by R. Westbrook (bad pass; steal by S. Hill)
8:15.0,J. Holiday makes 2-pt shot from 10 ft,2,12-6,,
8:02.0,,,12-8,2,R. Westbrook makes 2-pt shot from 1 ft
7:44.0,J. Holiday makes 2-pt shot from 10 ft (assist by A. Davis),2,14-8,,
7:23.0,,,14-8,,S. Adams misses 2-pt shot from 6 ft
7:23.0,Defensive rebound by A. Davis,,14-8,,
7:16.0,,,14-8,,Personal foul by A. Abrines (drawn by H. Thompson)
7:13.0,J. Holiday misses 3-pt shot from 23 ft,,14-8,,
7:13.0,,,14-8,,Defensive rebound by A. Roberson
7:05.0,,,14-8,,R. Westbrook misses 2-pt shot from 2 ft
7:03.0,,,14-8,,Offensive rebound by S. Adams
7:02.0,,,14-10,2,S. Adams makes 2-pt shot at rim
6:45.0,A. Davis makes 2-pt shot from 21 ft (assist by J. Holiday),2,16-10,,
6:33.0,,,16-10,,A. Abrines misses 2-pt shot from 1 ft
6:32.0,Defensive rebound by S. Hill,,16-10,,
6:25.0,A. Davis makes 2-pt shot from 5 ft (assist by J. Holiday),2,18-10,,
6:25.0,Shooting foul by D. Sabonis (drawn by A. Davis),,18-10,,
6:25.0,A. Davis makes free throw 1 of 1,1,19-10,,
6:25.0,,,18-10,,E. Kanter enters the game for D. Sabonis
6:13.0,,,19-10,,A. Abrines misses 2-pt shot from 22 ft
6:13.0,,,19-10,,Offensive rebound by S. Adams
6:08.0,,,19-10,,A. Abrines misses 3-pt shot from 25 ft
6:08.0,,,19-10,,Offensive rebound by Team
6:08.0,Loose ball foul by D. Motiejunas (drawn by S. Adams),,19-10,,
6:02.0,,,19-10,,Shooting foul by J. Holiday (drawn by R. Westbrook)
6:02.0,,,19-11,1,R. Westbrook makes free throw 1 of 2
6:02.0,,,19-12,1,R. Westbrook makes free throw 2 of 2
5:52.0,Turnover by J. Holiday (lost ball; steal by A. Roberson),,19-12,,
5:46.0,,,19-12,,R. Westbrook misses 2-pt shot from 1 ft
5:44.0,,,19-12,,Offensive rebound by E. Kanter
5:44.0,,,19-14,2,E. Kanter makes 2-pt shot from 1 ft
5:44.0,,,19-14,,Technical foul by R. Westbrook
5:44.0,A. Davis makes technical free throw,1,20-14,,
5:44.0,,,20-14,,D. McDermott enters the game for A. Roberson
5:35.0,,,20-14,,Personal foul by E. Kanter (drawn by D. Motiejunas)
5:35.0,D. Motiejunas makes free throw 1 of 2,1,21-14,,
5:35.0,D. Motiejunas misses free throw 2 of 2,,21-14,,
5:35.0,,,21-14,,Defensive rebound by Team
5:19.0,,,21-16,2,E. Kanter makes 2-pt shot from 2 ft
5:05.0,S. Hill makes 3-pt shot from 25 ft (assist by A. Davis),3,24-16,,
4:51.0,,,24-16,,R. Westbrook misses 3-pt shot from 24 ft
4:49.0,,,24-16,,Offensive rebound by S. Adams
4:49.0,,,24-18,2,S. Adams makes 2-pt shot from 2 ft
4:37.0,A. Davis makes 3-pt shot from 25 ft (assist by J. Holiday),3,27-18,,
4:25.0,Personal block foul by A. Davis (drawn by R. Westbrook),,27-18,,
4:25.0,,,27-19,1,R. Westbrook makes free throw 1 of 2
4:25.0,,,27-20,1,R. Westbrook makes free throw 2 of 2
4:25.0,E. Moore enters the game for H. Thompson,,27-19,,
4:10.0,E. Moore misses 2-pt shot from 14 ft,,27-20,,
4:10.0,,,27-20,,Defensive rebound by D. McDermott
3:55.0,,,27-22,2,R. Westbrook makes 2-pt shot from 16 ft
3:37.0,A. Davis makes 2-pt shot from 9 ft,2,29-22,,
3:22.0,,,29-22,,Turnover by R. Westbrook (bad pass; steal by E. Moore)
3:18.0,Turnover by E. Moore (bad pass),,29-22,,
3:18.0,,,29-22,,T. Gibson enters the game for S. Adams
3:06.0,,,29-25,3,A. Abrines makes 3-pt shot from 23 ft (assist by R. Westbrook)
3:00.0,New Orleans full timeout,,29-25,,
2:48.0,A. Davis misses 2-pt shot from 11 ft,,29-25,,
2:48.0,,,29-25,,Defensive rebound by D. McDermott
2:35.0,,,29-27,2,E. Kanter makes 2-pt shot at rim (assist by R. Westbrook)
