time,Golden State,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. Z. Pachulia (P. McCaw gains possession),,,,Jump ball: D. Howard vs. Z. Pachulia (P. McCaw gains possession)
11:45.0,S. Curry misses 3-pt shot from 23 ft,,0-0,,
11:44.0,,,0-0,,Defensive rebound by D. Howard
11:23.0,,,0-2,2,D. Howard makes 2-pt shot at rim (assist by T. Sefolosha)
11:07.0,D. Green makes 3-pt shot from 25 ft (assist by Z. Pachulia),3,3-2,,
10:48.0,,,3-2,,D. Schroder misses 3-pt shot from 24 ft
10:45.0,Defensive rebound by Z. Pachulia,,3-2,,
10:36.0,Z. Pachulia makes 2-pt shot from 12 ft (assist by K. Thompson),2,5-2,,
10:12.0,,,5-4,2,P. Millsap makes 2-pt shot from 17 ft (assist by D. Schroder)
9:57.0,D. Green makes 2-pt shot from 2 ft (assist by K. Thompson),2,7-4,,
9:51.0,,,7-4,,Turnover by D. Howard (offensive foul)
9:51.0,,,7-4,,Offensive foul by D. Howard
9:43.0,Turnover by P. McCaw (traveling),,7-4,,
9:32.0,,,7-6,2,D. Schroder makes 2-pt shot from 1 ft
9:17.0,P. McCaw misses 3-pt shot from 24 ft,,7-6,,
9:16.0,,,7-6,,Defensive rebound by Team
9:03.0,,,7-8,2,K. Bazemore makes 2-pt shot from 19 ft
8:57.0,Turnover by D. Green (lost ball),,7-8,,
8:46.0,,,7-8,,D. Schroder misses 2-pt shot from 7 ft (block by K. Thompson)
8:43.0,Defensive rebound by Z. Pachulia,,7-8,,
8:40.0,P. McCaw misses 2-pt shot from 3 ft (block by P. Millsap),,7-8,,
8:38.0,Offensive rebound by P. McCaw,,7-8,,
8:36.0,P. McCaw misses 2-pt shot from 1 ft (block by T. Sefolosha),,7-8,,
8:35.0,,,7-8,,Defensive rebound by T. Sefolosha
8:31.0,,,7-11,3,D. Schroder makes 3-pt shot from 26 ft (assist by T. Sefolosha)
8:17.0,K. Thompson misses 3-pt shot from 26 ft,,7-11,,
8:16.0,,,7-11,,Defensive rebound by P. Millsap
8:09.0,,,7-11,,K. Bazemore misses 2-pt shot from 18 ft
8:07.0,,,7-11,,Offensive rebound by D. Howard
8:07.0,,,7-11,,Shooting foul by Z. Pachulia (drawn by D. Howard)
8:07.0,,,7-11,,D. Howard misses free throw 1 of 2
8:07.0,,,7-11,,Offensive rebound by Team
8:07.0,,,7-12,1,D. Howard makes free throw 2 of 2
7:51.0,K. Thompson misses 3-pt shot from 25 ft,,7-12,,
7:50.0,,,7-12,,Defensive rebound by D. Schroder
7:39.0,,,7-14,2,K. Bazemore makes 2-pt shot from 2 ft (assist by P. Millsap)
7:39.0,Golden State full timeout,,7-14,,
7:26.0,S. Curry misses 2-pt shot from 21 ft,,7-14,,
7:24.0,,,7-14,,Defensive rebound by D. Howard
7:11.0,,,7-14,,P. Millsap misses 3-pt shot from 25 ft
7:09.0,Defensive rebound by P. McCaw,,7-14,,
7:04.0,D. Green makes 2-pt shot from 2 ft (assist by Z. Pachulia),2,9-14,,
6:50.0,,,9-14,,K. Bazemore misses 3-pt shot from 25 ft
6:48.0,,,9-14,,Offensive rebound by P. Millsap
6:46.0,,,9-14,,P. Millsap misses 2-pt shot from 5 ft
6:45.0,Defensive rebound by Z. Pachulia,,9-14,,
6:42.0,Turnover by K. Thompson (traveling),,9-14,,
6:24.0,Personal foul by Z. Pachulia (drawn by D. Howard),,9-14,,
6:24.0,J. McGee enters the game for Z. Pachulia,,9-14,,
6:24.0,A. Iguodala enters the game for P. McCaw,,9-14,,
6:14.0,,,9-14,,Shooting foul by A. Iguodala (drawn by P. Millsap)
6:14.0,,,9-15,1,P. Millsap makes free throw 1 of 2
6:14.0,,,9-16,1,P. Millsap makes free throw 2 of 2
6:02.0,D. Green misses 2-pt shot at rim (block by K. Bazemore),,9-16,,
6:02.0,Offensive rebound by D. Green,,9-16,,
6:02.0,Shooting foul by P. Millsap (drawn by D. Green),,9-16,,
6:02.0,D. Green makes free throw 1 of 2,1,10-16,,
6:02.0,D. Green makes free throw 2 of 2,1,11-16,,
6:02.0,,,10-16,,T. Hardaway enters the game for K. Bazemore
5:51.0,,,11-19,3,D. Schroder makes 3-pt shot from 24 ft (assist by T. Hardaway)
5:38.0,J. McGee makes 2-pt shot at rim (assist by D. Green),2,13-19,,
5:26.0,,,13-19,,Shooting foul by D. Green (drawn by D. Howard)
5:26.0,,,13-20,1,D. Howard makes free throw 1 of 2
5:26.0,,,13-20,,D. Howard misses free throw 2 of 2
5:25.0,,,13-20,,Offensive rebound by T. Hardaway
5:20.0,,,13-23,3,T. Sefolosha makes 3-pt shot from 25 ft (assist by D. Schroder)
5:02.0,J. McGee makes 2-pt shot from 1 ft,2,15-23,,
4:54.0,Personal foul by K. Thompson (drawn by P. Millsap),,15-23,,
4:54.0,,,15-24,1,P. Millsap makes free throw 1 of 2
4:54.0,,,15-25,1,P. Millsap makes free throw 2 of 2
4:44.0,A. Iguodala makes 3-pt shot from 24 ft (assist by S. Curry),3,18-25,,
4:21.0,,,18-25,,Turnover by T. Sefolosha (bad pass)
4:14.0,S. Curry misses 3-pt shot from 26 ft,,18-25,,
4:11.0,,,18-25,,Defensive rebound by P. Millsap
4:05.0,,,18-25,,Turnover by D. Howard (3 sec)
4:05.0,P. McCaw enters the game for D. Green,,18-25,,
4:05.0,M. Barnes enters the game for K. Thompson,,18-25,,
4:05.0,,,18-25,,T. Waller-Prince enters the game for T. Sefolosha
4:05.0,,,18-25,,E. Ilyasova enters the game for D. Howard
3:49.0,M. Barnes makes 3-pt shot from 24 ft (assist by J. McGee),3,21-25,,
3:34.0,,,21-25,,P. Millsap misses 2-pt shot from 1 ft
3:31.0,Defensive rebound by J. McGee,,21-25,,
3:28.0,A. Iguodala makes 2-pt shot at rim (assist by S. Curry),2,23-25,,
3:27.0,,,23-25,,Atlanta full timeout
3:12.0,,,23-27,2,D. Schroder makes 2-pt shot from 3 ft
3:12.0,,,23-27,,Shooting foul by J. McGee (drawn by D. Schroder)
3:12.0,,,23-28,1,D. Schroder makes free throw 1 of 1
2:59.0,Shooting foul by T. Waller-Prince (drawn by A. Iguodala),,23-28,,
2:59.0,A. Iguodala misses free throw 1 of 3,,23-28,,
2:59.0,Offensive rebound by Team,,23-28,,
2:59.0,A. Iguodala makes free throw 2 of 3,1,24-28,,
2:59.0,A. Iguodala makes free throw 3 of 3,1,25-28,,
2:59.0,,,24-28,,M. Delaney enters the game for T. Waller-Prince
2:51.0,,,25-31,3,D. Schroder makes 3-pt shot from 25 ft
2:47.0,Golden State full timeout,,25-31,,
2:40.0,Shooting foul by E. Ilyasova (drawn by A. Iguodala),,25-31,,
2:40.0,A. Iguodala makes free throw 1 of 2,1,26-31,,
2:40.0,A. Iguodala makes free throw 2 of 2,1,27-31,,
2:25.0,,,27-33,2,T. Hardaway makes 2-pt shot from 19 ft (assist by P. Millsap)
2:04.0,M. Barnes misses 3-pt shot from 25 ft,,27-33,,
2:02.0,,,27-33,,Defensive rebound by D. Schroder
1:56.0,,,27-35,2,D. Schroder makes 2-pt shot from 22 ft
1:40.0,S. Curry makes 2-pt shot from 2 ft (assist by M. Barnes),2,29-35,,
1:24.0,,,29-35,,M. Delaney misses 3-pt shot from 25 ft
1:22.0,,,29-35,,Offensive rebound by P. Millsap
1:06.0,,,29-35,,E. Ilyasova misses 3-pt shot from 23 ft
1:01.0,Defensive rebound by P. McCaw,,29-35,,
0:55.0,Turnover by M. Barnes (bad pass; steal by E. Ilyasova),,29-35,,
0:54.0,Personal take foul by A. Iguodala (drawn by E. Ilyasova),,29-35,,
0:54.0,,,29-36,1,E. Ilyasova makes free throw 1 of 2
0:54.0,,,29-37,1,E. Ilyasova makes free throw 2 of 2
0:54.0,D. Green enters the game for J. McGee,,29-36,,
0:54.0,S. Livingston enters the game for A. Iguodala,,29-36,,
0:45.0,S. Curry makes 3-pt shot from 24 ft,3,32-37,,
0:33.0,Violation by S. Curry (kicked ball),,32-37,,
0:28.0,,,32-40,3,D. Schroder makes 3-pt shot from 26 ft
0:15.0,,,32-40,,Personal foul by D. Schroder (drawn by S. Curry)
0:15.0,K. Thompson enters the game for P. McCaw,,32-40,,
0:15.0,,,32-40,,T. Waller-Prince enters the game for D. Schroder
0:15.0,I. Clark enters the game for M. Barnes,,32-40,,
0:07.0,I. Clark makes 3-pt shot from 24 ft (assist by D. Green),3,35-40,,
