time,Philadelphia,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. J. Embiid (S. Rodriguez gains possession),,,,Jump ball: C. Capela vs. J. Embiid (S. Rodriguez gains possession)
11:39.0,J. Embiid makes 2-pt shot from 19 ft,2,2-0,,
11:22.0,,,2-0,,Turnover by J. Harden (bad pass; steal by S. Rodriguez)
11:14.0,J. Embiid misses 3-pt shot from 26 ft,,2-0,,
11:13.0,,,2-0,,Defensive rebound by E. Gordon
11:03.0,,,2-0,,E. Gordon misses 2-pt shot from 22 ft
11:02.0,Defensive rebound by J. Embiid,,2-0,,
10:55.0,,,2-0,,Personal foul by E. Gordon (drawn by J. Embiid)
10:42.0,Turnover by J. Embiid (lost ball; steal by T. Ariza),,2-0,,
10:36.0,,,2-3,3,T. Ariza makes 3-pt shot from 26 ft (assist by J. Harden)
10:24.0,J. Embiid makes 2-pt shot from 2 ft (assist by S. Rodriguez),2,4-3,,
10:24.0,Shooting foul by J. Harden (drawn by J. Embiid),,4-3,,
10:24.0,J. Embiid makes free throw 1 of 1,1,5-3,,
10:11.0,Personal foul by R. Covington (drawn by T. Ariza),,5-3,,
10:06.0,,,5-3,,Turnover by J. Harden (bad pass; steal by J. Embiid)
9:58.0,D. Saric makes 2-pt shot at rim (assist by G. Henderson),2,7-3,,
9:44.0,,,7-5,2,E. Gordon makes 2-pt shot from 2 ft (assist by J. Harden)
9:27.0,D. Saric misses 2-pt shot from 4 ft (block by C. Capela),,7-5,,
9:27.0,Offensive rebound by Team,,7-5,,
9:25.0,J. Embiid makes 2-pt shot at rim (assist by S. Rodriguez),2,9-5,,
9:08.0,,,9-5,,C. Capela misses 2-pt shot from 1 ft
9:05.0,,,9-5,,Offensive rebound by T. Ariza
9:05.0,,,9-7,2,T. Ariza makes 2-pt shot from 1 ft
8:45.0,D. Saric makes 3-pt shot from 25 ft (assist by S. Rodriguez),3,12-7,,
8:35.0,,,12-9,2,J. Harden makes 2-pt shot from 3 ft
8:27.0,R. Covington misses 3-pt shot from 25 ft,,12-9,,
8:26.0,,,12-9,,Defensive rebound by J. Harden
8:08.0,,,12-9,,E. Gordon misses 2-pt shot from 3 ft (block by S. Rodriguez)
8:08.0,,,12-9,,Offensive rebound by Team
8:08.0,J. Okafor enters the game for J. Embiid,,12-9,,
8:03.0,,,12-9,,Shooting foul by R. Covington (drawn by J. Harden)
8:03.0,,,12-10,1,J. Harden makes free throw 1 of 2
8:03.0,,,12-11,1,J. Harden makes free throw 2 of 2
8:03.0,H. Thompson enters the game for R. Covington,,12-10,,
7:46.0,D. Saric misses 2-pt shot from 20 ft,,12-11,,
7:44.0,,,12-11,,Defensive rebound by T. Ariza
7:39.0,,,12-11,,R. Anderson misses 3-pt shot from 32 ft
7:38.0,Defensive rebound by J. Okafor,,12-11,,
7:25.0,D. Saric misses 2-pt shot from 6 ft,,12-11,,
7:23.0,,,12-11,,Defensive rebound by C. Capela
7:09.0,,,12-14,3,E. Gordon makes 3-pt shot from 24 ft
6:44.0,J. Okafor makes 2-pt shot from 11 ft,2,14-14,,
6:27.0,,,14-16,2,J. Harden makes 2-pt shot from 20 ft
6:12.0,G. Henderson misses 2-pt shot from 20 ft,,14-16,,
6:09.0,,,14-16,,Defensive rebound by J. Harden
5:56.0,,,14-16,,E. Gordon misses 2-pt shot from 5 ft (block by H. Thompson)
5:56.0,,,14-16,,Offensive rebound by Team
5:56.0,,,14-16,,S. Dekker enters the game for C. Capela
5:56.0,,,14-16,,N. Hilario enters the game for E. Gordon
5:56.0,E. Ilyasova enters the game for D. Saric,,14-16,,
5:48.0,,,14-16,,Offensive charge foul by R. Anderson
5:48.0,,,14-16,,Turnover by R. Anderson (offensive foul)
5:38.0,S. Rodriguez misses 2-pt shot from 18 ft,,14-16,,
5:36.0,Offensive rebound by H. Thompson,,14-16,,
5:29.0,Shooting foul by S. Dekker (drawn by H. Thompson),,14-16,,
5:29.0,H. Thompson makes free throw 1 of 2,1,15-16,,
5:29.0,H. Thompson misses free throw 2 of 2,,15-16,,
5:27.0,,,15-16,,Defensive rebound by N. Hilario
5:27.0,,,15-16,,N. Hilario misses 2-pt shot from 2 ft
5:27.0,,,15-16,,Offensive rebound by N. Hilario
5:27.0,,,15-18,2,N. Hilario makes 2-pt shot from 2 ft
5:00.0,N. Stauskas enters the game for G. Henderson,,15-18,,
4:59.0,H. Thompson misses 2-pt shot from 3 ft,,15-18,,
4:58.0,Offensive rebound by H. Thompson,,15-18,,
4:58.0,H. Thompson misses 2-pt shot from 3 ft (block by T. Ariza),,15-18,,
4:56.0,,,15-18,,Defensive rebound by T. Ariza
4:51.0,,,15-21,3,J. Harden makes 3-pt shot from 25 ft
4:29.0,N. Stauskas misses 3-pt shot from 26 ft,,15-21,,
4:28.0,Offensive rebound by Team,,15-21,,
4:28.0,T. McConnell enters the game for S. Rodriguez,,15-21,,
4:13.0,N. Stauskas misses 3-pt shot from 25 ft,,15-21,,
4:12.0,,,15-21,,Defensive rebound by T. Ariza
4:05.0,,,15-23,2,J. Harden makes 2-pt shot from 3 ft
3:53.0,,,15-23,,Personal foul by N. Hilario (drawn by J. Okafor)
3:53.0,J. Embiid enters the game for J. Okafor,,15-23,,
3:46.0,E. Ilyasova misses 2-pt shot from 3 ft (block by N. Hilario),,15-23,,
3:43.0,Offensive rebound by J. Embiid,,15-23,,
3:40.0,J. Embiid makes 2-pt shot at rim,2,17-23,,
3:30.0,,,17-23,,Shooting foul by T. McConnell (drawn by J. Harden)
3:30.0,,,17-24,1,J. Harden makes free throw 1 of 3
3:30.0,,,17-25,1,J. Harden makes free throw 2 of 3
3:30.0,,,17-26,1,J. Harden makes free throw 3 of 3
3:30.0,,,17-25,,C. Brewer enters the game for R. Anderson
3:09.0,H. Thompson makes 2-pt shot from 4 ft (assist by T. McConnell),2,19-26,,
2:50.0,,,19-26,,T. Ariza misses 3-pt shot from 25 ft
2:48.0,Defensive rebound by E. Ilyasova,,19-26,,
2:36.0,Turnover by H. Thompson (lost ball; steal by T. Ariza),,19-26,,
2:30.0,,,19-28,2,J. Harden makes 2-pt shot at rim (assist by T. Ariza)
2:27.0,Philadelphia full timeout,,19-28,,
2:16.0,N. Stauskas misses 2-pt shot from 4 ft,,19-28,,
2:15.0,,,19-28,,Defensive rebound by C. Brewer
2:11.0,,,19-30,2,J. Harden makes 2-pt shot from 1 ft (assist by T. Ariza)
1:58.0,N. Stauskas makes 3-pt shot from 24 ft (assist by J. Embiid),3,22-30,,
1:40.0,,,22-33,3,J. Harden makes 3-pt shot from 26 ft
1:25.0,E. Ilyasova makes 2-pt shot from 20 ft,2,24-33,,
1:10.0,,,24-33,,T. Ariza misses 2-pt shot from 3 ft (block by J. Embiid)
1:10.0,,,24-33,,Offensive rebound by J. Harden
1:06.0,,,24-35,2,J. Harden makes 2-pt shot from 19 ft
0:47.0,J. Embiid misses 2-pt shot from 7 ft,,24-35,,
0:46.0,,,24-35,,Defensive rebound by J. Harden
0:37.0,,,24-35,,Shooting foul by J. Embiid (drawn by S. Dekker)
0:37.0,,,24-35,,S. Dekker misses free throw 1 of 2
0:37.0,,,24-35,,Offensive rebound by Team
0:37.0,,,24-35,,S. Dekker misses free throw 2 of 2
0:37.0,Defensive rebound by J. Embiid,,24-35,,
0:24.0,T. McConnell makes 2-pt shot from 17 ft,2,26-35,,
0:02.0,,,26-38,3,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,Personal foul by H. Thompson (drawn by C. Capela),,26-38,,
11:39.0,,,26-38,,T. Ennis misses 2-pt shot from 3 ft
11:38.0,,,26-38,,Offensive rebound by R. Anderson
11:36.0,,,26-40,2,R. Anderson makes 2-pt shot from 1 ft
11:23.0,J. Okafor misses 2-pt shot from 5 ft (block by C. Capela),,26-40,,
11:21.0,,,26-40,,Defensive rebound by R. Anderson
11:18.0,,,26-42,2,C. Brewer makes 2-pt shot at rim (assist by T. Ennis)
11:03.0,Shooting foul by E. Gordon (drawn by N. Stauskas),,26-42,,
11:03.0,N. Stauskas makes free throw 1 of 2,1,27-42,,
11:03.0,N. Stauskas makes free throw 2 of 2,1,28-42,,
11:03.0,G. Henderson enters the game for H. Thompson,,27-42,,
10:50.0,,,28-42,,R. Anderson misses 2-pt shot from 6 ft
10:49.0,,,28-42,,Offensive rebound by Team
10:44.0,,,28-42,,C. Brewer misses 3-pt shot from 23 ft
10:43.0,Defensive rebound by N. Stauskas,,28-42,,
10:28.0,J. Okafor misses 2-pt shot from 8 ft,,28-42,,
10:26.0,Offensive rebound by G. Henderson,,28-42,,
10:19.0,G. Henderson makes 2-pt shot from 6 ft,2,30-42,,
10:12.0,,,30-42,,T. Ennis misses 2-pt shot from 5 ft
10:11.0,,,30-42,,Offensive rebound by C. Brewer
10:11.0,,,30-42,,Shooting foul by N. Stauskas (drawn by C. Brewer)
10:11.0,,,30-43,1,C. Brewer makes free throw 1 of 2
10:11.0,,,30-44,1,C. Brewer makes free throw 2 of 2
10:11.0,D. Saric enters the game for E. Ilyasova,,30-43,,
10:11.0,S. Rodriguez enters the game for T. McConnell,,30-43,,
9:55.0,J. Okafor misses 2-pt shot from 4 ft (block by C. Capela),,30-44,,
9:52.0,,,30-44,,Defensive rebound by C. Brewer
9:50.0,,,30-44,,Turnover by C. Brewer (bad pass; steal by N. Stauskas)
