time,Minnesota,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. N. Vonleh (B. Rush gains possession),,,,Jump ball: K. Towns vs. N. Vonleh (B. Rush gains possession)
11:43.0,A. Wiggins makes 2-pt shot from 2 ft,2,2-0,,
11:28.0,,,2-2,2,N. Vonleh makes 2-pt shot at rim (assist by D. Lillard)
11:08.0,K. Towns makes 2-pt shot from 6 ft (assist by A. Wiggins),2,4-2,,
11:01.0,,,4-2,,C. McCollum misses 2-pt shot from 1 ft (block by K. Towns)
10:59.0,Defensive rebound by G. Dieng,,4-2,,
10:42.0,A. Wiggins makes 2-pt shot from 7 ft,2,6-2,,
10:21.0,,,6-2,,A. Aminu misses 2-pt shot from 4 ft
10:21.0,Defensive rebound by R. Rubio,,6-2,,
10:15.0,B. Rush misses 3-pt shot from 25 ft,,6-2,,
10:13.0,,,6-2,,Defensive rebound by M. Harkless
10:02.0,,,6-2,,D. Lillard misses 2-pt shot from 20 ft
10:01.0,Defensive rebound by R. Rubio,,6-2,,
9:51.0,A. Wiggins makes 2-pt shot from 7 ft (assist by R. Rubio),2,8-2,,
9:29.0,,,8-2,,M. Harkless misses 2-pt shot from 3 ft
9:28.0,Defensive rebound by K. Towns,,8-2,,
9:15.0,A. Wiggins makes 2-pt shot from 1 ft (assist by G. Dieng),2,10-2,,
8:55.0,,,10-2,,A. Aminu misses 3-pt shot from 25 ft
8:55.0,Defensive rebound by K. Towns,,10-2,,
8:42.0,K. Towns makes 2-pt shot from 3 ft (assist by R. Rubio),2,12-2,,
8:42.0,,,12-2,,Portland full timeout
8:27.0,,,12-2,,D. Lillard misses 3-pt shot from 28 ft
8:26.0,,,12-2,,Offensive rebound by N. Vonleh
8:26.0,,,12-4,2,N. Vonleh makes 2-pt shot at rim
8:26.0,,,12-4,,Shooting foul by G. Dieng (drawn by N. Vonleh)
8:26.0,,,12-5,1,N. Vonleh makes free throw 1 of 1
8:14.0,R. Rubio makes 2-pt shot from 19 ft,2,14-5,,
8:01.0,,,14-8,3,A. Aminu makes 3-pt shot from 24 ft (assist by D. Lillard)
7:46.0,A. Wiggins makes 3-pt shot from 25 ft (assist by K. Towns),3,17-8,,
7:36.0,Personal block foul by B. Rush (drawn by D. Lillard),,17-8,,
7:31.0,,,17-8,,Shooting foul by A. Wiggins (drawn by A. Aminu)
7:31.0,,,17-8,,A. Aminu misses free throw 1 of 2
7:31.0,,,17-8,,Offensive rebound by Team
7:31.0,,,17-9,1,A. Aminu makes free throw 2 of 2
7:20.0,K. Towns misses 2-pt shot from 5 ft,,17-9,,
7:20.0,,,17-9,,Defensive rebound by A. Aminu
7:14.0,,,17-9,,A. Aminu misses 2-pt shot at rim
7:14.0,Defensive rebound by K. Towns,,17-9,,
7:04.0,R. Rubio makes 3-pt shot from 24 ft,3,20-9,,
6:46.0,,,20-9,,D. Lillard misses 2-pt shot from 2 ft
6:46.0,Defensive rebound by Team,,20-9,,
6:46.0,,,20-9,,Loose ball foul by N. Vonleh (drawn by K. Towns)
6:35.0,K. Towns misses 3-pt shot from 25 ft,,20-9,,
6:33.0,,,20-9,,Defensive rebound by D. Lillard
6:25.0,,,20-12,3,C. McCollum makes 3-pt shot from 25 ft (assist by D. Lillard)
6:09.0,R. Rubio misses 2-pt shot from 2 ft,,20-12,,
6:09.0,,,20-12,,Defensive rebound by N. Vonleh
6:03.0,,,20-12,,D. Lillard misses 2-pt shot from 3 ft (block by G. Dieng)
6:01.0,Defensive rebound by R. Rubio,,20-12,,
5:51.0,B. Rush misses 3-pt shot from 23 ft,,20-12,,
