time,Memphis,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. M. Gasol (L. Aldridge gains possession),,,,Jump ball: D. Dedmon vs. M. Gasol (L. Aldridge gains possession)
11:38.0,,,0-0,,L. Aldridge misses 2-pt shot from 21 ft
11:37.0,Defensive rebound by M. Conley,,0-0,,
11:13.0,M. Gasol makes 2-pt shot from 12 ft (assist by M. Conley),2,2-0,,
10:56.0,,,2-2,2,T. Parker makes 2-pt shot from 8 ft
10:47.0,M. Gasol makes 3-pt shot from 25 ft (assist by M. Conley),3,5-2,,
10:21.0,,,5-2,,D. Green misses 3-pt shot from 23 ft
10:21.0,Defensive rebound by M. Conley,,5-2,,
10:10.0,Memphis full timeout,,5-2,,
10:00.0,M. Conley makes 3-pt shot from 25 ft,3,8-2,,
9:35.0,,,8-5,3,K. Leonard makes 3-pt shot from 25 ft (assist by T. Parker)
9:14.0,M. Gasol makes 2-pt shot from 12 ft (assist by W. Selden),2,10-5,,
8:55.0,,,10-5,,T. Parker misses 2-pt shot from 20 ft
8:55.0,Defensive rebound by V. Carter,,10-5,,
8:39.0,,,10-5,,Personal foul by T. Parker (drawn by M. Gasol)
8:33.0,M. Conley makes 2-pt shot from 8 ft (assist by M. Gasol),2,12-5,,
8:32.0,,,12-5,,San Antonio full timeout
8:32.0,,,12-5,,P. Gasol enters the game for D. Dedmon
8:13.0,,,12-7,2,K. Leonard makes 2-pt shot from 1 ft
7:57.0,V. Carter misses 2-pt shot from 5 ft (block by D. Green),,12-7,,
7:55.0,,,12-7,,Defensive rebound by L. Aldridge
7:48.0,,,12-7,,L. Aldridge misses 2-pt shot from 18 ft
7:47.0,Defensive rebound by W. Selden,,12-7,,
7:37.0,J. Green makes 3-pt shot from 22 ft (assist by M. Conley),3,15-7,,
7:22.0,,,15-7,,Turnover by K. Leonard (bad pass; steal by M. Conley)
7:16.0,M. Conley makes 3-pt shot from 25 ft,3,18-7,,
6:56.0,,,18-7,,T. Parker misses 2-pt shot at rim (block by J. Green)
6:53.0,,,18-7,,Offensive rebound by T. Parker
6:50.0,,,18-9,2,T. Parker makes 2-pt shot from 1 ft
6:42.0,M. Gasol misses 2-pt shot from 1 ft,,18-9,,
6:42.0,,,18-9,,Defensive rebound by Team
6:42.0,Loose ball foul by M. Gasol (drawn by D. Green),,18-9,,
6:42.0,,,18-9,,P. Mills enters the game for T. Parker
6:42.0,,,18-9,,M. Ginobili enters the game for D. Green
6:25.0,,,18-9,,M. Ginobili misses 3-pt shot from 25 ft
6:24.0,Defensive rebound by W. Selden,,18-9,,
6:01.0,J. Green misses 2-pt shot from 14 ft,,18-9,,
6:01.0,,,18-9,,Defensive rebound by L. Aldridge
5:46.0,,,18-9,,P. Gasol misses 2-pt shot from 16 ft
5:45.0,Defensive rebound by M. Conley,,18-9,,
5:39.0,W. Selden makes 2-pt shot at rim (assist by M. Conley),2,20-9,,
5:19.0,,,20-9,,Turnover by P. Mills (bad pass; steal by M. Conley)
5:15.0,V. Carter makes 2-pt shot at rim,2,22-9,,
5:15.0,,,22-9,,San Antonio full timeout
5:15.0,,,22-9,,D. Lee enters the game for L. Aldridge
5:15.0,Z. Randolph enters the game for J. Green,,22-9,,
5:15.0,A. Harrison enters the game for M. Conley,,22-9,,
4:55.0,,,22-9,,P. Gasol misses 2-pt shot from 7 ft (block by M. Gasol)
4:54.0,Defensive rebound by A. Harrison,,22-9,,
4:38.0,V. Carter misses 3-pt shot from 26 ft,,22-9,,
4:37.0,,,22-9,,Defensive rebound by P. Mills
4:27.0,,,22-11,2,K. Leonard makes 2-pt shot from 12 ft
4:03.0,M. Gasol makes 2-pt shot from 9 ft,2,24-11,,
3:42.0,,,24-13,2,D. Lee makes 2-pt shot from 8 ft (assist by K. Leonard)
3:15.0,Z. Randolph makes 2-pt shot from 8 ft,2,26-13,,
3:06.0,Personal foul by A. Harrison,,26-13,,
