time,Milwaukee,pts.away,score,pts.home,Miami
3:23.0,M. Teletovic enters the game for J. Parker,,20-11,,
3:23.0,J. Terry enters the game for T. Snell,,20-11,,
3:06.0,M. Beasley misses 2-pt shot from 17 ft,,20-11,,
3:05.0,,,20-11,,Defensive rebound by D. Waiters
2:54.0,,,20-13,2,D. Waiters makes 2-pt shot from 1 ft
2:41.0,M. Beasley makes 2-pt shot from 1 ft,2,22-13,,
2:25.0,,,22-13,,D. Waiters misses 3-pt shot from 23 ft
2:24.0,,,22-13,,Offensive rebound by R. McGruder
2:15.0,,,22-15,2,J. Johnson makes 2-pt shot from 2 ft (assist by T. Johnson)
2:00.0,M. Beasley misses 2-pt shot from 5 ft,,22-15,,
1:59.0,,,22-15,,Defensive rebound by J. Johnson
1:49.0,,,22-15,,R. McGruder misses 3-pt shot from 25 ft
1:48.0,Defensive rebound by M. Plumlee,,22-15,,
1:33.0,M. Teletovic misses 3-pt shot from 25 ft,,22-15,,
1:32.0,,,22-15,,Defensive rebound by W. Reed
1:24.0,,,22-15,,Shooting foul by M. Brogdon (drawn by T. Johnson)
1:24.0,,,22-15,,T. Johnson misses free throw 1 of 2
1:24.0,,,22-15,,Offensive rebound by Team
1:24.0,,,22-16,1,T. Johnson makes free throw 2 of 2
1:24.0,J. Parker enters the game for M. Beasley,,22-15,,
1:05.0,M. Teletovic makes 3-pt shot from 25 ft (assist by J. Terry),3,25-16,,
0:49.0,,,25-18,2,W. Reed makes 2-pt shot from 4 ft (assist by D. Waiters)
0:35.0,Offensive foul by M. Brogdon,,25-18,,
0:35.0,Turnover by M. Brogdon (offensive foul),,25-18,,
0:35.0,M. Dellavedova enters the game for M. Brogdon,,25-18,,
0:28.0,,,25-20,2,D. Waiters makes 2-pt shot from 3 ft
0:28.0,,,25-20,,Shooting foul by M. Teletovic (drawn by D. Waiters)
0:28.0,,,25-21,1,D. Waiters makes free throw 1 of 1
0:07.0,M. Plumlee makes 2-pt shot from 4 ft (assist by M. Dellavedova),2,27-21,,
0:05.0,,,27-21,,D. Waiters misses 2-pt shot from 20 ft
