time,Phoenix,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Cauley-Stein vs. A. Len (T. Lawson gains possession),,,,Jump ball: W. Cauley-Stein vs. A. Len (T. Lawson gains possession)
11:43.0,,,0-0,,Turnover by W. Cauley-Stein (bad pass; steal by A. Len)
11:30.0,M. Chriss misses 2-pt shot from 10 ft,,0-0,,
11:29.0,Offensive rebound by D. Jones,,0-0,,
11:29.0,D. Jones misses 2-pt shot from 1 ft,,0-0,,
11:26.0,,,0-0,,Defensive rebound by B. Hield
11:15.0,,,0-0,,Shooting foul by D. Jones (drawn by S. Labissiere)
11:15.0,,,0-1,1,S. Labissiere makes free throw 1 of 2
11:15.0,,,0-2,1,S. Labissiere makes free throw 2 of 2
11:03.0,T. Warren misses 2-pt shot from 5 ft,,0-2,,
11:02.0,,,0-2,,Defensive rebound by T. Lawson
10:56.0,,,0-4,2,B. Hield makes 2-pt shot from 15 ft (assist by T. Lawson)
10:37.0,T. Ulis misses 2-pt shot from 17 ft,,0-4,,
10:35.0,,,0-4,,Defensive rebound by B. McLemore
10:19.0,,,0-4,,Shooting foul by T. Warren (drawn by S. Labissiere)
10:19.0,,,0-4,,S. Labissiere misses free throw 1 of 2
10:19.0,,,0-4,,Offensive rebound by Team
10:19.0,,,0-5,1,S. Labissiere makes free throw 2 of 2
9:58.0,A. Len misses 2-pt shot from 15 ft,,0-5,,
9:58.0,,,0-5,,Defensive rebound by T. Lawson
9:49.0,,,0-7,2,B. Hield makes 2-pt shot from 9 ft
9:46.0,Turnover by A. Len (bad pass; steal by B. McLemore),,0-7,,
9:45.0,,,0-7,,Shooting foul by A. Len (drawn by B. McLemore)
9:45.0,,,0-8,1,B. McLemore makes free throw 1 of 2
9:45.0,,,0-9,1,B. McLemore makes free throw 2 of 2
9:25.0,A. Len misses 2-pt shot from 11 ft,,0-9,,
9:24.0,,,0-9,,Defensive rebound by B. McLemore
9:13.0,,,0-9,,S. Labissiere misses 2-pt shot from 10 ft
9:12.0,Defensive rebound by M. Chriss,,0-9,,
9:06.0,Shooting foul by W. Cauley-Stein (drawn by D. Jones),,0-9,,
9:06.0,D. Jones makes free throw 1 of 2,1,1-9,,
9:06.0,D. Jones misses free throw 2 of 2,,1-9,,
