time,Boston,pts.away,score,pts.home,Chicago
0:00.0,,,25-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,25-25,3,D. McDermott makes 3-pt shot from 25 ft (assist by R. Rondo)
11:21.0,T. Rozier misses 2-pt shot from 13 ft (block by R. Rondo),,25-25,,
11:18.0,Offensive rebound by M. Smart,,25-25,,
11:17.0,M. Smart misses 2-pt shot from 2 ft,,25-25,,
11:17.0,,,25-25,,Defensive rebound by B. Portis
11:17.0,Personal foul by T. Rozier (drawn by B. Portis),,25-25,,
10:55.0,,,25-27,2,D. McDermott makes 2-pt shot from 21 ft
10:40.0,T. Rozier makes 3-pt shot from 25 ft (assist by T. Zeller),3,28-27,,
10:20.0,,,28-29,2,B. Portis makes 2-pt shot from 17 ft
9:57.0,T. Zeller makes 2-pt shot from 2 ft (assist by K. Olynyk),2,30-29,,
9:39.0,,,30-29,,Shooting foul by K. Olynyk (drawn by B. Portis)
9:39.0,,,30-30,1,B. Portis makes free throw 1 of 2
9:39.0,,,30-31,1,B. Portis makes free throw 2 of 2
9:27.0,J. Young makes 2-pt shot from 3 ft (assist by T. Zeller),2,32-31,,
9:18.0,,,32-31,,Turnover by R. Rondo (bad pass)
9:09.0,K. Olynyk makes 3-pt shot from 25 ft (assist by T. Rozier),3,35-31,,
8:58.0,,,35-31,,R. Rondo misses 2-pt shot from 3 ft
8:57.0,,,35-31,,Offensive rebound by C. Felicio
8:57.0,,,35-31,,C. Felicio misses 2-pt shot from 2 ft
8:56.0,Defensive rebound by T. Rozier,,35-31,,
8:52.0,T. Zeller makes 2-pt shot from 2 ft (assist by T. Rozier),2,37-31,,
8:52.0,,,37-31,,Chicago full timeout
8:37.0,,,37-31,,B. Portis misses 3-pt shot from 24 ft
8:36.0,,,37-31,,Offensive rebound by R. Rondo
8:31.0,,,37-31,,R. Rondo misses 2-pt shot from 1 ft
8:30.0,,,37-31,,Offensive rebound by B. Portis
8:30.0,,,37-33,2,B. Portis makes 2-pt shot at rim
8:09.0,T. Rozier makes 3-pt shot from 25 ft,3,40-33,,
7:52.0,,,40-35,2,D. McDermott makes 2-pt shot from 13 ft
7:41.0,J. Young makes 3-pt shot from 26 ft (assist by T. Zeller),3,43-35,,
7:24.0,,,43-35,,D. McDermott misses 3-pt shot from 25 ft
7:23.0,Defensive rebound by J. Young,,43-35,,
7:17.0,Shooting foul by C. Felicio (drawn by T. Rozier),,43-35,,
7:17.0,T. Rozier makes free throw 1 of 2,1,44-35,,
7:17.0,T. Rozier makes free throw 2 of 2,1,45-35,,
7:17.0,,,44-35,,J. Butler enters the game for D. Valentine
7:08.0,Personal foul by M. Smart (drawn by J. Butler),,45-35,,
7:08.0,I. Thomas enters the game for M. Smart,,45-35,,
6:59.0,,,45-38,3,B. Portis makes 3-pt shot from 23 ft (assist by J. Butler)
6:47.0,I. Thomas makes 3-pt shot from 25 ft (assist by T. Zeller),3,48-38,,
6:30.0,,,48-40,2,B. Portis makes 2-pt shot from 21 ft (assist by R. Rondo)
6:14.0,K. Olynyk misses 3-pt shot from 25 ft,,48-40,,
6:14.0,,,48-40,,Defensive rebound by C. Felicio
5:58.0,,,48-40,,Turnover by B. Portis (traveling)
5:58.0,Boston full timeout,,48-40,,
5:58.0,A. Johnson enters the game for T. Zeller,,48-40,,
5:41.0,Turnover by I. Thomas (bad pass; steal by D. McDermott),,48-40,,
5:22.0,,,48-40,,B. Portis misses 3-pt shot from 23 ft
5:20.0,Defensive rebound by T. Rozier,,48-40,,
5:14.0,I. Thomas misses 3-pt shot from 23 ft,,48-40,,
5:12.0,,,48-40,,Defensive rebound by C. Felicio
5:04.0,,,48-40,,Turnover by B. Portis (traveling)
5:04.0,J. Crowder enters the game for K. Olynyk,,48-40,,
5:04.0,A. Horford enters the game for J. Young,,48-40,,
4:50.0,Turnover by I. Thomas (lost ball; steal by R. Rondo),,48-40,,
4:46.0,,,48-42,2,J. Butler makes 2-pt shot from 1 ft (assist by R. Rondo)
4:29.0,Turnover by A. Johnson (bad pass),,48-42,,
4:29.0,,,48-42,,R. Lopez enters the game for C. Felicio
4:29.0,,,48-42,,T. Gibson enters the game for B. Portis
4:14.0,,,48-42,,D. McDermott misses 3-pt shot from 25 ft
4:12.0,,,48-42,,Offensive rebound by T. Gibson
4:08.0,,,48-42,,J. Butler misses 3-pt shot from 23 ft
