time,LA Clippers,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. D. Jordan (W. Matthews gains possession),,,,Jump ball: A. Bogut vs. D. Jordan (W. Matthews gains possession)
11:36.0,,,0-2,2,H. Barnes makes 2-pt shot from 17 ft
11:12.0,Shooting foul by D. Nowitzki (drawn by D. Jordan),,0-2,,
11:12.0,D. Jordan makes free throw 1 of 2,1,1-2,,
11:12.0,D. Jordan misses free throw 2 of 2,,1-2,,
11:12.0,,,1-2,,Defensive rebound by D. Nowitzki
11:02.0,,,1-4,2,H. Barnes makes 2-pt shot from 9 ft
10:58.0,Offensive foul by D. Jordan,,1-4,,
10:58.0,Turnover by D. Jordan (offensive foul),,1-4,,
10:47.0,Personal foul by J. Redick (drawn by W. Matthews),,1-4,,
10:36.0,,,1-7,3,D. Nowitzki makes 3-pt shot from 26 ft (assist by S. Curry)
10:18.0,J. Redick makes 2-pt shot from 18 ft (assist by B. Griffin),2,3-7,,
10:07.0,,,3-7,,W. Matthews misses 2-pt shot from 19 ft
10:06.0,,,3-7,,Offensive rebound by A. Bogut
10:04.0,,,3-7,,Turnover by A. Bogut (lost ball; steal by C. Paul)
9:57.0,Turnover by B. Griffin (bad pass; steal by A. Bogut),,3-7,,
9:41.0,,,3-9,2,A. Bogut makes 2-pt shot from 4 ft (assist by W. Matthews)
9:23.0,D. Jordan misses 2-pt shot from 6 ft,,3-9,,
9:22.0,,,3-9,,Defensive rebound by A. Bogut
9:14.0,,,3-9,,H. Barnes misses 2-pt shot from 15 ft
9:13.0,Defensive rebound by D. Jordan,,3-9,,
9:01.0,B. Griffin misses 2-pt shot from 18 ft,,3-9,,
9:00.0,,,3-9,,Defensive rebound by D. Nowitzki
8:48.0,,,3-9,,D. Nowitzki misses 3-pt shot from 25 ft
8:47.0,Defensive rebound by D. Jordan,,3-9,,
8:40.0,B. Griffin misses 2-pt shot from 1 ft,,3-9,,
8:39.0,,,3-9,,Defensive rebound by D. Nowitzki
8:21.0,,,3-9,,D. Nowitzki misses 2-pt shot from 19 ft
8:20.0,Defensive rebound by D. Jordan,,3-9,,
8:11.0,C. Paul misses 2-pt shot from 16 ft,,3-9,,
8:10.0,,,3-9,,Defensive rebound by D. Nowitzki
7:57.0,,,3-11,2,H. Barnes makes 2-pt shot at rim (assist by A. Bogut)
7:54.0,LA Clippers full timeout,,3-11,,
7:54.0,,,3-11,,D. Finney-Smith enters the game for D. Nowitzki
7:40.0,J. Redick makes 2-pt shot from 16 ft (assist by B. Griffin),2,5-11,,
7:24.0,,,5-13,2,H. Barnes makes 2-pt shot from 3 ft
7:04.0,B. Griffin misses 2-pt shot from 17 ft,,5-13,,
7:03.0,,,5-13,,Defensive rebound by S. Curry
6:48.0,,,5-13,,S. Curry misses 3-pt shot from 25 ft
6:47.0,Defensive rebound by D. Jordan,,5-13,,
6:39.0,D. Jordan makes 2-pt shot at rim (assist by B. Griffin),2,7-13,,
6:25.0,,,7-13,,S. Curry misses 2-pt shot from 19 ft
6:24.0,,,7-13,,Offensive rebound by A. Bogut
6:24.0,,,7-15,2,A. Bogut makes 2-pt shot at rim
6:10.0,,,7-15,,Personal block foul by S. Curry (drawn by C. Paul)
6:10.0,J. Crawford enters the game for L. Mbah a Moute,,7-15,,
6:10.0,,,7-15,,J. Gibson enters the game for S. Curry
6:02.0,,,7-15,,Personal foul by J. Gibson (drawn by C. Paul)
5:54.0,C. Paul makes 2-pt shot from 17 ft,2,9-15,,
5:42.0,,,9-15,,Turnover by J. Gibson (bad pass; steal by B. Griffin)
5:39.0,Shooting foul by D. Finney-Smith (drawn by B. Griffin),,9-15,,
5:39.0,B. Griffin makes free throw 1 of 2,1,10-15,,
5:39.0,B. Griffin makes free throw 2 of 2,1,11-15,,
5:21.0,,,11-15,,Turnover by W. Matthews (bad pass; steal by C. Paul)
5:14.0,J. Redick misses 3-pt shot from 23 ft,,11-15,,
5:13.0,,,11-15,,Defensive rebound by D. Finney-Smith
4:55.0,,,11-15,,J. Gibson misses 3-pt shot from 24 ft
4:54.0,Defensive rebound by J. Crawford,,11-15,,
4:46.0,C. Paul makes 3-pt shot from 24 ft,3,14-15,,
4:45.0,,,14-15,,Dallas full timeout
4:44.0,A. Rivers enters the game for J. Redick,,14-15,,
4:25.0,,,14-17,2,J. Gibson makes 2-pt shot from 18 ft (assist by D. Finney-Smith)
4:12.0,Turnover by B. Griffin (bad pass; steal by A. Bogut),,14-17,,
4:10.0,Personal take foul by C. Paul (drawn by J. Gibson),,14-17,,
3:58.0,,,14-19,2,W. Matthews makes 2-pt shot from 1 ft (assist by A. Bogut)
3:40.0,A. Rivers makes 3-pt shot from 22 ft (assist by B. Griffin),3,17-19,,
3:29.0,,,17-21,2,W. Matthews makes 2-pt shot at rim (assist by A. Bogut)
3:10.0,Shooting foul by A. Bogut (drawn by D. Jordan),,17-21,,
3:10.0,D. Jordan makes free throw 1 of 2,1,18-21,,
3:10.0,D. Jordan makes free throw 2 of 2,1,19-21,,
3:10.0,,,18-21,,D. Nowitzki enters the game for H. Barnes
3:10.0,,,18-21,,S. Mejri enters the game for A. Bogut
3:10.0,,,18-21,,S. Curry enters the game for W. Matthews
2:52.0,,,19-21,,D. Finney-Smith misses 3-pt shot from 24 ft
2:51.0,Defensive rebound by C. Paul,,19-21,,
2:41.0,C. Paul misses 2-pt shot from 13 ft,,19-21,,
2:40.0,,,19-21,,Defensive rebound by S. Mejri
2:32.0,,,19-21,,D. Finney-Smith misses 3-pt shot from 23 ft
2:31.0,Defensive rebound by A. Rivers,,19-21,,
2:18.0,B. Griffin makes 2-pt shot from 17 ft (assist by C. Paul),2,21-21,,
2:01.0,,,21-21,,D. Nowitzki misses 2-pt shot from 14 ft
2:00.0,Defensive rebound by D. Jordan,,21-21,,
1:56.0,Shooting foul by S. Mejri (drawn by B. Griffin),,21-21,,
1:56.0,B. Griffin misses free throw 1 of 2,,21-21,,
1:56.0,Offensive rebound by Team,,21-21,,
1:56.0,B. Griffin misses free throw 2 of 2,,21-21,,
1:56.0,M. Speights enters the game for D. Jordan,,21-21,,
1:56.0,R. Felton enters the game for C. Paul,,21-21,,
1:56.0,,,21-21,,J. Anderson enters the game for D. Finney-Smith
1:55.0,,,21-21,,Defensive rebound by D. Nowitzki
1:30.0,,,21-21,,J. Gibson misses 3-pt shot from 24 ft
1:30.0,,,21-21,,Offensive rebound by S. Mejri
1:28.0,,,21-21,,Shooting foul by B. Griffin (drawn by S. Mejri)
1:28.0,,,21-22,1,S. Mejri makes free throw 1 of 2
1:28.0,,,21-22,,S. Mejri misses free throw 2 of 2
1:28.0,W. Johnson enters the game for B. Griffin,,21-22,,
1:27.0,Defensive rebound by M. Speights,,21-22,,
1:13.0,W. Johnson makes 2-pt shot from 19 ft (assist by A. Rivers),2,23-22,,
0:50.0,,,23-24,2,D. Nowitzki makes 2-pt shot from 15 ft
0:44.0,J. Crawford makes 3-pt shot from 27 ft,3,26-24,,
0:34.0,,,26-24,,Shooting foul by R. Felton (drawn by J. Gibson)
0:34.0,,,26-25,1,J. Gibson makes free throw 1 of 2
0:34.0,,,26-26,1,J. Gibson makes free throw 2 of 2
0:34.0,,,26-25,,D. Finney-Smith enters the game for S. Mejri
0:14.0,A. Rivers makes 3-pt shot from 24 ft,3,29-26,,
0:13.0,,,29-26,,Turnover by J. Anderson (bad pass; steal by A. Rivers)
0:10.0,A. Rivers makes 3-pt shot from 25 ft,3,32-26,,
0:02.0,,,32-26,,Turnover by J. Gibson (bad pass)
0:01.0,J. Crawford misses 3-pt shot from 56 ft,,32-26,,
0:00.0,Offensive rebound by Team,,32-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,A. Rivers misses 2-pt shot from 5 ft,,32-26,,
11:46.0,,,32-26,,Defensive rebound by J. Anderson
11:32.0,,,32-26,,D. Nowitzki misses 2-pt shot from 10 ft
11:31.0,Defensive rebound by M. Speights,,32-26,,
11:16.0,W. Johnson misses 3-pt shot from 23 ft,,32-26,,
11:15.0,Offensive rebound by M. Speights,,32-26,,
11:12.0,W. Johnson makes 2-pt shot at rim (assist by M. Speights),2,34-26,,
10:58.0,Def 3 sec tech foul by M. Speights,,34-26,,
10:58.0,,,34-27,1,D. Nowitzki makes technical free throw
10:48.0,,,34-27,,J. Gibson misses 2-pt shot from 2 ft
10:46.0,Defensive rebound by W. Johnson,,34-27,,
10:42.0,R. Felton makes 2-pt shot from 1 ft,2,36-27,,
10:22.0,,,36-29,2,D. Nowitzki makes 2-pt shot from 2 ft
10:01.0,R. Felton misses 3-pt shot from 22 ft,,36-29,,
10:00.0,,,36-29,,Defensive rebound by D. Powell
9:54.0,,,36-29,,J. Anderson misses 2-pt shot from 3 ft (block by W. Johnson)
9:52.0,Defensive rebound by R. Felton,,36-29,,
9:38.0,M. Speights makes 3-pt shot from 24 ft (assist by W. Johnson),3,39-29,,
9:37.0,,,39-29,,Dallas full timeout
9:37.0,,,39-29,,W. Matthews enters the game for D. Nowitzki
9:37.0,,,39-29,,H. Barnes enters the game for J. Gibson
9:23.0,,,39-29,,H. Barnes misses 3-pt shot from 24 ft
9:22.0,Defensive rebound by J. Crawford,,39-29,,
9:15.0,J. Crawford makes 2-pt shot from 20 ft,2,41-29,,
9:00.0,,,41-31,2,S. Curry makes 2-pt shot from 11 ft
8:39.0,J. Crawford makes 3-pt shot from 23 ft (assist by R. Felton),3,44-31,,
8:28.0,,,44-31,,Turnover by D. Powell (bad pass; steal by J. Crawford)
8:24.0,A. Rivers makes 2-pt shot from 2 ft (assist by R. Felton),2,46-31,,
8:24.0,Shooting foul by J. Anderson (drawn by A. Rivers),,46-31,,
8:24.0,A. Rivers misses free throw 1 of 1,,46-31,,
8:24.0,,,46-31,,N. Brussino enters the game for J. Anderson
8:23.0,,,46-31,,Defensive rebound by D. Powell
8:11.0,,,46-33,2,W. Matthews makes 2-pt shot from 2 ft
7:50.0,M. Speights misses 2-pt shot from 7 ft,,46-33,,
7:49.0,,,46-33,,Defensive rebound by H. Barnes
7:44.0,,,46-33,,Turnover by W. Matthews (lost ball; steal by M. Speights)
7:34.0,M. Speights makes 2-pt shot from 1 ft (assist by J. Crawford),2,48-33,,
7:15.0,,,48-35,2,H. Barnes makes 2-pt shot from 15 ft
6:57.0,J. Crawford misses 3-pt shot from 24 ft,,48-35,,
6:56.0,,,48-35,,Defensive rebound by W. Matthews
6:46.0,,,48-38,3,N. Brussino makes 3-pt shot from 25 ft (assist by H. Barnes)
6:45.0,LA Clippers full timeout,,48-38,,
6:45.0,,,48-38,,J. Gibson enters the game for S. Curry
6:45.0,B. Griffin enters the game for M. Speights,,48-38,,
6:45.0,C. Paul enters the game for R. Felton,,48-38,,
6:45.0,D. Jordan enters the game for W. Johnson,,48-38,,
6:30.0,Turnover by B. Griffin (bad pass; steal by H. Barnes),,48-38,,
6:16.0,,,48-38,,N. Brussino misses 2-pt shot from 18 ft
6:15.0,Defensive rebound by B. Griffin,,48-38,,
6:06.0,,,48-38,,Personal block foul by N. Brussino (drawn by J. Crawford)
6:05.0,L. Mbah a Moute enters the game for J. Crawford,,48-38,,
6:05.0,J. Redick enters the game for A. Rivers,,48-38,,
6:05.0,,,48-38,,A. Bogut enters the game for D. Powell
5:58.0,J. Redick misses 2-pt shot from 16 ft,,48-38,,
5:57.0,,,48-38,,Defensive rebound by W. Matthews
5:40.0,,,48-38,,W. Matthews misses 2-pt shot from 16 ft (block by L. Mbah a Moute)
5:38.0,,,48-38,,Offensive rebound by A. Bogut
5:34.0,,,48-41,3,H. Barnes makes 3-pt shot from 25 ft (assist by A. Bogut)
5:13.0,D. Jordan makes 2-pt shot from 7 ft,2,50-41,,
5:00.0,,,50-41,,Turnover by A. Bogut (lost ball; steal by B. Griffin)
4:56.0,B. Griffin makes 2-pt shot at rim,2,52-41,,
4:56.0,,,52-41,,Dallas full timeout
4:56.0,,,52-41,,D. Nowitzki enters the game for J. Gibson
4:56.0,,,52-41,,S. Curry enters the game for N. Brussino
4:32.0,,,52-41,,H. Barnes misses 3-pt shot from 25 ft
4:31.0,,,52-41,,Offensive rebound by A. Bogut
4:24.0,,,52-43,2,H. Barnes makes 2-pt shot at rim (assist by D. Nowitzki)
4:16.0,,,52-43,,Personal foul by S. Curry (drawn by C. Paul)
4:16.0,C. Paul makes free throw 1 of 2,1,53-43,,
4:16.0,C. Paul makes free throw 2 of 2,1,54-43,,
3:56.0,,,54-43,,H. Barnes misses 2-pt shot from 15 ft
3:55.0,Defensive rebound by B. Griffin,,54-43,,
3:43.0,C. Paul makes 2-pt shot from 16 ft,2,56-43,,
3:25.0,,,56-43,,Turnover by D. Nowitzki (lost ball; steal by C. Paul)
3:20.0,J. Redick makes 2-pt shot from 2 ft (assist by L. Mbah a Moute),2,58-43,,
3:00.0,,,58-43,,D. Nowitzki misses 3-pt shot from 25 ft
2:59.0,Defensive rebound by D. Jordan,,58-43,,
2:54.0,,,58-43,,Personal foul by H. Barnes (drawn by B. Griffin)
2:54.0,Official timeout,,58-43,,
2:52.0,,,58-43,,Personal take foul by W. Matthews (drawn by D. Jordan)
2:52.0,D. Jordan makes free throw 1 of 2,1,59-43,,
2:52.0,D. Jordan misses free throw 2 of 2,,59-43,,
2:51.0,,,59-43,,Defensive rebound by A. Bogut
2:33.0,,,59-43,,D. Nowitzki misses 2-pt shot from 16 ft
2:32.0,Defensive rebound by J. Redick,,59-43,,
2:22.0,,,59-43,,Shooting block foul by A. Bogut (drawn by D. Jordan)
2:22.0,D. Jordan makes free throw 1 of 2,1,60-43,,
2:22.0,D. Jordan misses free throw 2 of 2,,60-43,,
2:21.0,,,60-43,,Defensive rebound by A. Bogut
2:13.0,Personal foul by L. Mbah a Moute (drawn by H. Barnes),,60-43,,
2:07.0,,,60-45,2,H. Barnes makes 2-pt shot at rim (assist by A. Bogut)
1:44.0,C. Paul makes 2-pt shot from 19 ft (assist by D. Jordan),2,62-45,,
1:27.0,,,62-45,,D. Nowitzki misses 2-pt shot from 16 ft
1:26.0,Defensive rebound by B. Griffin,,62-45,,
1:17.0,C. Paul makes 3-pt shot from 24 ft (assist by B. Griffin),3,65-45,,
0:57.0,,,65-45,,Turnover by W. Matthews (lost ball; steal by D. Jordan)
0:54.0,B. Griffin misses 2-pt shot from 2 ft (block by W. Matthews),,65-45,,
0:53.0,Offensive rebound by Team,,65-45,,
0:53.0,Turnover by J. Redick (step out of bounds),,65-45,,
0:37.0,Personal block foul by L. Mbah a Moute (drawn by H. Barnes),,65-45,,
0:34.0,,,65-45,,H. Barnes misses 2-pt shot from 22 ft
0:33.0,Defensive rebound by B. Griffin,,65-45,,
0:14.0,B. Griffin makes 3-pt shot from 23 ft (assist by C. Paul),3,68-45,,
0:07.0,,,68-45,,S. Curry misses 2-pt shot from 22 ft
0:06.0,Defensive rebound by B. Griffin,,68-45,,
0:00.0,D. Jordan misses 2-pt shot from 2 ft,,68-45,,
0:00.0,Offensive rebound by Team,,68-45,,
