time,Utah,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. D. Nowitzki (D. Favors gains possession),,,,Jump ball: R. Gobert vs. D. Nowitzki (D. Favors gains possession)
11:42.0,Turnover by J. Ingles (traveling),,0-0,,
11:31.0,,,0-0,,D. Nowitzki misses 2-pt shot from 16 ft
11:31.0,Defensive rebound by G. Hayward,,0-0,,
11:08.0,D. Exum misses 3-pt shot from 24 ft,,0-0,,
11:07.0,,,0-0,,Defensive rebound by Y. Ferrell
10:59.0,,,0-2,2,H. Barnes makes 2-pt shot from 19 ft (assist by Y. Ferrell)
10:43.0,G. Hayward makes 3-pt shot from 26 ft (assist by D. Favors),3,3-2,,
10:17.0,,,3-2,,W. Matthews misses 2-pt shot from 20 ft
10:15.0,Defensive rebound by R. Gobert,,3-2,,
9:59.0,Shooting foul by Y. Ferrell (drawn by D. Favors),,3-2,,
9:59.0,D. Favors makes free throw 1 of 2,1,4-2,,
9:59.0,D. Favors makes free throw 2 of 2,1,5-2,,
9:44.0,,,5-2,,S. Curry misses 2-pt shot from 15 ft
9:42.0,Defensive rebound by R. Gobert,,5-2,,
9:20.0,D. Exum makes 3-pt shot from 24 ft (assist by G. Hayward),3,8-2,,
8:57.0,,,8-4,2,H. Barnes makes 2-pt shot from 8 ft
8:44.0,G. Hayward makes 2-pt shot from 14 ft (assist by J. Ingles),2,10-4,,
8:32.0,,,10-4,,W. Matthews misses 2-pt shot from 3 ft (block by R. Gobert)
8:31.0,,,10-4,,Offensive rebound by Team
8:29.0,Shooting block foul by G. Hayward (drawn by H. Barnes),,10-4,,
8:29.0,,,10-5,1,H. Barnes makes free throw 1 of 2
8:29.0,,,10-5,,H. Barnes misses free throw 2 of 2
8:28.0,Defensive rebound by D. Favors,,10-5,,
8:17.0,G. Hayward misses 2-pt shot from 19 ft,,10-5,,
8:16.0,,,10-5,,Defensive rebound by Y. Ferrell
8:11.0,,,10-5,,Y. Ferrell misses 3-pt shot from 25 ft
8:09.0,Defensive rebound by J. Ingles,,10-5,,
8:01.0,J. Ingles misses 2-pt shot from 17 ft,,10-5,,
8:00.0,Offensive rebound by R. Gobert,,10-5,,
7:53.0,Turnover by J. Ingles (lost ball; steal by D. Nowitzki),,10-5,,
7:44.0,,,10-5,,H. Barnes misses 2-pt shot from 17 ft
7:42.0,Defensive rebound by R. Gobert,,10-5,,
7:33.0,R. Gobert misses 2-pt shot from 6 ft,,10-5,,
7:32.0,,,10-5,,Defensive rebound by Team
7:20.0,,,10-7,2,D. Nowitzki makes 2-pt shot from 21 ft (assist by Y. Ferrell)
6:57.0,R. Gobert makes 2-pt shot from 2 ft (assist by D. Favors),2,12-7,,
6:56.0,,,12-7,,Dallas full timeout
6:56.0,,,12-7,,D. Finney-Smith enters the game for W. Matthews
6:56.0,S. Mack enters the game for D. Favors,,12-7,,
6:56.0,T. Lyles enters the game for D. Exum,,12-7,,
6:30.0,,,12-7,,S. Curry misses 2-pt shot from 20 ft
6:30.0,Defensive rebound by R. Gobert,,12-7,,
6:12.0,G. Hayward misses 2-pt shot from 11 ft,,12-7,,
6:11.0,,,12-7,,Defensive rebound by S. Curry
6:00.0,,,12-7,,Turnover by D. Nowitzki (bad pass; steal by S. Mack)
5:56.0,J. Ingles makes 2-pt shot at rim (assist by G. Hayward),2,14-7,,
5:29.0,,,14-7,,H. Barnes misses 2-pt shot from 6 ft
5:27.0,Defensive rebound by S. Mack,,14-7,,
5:19.0,S. Mack misses 2-pt shot from 4 ft,,14-7,,
5:19.0,Offensive rebound by Team,,14-7,,
5:19.0,,,14-7,,Loose ball foul by H. Barnes (drawn by R. Gobert)
5:19.0,,,14-7,,D. Harris enters the game for Y. Ferrell
5:19.0,,,14-7,,S. Mejri enters the game for D. Nowitzki
5:19.0,A. Burks enters the game for J. Ingles,,14-7,,
5:13.0,G. Hayward misses 2-pt shot from 2 ft (block by S. Mejri),,14-7,,
5:12.0,,,14-7,,Defensive rebound by S. Curry
5:10.0,Personal take foul by S. Mack (drawn by S. Curry),,14-7,,
5:03.0,,,14-9,2,S. Curry makes 2-pt shot from 21 ft
4:40.0,S. Mack misses 2-pt shot from 10 ft,,14-9,,
4:38.0,,,14-9,,Defensive rebound by D. Finney-Smith
4:30.0,,,14-9,,S. Curry misses 2-pt shot from 4 ft (block by S. Mack)
4:29.0,Defensive rebound by S. Mack,,14-9,,
4:20.0,A. Burks makes 2-pt shot from 22 ft (assist by R. Gobert),2,16-9,,
3:52.0,,,16-11,2,S. Curry makes 2-pt shot from 3 ft
3:37.0,R. Gobert makes 2-pt shot from 1 ft (assist by T. Lyles),2,18-11,,
3:23.0,,,18-11,,Turnover by S. Curry (bad pass)
3:23.0,D. Favors enters the game for R. Gobert,,18-11,,
2:59.0,A. Burks misses 3-pt shot from 25 ft,,18-11,,
2:58.0,,,18-11,,Defensive rebound by D. Finney-Smith
2:51.0,,,18-13,2,D. Harris makes 2-pt shot from 3 ft (assist by D. Finney-Smith)
2:47.0,Utah full timeout,,18-13,,
2:47.0,D. Exum enters the game for S. Mack,,18-13,,
2:32.0,Turnover by D. Exum (bad pass; steal by S. Mejri),,18-13,,
2:25.0,,,18-13,,D. Finney-Smith misses 2-pt shot from 2 ft
2:24.0,,,18-13,,Offensive rebound by D. Harris
2:17.0,,,18-15,2,S. Curry makes 2-pt shot from 18 ft
2:01.0,G. Hayward misses 2-pt shot from 18 ft,,18-15,,
1:59.0,,,18-15,,Defensive rebound by S. Mejri
1:46.0,,,18-17,2,S. Mejri makes 2-pt shot at rim (assist by D. Harris)
1:17.0,G. Hayward misses 2-pt shot from 12 ft,,18-17,,
1:16.0,,,18-17,,Defensive rebound by H. Barnes
1:06.0,,,18-17,,D. Harris misses 2-pt shot from 5 ft
1:04.0,,,18-17,,Offensive rebound by S. Mejri
1:04.0,,,18-19,2,S. Mejri makes 2-pt shot from 3 ft
0:59.0,Utah full timeout,,18-19,,
0:59.0,,,18-19,,W. Matthews enters the game for H. Barnes
0:59.0,,,18-19,,Y. Ferrell enters the game for S. Curry
0:59.0,,,18-19,,D. Nowitzki enters the game for D. Finney-Smith
0:59.0,J. Johnson enters the game for G. Hayward,,18-19,,
0:52.0,A. Burks misses 2-pt shot from 18 ft,,18-19,,
0:51.0,,,18-19,,Defensive rebound by Y. Ferrell
0:42.0,Shooting block foul by T. Lyles (drawn by D. Harris),,18-19,,
0:42.0,,,18-19,,D. Harris misses free throw 1 of 2
0:42.0,,,18-19,,Offensive rebound by Team
0:42.0,,,18-20,1,D. Harris makes free throw 2 of 2
0:35.0,A. Burks makes 2-pt shot from 10 ft (assist by J. Johnson),2,20-20,,
0:18.0,,,20-20,,Y. Ferrell misses 3-pt shot from 24 ft
0:18.0,Defensive rebound by D. Favors,,20-20,,
0:04.0,,,20-20,,Personal foul by D. Harris (drawn by A. Burks)
0:04.0,,,20-20,,D. Powell enters the game for D. Nowitzki
0:02.0,A. Burks makes 3-pt shot from 23 ft,3,23-20,,
0:00.0,,,23-20,,D. Harris misses 3-pt shot from 56 ft
0:00.0,,,23-20,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:53.0,Personal foul by A. Burks (drawn by W. Matthews),,23-20,,
11:47.0,,,23-20,,Turnover by Y. Ferrell (bad pass; steal by D. Favors)
11:32.0,,,23-20,,Personal foul by D. Finney-Smith (drawn by D. Favors)
11:26.0,Turnover by D. Exum (back court),,23-20,,
11:04.0,,,23-22,2,Y. Ferrell makes 2-pt shot at rim
10:54.0,,,23-22,,Personal foul by D. Finney-Smith (drawn by B. Diaw)
10:49.0,A. Burks makes 2-pt shot from 20 ft,2,25-22,,
10:34.0,,,25-24,2,W. Matthews makes 2-pt shot from 7 ft
10:13.0,Turnover by J. Johnson (lost ball; steal by Y. Ferrell),,25-24,,
10:02.0,,,25-26,2,D. Nowitzki makes 2-pt shot from 19 ft (assist by W. Matthews)
10:01.0,Utah full timeout,,25-26,,
10:01.0,S. Mack enters the game for D. Exum,,25-26,,
9:40.0,J. Johnson misses 3-pt shot from 25 ft,,25-26,,
9:38.0,,,25-26,,Defensive rebound by Y. Ferrell
9:22.0,,,25-28,2,D. Nowitzki makes 2-pt shot from 21 ft (assist by Y. Ferrell)
9:02.0,D. Favors misses 2-pt shot from 21 ft,,25-28,,
9:01.0,,,25-28,,Defensive rebound by Team
8:55.0,Personal block foul by D. Favors (drawn by D. Nowitzki),,25-28,,
8:55.0,,,25-28,,D. Harris enters the game for W. Matthews
8:55.0,J. Ingles enters the game for A. Burks,,25-28,,
8:40.0,,,25-28,,D. Nowitzki misses 2-pt shot from 19 ft
8:38.0,Defensive rebound by S. Mack,,25-28,,
8:27.0,Turnover by J. Johnson (lost ball; steal by D. Finney-Smith),,25-28,,
8:20.0,,,25-28,,D. Nowitzki misses 3-pt shot from 26 ft
8:19.0,,,25-28,,Offensive rebound by Team
8:19.0,R. Gobert enters the game for D. Favors,,25-28,,
8:19.0,,,25-28,,H. Barnes enters the game for D. Nowitzki
8:19.0,,,25-28,,S. Curry enters the game for Y. Ferrell
8:19.0,,,25-28,,W. Matthews enters the game for D. Finney-Smith
