time,Portland,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. M. Leonard (M. Harkless gains possession),,,,Jump ball: R. Gobert vs. M. Leonard (M. Harkless gains possession)
11:39.0,M. Leonard makes 3-pt shot from 24 ft (assist by D. Lillard),3,3-0,,
11:20.0,,,3-0,,J. Ingles misses 3-pt shot from 24 ft
11:19.0,Defensive rebound by M. Harkless,,3-0,,
11:07.0,C. McCollum misses 2-pt shot from 13 ft,,3-0,,
11:06.0,Offensive rebound by C. McCollum,,3-0,,
11:05.0,C. McCollum misses 2-pt shot from 8 ft,,3-0,,
11:02.0,,,3-0,,Defensive rebound by R. Gobert
10:52.0,,,3-0,,Turnover by G. Hill (bad pass; steal by M. Harkless)
10:46.0,D. Lillard misses 2-pt shot from 6 ft,,3-0,,
10:45.0,,,3-0,,Defensive rebound by J. Ingles
10:27.0,,,3-0,,G. Hill misses 2-pt shot from 15 ft
10:27.0,,,3-0,,Offensive rebound by R. Gobert
10:24.0,,,3-0,,R. Gobert misses 2-pt shot from 2 ft (block by M. Leonard)
10:23.0,Defensive rebound by D. Lillard,,3-0,,
10:14.0,E. Davis misses 2-pt shot from 2 ft,,3-0,,
10:14.0,,,3-0,,Defensive rebound by D. Favors
9:57.0,,,3-3,3,G. Hill makes 3-pt shot from 25 ft (assist by J. Ingles)
9:33.0,M. Leonard misses 2-pt shot from 7 ft,,3-3,,
9:32.0,Offensive rebound by E. Davis,,3-3,,
9:21.0,C. McCollum misses 3-pt shot from 25 ft,,3-3,,
9:20.0,,,3-3,,Defensive rebound by R. Gobert
9:13.0,,,3-3,,G. Hayward misses 2-pt shot at rim (block by M. Leonard)
9:11.0,,,3-3,,Offensive rebound by D. Favors
9:11.0,,,3-5,2,D. Favors makes 2-pt shot at rim
8:56.0,E. Davis makes 2-pt shot from 2 ft (assist by M. Harkless),2,5-5,,
8:45.0,,,5-5,,Shooting foul by M. Harkless (drawn by R. Gobert)
8:45.0,,,5-6,1,R. Gobert makes free throw 1 of 2
8:45.0,,,5-6,,R. Gobert misses free throw 2 of 2
8:44.0,Defensive rebound by M. Harkless,,5-6,,
8:35.0,M. Leonard makes 3-pt shot from 24 ft (assist by D. Lillard),3,8-6,,
8:08.0,,,8-8,2,J. Ingles makes 2-pt shot from 7 ft
7:56.0,Turnover by C. McCollum (traveling),,8-8,,
7:44.0,,,8-10,2,G. Hill makes 2-pt shot from 9 ft
7:30.0,C. McCollum misses 2-pt shot from 18 ft,,8-10,,
7:29.0,,,8-10,,Defensive rebound by G. Hill
7:19.0,,,8-10,,Shooting foul by C. McCollum (drawn by G. Hill)
7:19.0,,,8-11,1,G. Hill makes free throw 1 of 2
7:19.0,,,8-12,1,G. Hill makes free throw 2 of 2
7:04.0,D. Lillard misses 2-pt shot from 16 ft,,8-12,,
7:03.0,,,8-12,,Defensive rebound by D. Favors
6:54.0,,,8-12,,Turnover by G. Hill (lost ball; steal by M. Leonard)
6:47.0,C. McCollum misses 2-pt shot from 3 ft,,8-12,,
6:46.0,,,8-12,,Defensive rebound by D. Favors
6:39.0,,,8-12,,J. Ingles misses 3-pt shot from 25 ft
6:39.0,Defensive rebound by E. Davis,,8-12,,
6:16.0,D. Lillard misses 3-pt shot from 26 ft,,8-12,,
6:16.0,,,8-12,,Defensive rebound by R. Gobert
5:58.0,,,8-14,2,G. Hayward makes 2-pt shot from 11 ft
5:39.0,D. Lillard misses 2-pt shot from 21 ft,,8-14,,
5:39.0,Offensive rebound by E. Davis,,8-14,,
5:33.0,Turnover by E. Davis (lost ball; steal by J. Ingles),,8-14,,
5:29.0,,,8-14,,Shooting foul by C. McCollum (drawn by R. Gobert)
5:29.0,,,8-14,,Utah full timeout
5:29.0,,,8-15,1,R. Gobert makes free throw 1 of 2
5:29.0,,,8-16,1,R. Gobert makes free throw 2 of 2
5:29.0,,,8-14,,B. Diaw enters the game for D. Favors
5:29.0,,,8-14,,D. Exum enters the game for G. Hill
5:29.0,A. Crabbe enters the game for C. McCollum,,8-14,,
5:19.0,Turnover by A. Crabbe (lost ball; steal by J. Ingles),,8-16,,
5:15.0,,,8-18,2,J. Ingles makes 2-pt shot from 3 ft
5:00.0,D. Lillard makes 2-pt shot from 20 ft,2,10-18,,
4:42.0,,,10-18,,G. Hayward misses 3-pt shot from 24 ft
4:42.0,,,10-18,,Offensive rebound by B. Diaw
4:33.0,,,10-18,,G. Hayward misses 3-pt shot from 23 ft
4:32.0,Defensive rebound by D. Lillard,,10-18,,
4:22.0,D. Lillard misses 2-pt shot from 4 ft (block by R. Gobert),,10-18,,
4:22.0,Offensive rebound by Team,,10-18,,
4:22.0,N. Vonleh enters the game for E. Davis,,10-18,,
4:22.0,J. Nurkic enters the game for M. Leonard,,10-18,,
4:22.0,,,10-18,,A. Burks enters the game for J. Ingles
4:17.0,Turnover by J. Nurkic (lost ball; steal by A. Burks),,10-18,,
4:09.0,,,10-18,,A. Burks misses 2-pt shot from 18 ft
4:09.0,Defensive rebound by N. Vonleh,,10-18,,
3:49.0,A. Crabbe misses 3-pt shot from 25 ft,,10-18,,
3:48.0,,,10-18,,Defensive rebound by G. Hayward
3:36.0,,,10-18,,G. Hayward misses 2-pt shot from 2 ft
3:35.0,Defensive rebound by J. Nurkic,,10-18,,
3:30.0,Offensive foul by N. Vonleh,,10-18,,
3:30.0,Turnover by N. Vonleh (offensive foul),,10-18,,
3:17.0,,,10-18,,G. Hayward misses 3-pt shot from 25 ft
3:17.0,Defensive rebound by A. Crabbe,,10-18,,
3:05.0,M. Harkless makes 2-pt shot at rim (assist by D. Lillard),2,12-18,,
2:46.0,,,12-18,,G. Hayward misses 2-pt shot from 3 ft
2:46.0,Defensive rebound by Team,,12-18,,
2:46.0,,,12-18,,Loose ball foul by R. Gobert (drawn by J. Nurkic)
2:46.0,Portland full timeout,,12-18,,
2:46.0,,,12-18,,D. Favors enters the game for R. Gobert
2:46.0,,,12-18,,J. Johnson enters the game for G. Hayward
2:46.0,P. Connaughton enters the game for M. Harkless,,12-18,,
2:26.0,Turnover by A. Crabbe (lost ball),,12-18,,
2:06.0,,,12-18,,D. Favors misses 2-pt shot from 2 ft (block by J. Nurkic)
2:05.0,Defensive rebound by J. Nurkic,,12-18,,
1:57.0,,,12-18,,Personal foul by D. Exum (drawn by D. Lillard)
1:50.0,D. Lillard misses 2-pt shot from 12 ft,,12-18,,
1:49.0,Offensive rebound by N. Vonleh,,12-18,,
1:42.0,A. Crabbe makes 3-pt shot from 23 ft (assist by J. Nurkic),3,15-18,,
1:27.0,,,15-18,,A. Burks misses 2-pt shot from 2 ft
1:27.0,Defensive rebound by N. Vonleh,,15-18,,
1:11.0,A. Crabbe misses 3-pt shot from 24 ft,,15-18,,
1:10.0,,,15-18,,Defensive rebound by A. Burks
1:01.0,,,15-18,,Turnover by B. Diaw (palming)
1:01.0,,,15-18,,G. Hill enters the game for D. Exum
1:01.0,C. McCollum enters the game for D. Lillard,,15-18,,
0:46.0,A. Crabbe misses 2-pt shot from 21 ft,,15-18,,
0:46.0,Offensive rebound by J. Nurkic,,15-18,,
0:43.0,J. Nurkic makes 2-pt shot from 2 ft,2,17-18,,
0:35.0,Personal foul by C. McCollum (drawn by G. Hill),,17-18,,
0:35.0,S. Napier enters the game for C. McCollum,,17-18,,
0:30.0,,,17-18,,A. Burks misses 2-pt shot from 7 ft
0:30.0,Defensive rebound by N. Vonleh,,17-18,,
0:11.0,Turnover by J. Nurkic (lost ball; steal by D. Favors),,17-18,,
0:05.0,,,17-18,,G. Hill misses 2-pt shot from 2 ft
0:04.0,Defensive rebound by P. Connaughton,,17-18,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,Personal foul by A. Crabbe (drawn by J. Johnson),,17-18,,
11:34.0,,,17-18,,B. Diaw misses 2-pt shot from 9 ft
11:33.0,Defensive rebound by P. Connaughton,,17-18,,
11:21.0,A. Crabbe misses 2-pt shot from 21 ft,,17-18,,
11:21.0,,,17-18,,Defensive rebound by Team
11:01.0,,,17-20,2,J. Johnson makes 2-pt shot from 9 ft
10:44.0,Shooting foul by D. Favors (drawn by J. Nurkic),,17-20,,
10:44.0,J. Nurkic misses free throw 1 of 2,,17-20,,
10:44.0,Offensive rebound by Team,,17-20,,
10:44.0,J. Nurkic makes free throw 2 of 2,1,18-20,,
10:44.0,,,17-20,,J. Ingles enters the game for A. Burks
10:34.0,,,18-20,,Turnover by J. Johnson (lost ball; steal by J. Nurkic)
10:32.0,,,18-20,,Personal foul by G. Hill (drawn by J. Nurkic)
10:31.0,Turnover by A. Crabbe (bad pass; steal by J. Ingles),,18-20,,
10:19.0,,,18-20,,J. Johnson misses 3-pt shot from 25 ft
10:18.0,,,18-20,,Offensive rebound by Team
10:18.0,Loose ball foul by J. Nurkic (drawn by D. Favors),,18-20,,
10:18.0,,,18-20,,D. Exum enters the game for B. Diaw
10:02.0,,,18-20,,G. Hill misses 2-pt shot from 11 ft
10:01.0,Defensive rebound by J. Nurkic,,18-20,,
9:47.0,Turnover by S. Napier (bad pass; steal by D. Favors),,18-20,,
9:42.0,,,18-22,2,D. Exum makes 2-pt shot from 1 ft (assist by G. Hill)
9:42.0,Portland full timeout,,18-22,,
9:29.0,S. Napier makes 2-pt shot from 23 ft,2,20-22,,
9:06.0,,,20-22,,J. Johnson misses 2-pt shot from 19 ft
9:05.0,Defensive rebound by P. Connaughton,,20-22,,
8:54.0,P. Connaughton misses 3-pt shot from 25 ft,,20-22,,
8:53.0,,,20-22,,Defensive rebound by G. Hill
8:39.0,Def 3 sec tech foul by J. Nurkic,,20-22,,
8:39.0,,,20-23,1,J. Johnson makes technical free throw
8:39.0,M. Leonard enters the game for J. Nurkic,,20-23,,
8:27.0,,,20-25,2,D. Exum makes 2-pt shot from 7 ft
8:12.0,Shooting foul by J. Johnson (drawn by S. Napier),,20-25,,
8:12.0,S. Napier misses free throw 1 of 2,,20-25,,
8:12.0,Offensive rebound by Team,,20-25,,
8:12.0,S. Napier makes free throw 2 of 2,1,21-25,,
8:12.0,,,20-25,,R. Gobert enters the game for D. Favors
8:12.0,D. Lillard enters the game for P. Connaughton,,20-25,,
7:52.0,,,21-27,2,D. Exum makes 2-pt shot from 3 ft
7:39.0,Shooting foul by G. Hill (drawn by D. Lillard),,21-27,,
7:39.0,D. Lillard makes free throw 1 of 2,1,22-27,,
7:39.0,D. Lillard makes free throw 2 of 2,1,23-27,,
7:39.0,,,22-27,,B. Diaw enters the game for J. Johnson
7:39.0,,,22-27,,G. Hayward enters the game for D. Exum
7:23.0,,,23-27,,Offensive foul by R. Gobert
7:23.0,,,23-27,,Turnover by R. Gobert (offensive foul)
7:23.0,,,23-27,,D. Exum enters the game for G. Hill
7:06.0,D. Lillard misses 2-pt shot from 12 ft,,23-27,,
7:05.0,,,23-27,,Defensive rebound by D. Exum
6:52.0,,,23-27,,D. Exum misses 2-pt shot from 2 ft
6:52.0,Defensive rebound by S. Napier,,23-27,,
6:40.0,D. Lillard makes 2-pt shot from 16 ft,2,25-27,,
6:38.0,,,25-27,,Utah full timeout
6:19.0,,,25-27,,Turnover by R. Gobert (bad pass; steal by A. Crabbe)
6:14.0,A. Crabbe misses 2-pt shot from 2 ft,,25-27,,
6:12.0,,,25-27,,Defensive rebound by B. Diaw
6:04.0,,,25-30,3,J. Ingles makes 3-pt shot from 23 ft (assist by G. Hayward)
5:46.0,M. Leonard misses 3-pt shot from 24 ft,,25-30,,
5:45.0,,,25-30,,Defensive rebound by J. Ingles
5:35.0,,,25-32,2,G. Hayward makes 2-pt shot from 3 ft (assist by J. Ingles)
5:16.0,S. Napier misses 3-pt shot from 23 ft,,25-32,,
5:15.0,,,25-32,,Defensive rebound by Team
5:14.0,,,25-32,,A. Burks enters the game for J. Ingles
5:14.0,,,25-32,,G. Hill enters the game for D. Exum
5:14.0,E. Davis enters the game for A. Crabbe,,25-32,,
5:14.0,M. Harkless enters the game for N. Vonleh,,25-32,,
5:02.0,,,25-35,3,A. Burks makes 3-pt shot from 25 ft (assist by G. Hayward)
5:01.0,Portland full timeout,,25-35,,
4:46.0,,,25-35,,Personal foul by A. Burks (drawn by E. Davis)
4:46.0,E. Davis makes free throw 1 of 2,1,26-35,,
4:46.0,E. Davis misses free throw 2 of 2,,26-35,,
4:46.0,P. Connaughton enters the game for S. Napier,,26-35,,
4:45.0,,,26-35,,Defensive rebound by G. Hill
4:27.0,,,26-37,2,R. Gobert makes 2-pt shot at rim (assist by G. Hill)
4:00.0,Turnover by Team (shot clock),,26-37,,
4:00.0,,,26-37,,J. Johnson enters the game for B. Diaw
3:38.0,,,26-37,,G. Hill misses 2-pt shot from 16 ft
3:38.0,Defensive rebound by M. Harkless,,26-37,,
3:15.0,M. Leonard misses 2-pt shot from 6 ft,,26-37,,
3:15.0,,,26-37,,Defensive rebound by R. Gobert
3:08.0,,,26-37,,A. Burks misses 2-pt shot from 3 ft
3:08.0,Defensive rebound by P. Connaughton,,26-37,,
2:59.0,D. Lillard misses 3-pt shot from 26 ft,,26-37,,
2:59.0,,,26-37,,Defensive rebound by J. Johnson
2:42.0,,,26-39,2,G. Hill makes 2-pt shot from 2 ft
2:42.0,,,26-39,,Shooting foul by E. Davis (drawn by G. Hill)
2:42.0,,,26-39,,Utah full timeout
2:42.0,,,26-40,1,G. Hill makes free throw 1 of 1
2:42.0,C. McCollum enters the game for E. Davis,,26-39,,
2:42.0,J. Nurkic enters the game for M. Leonard,,26-39,,
2:28.0,C. McCollum makes 2-pt shot from 17 ft,2,28-40,,
2:15.0,,,28-40,,Shooting foul by P. Connaughton (drawn by R. Gobert)
2:15.0,,,28-40,,R. Gobert misses free throw 1 of 2
2:15.0,,,28-40,,Offensive rebound by Team
2:15.0,,,28-40,,R. Gobert misses free throw 2 of 2
2:15.0,Defensive rebound by P. Connaughton,,28-40,,
2:15.0,,,28-40,,J. Ingles enters the game for A. Burks
2:01.0,D. Lillard misses 2-pt shot from 3 ft,,28-40,,
2:00.0,Offensive rebound by D. Lillard,,28-40,,
1:59.0,D. Lillard misses 2-pt shot from 1 ft,,28-40,,
1:58.0,Offensive rebound by P. Connaughton,,28-40,,
1:50.0,C. McCollum makes 2-pt shot from 2 ft,2,30-40,,
1:35.0,,,30-40,,J. Johnson misses 3-pt shot from 24 ft
1:35.0,Defensive rebound by D. Lillard,,30-40,,
1:28.0,C. McCollum makes 3-pt shot from 26 ft (assist by D. Lillard),3,33-40,,
1:27.0,,,33-40,,Utah full timeout
1:14.0,,,33-40,,Turnover by R. Gobert (lost ball; steal by J. Nurkic)
1:04.0,C. McCollum misses 2-pt shot from 16 ft,,33-40,,
1:04.0,,,33-40,,Defensive rebound by G. Hill
