time,Brooklyn,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. B. Lopez (J. Lin gains possession),,,,Jump ball: M. Gortat vs. B. Lopez (J. Lin gains possession)
11:38.0,J. Lin makes 2-pt shot from 11 ft (assist by R. Foye),2,2-0,,
11:26.0,,,2-0,,Turnover by J. Wall (bad pass)
11:18.0,Shooting foul by J. Wall (drawn by J. Lin),,2-0,,
11:18.0,J. Lin misses free throw 1 of 2,,2-0,,
11:18.0,Offensive rebound by Team,,2-0,,
11:18.0,J. Lin makes free throw 2 of 2,1,3-0,,
11:07.0,,,3-2,2,J. Wall makes 2-pt shot at rim
10:43.0,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by C. LeVert),2,5-2,,
10:30.0,,,5-2,,B. Beal misses 2-pt shot from 20 ft
10:29.0,Defensive rebound by J. Lin,,5-2,,
10:24.0,B. Lopez misses 2-pt shot from 1 ft,,5-2,,
10:23.0,,,5-2,,Defensive rebound by M. Gortat
10:16.0,,,5-2,,M. Morris misses 2-pt shot from 1 ft (block by R. Foye)
10:15.0,Defensive rebound by B. Lopez,,5-2,,
10:07.0,J. Lin makes 2-pt shot from 2 ft (assist by C. LeVert),2,7-2,,
9:44.0,,,7-2,,M. Gortat misses 2-pt shot from 10 ft
9:43.0,Defensive rebound by R. Hollis-Jefferson,,7-2,,
9:37.0,R. Hollis-Jefferson misses 2-pt shot from 2 ft,,7-2,,
9:36.0,,,7-2,,Defensive rebound by O. Porter
9:25.0,,,7-4,2,M. Gortat makes 2-pt shot from 4 ft (assist by J. Wall)
9:06.0,R. Foye misses 3-pt shot from 27 ft,,7-4,,
9:05.0,,,7-4,,Defensive rebound by M. Gortat
8:57.0,Personal foul by R. Foye (drawn by B. Beal),,7-4,,
8:57.0,Personal foul by C. LeVert (drawn by B. Beal),,7-4,,
8:57.0,,,7-4,,Offensive foul by M. Morris
8:57.0,,,7-4,,Turnover by M. Morris (offensive foul)
8:46.0,R. Hollis-Jefferson makes 2-pt shot at rim (assist by R. Foye),2,9-4,,
8:34.0,,,9-4,,M. Gortat misses 2-pt shot from 7 ft
8:33.0,Defensive rebound by B. Lopez,,9-4,,
8:17.0,J. Lin misses 3-pt shot from 28 ft,,9-4,,
8:17.0,Offensive rebound by Team,,9-4,,
8:07.0,R. Foye makes 2-pt shot from 3 ft (assist by J. Lin),2,11-4,,
8:06.0,,,11-4,,Washington full timeout
7:59.0,,,11-4,,Offensive foul by M. Gortat
7:59.0,,,11-4,,Turnover by M. Gortat (offensive foul)
7:44.0,B. Lopez makes 2-pt shot from 9 ft,2,13-4,,
7:29.0,,,13-7,3,O. Porter makes 3-pt shot from 27 ft (assist by J. Wall)
7:18.0,Turnover by J. Lin (bad pass; steal by J. Wall),,13-7,,
7:13.0,,,13-9,2,O. Porter makes 2-pt shot from 11 ft
6:47.0,R. Foye misses 2-pt shot from 2 ft (block by O. Porter),,13-9,,
6:46.0,Offensive rebound by B. Lopez,,13-9,,
6:43.0,B. Lopez misses 2-pt shot from 18 ft,,13-9,,
6:42.0,,,13-9,,Defensive rebound by J. Wall
6:32.0,,,13-9,,O. Porter misses 3-pt shot from 24 ft
6:31.0,Defensive rebound by B. Lopez,,13-9,,
