time,Charlotte,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Hawes vs. J. McGee (K. Durant gains possession),,,,Jump ball: S. Hawes vs. J. McGee (K. Durant gains possession)
11:38.0,,,0-3,3,S. Curry makes 3-pt shot from 27 ft (assist by K. Thompson)
11:15.0,Turnover by M. Kidd-Gilchrist (lost ball),,0-3,,
11:04.0,,,0-3,,J. McGee misses 2-pt shot from 9 ft
11:03.0,Defensive rebound by N. Batum,,0-3,,
10:52.0,S. Hawes misses 2-pt shot from 2 ft (block by J. McGee),,0-3,,
10:50.0,,,0-3,,Defensive rebound by S. Curry
10:45.0,,,0-3,,K. Thompson misses 3-pt shot from 25 ft
10:44.0,Defensive rebound by M. Kidd-Gilchrist,,0-3,,
10:32.0,N. Batum makes 3-pt shot from 28 ft (assist by S. Hawes),3,3-3,,
10:22.0,,,3-6,3,S. Curry makes 3-pt shot from 26 ft
10:08.0,K. Walker makes 2-pt shot from 19 ft (assist by S. Hawes),2,5-6,,
9:57.0,,,5-9,3,K. Durant makes 3-pt shot from 27 ft (assist by K. Thompson)
9:38.0,M. Williams misses 2-pt shot from 11 ft,,5-9,,
9:37.0,,,5-9,,Defensive rebound by D. Green
9:32.0,,,5-12,3,S. Curry makes 3-pt shot from 30 ft (assist by D. Green)
9:10.0,N. Batum misses 3-pt shot from 25 ft,,5-12,,
9:09.0,,,5-12,,Defensive rebound by K. Thompson
8:58.0,,,5-15,3,K. Thompson makes 3-pt shot from 26 ft (assist by S. Curry)
8:51.0,Charlotte full timeout,,5-15,,
8:34.0,M. Kidd-Gilchrist makes 2-pt shot from 12 ft (assist by K. Walker),2,7-15,,
8:23.0,,,7-17,2,J. McGee makes 2-pt shot at rim (assist by S. Curry)
8:03.0,M. Williams misses 3-pt shot from 25 ft,,7-17,,
8:02.0,,,7-17,,Defensive rebound by J. McGee
7:54.0,,,7-17,,K. Thompson misses 2-pt shot from 2 ft
7:51.0,Defensive rebound by M. Kidd-Gilchrist,,7-17,,
