time,Portland,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Koufos vs. M. Plumlee (M. Leonard gains possession),,,,Jump ball: K. Koufos vs. M. Plumlee (M. Leonard gains possession)
11:45.0,D. Lillard misses 3-pt shot from 26 ft,,0-0,,
11:44.0,Offensive rebound by M. Harkless,,0-0,,
11:44.0,M. Harkless makes 2-pt shot at rim,2,2-0,,
11:28.0,,,2-0,,Turnover by M. Barnes (bad pass; steal by M. Plumlee)
11:17.0,M. Leonard misses 3-pt shot from 24 ft,,2-0,,
11:15.0,,,2-0,,Defensive rebound by Team
11:15.0,Loose ball foul by M. Plumlee (drawn by B. McLemore),,2-0,,
10:59.0,,,2-0,,D. Cousins misses 3-pt shot from 25 ft
10:58.0,Defensive rebound by M. Harkless,,2-0,,
10:51.0,C. McCollum makes 2-pt shot from 16 ft (assist by D. Lillard),2,4-0,,
10:35.0,,,4-0,,D. Cousins misses 2-pt shot from 8 ft
10:34.0,Defensive rebound by D. Lillard,,4-0,,
10:22.0,C. McCollum makes 3-pt shot from 25 ft (assist by D. Lillard),3,7-0,,
10:13.0,,,7-0,,M. Barnes misses 2-pt shot from 5 ft (block by M. Plumlee)
10:11.0,Defensive rebound by M. Harkless,,7-0,,
9:57.0,C. McCollum misses 3-pt shot from 24 ft,,7-0,,
9:56.0,,,7-0,,Defensive rebound by M. Barnes
9:53.0,,,7-2,2,B. McLemore makes 2-pt shot from 3 ft (assist by M. Barnes)
9:53.0,,,7-2,,Shooting foul by C. McCollum (drawn by B. McLemore)
9:53.0,,,7-3,1,B. McLemore makes free throw 1 of 1
9:34.0,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard),2,9-3,,
9:20.0,,,9-3,,Shooting foul by M. Harkless (drawn by M. Barnes)
9:20.0,,,9-3,,M. Barnes misses free throw 1 of 2
9:20.0,,,9-3,,Offensive rebound by Team
9:20.0,,,9-4,1,M. Barnes makes free throw 2 of 2
9:04.0,,,9-4,,Loose ball foul by B. McLemore (drawn by M. Plumlee)
8:54.0,M. Harkless makes 2-pt shot from 22 ft (assist by C. McCollum),2,11-4,,
8:39.0,,,11-4,,D. Collison misses 2-pt shot from 16 ft
8:39.0,Defensive rebound by M. Harkless,,11-4,,
8:28.0,M. Harkless misses 3-pt shot from 23 ft,,11-4,,
8:28.0,,,11-4,,Defensive rebound by M. Barnes
8:18.0,,,11-4,,D. Cousins misses 2-pt shot from 5 ft
8:17.0,Defensive rebound by M. Plumlee,,11-4,,
8:06.0,C. McCollum makes 2-pt shot from 19 ft,2,13-4,,
7:52.0,Personal foul by M. Leonard (drawn by D. Cousins),,13-4,,
7:31.0,,,13-4,,K. Koufos misses 2-pt shot from 4 ft
7:30.0,Defensive rebound by M. Plumlee,,13-4,,
7:11.0,M. Harkless misses 2-pt shot from 4 ft,,13-4,,
7:10.0,Offensive rebound by M. Harkless,,13-4,,
7:10.0,M. Harkless misses 2-pt shot from 2 ft,,13-4,,
7:10.0,,,13-4,,Defensive rebound by M. Barnes
7:04.0,,,13-7,3,B. McLemore makes 3-pt shot from 25 ft (assist by M. Barnes)
6:44.0,C. McCollum makes 2-pt shot from 2 ft (assist by D. Lillard),2,15-7,,
6:26.0,,,15-9,2,K. Koufos makes 2-pt shot from 7 ft (assist by D. Cousins)
6:10.0,C. McCollum makes 2-pt shot from 6 ft (assist by D. Lillard),2,17-9,,
5:56.0,,,17-11,2,D. Cousins makes 2-pt shot from 7 ft
5:36.0,M. Leonard misses 3-pt shot from 25 ft,,17-11,,
5:35.0,Offensive rebound by M. Plumlee,,17-11,,
5:32.0,M. Harkless makes 2-pt shot from 2 ft (assist by M. Plumlee),2,19-11,,
5:20.0,,,19-13,2,D. Cousins makes 2-pt shot from 6 ft
5:10.0,Shooting foul by M. Barnes (drawn by D. Lillard),,19-13,,
5:10.0,,,19-13,,Sacramento full timeout
5:10.0,D. Lillard makes free throw 1 of 2,1,20-13,,
5:10.0,D. Lillard makes free throw 2 of 2,1,21-13,,
5:10.0,,,19-13,,A. Tolliver enters the game for K. Koufos
5:10.0,N. Vonleh enters the game for M. Harkless,,19-13,,
5:10.0,A. Crabbe enters the game for M. Plumlee,,19-13,,
4:49.0,,,21-15,2,D. Cousins makes 2-pt shot from 4 ft (assist by D. Collison)
4:31.0,C. McCollum makes 3-pt shot from 25 ft (assist by D. Lillard),3,24-15,,
4:20.0,,,24-17,2,D. Collison makes 2-pt shot from 3 ft
3:55.0,D. Lillard makes 2-pt shot from 4 ft (assist by M. Leonard),2,26-17,,
3:39.0,,,26-17,,Shooting foul by D. Lillard (drawn by D. Collison)
3:39.0,,,26-17,,D. Collison misses free throw 1 of 2
3:39.0,,,26-17,,Offensive rebound by Team
3:39.0,,,26-18,1,D. Collison makes free throw 2 of 2
3:39.0,S. Napier enters the game for C. McCollum,,26-17,,
3:39.0,,,26-17,,G. Temple enters the game for B. McLemore
3:14.0,S. Napier misses 2-pt shot from 18 ft,,26-18,,
3:12.0,Offensive rebound by M. Leonard,,26-18,,
3:06.0,D. Lillard misses 3-pt shot from 24 ft,,26-18,,
3:05.0,,,26-18,,Defensive rebound by G. Temple
3:01.0,,,26-18,,Turnover by D. Collison (bad pass; steal by N. Vonleh)
3:00.0,,,26-18,,Personal foul by D. Collison (drawn by S. Napier)
3:00.0,Portland full timeout,,26-18,,
3:00.0,,,26-18,,A. Afflalo enters the game for D. Collison
3:00.0,,,26-18,,T. Lawson enters the game for M. Barnes
2:58.0,Offensive foul by S. Napier,,26-18,,
2:58.0,Turnover by S. Napier (offensive foul),,26-18,,
2:43.0,Personal foul by N. Vonleh (drawn by D. Cousins),,26-18,,
2:43.0,,,26-19,1,D. Cousins makes free throw 1 of 2
2:43.0,,,26-20,1,D. Cousins makes free throw 2 of 2
2:33.0,A. Crabbe makes 2-pt shot from 12 ft (assist by S. Napier),2,28-20,,
2:19.0,,,28-20,,Turnover by D. Cousins (bad pass; steal by S. Napier)
