time,Golden State,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. T. Thompson (D. Green gains possession),,,,Jump ball: Z. Pachulia vs. T. Thompson (D. Green gains possession)
11:42.0,Turnover by S. Curry (bad pass),,0-0,,
11:22.0,,,0-0,,Turnover by L. James (bad pass; steal by K. Durant)
11:17.0,K. Durant makes 2-pt shot from 1 ft,2,2-0,,
10:59.0,,,2-0,,L. James misses 2-pt shot from 1 ft
10:58.0,Defensive rebound by Z. Pachulia,,2-0,,
10:51.0,K. Thompson misses 3-pt shot from 23 ft,,2-0,,
10:50.0,,,2-0,,Defensive rebound by K. Love
10:42.0,,,2-0,,K. Love misses 3-pt shot from 25 ft
10:42.0,Defensive rebound by Z. Pachulia,,2-0,,
10:30.0,Turnover by D. Green (bad pass; steal by K. Love),,2-0,,
10:24.0,,,2-0,,K. Irving misses 2-pt shot from 1 ft
10:24.0,,,2-0,,Offensive rebound by Team
10:08.0,,,2-0,,Shooting foul by D. Green (drawn by K. Love)
10:08.0,,,2-1,1,K. Love makes free throw 1 of 2
10:08.0,,,2-2,1,K. Love makes free throw 2 of 2
9:57.0,K. Thompson makes 2-pt shot from 2 ft (assist by Z. Pachulia),2,4-2,,
9:38.0,,,4-2,,T. Thompson misses 2-pt shot from 6 ft
9:38.0,Defensive rebound by Z. Pachulia,,4-2,,
9:31.0,K. Thompson misses 3-pt shot from 27 ft,,4-2,,
9:31.0,,,4-2,,Defensive rebound by D. Liggins
9:25.0,,,4-2,,Shooting foul by D. Green (drawn by D. Liggins)
9:25.0,Technical foul by D. Green (drawn by D. Liggins),,4-2,,
9:25.0,,,4-3,1,K. Irving makes technical free throw
9:25.0,,,4-3,,D. Liggins misses free throw 1 of 2
9:25.0,,,4-3,,Offensive rebound by Team
9:25.0,,,4-3,,D. Liggins misses free throw 2 of 2
9:25.0,K. Looney enters the game for D. Green,,4-3,,
9:24.0,Defensive rebound by K. Durant,,4-3,,
9:20.0,Shooting foul by T. Thompson (drawn by K. Durant),,4-3,,
9:20.0,K. Durant makes free throw 1 of 2,1,5-3,,
9:20.0,K. Durant makes free throw 2 of 2,1,6-3,,
9:06.0,,,6-6,3,K. Love makes 3-pt shot from 25 ft (assist by K. Irving)
8:45.0,Turnover by Z. Pachulia (lost ball; steal by K. Irving),,6-6,,
8:37.0,,,6-6,,L. James misses 2-pt shot from 1 ft
8:37.0,,,6-6,,Offensive rebound by T. Thompson
8:37.0,Jump ball: K. Thompson vs. T. Thompson (L. James gains possession),,,,Jump ball: K. Thompson vs. T. Thompson (L. James gains possession)
8:33.0,,,6-6,,Turnover by L. James (bad pass)
8:10.0,K. Durant misses 3-pt shot from 27 ft,,6-6,,
8:09.0,,,6-6,,Defensive rebound by L. James
7:59.0,,,6-6,,K. Love misses 2-pt shot from 2 ft
7:58.0,Defensive rebound by K. Durant,,6-6,,
7:49.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by K. Durant),2,8-6,,
7:35.0,,,8-6,,K. Love misses 3-pt shot from 26 ft
7:34.0,,,8-6,,Offensive rebound by Team
7:34.0,Loose ball foul by Z. Pachulia (drawn by T. Thompson),,8-6,,
7:34.0,J. McGee enters the game for Z. Pachulia,,8-6,,
7:23.0,,,8-6,,K. Love misses 2-pt shot from 3 ft
7:21.0,Defensive rebound by K. Thompson,,8-6,,
7:16.0,Turnover by K. Thompson (bad pass; steal by D. Liggins),,8-6,,
7:05.0,,,8-8,2,K. Irving makes 2-pt shot from 14 ft
6:55.0,Golden State full timeout,,8-8,,
6:44.0,K. Durant misses 3-pt shot from 25 ft,,8-8,,
6:43.0,,,8-8,,Defensive rebound by D. Liggins
6:41.0,Personal foul by K. Looney (drawn by D. Liggins),,8-8,,
6:26.0,,,8-10,2,K. Irving makes 2-pt shot from 14 ft (assist by K. Love)
6:02.0,K. Thompson misses 3-pt shot from 23 ft,,8-10,,
5:59.0,Offensive rebound by J. McGee,,8-10,,
5:59.0,J. McGee makes 2-pt shot at rim,2,10-10,,
5:41.0,,,10-10,,D. Liggins misses 2-pt shot from 5 ft
5:41.0,Defensive rebound by J. McGee,,10-10,,
5:31.0,Shooting foul by D. Liggins (drawn by K. Durant),,10-10,,
5:31.0,K. Durant makes free throw 1 of 2,1,11-10,,
5:31.0,K. Durant makes free throw 2 of 2,1,12-10,,
5:31.0,,,11-10,,I. Shumpert enters the game for D. Liggins
5:13.0,,,12-10,,I. Shumpert misses 3-pt shot from 23 ft
5:13.0,Defensive rebound by K. Looney,,12-10,,
5:04.0,Turnover by K. Thompson (bad pass; steal by L. James),,12-10,,
4:59.0,,,12-12,2,L. James makes 2-pt shot from 2 ft
4:52.0,K. Durant makes 2-pt shot at rim,2,14-12,,
4:46.0,,,14-14,2,L. James makes 2-pt shot at rim (assist by K. Love)
4:36.0,S. Curry misses 3-pt shot from 25 ft,,14-14,,
4:36.0,,,14-14,,Defensive rebound by K. Irving
4:27.0,,,14-14,,I. Shumpert misses 2-pt shot from 15 ft
4:27.0,,,14-14,,Offensive rebound by Team
4:16.0,,,14-14,,K. Irving misses 2-pt shot from 15 ft
4:15.0,Defensive rebound by K. Durant,,14-14,,
3:58.0,,,14-14,,Shooting block foul by K. Love (drawn by K. Durant)
3:58.0,K. Durant makes free throw 1 of 2,1,15-14,,
3:58.0,K. Durant makes free throw 2 of 2,1,16-14,,
3:58.0,A. Iguodala enters the game for K. Looney,,15-14,,
3:47.0,,,16-14,,L. James misses 3-pt shot from 25 ft
3:46.0,Defensive rebound by K. Durant,,16-14,,
3:38.0,K. Durant makes 2-pt shot from 10 ft,2,18-14,,
3:20.0,,,18-14,,I. Shumpert misses 2-pt shot from 9 ft
3:19.0,Defensive rebound by Team,,18-14,,
3:19.0,Golden State full timeout,,18-14,,
3:19.0,I. Clark enters the game for K. Thompson,,18-14,,
3:19.0,,,18-14,,R. Jefferson enters the game for T. Thompson
3:19.0,,,18-14,,C. Frye enters the game for K. Irving
2:59.0,I. Clark misses 2-pt shot from 18 ft,,18-14,,
2:58.0,,,18-14,,Defensive rebound by K. Love
2:47.0,,,18-14,,Cleveland full timeout
2:47.0,D. West enters the game for J. McGee,,18-14,,
2:41.0,,,18-14,,Turnover by C. Frye (bad pass)
2:30.0,Shooting foul by C. Frye (drawn by D. West),,18-14,,
2:30.0,D. West makes free throw 1 of 2,1,19-14,,
2:30.0,D. West makes free throw 2 of 2,1,20-14,,
2:19.0,,,20-16,2,L. James makes 2-pt shot from 1 ft
2:07.0,S. Curry misses 3-pt shot from 26 ft,,20-16,,
2:07.0,,,20-16,,Defensive rebound by Team
1:51.0,,,20-16,,I. Shumpert misses 2-pt shot from 1 ft
1:49.0,,,20-16,,Offensive rebound by I. Shumpert
1:47.0,,,20-16,,C. Frye misses 3-pt shot from 25 ft
1:47.0,,,20-16,,Offensive rebound by K. Love
1:45.0,,,20-18,2,K. Love makes 2-pt shot from 2 ft
1:18.0,Shooting foul by L. James (drawn by S. Curry),,20-18,,
1:18.0,S. Curry makes free throw 1 of 2,1,21-18,,
1:18.0,S. Curry makes free throw 2 of 2,1,22-18,,
1:09.0,,,22-18,,Shooting foul by S. Curry (drawn by R. Jefferson)
1:09.0,,,22-19,1,R. Jefferson makes free throw 1 of 2
1:09.0,,,22-20,1,R. Jefferson makes free throw 2 of 2
1:09.0,K. Thompson enters the game for S. Curry,,22-19,,
1:09.0,,,22-19,,K. Irving enters the game for L. James
0:56.0,I. Clark makes 2-pt shot from 2 ft (assist by D. West),2,24-20,,
0:44.0,,,24-23,3,C. Frye makes 3-pt shot from 24 ft (assist by K. Irving)
0:31.0,,,24-23,,Personal foul by I. Shumpert (drawn by K. Thompson)
0:31.0,K. Thompson makes free throw 1 of 2,1,25-23,,
0:31.0,K. Thompson misses free throw 2 of 2,,25-23,,
0:30.0,,,25-23,,Defensive rebound by C. Frye
0:20.0,,,25-23,,Shooting foul by D. West (drawn by I. Shumpert)
0:20.0,,,25-24,1,I. Shumpert makes free throw 1 of 2
0:20.0,,,25-25,1,I. Shumpert makes free throw 2 of 2
0:20.0,S. Curry enters the game for A. Iguodala,,25-24,,
0:20.0,,,25-24,,T. Thompson enters the game for K. Love
0:20.0,,,25-24,,D. Liggins enters the game for C. Frye
0:01.0,K. Thompson makes 2-pt shot from 2 ft (assist by D. West),2,27-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,Personal foul by A. Iguodala (drawn by L. James),,27-25,,
11:36.0,,,27-25,,L. James misses 3-pt shot from 23 ft
11:35.0,Defensive rebound by S. Livingston,,27-25,,
11:21.0,K. Thompson makes 3-pt shot from 23 ft (assist by S. Livingston),3,30-25,,
11:09.0,,,30-25,,I. Shumpert misses 3-pt shot from 23 ft
11:09.0,,,30-25,,Offensive rebound by L. James
10:58.0,,,30-25,,R. Jefferson misses 3-pt shot from 25 ft
10:58.0,,,30-25,,Offensive rebound by I. Shumpert
10:51.0,,,30-27,2,C. Frye makes 2-pt shot at rim (assist by K. Irving)
10:34.0,D. West misses 2-pt shot from 3 ft,,30-27,,
10:33.0,Offensive rebound by D. West,,30-27,,
10:28.0,K. Thompson makes 2-pt shot from 19 ft (assist by D. West),2,32-27,,
10:15.0,,,32-27,,K. Irving misses 3-pt shot from 26 ft
10:15.0,Defensive rebound by D. Green,,32-27,,
10:05.0,K. Thompson misses 3-pt shot from 22 ft,,32-27,,
10:05.0,,,32-27,,Defensive rebound by I. Shumpert
9:49.0,,,32-30,3,C. Frye makes 3-pt shot from 24 ft (assist by L. James)
9:42.0,Golden State full timeout,,32-30,,
9:35.0,D. West makes 2-pt shot from 6 ft (assist by A. Iguodala),2,34-30,,
9:35.0,Shooting foul by I. Shumpert (drawn by D. West),,34-30,,
9:35.0,D. West makes free throw 1 of 1,1,35-30,,
9:17.0,,,35-32,2,C. Frye makes 2-pt shot at rim (assist by L. James)
8:59.0,D. Green misses 3-pt shot from 26 ft,,35-32,,
8:59.0,Offensive rebound by A. Iguodala,,35-32,,
8:48.0,D. Green makes 2-pt shot from 1 ft (assist by A. Iguodala),2,37-32,,
8:36.0,,,37-32,,R. Jefferson misses 2-pt shot from 2 ft (block by S. Livingston)
8:36.0,Defensive rebound by S. Livingston,,37-32,,
