time,Orlando,pts.away,score,pts.home,Denver
2:17.0,J. Meeks misses 2-pt shot from 18 ft,,108-119,,
2:16.0,,,108-119,,Defensive rebound by K. Faried
2:03.0,,,108-119,,Shooting foul by N. Vucevic (drawn by J. Nelson)
2:03.0,,,108-120,1,J. Nelson makes free throw 1 of 2
2:03.0,,,108-121,1,J. Nelson makes free throw 2 of 2
1:46.0,Turnover by S. Ibaka (lost ball; steal by J. Nelson),,108-121,,
1:32.0,,,108-121,,N. Jokic misses 3-pt shot from 24 ft
1:31.0,,,108-121,,Offensive rebound by J. Nelson
1:28.0,,,108-123,2,K. Faried makes 2-pt shot at rim (assist by J. Nelson)
1:17.0,E. Payton makes 2-pt shot from 1 ft,2,110-123,,
0:55.0,,,110-125,2,E. Mudiay makes 2-pt shot from 7 ft
0:46.0,E. Payton misses 2-pt shot from 20 ft,,110-125,,
0:46.0,,,110-125,,Defensive rebound by D. Gallinari
0:26.0,,,110-125,,Loose ball foul by E. Mudiay
0:26.0,,,110-125,,Turnover by E. Mudiay (offensive foul)
0:26.0,E. Payton makes free throw 1 of 2,1,111-125,,
0:26.0,M. Hezonja enters the game for N. Vucevic,,111-125,,
0:26.0,D. Rudez enters the game for S. Ibaka,,111-125,,
0:26.0,E. Payton makes free throw 2 of 2,1,112-125,,
0:02.0,,,112-125,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
