time,Toronto,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Thompson vs. J. Valanciunas (K. Lowry gains possession),,,,Jump ball: T. Thompson vs. J. Valanciunas (K. Lowry gains possession)
11:35.0,N. Powell makes 3-pt shot from 27 ft (assist by K. Lowry),3,3-0,,
11:23.0,,,3-0,,K. Love misses 2-pt shot at rim (block by P. Siakam)
11:23.0,,,3-0,,Offensive rebound by K. Love
11:23.0,Personal foul by P. Siakam (drawn by K. Love),,3-0,,
11:18.0,,,3-0,,K. Love misses 2-pt shot from 20 ft
11:17.0,Defensive rebound by J. Valanciunas,,3-0,,
11:07.0,K. Lowry misses 2-pt shot from 2 ft,,3-0,,
11:06.0,,,3-0,,Defensive rebound by K. Irving
10:53.0,,,3-0,,Turnover by K. Love (bad pass; steal by D. DeRozan)
10:42.0,P. Siakam makes 2-pt shot at rim (assist by J. Valanciunas),2,5-0,,
10:30.0,,,5-0,,Shooting foul by N. Powell (drawn by L. James)
10:30.0,,,5-0,,L. James misses free throw 1 of 2
10:30.0,,,5-0,,Offensive rebound by Team
10:30.0,,,5-0,,L. James misses free throw 2 of 2
10:23.0,,,5-0,,Offensive rebound by K. Love
10:23.0,,,5-2,2,K. Love makes 2-pt shot from 1 ft
10:12.0,D. DeRozan makes 2-pt shot from 17 ft (assist by P. Siakam),2,7-2,,
10:05.0,,,7-4,2,K. Irving makes 2-pt shot from 16 ft
9:51.0,D. DeRozan makes 2-pt shot from 19 ft,2,9-4,,
9:39.0,,,9-4,,K. Love misses 3-pt shot from 26 ft
9:39.0,Defensive rebound by N. Powell,,9-4,,
9:30.0,D. DeRozan makes 2-pt shot from 14 ft,2,11-4,,
9:30.0,,,11-4,,Cleveland full timeout
9:15.0,,,11-6,2,T. Thompson makes 2-pt shot from 2 ft (assist by K. Irving)
9:01.0,Turnover by D. DeRozan (bad pass; steal by K. Irving),,11-6,,
8:55.0,,,11-6,,Turnover by K. Love (lost ball; steal by K. Lowry)
8:41.0,Shooting foul by R. Jefferson (drawn by J. Valanciunas),,11-6,,
8:41.0,J. Valanciunas makes free throw 1 of 2,1,12-6,,
8:41.0,J. Valanciunas makes free throw 2 of 2,1,13-6,,
8:25.0,,,13-6,,R. Jefferson misses 2-pt shot from 23 ft
8:24.0,Defensive rebound by P. Siakam,,13-6,,
8:18.0,P. Siakam misses 2-pt shot from 15 ft,,13-6,,
8:16.0,,,13-6,,Defensive rebound by T. Thompson
8:00.0,,,13-8,2,L. James makes 2-pt shot from 14 ft
7:37.0,K. Lowry makes 2-pt shot from 4 ft,2,15-8,,
7:22.0,,,15-8,,K. Irving misses 2-pt shot at rim
7:19.0,,,15-8,,Offensive rebound by K. Irving
7:17.0,,,15-10,2,K. Irving makes 2-pt shot from 1 ft
6:56.0,J. Valanciunas misses 2-pt shot from 5 ft,,15-10,,
6:53.0,,,15-10,,Defensive rebound by L. James
6:45.0,,,15-10,,K. Love misses 3-pt shot from 24 ft
6:45.0,Defensive rebound by N. Powell,,15-10,,
6:39.0,P. Siakam makes 2-pt shot from 1 ft (assist by K. Lowry),2,17-10,,
6:25.0,,,17-10,,T. Thompson misses 2-pt shot from 1 ft
6:25.0,Defensive rebound by Team,,17-10,,
6:07.0,K. Lowry misses 2-pt shot from 17 ft,,17-10,,
6:06.0,,,17-10,,Defensive rebound by T. Thompson
5:59.0,,,17-12,2,L. James makes 2-pt shot from 3 ft
5:59.0,,,17-12,,Shooting foul by P. Siakam (drawn by L. James)
5:59.0,,,17-13,1,L. James makes free throw 1 of 1
5:59.0,P. Patterson enters the game for P. Siakam,,17-12,,
5:43.0,D. DeRozan misses 2-pt shot from 19 ft,,17-13,,
5:42.0,,,17-13,,Defensive rebound by L. James
5:34.0,,,17-13,,L. James misses 3-pt shot from 25 ft
5:33.0,,,17-13,,Offensive rebound by K. Love
5:27.0,,,17-13,,K. Irving misses 2-pt shot from 13 ft
5:25.0,,,17-13,,Offensive rebound by K. Irving
5:24.0,,,17-15,2,K. Irving makes 2-pt shot from 2 ft
