time,Brooklyn,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Len vs. B. Lopez (M. Chriss gains possession),,,,Jump ball: A. Len vs. B. Lopez (M. Chriss gains possession)
11:50.0,,,0-0,,A. Len misses 2-pt shot from 2 ft (block by T. Booker)
11:49.0,,,0-0,,Offensive rebound by A. Len
11:47.0,,,0-0,,A. Len misses 2-pt shot from 2 ft (block by B. Lopez)
11:46.0,,,0-0,,Offensive rebound by T. Warren
11:39.0,,,0-0,,M. Chriss misses 2-pt shot from 1 ft (block by B. Lopez)
11:37.0,Defensive rebound by S. Kilpatrick,,0-0,,
11:22.0,B. Lopez misses 2-pt shot from 3 ft,,0-0,,
11:21.0,,,0-0,,Defensive rebound by M. Chriss
11:16.0,,,0-0,,Shooting foul by R. Hollis-Jefferson (drawn by E. Bledsoe)
11:16.0,,,0-1,1,E. Bledsoe makes free throw 1 of 2
11:16.0,,,0-2,1,E. Bledsoe makes free throw 2 of 2
11:05.0,B. Lopez misses 3-pt shot from 27 ft,,0-2,,
11:03.0,,,0-2,,Defensive rebound by E. Bledsoe
10:55.0,,,0-4,2,A. Len makes 2-pt shot from 1 ft (assist by D. Booker)
10:55.0,,,0-4,,Shooting foul by B. Lopez (drawn by A. Len)
10:55.0,,,0-5,1,A. Len makes free throw 1 of 1
10:37.0,R. Hollis-Jefferson makes 2-pt shot from 3 ft (assist by B. Lopez),2,2-5,,
10:20.0,,,2-5,,A. Len misses 2-pt shot from 3 ft
10:19.0,Defensive rebound by R. Hollis-Jefferson,,2-5,,
10:08.0,S. Kilpatrick makes 2-pt shot from 3 ft,2,4-5,,
10:00.0,,,4-5,,Turnover by E. Bledsoe (bad pass; steal by S. Kilpatrick)
9:58.0,,,4-5,,Clear path foul by E. Bledsoe
9:58.0,S. Kilpatrick makes clear path free throw 1 of 2,1,5-5,,
9:58.0,S. Kilpatrick makes clear path free throw 2 of 2,1,6-5,,
9:55.0,S. Kilpatrick misses 3-pt shot from 27 ft,,6-5,,
9:53.0,,,6-5,,Defensive rebound by A. Len
9:43.0,Violation by T. Booker (kicked ball),,6-5,,
9:37.0,,,6-5,,D. Booker misses 2-pt shot from 18 ft
9:35.0,Defensive rebound by B. Bogdanovic,,6-5,,
9:27.0,T. Booker makes 3-pt shot from 26 ft (assist by B. Bogdanovic),3,9-5,,
9:11.0,,,9-7,2,T. Warren makes 2-pt shot from 9 ft
8:52.0,R. Hollis-Jefferson misses 2-pt shot from 15 ft,,9-7,,
8:50.0,,,9-7,,Defensive rebound by E. Bledsoe
8:44.0,,,9-7,,D. Booker misses 3-pt shot from 28 ft
8:42.0,Defensive rebound by B. Lopez,,9-7,,
8:35.0,B. Lopez misses 3-pt shot from 26 ft,,9-7,,
8:33.0,,,9-7,,Defensive rebound by A. Len
8:25.0,,,9-7,,A. Len misses 2-pt shot at rim
8:24.0,Defensive rebound by R. Hollis-Jefferson,,9-7,,
8:16.0,S. Kilpatrick makes 3-pt shot from 26 ft (assist by R. Hollis-Jefferson),3,12-7,,
8:12.0,,,12-7,,Phoenix full timeout
8:12.0,J. Hamilton enters the game for T. Booker,,12-7,,
7:59.0,,,12-7,,M. Chriss misses 2-pt shot from 1 ft (block by B. Lopez)
7:56.0,,,12-7,,Offensive rebound by Team
7:51.0,,,12-7,,E. Bledsoe misses 2-pt shot from 16 ft
7:50.0,Defensive rebound by R. Hollis-Jefferson,,12-7,,
7:42.0,Jump ball: M. Chriss vs. R. Hollis-Jefferson (A. Len gains possession),,,,Jump ball: M. Chriss vs. R. Hollis-Jefferson (A. Len gains possession)
7:42.0,Turnover by R. Hollis-Jefferson (lost ball; steal by M. Chriss),,12-7,,
7:27.0,,,12-9,2,M. Chriss makes 2-pt shot from 1 ft
7:14.0,B. Lopez misses 2-pt shot from 14 ft,,12-9,,
7:13.0,,,12-9,,Defensive rebound by D. Booker
7:03.0,,,12-9,,Turnover by M. Chriss (bad pass; steal by J. Hamilton)
6:58.0,B. Bogdanovic misses 3-pt shot from 24 ft,,12-9,,
6:55.0,,,12-9,,Defensive rebound by M. Chriss
6:44.0,,,12-9,,M. Chriss misses 2-pt shot from 4 ft
6:42.0,Defensive rebound by J. Hamilton,,12-9,,
6:32.0,R. Hollis-Jefferson misses 2-pt shot from 1 ft,,12-9,,
6:32.0,,,12-9,,Defensive rebound by A. Len
6:26.0,,,12-9,,T. Warren misses 2-pt shot from 21 ft
6:24.0,Defensive rebound by B. Bogdanovic,,12-9,,
6:20.0,Turnover by S. Kilpatrick (bad pass; steal by E. Bledsoe),,12-9,,
6:05.0,,,12-11,2,M. Chriss makes 2-pt shot from 20 ft (assist by E. Bledsoe)
5:45.0,S. Kilpatrick misses 3-pt shot from 26 ft,,12-11,,
5:44.0,,,12-11,,Defensive rebound by E. Bledsoe
5:39.0,,,12-11,,E. Bledsoe misses 3-pt shot from 28 ft
5:36.0,Defensive rebound by S. Kilpatrick,,12-11,,
5:27.0,S. Kilpatrick misses 2-pt shot from 3 ft,,12-11,,
5:26.0,,,12-11,,Defensive rebound by E. Bledsoe
5:16.0,,,12-11,,D. Booker misses 2-pt shot from 14 ft
5:15.0,,,12-11,,Offensive rebound by M. Chriss
5:11.0,,,12-11,,Turnover by M. Chriss (bad pass; steal by B. Lopez)
5:10.0,Turnover by B. Lopez (bad pass; steal by E. Bledsoe),,12-11,,
5:05.0,,,12-13,2,M. Chriss makes 2-pt shot at rim (assist by E. Bledsoe)
4:47.0,B. Bogdanovic misses 2-pt shot from 1 ft,,12-13,,
4:46.0,,,12-13,,Defensive rebound by D. Booker
4:42.0,,,12-13,,T. Warren misses 2-pt shot from 7 ft
4:40.0,Defensive rebound by B. Lopez,,12-13,,
4:36.0,,,12-13,,Personal foul by M. Chriss (drawn by S. Kilpatrick)
4:36.0,J. Harris enters the game for R. Hollis-Jefferson,,12-13,,
4:36.0,T. Booker enters the game for B. Lopez,,12-13,,
4:36.0,R. Hollis-Jefferson enters the game for B. Bogdanovic,,12-13,,
4:36.0,,,12-13,,J. Dudley enters the game for M. Chriss
4:36.0,,,12-13,,B. Knight enters the game for E. Bledsoe
4:29.0,Shooting foul by B. Knight (drawn by R. Hollis-Jefferson),,12-13,,
4:29.0,R. Hollis-Jefferson makes 2-pt shot from 5 ft,2,14-13,,
4:29.0,R. Hollis-Jefferson makes free throw 1 of 1,1,15-13,,
4:29.0,,,14-13,,P. Tucker enters the game for A. Len
4:16.0,,,15-13,,D. Booker misses 2-pt shot from 2 ft
4:15.0,Defensive rebound by R. Hollis-Jefferson,,15-13,,
4:05.0,J. Hamilton makes 2-pt shot from 4 ft (assist by R. Hollis-Jefferson),2,17-13,,
3:59.0,,,17-15,2,D. Booker makes 2-pt shot from 12 ft (assist by B. Knight)
3:59.0,Shooting block foul by R. Hollis-Jefferson (drawn by D. Booker),,17-15,,
3:59.0,,,17-16,1,D. Booker makes free throw 1 of 1
3:59.0,B. Bogdanovic enters the game for R. Hollis-Jefferson,,17-15,,
3:47.0,Turnover by J. Hamilton (bad pass; steal by D. Booker),,17-16,,
3:39.0,,,17-19,3,J. Dudley makes 3-pt shot from 26 ft (assist by B. Knight)
3:27.0,J. Harris makes 3-pt shot from 25 ft (assist by S. Kilpatrick),3,20-19,,
3:14.0,,,20-19,,B. Knight misses 3-pt shot from 26 ft
3:12.0,Defensive rebound by S. Kilpatrick,,20-19,,
3:07.0,S. Kilpatrick misses 2-pt shot from 5 ft,,20-19,,
3:03.0,,,20-19,,Defensive rebound by B. Knight
2:56.0,,,20-19,,D. Booker misses 3-pt shot from 24 ft
2:54.0,Defensive rebound by S. Kilpatrick,,20-19,,
2:46.0,Brooklyn full timeout,,20-19,,
2:46.0,,,20-19,,E. Bledsoe enters the game for D. Booker
2:46.0,R. Foye enters the game for S. Kilpatrick,,20-19,,
2:46.0,L. Scola enters the game for J. Hamilton,,20-19,,
2:45.0,J. Harris misses 2-pt shot from 21 ft,,20-19,,
2:45.0,,,20-19,,Defensive rebound by B. Knight
2:33.0,,,20-19,,J. Dudley misses 2-pt shot from 19 ft
2:33.0,Defensive rebound by B. Bogdanovic,,20-19,,
2:14.0,Turnover by L. Scola (lost ball),,20-19,,
2:03.0,,,20-19,,P. Tucker misses 3-pt shot from 24 ft
2:01.0,Defensive rebound by R. Foye,,20-19,,
1:41.0,J. Harris makes 3-pt shot from 27 ft (assist by T. Booker),3,23-19,,
1:35.0,Loose ball foul by T. Booker (drawn by B. Knight),,23-19,,
1:23.0,,,23-19,,T. Warren misses 3-pt shot from 23 ft
1:23.0,,,23-19,,Offensive rebound by P. Tucker
1:18.0,,,23-19,,J. Dudley misses 3-pt shot from 26 ft
1:18.0,Defensive rebound by T. Booker,,23-19,,
