time,Milwaukee,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. R. Lopez,,,,Jump ball: J. Henson vs. R. Lopez
11:36.0,,,0-0,,Shooting foul by J. Henson (drawn by R. Lopez)
11:36.0,,,0-1,1,R. Lopez makes free throw 1 of 2
11:36.0,,,0-2,1,R. Lopez makes free throw 2 of 2
11:20.0,T. Snell makes 2-pt shot from 20 ft (assist by G. Antetokounmpo),2,2-2,,
11:06.0,,,2-2,,T. Gibson misses 2-pt shot from 11 ft
11:05.0,,,2-2,,Offensive rebound by R. Lopez
10:57.0,,,2-2,,J. Butler misses 2-pt shot from 20 ft
10:56.0,,,2-2,,Offensive rebound by R. Lopez
10:56.0,,,2-4,2,R. Lopez makes 2-pt shot from 1 ft
10:34.0,M. Dellavedova misses 2-pt shot from 14 ft,,2-4,,
10:33.0,Offensive rebound by G. Antetokounmpo,,2-4,,
10:33.0,G. Antetokounmpo makes 2-pt shot at rim,2,4-4,,
10:17.0,,,4-4,,Turnover by J. Butler (bad pass; steal by G. Antetokounmpo)
10:15.0,Shooting foul by J. Butler (drawn by G. Antetokounmpo),,4-4,,
10:15.0,G. Antetokounmpo misses free throw 1 of 2,,4-4,,
10:15.0,Offensive rebound by Team,,4-4,,
10:15.0,G. Antetokounmpo makes free throw 2 of 2,1,5-4,,
9:57.0,,,5-4,,R. Lopez misses 2-pt shot from 16 ft
9:56.0,Defensive rebound by T. Snell,,5-4,,
9:41.0,G. Antetokounmpo makes 2-pt shot from 19 ft,2,7-4,,
9:24.0,,,7-4,,D. Wade misses 2-pt shot from 20 ft
9:22.0,,,7-4,,Offensive rebound by R. Lopez
9:22.0,,,7-4,,R. Lopez misses 2-pt shot at rim
9:18.0,,,7-4,,Offensive rebound by R. Lopez
9:14.0,,,7-4,,R. Rondo misses 2-pt shot from 2 ft
9:13.0,Defensive rebound by G. Antetokounmpo,,7-4,,
8:57.0,J. Parker makes 2-pt shot at rim (assist by T. Snell),2,9-4,,
8:47.0,,,9-4,,D. Wade misses 2-pt shot from 18 ft
8:46.0,,,9-4,,Offensive rebound by Team
8:36.0,,,9-6,2,T. Gibson makes 2-pt shot at rim (assist by R. Rondo)
8:10.0,J. Henson makes 2-pt shot from 7 ft (assist by M. Dellavedova),2,11-6,,
7:57.0,,,11-6,,Turnover by R. Lopez (bad pass; steal by J. Parker)
7:55.0,,,11-6,,Personal foul by R. Rondo (drawn by J. Parker)
7:43.0,J. Henson misses 2-pt shot from 21 ft,,11-6,,
7:41.0,Offensive rebound by T. Snell,,11-6,,
7:40.0,T. Snell makes 2-pt shot from 15 ft,2,13-6,,
7:29.0,,,13-9,3,J. Butler makes 3-pt shot from 24 ft (assist by R. Rondo)
7:17.0,J. Henson makes 2-pt shot from 7 ft (assist by G. Antetokounmpo),2,15-9,,
7:01.0,,,15-11,2,T. Gibson makes 2-pt shot from 3 ft
6:46.0,G. Antetokounmpo makes 3-pt shot from 24 ft,3,18-11,,
6:24.0,,,18-11,,J. Butler misses 2-pt shot from 7 ft
6:24.0,,,18-11,,Offensive rebound by Team
6:24.0,M. Brogdon enters the game for M. Dellavedova,,18-11,,
6:24.0,M. Teletovic enters the game for G. Antetokounmpo,,18-11,,
6:24.0,,,18-11,,Chicago full timeout
6:15.0,,,18-13,2,R. Lopez makes 2-pt shot from 6 ft (assist by J. Butler)
5:54.0,J. Parker makes 2-pt shot from 4 ft,2,20-13,,
5:34.0,,,20-13,,T. Gibson misses 2-pt shot from 5 ft
5:33.0,Defensive rebound by J. Parker,,20-13,,
5:24.0,M. Teletovic misses 3-pt shot from 25 ft,,20-13,,
5:23.0,,,20-13,,Defensive rebound by D. Wade
5:15.0,,,20-13,,R. Rondo misses 2-pt shot from 6 ft
5:14.0,Defensive rebound by J. Henson,,20-13,,
5:10.0,Turnover by J. Henson (lost ball),,20-13,,
5:10.0,G. Monroe enters the game for J. Henson,,20-13,,
5:10.0,,,20-13,,D. McDermott enters the game for D. Wade
4:44.0,,,20-13,,D. McDermott misses 3-pt shot from 25 ft
4:44.0,Defensive rebound by Team,,20-13,,
4:33.0,M. Brogdon misses 2-pt shot from 2 ft,,20-13,,
4:32.0,,,20-13,,Defensive rebound by R. Lopez
4:12.0,,,20-13,,T. Gibson misses 2-pt shot from 2 ft
4:11.0,,,20-13,,Offensive rebound by T. Gibson
4:07.0,,,20-13,,T. Gibson misses 2-pt shot from 3 ft
4:06.0,Defensive rebound by J. Parker,,20-13,,
3:55.0,M. Teletovic misses 3-pt shot from 24 ft,,20-13,,
3:54.0,,,20-13,,Defensive rebound by R. Rondo
3:48.0,,,20-15,2,R. Rondo makes 2-pt shot from 2 ft
3:31.0,Shooting foul by J. Butler (drawn by G. Monroe),,20-15,,
3:31.0,G. Monroe misses free throw 1 of 2,,20-15,,
3:31.0,Offensive rebound by Team,,20-15,,
3:31.0,G. Monroe makes free throw 2 of 2,1,21-15,,
3:31.0,,,20-15,,D. Valentine enters the game for J. Butler
3:31.0,,,20-15,,B. Portis enters the game for T. Gibson
3:31.0,G. Antetokounmpo enters the game for J. Parker,,20-15,,
3:31.0,J. Terry enters the game for T. Snell,,20-15,,
3:17.0,,,21-15,,R. Lopez misses 2-pt shot from 14 ft
3:17.0,Defensive rebound by M. Teletovic,,21-15,,
3:08.0,G. Monroe makes 2-pt shot from 2 ft (assist by G. Antetokounmpo),2,23-15,,
2:46.0,,,23-15,,B. Portis misses 2-pt shot from 1 ft
2:43.0,Defensive rebound by J. Terry,,23-15,,
2:37.0,M. Teletovic makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,26-15,,
2:37.0,,,26-15,,Chicago full timeout
2:37.0,,,26-15,,C. Felicio enters the game for R. Lopez
2:37.0,Milwaukee full timeout,,26-15,,
2:37.0,,,26-15,,D. Wade enters the game for R. Rondo
2:11.0,,,26-15,,D. Wade misses 2-pt shot from 18 ft
2:10.0,Defensive rebound by G. Antetokounmpo,,26-15,,
2:05.0,J. Terry misses 3-pt shot from 24 ft,,26-15,,
2:05.0,Offensive rebound by G. Monroe,,26-15,,
2:05.0,Shooting foul by C. Felicio (drawn by G. Monroe),,26-15,,
2:05.0,G. Monroe makes 2-pt shot from 2 ft,2,28-15,,
2:05.0,G. Monroe makes free throw 1 of 1,1,29-15,,
1:49.0,,,29-15,,D. McDermott misses 3-pt shot from 24 ft
1:48.0,Defensive rebound by G. Monroe,,29-15,,
1:33.0,G. Monroe misses 2-pt shot from 1 ft,,29-15,,
1:32.0,,,29-15,,Defensive rebound by D. Valentine
1:23.0,,,29-15,,C. Felicio misses 2-pt shot from 21 ft
1:20.0,Defensive rebound by M. Brogdon,,29-15,,
1:03.0,Turnover by M. Brogdon (bad pass; steal by D. Valentine),,29-15,,
0:55.0,,,29-15,,D. Wade misses 2-pt shot from 1 ft
0:53.0,Defensive rebound by G. Monroe,,29-15,,
0:48.0,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Terry),2,31-15,,
0:38.0,,,31-15,,Shooting foul by J. Terry (drawn by B. Portis)
0:38.0,,,31-15,,B. Portis misses free throw 1 of 2
0:38.0,,,31-15,,Offensive rebound by Team
0:38.0,,,31-15,,B. Portis misses free throw 2 of 2
0:36.0,,,31-15,,Offensive rebound by C. Felicio
0:33.0,,,31-15,,Turnover by C. Felicio (back court)
0:26.0,M. Brogdon makes 3-pt shot from 24 ft,3,34-15,,
0:02.0,,,34-15,,D. Wade misses 2-pt shot from 2 ft
0:01.0,,,34-15,,Offensive rebound by B. Portis
0:00.0,,,34-15,,D. McDermott misses 3-pt shot from 25 ft (block by G. Antetokounmpo)
0:00.0,,,34-15,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Turnover by G. Monroe (bad pass; steal by J. Butler),,34-15,,
11:28.0,,,34-15,,J. Butler misses 2-pt shot from 13 ft
11:27.0,Defensive rebound by M. Teletovic,,34-15,,
11:08.0,M. Teletovic makes 3-pt shot from 23 ft (assist by M. Brogdon),3,37-15,,
10:52.0,,,37-17,2,D. Wade makes 2-pt shot from 20 ft (assist by J. Butler)
10:37.0,,,37-17,,Personal foul by C. Felicio (drawn by G. Monroe)
10:34.0,Turnover by G. Monroe (bad pass),,37-17,,
