time,Phoenix,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. K. Koufos (M. Barnes gains possession),,,,Jump ball: T. Chandler vs. K. Koufos (M. Barnes gains possession)
11:38.0,,,0-0,,K. Koufos misses 2-pt shot from 9 ft
11:37.0,,,0-0,,Offensive rebound by Team
11:32.0,,,0-0,,Turnover by D. Collison (step out of bounds)
11:06.0,E. Bledsoe misses 3-pt shot from 26 ft,,0-0,,
11:04.0,,,0-0,,Defensive rebound by K. Koufos
10:57.0,,,0-0,,B. McLemore misses 2-pt shot from 8 ft
10:57.0,Defensive rebound by T. Chandler,,0-0,,
10:52.0,T. Warren makes 2-pt shot from 2 ft (assist by E. Bledsoe),2,2-0,,
10:33.0,,,2-0,,B. McLemore misses 3-pt shot from 24 ft
10:31.0,Defensive rebound by M. Chriss,,2-0,,
10:14.0,D. Booker misses 2-pt shot from 18 ft,,2-0,,
10:13.0,,,2-0,,Defensive rebound by M. Barnes
9:56.0,,,2-0,,D. Collison misses 3-pt shot from 23 ft
9:56.0,Defensive rebound by Team,,2-0,,
9:56.0,,,2-0,,Personal foul by D. Cousins (drawn by T. Chandler)
9:39.0,Shooting foul by D. Collison,,2-0,,
9:39.0,T. Warren makes free throw 1 of 2,1,3-0,,
9:39.0,T. Warren makes free throw 2 of 2,1,4-0,,
9:16.0,,,4-2,2,D. Cousins makes 2-pt shot from 17 ft
9:16.0,,,4-2,,Shooting foul by M. Chriss (drawn by D. Cousins)
9:16.0,,,4-2,,D. Cousins misses free throw 1 of 1
9:15.0,Defensive rebound by M. Chriss,,4-2,,
9:07.0,T. Warren misses 3-pt shot from 26 ft,,4-2,,
9:05.0,,,4-2,,Defensive rebound by M. Barnes
8:52.0,,,4-2,,B. McLemore misses 2-pt shot from 8 ft
8:50.0,Defensive rebound by T. Chandler,,4-2,,
8:44.0,T. Warren misses 2-pt shot from 2 ft (block by D. Cousins),,4-2,,
8:42.0,Offensive rebound by T. Warren,,4-2,,
8:41.0,T. Warren misses 2-pt shot from 3 ft,,4-2,,
8:39.0,,,4-2,,Defensive rebound by D. Cousins
8:29.0,,,4-2,,D. Collison misses 2-pt shot from 13 ft
8:28.0,Defensive rebound by T. Chandler,,4-2,,
8:17.0,M. Chriss misses 3-pt shot from 24 ft,,4-2,,
8:16.0,,,4-2,,Defensive rebound by M. Barnes
8:08.0,,,4-2,,Shooting foul by E. Bledsoe (drawn by K. Koufos)
8:08.0,,,4-4,2,K. Koufos makes 2-pt shot from 4 ft (assist by D. Cousins)
8:08.0,,,4-5,1,K. Koufos makes free throw 1 of 1
7:45.0,D. Booker misses 2-pt shot from 15 ft,,4-5,,
7:44.0,,,4-5,,Defensive rebound by D. Cousins
7:42.0,Personal block foul by M. Chriss (drawn by D. Cousins),,4-5,,
7:26.0,,,4-5,,B. McLemore misses 2-pt shot from 7 ft
7:25.0,Defensive rebound by D. Booker,,4-5,,
7:18.0,Turnover by M. Chriss (step out of bounds),,4-5,,
7:08.0,,,4-5,,M. Barnes misses 3-pt shot from 23 ft
7:06.0,Defensive rebound by T. Chandler,,4-5,,
6:56.0,M. Chriss misses 3-pt shot from 23 ft,,4-5,,
6:56.0,,,4-5,,Defensive rebound by M. Barnes
6:33.0,,,4-5,,M. Barnes misses 2-pt shot from 16 ft
6:32.0,Defensive rebound by Team,,4-5,,
6:18.0,Turnover by E. Bledsoe (bad pass; steal by D. Cousins),,4-5,,
6:14.0,,,4-7,2,B. McLemore makes 2-pt shot at rim (assist by D. Cousins)
6:12.0,Phoenix full timeout,,4-7,,
6:12.0,P. Tucker enters the game for M. Chriss,,4-7,,
5:58.0,E. Bledsoe makes 2-pt shot from 18 ft,2,6-7,,
5:35.0,,,6-10,3,B. McLemore makes 3-pt shot from 25 ft (assist by D. Collison)
5:24.0,P. Tucker makes 3-pt shot from 25 ft (assist by E. Bledsoe),3,9-10,,
5:00.0,,,9-10,,K. Koufos misses 2-pt shot from 9 ft
4:56.0,Defensive rebound by T. Chandler,,9-10,,
4:53.0,Shooting foul by M. Barnes,,9-10,,
4:53.0,T. Warren makes free throw 1 of 2,1,10-10,,
4:53.0,T. Warren makes free throw 2 of 2,1,11-10,,
4:37.0,,,11-13,3,B. McLemore makes 3-pt shot from 25 ft (assist by D. Cousins)
4:22.0,D. Booker misses 2-pt shot from 18 ft,,11-13,,
4:21.0,,,11-13,,Defensive rebound by M. Barnes
4:08.0,,,11-13,,D. Collison misses 2-pt shot from 12 ft
4:07.0,Defensive rebound by P. Tucker,,11-13,,
4:00.0,P. Tucker misses 2-pt shot from 3 ft,,11-13,,
3:59.0,,,11-13,,Defensive rebound by K. Koufos
3:52.0,,,11-13,,D. Cousins misses 3-pt shot from 25 ft
3:51.0,Defensive rebound by T. Warren,,11-13,,
3:41.0,D. Booker misses 3-pt shot from 25 ft,,11-13,,
3:40.0,,,11-13,,Defensive rebound by K. Koufos
3:33.0,,,11-15,2,B. McLemore makes 2-pt shot from 2 ft
3:11.0,P. Tucker misses 3-pt shot from 23 ft,,11-15,,
3:10.0,,,11-15,,Defensive rebound by D. Cousins
3:03.0,,,11-15,,D. Cousins misses 2-pt shot from 3 ft
3:01.0,,,11-15,,Offensive rebound by K. Koufos
3:01.0,,,11-17,2,K. Koufos makes 2-pt shot from 1 ft
2:49.0,,,11-17,,Sacramento full timeout
2:49.0,B. Knight enters the game for T. Chandler,,11-17,,
2:49.0,A. Len enters the game for D. Booker,,11-17,,
2:49.0,,,11-17,,M. Richardson enters the game for K. Koufos
2:49.0,,,11-17,,A. Tolliver enters the game for B. McLemore
2:43.0,T. Warren makes 2-pt shot from 13 ft (assist by P. Tucker),2,13-17,,
2:20.0,,,13-19,2,M. Barnes makes 2-pt shot from 2 ft (assist by D. Cousins)
2:03.0,E. Bledsoe misses 2-pt shot from 17 ft,,13-19,,
2:02.0,,,13-19,,Defensive rebound by M. Barnes
