time,Chicago,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. R. Lopez (J. Grant gains possession),,,,Jump ball: R. Gobert vs. R. Lopez (J. Grant gains possession)
11:39.0,R. Lopez misses 2-pt shot from 5 ft,,0-0,,
11:38.0,Offensive rebound by R. Lopez,,0-0,,
11:34.0,R. Lopez makes 2-pt shot from 3 ft,2,2-0,,
11:16.0,,,2-0,,B. Diaw misses 3-pt shot from 24 ft
11:15.0,Defensive rebound by Team,,2-0,,
10:56.0,D. Wade misses 3-pt shot from 24 ft,,2-0,,
10:55.0,,,2-0,,Defensive rebound by R. Gobert
10:46.0,,,2-3,3,B. Diaw makes 3-pt shot from 24 ft (assist by D. Exum)
10:36.0,J. Grant makes 2-pt shot from 16 ft,2,4-3,,
10:17.0,,,4-3,,B. Diaw misses 3-pt shot from 25 ft
10:16.0,Defensive rebound by J. Butler,,4-3,,
9:59.0,T. Gibson makes 2-pt shot from 2 ft,2,6-3,,
9:30.0,,,6-3,,G. Hayward misses 2-pt shot from 22 ft
9:30.0,Defensive rebound by T. Gibson,,6-3,,
9:16.0,T. Gibson misses 2-pt shot from 12 ft (block by R. Gobert),,6-3,,
9:16.0,Offensive rebound by T. Gibson,,6-3,,
9:12.0,D. Wade misses 2-pt shot from 1 ft,,6-3,,
9:11.0,Offensive rebound by D. Wade,,6-3,,
9:11.0,Shooting foul by R. Hood (drawn by D. Wade),,6-3,,
9:11.0,D. Wade makes free throw 1 of 2,1,7-3,,
9:11.0,D. Wade makes free throw 2 of 2,1,8-3,,
9:00.0,,,8-3,,G. Hayward misses 2-pt shot from 6 ft
9:00.0,,,8-3,,Offensive rebound by R. Gobert
8:57.0,,,8-5,2,R. Gobert makes 2-pt shot from 3 ft
8:41.0,Shooting foul by D. Exum (drawn by J. Grant),,8-5,,
8:41.0,J. Grant makes free throw 1 of 2,1,9-5,,
8:41.0,J. Grant makes free throw 2 of 2,1,10-5,,
8:26.0,,,10-5,,R. Hood misses 3-pt shot from 24 ft
8:26.0,Defensive rebound by J. Butler,,10-5,,
8:16.0,J. Butler makes 2-pt shot from 21 ft,2,12-5,,
7:57.0,,,12-7,2,D. Exum makes 2-pt shot from 2 ft
7:42.0,R. Lopez makes 2-pt shot from 16 ft (assist by J. Butler),2,14-7,,
7:29.0,,,14-9,2,D. Exum makes 2-pt shot from 2 ft
7:12.0,J. Butler misses 3-pt shot from 24 ft,,14-9,,
7:12.0,,,14-9,,Defensive rebound by R. Gobert
6:57.0,,,14-12,3,R. Hood makes 3-pt shot from 25 ft
6:45.0,J. Grant misses 2-pt shot from 11 ft,,14-12,,
6:45.0,,,14-12,,Defensive rebound by R. Hood
6:28.0,,,14-12,,Turnover by R. Gobert (traveling)
6:10.0,R. Lopez misses 2-pt shot from 20 ft,,14-12,,
6:10.0,,,14-12,,Defensive rebound by R. Gobert
6:01.0,,,14-14,2,G. Hayward makes 2-pt shot from 3 ft
6:01.0,,,14-14,,Shooting foul by R. Lopez (drawn by G. Hayward)
6:01.0,,,14-15,1,G. Hayward makes free throw 1 of 1
6:01.0,N. Mirotic enters the game for T. Gibson,,14-14,,
6:01.0,I. Canaan enters the game for D. Wade,,14-14,,
5:44.0,J. Butler makes 2-pt shot from 20 ft,2,16-15,,
5:37.0,,,16-15,,Utah full timeout
5:37.0,,,16-15,,T. Lyles enters the game for B. Diaw
5:37.0,,,16-15,,J. Johnson enters the game for R. Hood
5:26.0,,,16-17,2,J. Johnson makes 2-pt shot from 13 ft
5:00.0,Shooting foul by J. Johnson (drawn by J. Butler),,16-17,,
5:00.0,J. Butler makes free throw 1 of 2,1,17-17,,
5:00.0,J. Butler makes free throw 2 of 2,1,18-17,,
4:40.0,,,18-19,2,D. Exum makes 2-pt shot from 14 ft
4:28.0,Offensive charge foul by J. Grant,,18-19,,
4:28.0,Turnover by J. Grant (offensive foul),,18-19,,
4:28.0,,,18-19,,S. Mack enters the game for D. Exum
4:15.0,,,18-19,,T. Lyles misses 3-pt shot from 25 ft
4:14.0,Defensive rebound by I. Canaan,,18-19,,
3:57.0,J. Grant misses 2-pt shot from 10 ft,,18-19,,
3:54.0,Offensive rebound by R. Lopez,,18-19,,
3:54.0,R. Lopez makes 2-pt shot from 3 ft,2,20-19,,
3:34.0,,,20-21,2,R. Gobert makes 2-pt shot at rim (assist by J. Johnson)
3:08.0,R. Lopez misses 2-pt shot from 2 ft,,20-21,,
3:07.0,,,20-21,,Defensive rebound by G. Hayward
3:00.0,,,20-21,,Turnover by G. Hayward (bad pass)
3:00.0,Chicago full timeout,,20-21,,
3:00.0,D. Wade enters the game for J. Grant,,20-21,,
2:47.0,N. Mirotic misses 3-pt shot from 25 ft,,20-21,,
2:46.0,,,20-21,,Defensive rebound by T. Lyles
2:30.0,,,20-21,,T. Lyles misses 3-pt shot from 24 ft
2:29.0,,,20-21,,Offensive rebound by R. Gobert
2:18.0,,,20-21,,R. Gobert misses 2-pt shot from 1 ft
2:18.0,Defensive rebound by R. Lopez,,20-21,,
2:11.0,D. Wade misses 2-pt shot from 13 ft,,20-21,,
2:10.0,,,20-21,,Defensive rebound by J. Johnson
1:55.0,,,20-24,3,J. Johnson makes 3-pt shot from 25 ft (assist by S. Mack)
1:30.0,R. Lopez misses 2-pt shot from 9 ft,,20-24,,
1:29.0,,,20-24,,Defensive rebound by R. Gobert
1:19.0,,,20-24,,S. Mack misses 2-pt shot from 19 ft
1:18.0,Defensive rebound by J. Butler,,20-24,,
1:08.0,J. Butler makes 3-pt shot from 25 ft,3,23-24,,
0:56.0,,,23-24,,Turnover by J. Johnson (bad pass; steal by N. Mirotic)
0:44.0,J. Butler misses 2-pt shot from 2 ft (block by R. Gobert),,23-24,,
0:44.0,Offensive rebound by R. Lopez,,23-24,,
0:44.0,R. Lopez makes 2-pt shot from 3 ft,2,25-24,,
0:31.0,,,25-24,,S. Mack misses 2-pt shot from 11 ft
0:31.0,,,25-24,,Offensive rebound by R. Gobert
0:31.0,,,25-26,2,R. Gobert makes 2-pt shot at rim
0:15.0,J. Butler misses 2-pt shot from 14 ft,,25-26,,
0:15.0,,,25-26,,Defensive rebound by T. Lyles
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,25-26,,R. Hood misses 2-pt shot from 14 ft
11:40.0,Defensive rebound by N. Mirotic,,25-26,,
11:29.0,D. Wade makes 2-pt shot from 18 ft,2,27-26,,
11:14.0,,,27-26,,Turnover by T. Lyles (traveling)
10:56.0,B. Portis makes 3-pt shot from 23 ft (assist by D. Valentine),3,30-26,,
10:33.0,,,30-26,,Shooting foul by D. Valentine (drawn by R. Hood)
10:33.0,,,30-26,,R. Hood misses free throw 1 of 2
10:33.0,,,30-26,,Offensive rebound by Team
10:33.0,,,30-27,1,R. Hood makes free throw 2 of 2
10:26.0,,,30-27,,Personal foul by S. Mack (drawn by D. Wade)
10:21.0,D. Wade makes 2-pt shot from 10 ft,2,32-27,,
10:03.0,,,32-29,2,R. Hood makes 2-pt shot from 8 ft
9:50.0,I. Canaan makes 2-pt shot from 7 ft,2,34-29,,
9:36.0,,,34-29,,Turnover by S. Mack (bad pass; steal by I. Canaan)
9:34.0,Turnover by I. Canaan (bad pass),,34-29,,
9:20.0,,,34-29,,R. Hood misses 2-pt shot from 11 ft
9:19.0,,,34-29,,Offensive rebound by T. Lyles
9:19.0,,,34-31,2,T. Lyles makes 2-pt shot from 2 ft
9:19.0,,,34-31,,Shooting foul by B. Portis (drawn by T. Lyles)
9:19.0,,,34-32,1,T. Lyles makes free throw 1 of 1
9:03.0,D. Wade misses 2-pt shot from 9 ft,,34-32,,
