time,Brooklyn,pts.away,score,pts.home,Dallas
6:32.0,,,10-9,,Turnover by W. Matthews (bad pass)
6:32.0,,,10-9,,S. Mejri enters the game for D. Nowitzki
6:25.0,J. Lin makes 2-pt shot from 17 ft,2,12-9,,
6:08.0,,,12-12,3,H. Barnes makes 3-pt shot from 25 ft (assist by S. Curry)
6:00.0,Shooting foul by Y. Ferrell (drawn by J. Lin),,12-12,,
6:00.0,J. Lin makes free throw 1 of 3,1,13-12,,
6:00.0,J. Lin makes free throw 2 of 3,1,14-12,,
6:00.0,J. Lin makes free throw 3 of 3,1,15-12,,
6:00.0,I. Whitehead enters the game for C. LeVert,,14-12,,
6:00.0,S. Dinwiddie enters the game for Q. Acy,,14-12,,
6:00.0,J. Hamilton enters the game for R. Foye,,14-12,,
5:44.0,Personal foul by R. Hollis-Jefferson (drawn by H. Barnes),,15-12,,
5:44.0,T. Booker enters the game for R. Hollis-Jefferson,,15-12,,
5:29.0,,,15-12,,W. Matthews misses 2-pt shot from 9 ft
5:27.0,Defensive rebound by T. Booker,,15-12,,
5:21.0,S. Dinwiddie misses 3-pt shot from 26 ft,,15-12,,
5:19.0,,,15-12,,Defensive rebound by S. Curry
5:09.0,,,15-15,3,W. Matthews makes 3-pt shot from 24 ft (assist by S. Curry)
4:52.0,J. Hamilton makes 2-pt shot at rim (assist by I. Whitehead),2,17-15,,
4:42.0,,,17-17,2,Y. Ferrell makes 2-pt shot from 1 ft
4:42.0,Brooklyn full timeout,,17-17,,
4:42.0,S. Kilpatrick enters the game for J. Lin,,17-17,,
4:29.0,S. Kilpatrick misses 3-pt shot from 25 ft,,17-17,,
4:28.0,,,17-17,,Defensive rebound by W. Matthews
4:18.0,,,17-17,,W. Matthews misses 3-pt shot from 26 ft
4:17.0,,,17-17,,Offensive rebound by S. Mejri
4:13.0,,,17-17,,Turnover by S. Mejri (bad pass; steal by S. Kilpatrick)
4:10.0,I. Whitehead makes 2-pt shot at rim (assist by S. Kilpatrick),2,19-17,,
3:53.0,,,19-17,,Turnover by S. Curry (lost ball; steal by S. Kilpatrick)
3:49.0,Turnover by S. Kilpatrick (bad pass; steal by W. Matthews),,19-17,,
3:49.0,,,19-17,,Shooting foul by S. Kilpatrick (drawn by W. Matthews)
3:49.0,,,19-18,1,W. Matthews makes free throw 1 of 2
3:49.0,,,19-19,1,W. Matthews makes free throw 2 of 2
3:49.0,,,19-18,,J. Barea enters the game for S. Curry
3:49.0,,,19-18,,D. Harris enters the game for Y. Ferrell
3:32.0,J. Hamilton makes 2-pt shot from 10 ft (assist by S. Kilpatrick),2,21-19,,
3:18.0,,,21-19,,J. Barea misses 2-pt shot from 6 ft (block by S. Dinwiddie)
3:17.0,,,21-19,,Offensive rebound by Team
3:17.0,,,21-19,,D. Powell enters the game for S. Mejri
3:14.0,,,21-19,,H. Barnes misses 3-pt shot from 26 ft
3:13.0,Defensive rebound by S. Kilpatrick,,21-19,,
3:09.0,,,21-19,,Violation by D. Harris (kicked ball)
3:04.0,S. Kilpatrick makes 3-pt shot from 25 ft (assist by T. Booker),3,24-19,,
2:41.0,,,24-19,,W. Matthews misses 3-pt shot from 25 ft
2:40.0,Defensive rebound by T. Booker,,24-19,,
2:27.0,T. Booker misses 2-pt shot from 11 ft,,24-19,,
2:26.0,,,24-19,,Defensive rebound by D. Harris
2:20.0,Loose ball foul by I. Whitehead (drawn by D. Powell),,24-19,,
2:20.0,,,24-19,,D. Powell misses free throw 1 of 2
2:20.0,,,24-19,,Offensive rebound by Team
2:20.0,,,24-20,1,D. Powell makes free throw 2 of 2
2:20.0,,,24-19,,D. Finney-Smith enters the game for W. Matthews
2:02.0,S. Kilpatrick misses 3-pt shot from 26 ft,,24-20,,
2:01.0,,,24-20,,Defensive rebound by Team
1:46.0,,,24-20,,Offensive foul by D. Powell
1:46.0,,,24-20,,Turnover by D. Powell (offensive foul)
1:26.0,S. Kilpatrick misses 3-pt shot from 24 ft,,24-20,,
1:25.0,,,24-20,,Defensive rebound by H. Barnes
1:20.0,,,24-20,,D. Nowitzki enters the game for H. Barnes
1:12.0,,,24-20,,Turnover by J. Barea (bad pass)
1:02.0,Shooting foul by D. Nowitzki (drawn by I. Whitehead),,24-20,,
1:02.0,I. Whitehead makes free throw 1 of 2,1,25-20,,
1:02.0,I. Whitehead makes free throw 2 of 2,1,26-20,,
0:41.0,,,26-23,3,J. Barea makes 3-pt shot from 25 ft
0:24.0,S. Kilpatrick misses 3-pt shot from 25 ft,,26-23,,
0:23.0,,,26-23,,Defensive rebound by D. Powell
0:02.0,,,26-23,,D. Nowitzki misses 3-pt shot from 24 ft
0:00.0,,,26-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,26-23,,J. Barea misses 3-pt shot from 24 ft
11:42.0,,,26-23,,Offensive rebound by D. Powell
11:38.0,,,26-23,,D. Nowitzki misses 3-pt shot from 25 ft
11:38.0,Defensive rebound by A. Nicholson,,26-23,,
11:29.0,I. Whitehead makes 3-pt shot from 25 ft,3,29-23,,
11:20.0,,,29-25,2,D. Harris makes 2-pt shot from 2 ft (assist by J. Barea)
11:09.0,T. Booker misses 2-pt shot from 6 ft,,29-25,,
11:07.0,Offensive rebound by Team,,29-25,,
10:55.0,A. Nicholson makes 3-pt shot from 26 ft (assist by T. Booker),3,32-25,,
10:40.0,,,32-25,,Turnover by D. Harris (lost ball; steal by A. Nicholson)
10:36.0,S. Dinwiddie makes 2-pt shot at rim (assist by T. Booker),2,34-25,,
10:34.0,,,34-25,,Dallas full timeout
10:20.0,,,34-27,2,D. Harris makes 2-pt shot from 21 ft
10:05.0,T. Booker makes 2-pt shot from 1 ft (assist by R. Foye),2,36-27,,
9:47.0,,,36-29,2,D. Nowitzki makes 2-pt shot from 12 ft (assist by D. Harris)
9:31.0,R. Foye misses 3-pt shot from 22 ft,,36-29,,
9:30.0,,,36-29,,Defensive rebound by D. Finney-Smith
9:22.0,,,36-32,3,D. Finney-Smith makes 3-pt shot from 24 ft (assist by D. Harris)
9:08.0,I. Whitehead misses 3-pt shot from 25 ft,,36-32,,
9:06.0,,,36-32,,Defensive rebound by D. Powell
8:53.0,,,36-35,3,D. Nowitzki makes 3-pt shot from 25 ft (assist by J. Barea)
8:53.0,Brooklyn full timeout,,36-35,,
8:53.0,,,36-35,,Y. Ferrell enters the game for J. Barea
8:42.0,Shooting foul by D. Nowitzki (drawn by T. Booker),,36-35,,
8:42.0,T. Booker makes free throw 1 of 2,1,37-35,,
8:42.0,T. Booker misses free throw 2 of 2,,37-35,,
8:42.0,,,37-35,,H. Barnes enters the game for D. Nowitzki
8:41.0,,,37-35,,Defensive rebound by D. Powell
8:25.0,,,37-35,,D. Finney-Smith misses 3-pt shot from 24 ft
8:24.0,Defensive rebound by T. Booker,,37-35,,
8:06.0,I. Whitehead makes 2-pt shot from 5 ft (assist by S. Dinwiddie),2,39-35,,
7:49.0,,,39-35,,H. Barnes misses 2-pt shot from 16 ft
7:48.0,,,39-35,,Offensive rebound by D. Finney-Smith
7:48.0,,,39-35,,D. Finney-Smith misses 2-pt shot at rim
7:46.0,,,39-35,,Offensive rebound by D. Finney-Smith
7:37.0,,,39-35,,D. Harris misses 3-pt shot from 26 ft
7:36.0,Defensive rebound by A. Nicholson,,39-35,,
7:26.0,,,39-35,,W. Matthews enters the game for D. Finney-Smith
7:26.0,Jump ball: R. Foye vs. D. Harris (S. Dinwiddie gains possession),,,,Jump ball: R. Foye vs. D. Harris (S. Dinwiddie gains possession)
7:13.0,A. Nicholson misses 3-pt shot from 26 ft,,39-35,,
7:13.0,Offensive rebound by T. Booker,,39-35,,
7:08.0,T. Booker makes 2-pt shot from 5 ft,2,41-35,,
7:07.0,,,41-35,,Dallas full timeout
7:07.0,,,41-35,,S. Curry enters the game for D. Harris
7:07.0,,,41-35,,S. Mejri enters the game for D. Powell
6:51.0,,,41-37,2,H. Barnes makes 2-pt shot from 2 ft (assist by Y. Ferrell)
6:51.0,,,41-37,,Shooting foul by A. Nicholson (drawn by H. Barnes)
6:51.0,,,41-38,1,H. Barnes makes free throw 1 of 1
6:51.0,J. Lin enters the game for S. Dinwiddie,,41-37,,
6:32.0,R. Foye misses 3-pt shot from 25 ft,,41-38,,
6:31.0,,,41-38,,Defensive rebound by S. Mejri
6:20.0,,,41-38,,W. Matthews misses 3-pt shot from 28 ft
6:19.0,Defensive rebound by A. Nicholson,,41-38,,
6:02.0,A. Nicholson misses 3-pt shot from 23 ft,,41-38,,
6:01.0,Offensive rebound by T. Booker,,41-38,,
5:49.0,A. Nicholson misses 2-pt shot from 10 ft,,41-38,,
5:47.0,,,41-38,,Defensive rebound by H. Barnes
5:32.0,,,41-38,,Y. Ferrell misses 2-pt shot from 16 ft
5:31.0,Defensive rebound by A. Nicholson,,41-38,,
5:19.0,J. Lin makes 2-pt shot from 10 ft,2,43-38,,
4:57.0,,,43-38,,W. Matthews misses 2-pt shot from 16 ft
4:56.0,,,43-38,,Offensive rebound by Team
4:56.0,Loose ball foul by A. Nicholson (drawn by S. Mejri),,43-38,,
4:56.0,Q. Acy enters the game for R. Foye,,43-38,,
4:56.0,C. LeVert enters the game for I. Whitehead,,43-38,,
4:56.0,S. Kilpatrick enters the game for T. Booker,,43-38,,
4:56.0,R. Hollis-Jefferson enters the game for A. Nicholson,,43-38,,
4:40.0,,,43-38,,S. Curry misses 3-pt shot from 24 ft
4:39.0,Defensive rebound by R. Hollis-Jefferson,,43-38,,
4:32.0,S. Kilpatrick misses 3-pt shot from 25 ft,,43-38,,
4:31.0,,,43-38,,Defensive rebound by S. Mejri
4:08.0,,,43-40,2,S. Mejri makes 2-pt shot from 3 ft (assist by W. Matthews)
3:51.0,J. Lin misses 2-pt shot from 12 ft,,43-40,,
3:49.0,,,43-40,,Defensive rebound by S. Curry
3:41.0,,,43-42,2,S. Curry makes 2-pt shot from 5 ft
3:24.0,Q. Acy misses 2-pt shot from 11 ft,,43-42,,
3:22.0,,,43-42,,Defensive rebound by H. Barnes
3:14.0,,,43-42,,Offensive charge foul by H. Barnes
3:14.0,,,43-42,,Turnover by H. Barnes (offensive foul)
3:00.0,Turnover by S. Kilpatrick (lost ball; steal by W. Matthews),,43-42,,
2:48.0,,,43-44,2,Y. Ferrell makes 2-pt shot from 17 ft
2:38.0,R. Hollis-Jefferson misses 2-pt shot from 11 ft,,43-44,,
2:36.0,,,43-44,,Defensive rebound by S. Mejri
2:25.0,,,43-46,2,S. Curry makes 2-pt shot from 14 ft
2:09.0,Turnover by J. Lin (lost ball),,43-46,,
2:09.0,Official timeout,,43-46,,
2:09.0,,,43-46,,D. Nowitzki enters the game for S. Mejri
1:56.0,,,43-46,,H. Barnes misses 2-pt shot from 6 ft
1:54.0,Defensive rebound by J. Lin,,43-46,,
1:44.0,R. Hollis-Jefferson misses 2-pt shot from 1 ft,,43-46,,
1:42.0,Offensive rebound by C. LeVert,,43-46,,
1:41.0,C. LeVert makes 2-pt shot from 1 ft,2,45-46,,
1:26.0,,,45-46,,S. Curry misses 2-pt shot from 22 ft
1:25.0,Defensive rebound by R. Hollis-Jefferson,,45-46,,
1:05.0,S. Kilpatrick makes 2-pt shot from 1 ft (assist by Q. Acy),2,47-46,,
0:54.0,,,47-46,,Turnover by Y. Ferrell (lost ball; steal by J. Lin)
0:54.0,Jump ball: Y. Ferrell vs. J. Lin (R. Hollis-Jefferson gains possession),,,,Jump ball: Y. Ferrell vs. J. Lin (R. Hollis-Jefferson gains possession)
0:42.0,Shooting foul by Y. Ferrell (drawn by J. Lin),,47-46,,
0:42.0,J. Lin makes free throw 1 of 2,1,48-46,,
0:42.0,J. Lin makes free throw 2 of 2,1,49-46,,
0:33.0,,,49-46,,Y. Ferrell misses 2-pt shot from 2 ft (block by R. Hollis-Jefferson)
0:31.0,,,49-46,,Offensive rebound by Y. Ferrell
0:28.0,,,49-46,,W. Matthews misses 2-pt shot from 5 ft
0:24.0,,,49-46,,Offensive rebound by Team
0:24.0,T. Booker enters the game for R. Hollis-Jefferson,,49-46,,
0:01.0,,,49-46,,Y. Ferrell misses 3-pt shot from 28 ft
0:00.0,,,49-46,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,49-46,,W. Matthews misses 3-pt shot from 25 ft
11:39.0,Defensive rebound by Q. Acy,,49-46,,
11:23.0,C. LeVert misses 2-pt shot from 13 ft,,49-46,,
11:21.0,,,49-46,,Defensive rebound by H. Barnes
11:12.0,,,49-46,,H. Barnes misses 2-pt shot from 5 ft
11:09.0,Defensive rebound by J. Lin,,49-46,,
11:06.0,Q. Acy makes 2-pt shot at rim (assist by C. LeVert),2,51-46,,
10:41.0,,,51-46,,S. Curry misses 2-pt shot from 20 ft
10:40.0,,,51-46,,Offensive rebound by Team
10:40.0,,,51-46,,Turnover by Team (shot clock)
10:28.0,R. Foye misses 3-pt shot from 25 ft,,51-46,,
10:27.0,,,51-46,,Defensive rebound by S. Curry
10:11.0,,,51-48,2,D. Nowitzki makes 2-pt shot from 8 ft
9:56.0,J. Lin misses 3-pt shot from 25 ft,,51-48,,
9:55.0,,,51-48,,Defensive rebound by D. Nowitzki
9:42.0,,,51-48,,Turnover by H. Barnes (lost ball; steal by J. Lin)
9:42.0,,,51-48,,Personal foul by D. Nowitzki (drawn by Q. Acy)
9:27.0,Q. Acy makes 3-pt shot from 26 ft (assist by C. LeVert),3,54-48,,
9:09.0,,,54-48,,Turnover by S. Curry (bad pass; steal by R. Hollis-Jefferson)
9:03.0,J. Lin makes 2-pt shot from 1 ft (assist by R. Foye),2,56-48,,
9:03.0,,,56-48,,Dallas full timeout
8:49.0,Personal foul by Q. Acy (drawn by D. Nowitzki),,56-48,,
8:40.0,,,56-50,2,H. Barnes makes 2-pt shot at rim
8:26.0,Turnover by R. Hollis-Jefferson (lost ball; steal by D. Nowitzki),,56-50,,
8:16.0,Personal block foul by R. Foye (drawn by H. Barnes),,56-50,,
8:04.0,,,56-50,,H. Barnes misses 2-pt shot from 5 ft
8:03.0,Defensive rebound by Q. Acy,,56-50,,
8:03.0,,,56-50,,Loose ball foul by W. Matthews (drawn by Q. Acy)
7:52.0,Turnover by Q. Acy (lost ball; steal by Y. Ferrell),,56-50,,
7:46.0,,,56-53,3,Y. Ferrell makes 3-pt shot from 25 ft
7:29.0,R. Foye misses 2-pt shot from 18 ft,,56-53,,
7:28.0,,,56-53,,Defensive rebound by H. Barnes
7:15.0,,,56-53,,W. Matthews misses 3-pt shot from 25 ft
7:15.0,,,56-53,,Offensive rebound by S. Curry
7:11.0,,,56-56,3,S. Curry makes 3-pt shot from 25 ft
7:11.0,Brooklyn full timeout,,56-56,,
6:52.0,Q. Acy makes 2-pt shot from 1 ft,2,58-56,,
6:35.0,Personal foul by J. Lin (drawn by D. Nowitzki),,58-56,,
6:35.0,J. Hamilton enters the game for Q. Acy,,58-56,,
6:35.0,S. Dinwiddie enters the game for C. LeVert,,58-56,,
6:20.0,,,58-56,,W. Matthews misses 2-pt shot from 14 ft
6:19.0,Defensive rebound by R. Hollis-Jefferson,,58-56,,
6:07.0,Offensive charge foul by R. Hollis-Jefferson,,58-56,,
6:07.0,Turnover by R. Hollis-Jefferson (offensive foul),,58-56,,
6:07.0,,,58-56,,S. Mejri enters the game for D. Nowitzki
6:07.0,T. Booker enters the game for R. Hollis-Jefferson,,58-56,,
5:53.0,Personal foul by S. Dinwiddie (drawn by S. Curry),,58-56,,
5:53.0,I. Whitehead enters the game for R. Foye,,58-56,,
5:38.0,,,58-56,,Y. Ferrell misses 2-pt shot from 23 ft
5:36.0,Defensive rebound by T. Booker,,58-56,,
5:14.0,T. Booker makes 3-pt shot from 23 ft (assist by S. Dinwiddie),3,61-56,,
