time,Brooklyn,pts.away,score,pts.home,Dallas
4:48.0,,,81-92,3,H. Barnes makes 3-pt shot from 26 ft (assist by Y. Ferrell)
4:33.0,C. LeVert misses 3-pt shot from 23 ft,,81-92,,
4:32.0,,,81-92,,Defensive rebound by W. Matthews
4:21.0,Personal foul by T. Booker (drawn by S. Curry),,81-92,,
4:21.0,,,81-93,1,S. Curry makes free throw 1 of 2
4:21.0,,,81-94,1,S. Curry makes free throw 2 of 2
4:14.0,Offensive foul by S. Kilpatrick,,81-94,,
4:14.0,Turnover by S. Kilpatrick (offensive foul),,81-94,,
3:50.0,,,81-94,,Shooting foul by J. Lin (drawn by Y. Ferrell)
3:50.0,,,81-95,1,Y. Ferrell makes free throw 1 of 2
3:50.0,,,81-96,1,Y. Ferrell makes free throw 2 of 2
3:48.0,,,81-96,,Personal foul by Y. Ferrell (drawn by J. Lin)
3:48.0,J. Lin makes free throw 1 of 3,1,82-96,,
3:48.0,J. Lin makes free throw 2 of 3,1,83-96,,
3:48.0,J. Lin makes free throw 3 of 3,1,84-96,,
3:36.0,,,84-96,,H. Barnes misses 2-pt shot at rim
3:35.0,,,84-96,,Offensive rebound by H. Barnes
3:35.0,Personal foul by J. Lin (drawn by H. Barnes),,84-96,,
3:35.0,,,84-97,1,H. Barnes makes free throw 1 of 2
3:35.0,,,84-98,1,H. Barnes makes free throw 2 of 2
3:29.0,,,84-98,,Personal foul by W. Matthews (drawn by S. Kilpatrick)
3:21.0,S. Kilpatrick misses 3-pt shot from 25 ft,,84-98,,
3:19.0,Offensive rebound by J. Lin,,84-98,,
3:11.0,Q. Acy makes 2-pt shot at rim (assist by J. Lin),2,86-98,,
2:46.0,,,86-100,2,D. Powell makes 2-pt shot from 3 ft (assist by W. Matthews)
2:35.0,Turnover by J. Lin (bad pass),,86-100,,
2:35.0,Brooklyn full timeout,,86-100,,
2:18.0,Personal foul by S. Kilpatrick (drawn by D. Powell),,86-100,,
2:18.0,,,86-101,1,D. Powell makes free throw 1 of 2
2:18.0,,,86-102,1,D. Powell makes free throw 2 of 2
2:06.0,T. Booker misses 3-pt shot from 25 ft,,86-102,,
2:05.0,,,86-102,,Defensive rebound by W. Matthews
1:44.0,,,86-102,,Turnover by W. Matthews (bad pass)
1:44.0,Brooklyn full timeout,,86-102,,
1:44.0,,,86-102,,D. Finney-Smith enters the game for W. Matthews
1:44.0,S. Dinwiddie enters the game for C. LeVert,,86-102,,
1:44.0,J. Hamilton enters the game for Q. Acy,,86-102,,
1:44.0,A. Nicholson enters the game for J. Lin,,86-102,,
1:44.0,K. McDaniels enters the game for T. Booker,,86-102,,
1:44.0,I. Whitehead enters the game for S. Kilpatrick,,86-102,,
1:31.0,I. Whitehead makes 2-pt shot from 2 ft (assist by J. Hamilton),2,88-102,,
1:31.0,,,88-102,,Dallas full timeout
1:31.0,,,88-102,,J. Uthoff enters the game for H. Barnes
1:31.0,,,88-102,,M. Harris enters the game for S. Curry
1:18.0,,,88-102,,M. Harris misses 2-pt shot from 6 ft
1:16.0,Defensive rebound by K. McDaniels,,88-102,,
1:10.0,K. McDaniels makes 2-pt shot from 5 ft,2,90-102,,
1:10.0,Shooting foul by J. Uthoff (drawn by K. McDaniels),,90-102,,
1:10.0,K. McDaniels makes free throw 1 of 1,1,91-102,,
0:49.0,,,91-105,3,Y. Ferrell makes 3-pt shot from 24 ft
0:39.0,I. Whitehead makes 2-pt shot from 3 ft,2,93-105,,
0:19.0,,,93-105,,M. Harris misses 3-pt shot from 26 ft
0:18.0,Defensive rebound by A. Nicholson,,93-105,,
0:09.0,I. Whitehead makes 2-pt shot from 7 ft,2,95-105,,
0:09.0,Shooting foul by J. Uthoff (drawn by I. Whitehead),,95-105,,
0:09.0,I. Whitehead makes free throw 1 of 1,1,96-105,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
