time,Utah,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Cauley-Stein vs. R. Gobert (G. Hayward gains possession),,,,Jump ball: W. Cauley-Stein vs. R. Gobert (G. Hayward gains possession)
11:40.0,B. Diaw misses 2-pt shot from 8 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by S. Labissiere
11:26.0,,,0-0,,T. Evans misses 2-pt shot from 6 ft
11:25.0,Defensive rebound by R. Gobert,,0-0,,
11:21.0,R. Gobert makes 2-pt shot from 4 ft (assist by B. Diaw),2,2-0,,
11:21.0,Shooting foul by S. Labissiere (drawn by R. Gobert),,2-0,,
11:21.0,R. Gobert makes free throw 1 of 1,1,3-0,,
11:06.0,,,3-0,,W. Cauley-Stein misses 2-pt shot from 8 ft
11:05.0,Defensive rebound by B. Diaw,,3-0,,
10:58.0,Turnover by D. Exum (bad pass; steal by D. Collison),,3-0,,
10:53.0,,,3-0,,B. Hield misses 2-pt shot from 1 ft
10:52.0,Defensive rebound by G. Hayward,,3-0,,
10:36.0,G. Hayward makes 3-pt shot from 23 ft (assist by B. Diaw),3,6-0,,
10:23.0,,,6-0,,D. Collison misses 2-pt shot from 16 ft
10:22.0,Defensive rebound by G. Hayward,,6-0,,
10:18.0,G. Hayward misses 2-pt shot from 1 ft,,6-0,,
10:17.0,,,6-0,,Defensive rebound by W. Cauley-Stein
9:58.0,,,6-0,,W. Cauley-Stein misses 2-pt shot from 17 ft
9:58.0,,,6-0,,Offensive rebound by Team
9:58.0,Loose ball foul by G. Hayward (drawn by S. Labissiere),,6-0,,
9:58.0,S. Mack enters the game for D. Exum,,6-0,,
9:46.0,,,6-0,,T. Evans misses 3-pt shot from 25 ft
9:46.0,Defensive rebound by S. Mack,,6-0,,
9:26.0,B. Diaw misses 3-pt shot from 25 ft,,6-0,,
9:24.0,,,6-0,,Defensive rebound by W. Cauley-Stein
9:02.0,,,6-0,,D. Collison misses 2-pt shot from 18 ft
9:02.0,Defensive rebound by S. Mack,,6-0,,
8:54.0,R. Hood makes 3-pt shot from 25 ft,3,9-0,,
8:47.0,,,9-0,,Sacramento full timeout
8:47.0,D. Exum enters the game for S. Mack,,9-0,,
8:29.0,,,9-0,,B. Hield misses 3-pt shot from 27 ft
8:29.0,Defensive rebound by R. Hood,,9-0,,
8:18.0,B. Diaw makes 2-pt shot from 2 ft (assist by R. Hood),2,11-0,,
7:52.0,,,11-0,,T. Evans misses 2-pt shot from 19 ft
7:51.0,Defensive rebound by G. Hayward,,11-0,,
7:36.0,G. Hayward misses 3-pt shot from 25 ft,,11-0,,
7:35.0,,,11-0,,Defensive rebound by W. Cauley-Stein
7:28.0,,,11-2,2,T. Evans makes 2-pt shot from 2 ft
7:06.0,B. Diaw misses 3-pt shot from 25 ft,,11-2,,
7:05.0,Offensive rebound by R. Gobert,,11-2,,
