time,Milwaukee,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. M. Muscala (T. Snell gains possession),,,,Jump ball: J. Henson vs. M. Muscala (T. Snell gains possession)
11:48.0,Turnover by J. Henson (traveling),,0-0,,
11:26.0,,,0-0,,K. Korver misses 3-pt shot from 26 ft
11:25.0,,,0-0,,Offensive rebound by M. Muscala
11:25.0,,,0-0,,Shooting foul by T. Snell (drawn by M. Muscala)
11:25.0,,,0-1,1,M. Muscala makes free throw 1 of 2
11:25.0,,,0-2,1,M. Muscala makes free throw 2 of 2
11:07.0,J. Parker makes 2-pt shot from 12 ft (assist by T. Snell),2,2-2,,
10:55.0,,,2-2,,K. Korver misses 3-pt shot from 27 ft
10:54.0,Defensive rebound by G. Antetokounmpo,,2-2,,
10:45.0,J. Parker misses 3-pt shot from 23 ft,,2-2,,
10:42.0,,,2-2,,Defensive rebound by K. Bazemore
10:34.0,,,2-2,,M. Muscala misses 3-pt shot from 26 ft
10:31.0,Defensive rebound by Team,,2-2,,
10:18.0,J. Parker misses 2-pt shot from 6 ft,,2-2,,
10:17.0,,,2-2,,Defensive rebound by M. Muscala
10:07.0,,,2-2,,D. Schroder misses 2-pt shot from 2 ft (block by M. Dellavedova)
10:06.0,Defensive rebound by J. Henson,,2-2,,
10:00.0,T. Snell misses 3-pt shot from 24 ft,,2-2,,
9:58.0,,,2-2,,Defensive rebound by K. Bazemore
9:52.0,,,2-2,,Shooting foul by G. Antetokounmpo (drawn by D. Schroder)
9:52.0,,,2-3,1,D. Schroder makes free throw 1 of 2
9:52.0,,,2-4,1,D. Schroder makes free throw 2 of 2
9:39.0,J. Parker misses 2-pt shot from 2 ft,,2-4,,
9:38.0,,,2-4,,Defensive rebound by D. Schroder
9:23.0,,,2-7,3,K. Bazemore makes 3-pt shot from 24 ft (assist by D. Schroder)
9:11.0,G. Antetokounmpo misses 3-pt shot from 25 ft,,2-7,,
9:10.0,,,2-7,,Defensive rebound by K. Korver
8:55.0,,,2-7,,K. Bazemore misses 2-pt shot at rim
8:54.0,Defensive rebound by J. Parker,,2-7,,
8:51.0,J. Parker misses 2-pt shot from 4 ft (block by K. Korver),,2-7,,
8:51.0,Offensive rebound by Team,,2-7,,
8:43.0,M. Dellavedova misses 3-pt shot from 25 ft,,2-7,,
8:42.0,,,2-7,,Defensive rebound by K. Korver
8:33.0,,,2-7,,K. Bazemore misses 2-pt shot from 21 ft
8:32.0,Defensive rebound by G. Antetokounmpo,,2-7,,
8:30.0,Milwaukee full timeout,,2-7,,
8:16.0,,,2-7,,Personal foul by K. Korver (drawn by T. Snell)
8:16.0,M. Teletovic enters the game for J. Parker,,2-7,,
8:09.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,2-7,,
8:07.0,Offensive rebound by J. Henson,,2-7,,
8:07.0,J. Henson makes 2-pt shot at rim,2,4-7,,
7:54.0,,,4-7,,Turnover by K. Bazemore (lost ball; steal by T. Snell)
7:48.0,T. Snell makes 2-pt shot from 2 ft (assist by G. Antetokounmpo),2,6-7,,
7:36.0,,,6-7,,M. Muscala misses 2-pt shot from 12 ft
7:35.0,Defensive rebound by J. Henson,,6-7,,
7:26.0,G. Antetokounmpo misses 2-pt shot from 11 ft,,6-7,,
7:22.0,,,6-7,,Defensive rebound by D. Schroder
7:17.0,,,6-7,,Turnover by D. Schroder (traveling)
7:17.0,,,6-7,,K. Humphries enters the game for M. Muscala
7:02.0,M. Dellavedova makes 3-pt shot from 25 ft (assist by J. Henson),3,9-7,,
6:37.0,,,9-9,2,K. Humphries makes 2-pt shot from 13 ft (assist by K. Bazemore)
6:18.0,M. Teletovic makes 2-pt shot from 18 ft (assist by T. Snell),2,11-9,,
5:49.0,,,11-9,,K. Bazemore misses 3-pt shot from 26 ft
5:48.0,Defensive rebound by G. Antetokounmpo,,11-9,,
5:34.0,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Dellavedova),2,13-9,,
5:30.0,,,13-9,,Atlanta full timeout
5:30.0,J. Terry enters the game for J. Henson,,13-9,,
5:30.0,G. Monroe enters the game for T. Snell,,13-9,,
5:21.0,,,13-11,2,K. Korver makes 2-pt shot from 20 ft (assist by P. Millsap)
5:21.0,,,13-11,,Shooting foul by J. Terry (drawn by K. Korver)
5:21.0,,,13-12,1,K. Korver makes free throw 1 of 1
5:12.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by M. Dellavedova),2,15-12,,
4:57.0,,,15-12,,P. Millsap misses 3-pt shot from 25 ft
4:54.0,Defensive rebound by M. Teletovic,,15-12,,
4:50.0,Shooting foul by K. Bazemore (drawn by G. Antetokounmpo),,15-12,,
4:50.0,G. Antetokounmpo makes free throw 1 of 2,1,16-12,,
4:50.0,G. Antetokounmpo makes free throw 2 of 2,1,17-12,,
4:50.0,M. Brogdon enters the game for M. Dellavedova,,16-12,,
4:50.0,,,16-12,,T. Waller-Prince enters the game for K. Bazemore
4:50.0,,,16-12,,T. Hardaway enters the game for K. Korver
4:33.0,,,17-14,2,P. Millsap makes 2-pt shot at rim (assist by D. Schroder)
4:15.0,M. Teletovic misses 3-pt shot from 24 ft,,17-14,,
4:14.0,,,17-14,,Defensive rebound by K. Humphries
4:05.0,,,17-14,,T. Hardaway misses 3-pt shot from 26 ft
4:03.0,,,17-14,,Offensive rebound by K. Humphries
3:59.0,,,17-16,2,T. Hardaway makes 2-pt shot from 3 ft (assist by K. Humphries)
