time,Phoenix,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. A. Len (D. Schroder gains possession),,,,Jump ball: D. Howard vs. A. Len (D. Schroder gains possession)
11:40.0,,,0-2,2,D. Howard makes 2-pt shot at rim (assist by D. Schroder)
11:29.0,Shooting foul by E. Ilyasova (drawn by M. Chriss),,0-2,,
11:29.0,M. Chriss makes free throw 1 of 2,1,1-2,,
11:29.0,M. Chriss misses free throw 2 of 2,,1-2,,
11:25.0,Offensive rebound by A. Len,,1-2,,
11:12.0,D. Jones misses 2-pt shot from 20 ft,,1-2,,
11:11.0,,,1-2,,Defensive rebound by D. Howard
10:55.0,,,1-2,,Turnover by D. Schroder (bad pass; steal by T. Ulis)
10:50.0,D. Jones misses 2-pt shot from 7 ft,,1-2,,
10:48.0,,,1-2,,Defensive rebound by T. Waller-Prince
10:35.0,,,1-4,2,D. Schroder makes 2-pt shot from 2 ft
10:09.0,M. Chriss misses 2-pt shot from 21 ft,,1-4,,
10:06.0,,,1-4,,Defensive rebound by D. Howard
10:01.0,,,1-4,,E. Ilyasova misses 3-pt shot from 23 ft
9:58.0,Defensive rebound by M. Chriss,,1-4,,
9:53.0,T. Warren misses 2-pt shot from 20 ft,,1-4,,
9:51.0,,,1-4,,Defensive rebound by T. Hardaway
9:43.0,,,1-4,,D. Schroder misses 2-pt shot from 7 ft
9:41.0,Defensive rebound by A. Len,,1-4,,
9:36.0,T. Ulis makes 2-pt shot from 12 ft,2,3-4,,
9:21.0,,,3-4,,Turnover by T. Waller-Prince (traveling)
9:02.0,M. Chriss misses 2-pt shot from 6 ft,,3-4,,
9:01.0,,,3-4,,Defensive rebound by D. Howard
8:50.0,,,3-7,3,E. Ilyasova makes 3-pt shot from 23 ft (assist by D. Schroder)
8:31.0,T. Ulis makes 3-pt shot from 25 ft,3,6-7,,
8:06.0,,,6-9,2,T. Waller-Prince makes 2-pt shot from 2 ft (assist by D. Howard)
7:58.0,M. Chriss misses 2-pt shot from 3 ft,,6-9,,
7:56.0,Offensive rebound by M. Chriss,,6-9,,
7:55.0,M. Chriss misses 2-pt shot from 1 ft (block by D. Howard),,6-9,,
7:51.0,Offensive rebound by T. Ulis,,6-9,,
7:30.0,D. Jones misses 3-pt shot from 25 ft,,6-9,,
7:29.0,,,6-9,,Defensive rebound by D. Schroder
7:16.0,,,6-11,2,E. Ilyasova makes 2-pt shot from 15 ft (assist by D. Howard)
6:56.0,T. Warren makes 2-pt shot from 10 ft (assist by T. Ulis),2,8-11,,
6:47.0,,,8-11,,E. Ilyasova misses 2-pt shot from 4 ft (block by M. Chriss)
6:45.0,Defensive rebound by T. Warren,,8-11,,
6:41.0,T. Warren misses 2-pt shot from 1 ft,,8-11,,
6:39.0,,,8-11,,Defensive rebound by D. Schroder
6:36.0,,,8-11,,E. Ilyasova misses 3-pt shot from 25 ft
6:36.0,Defensive rebound by Team,,8-11,,
6:36.0,,,8-11,,Loose ball foul by D. Howard (drawn by A. Len)
6:22.0,T. Warren misses 2-pt shot from 10 ft (block by D. Howard),,8-11,,
6:18.0,,,8-11,,Defensive rebound by D. Howard
6:16.0,,,8-11,,Turnover by D. Howard (lost ball; steal by T. Warren)
5:56.0,A. Len misses 2-pt shot from 7 ft,,8-11,,
5:53.0,Offensive rebound by D. Jones,,8-11,,
5:53.0,D. Jones makes 2-pt shot at rim,2,10-11,,
5:50.0,,,10-11,,Atlanta full timeout
5:50.0,,,10-11,,M. Dunleavy enters the game for T. Waller-Prince
5:33.0,,,10-11,,M. Dunleavy misses 3-pt shot from 22 ft
5:30.0,Defensive rebound by T. Ulis,,10-11,,
5:18.0,T. Ulis misses 3-pt shot from 25 ft,,10-11,,
5:18.0,,,10-11,,Defensive rebound by Team
5:18.0,Loose ball foul by A. Len (drawn by E. Ilyasova),,10-11,,
5:08.0,Personal foul by T. Warren,,10-11,,
4:57.0,,,10-13,2,T. Hardaway makes 2-pt shot from 11 ft (assist by D. Schroder)
4:37.0,T. Warren makes 2-pt shot from 18 ft (assist by T. Ulis),2,12-13,,
4:26.0,,,12-15,2,D. Schroder makes 2-pt shot from 1 ft
4:26.0,,,12-15,,Shooting foul by A. Len (drawn by D. Schroder)
4:26.0,,,12-16,1,D. Schroder makes free throw 1 of 1
4:26.0,A. Williams enters the game for A. Len,,12-15,,
4:26.0,,,12-15,,M. Muscala enters the game for E. Ilyasova
4:08.0,M. Chriss misses 3-pt shot from 23 ft,,12-16,,
4:06.0,,,12-16,,Defensive rebound by M. Dunleavy
3:59.0,Personal foul by A. Williams (drawn by D. Howard),,12-16,,
3:59.0,,,12-16,,T. Waller-Prince enters the game for T. Hardaway
3:53.0,,,12-16,,Turnover by D. Schroder (lost ball; steal by A. Williams)
3:44.0,A. Williams misses 2-pt shot from 6 ft,,12-16,,
3:43.0,,,12-16,,Defensive rebound by T. Waller-Prince
3:20.0,,,12-18,2,D. Schroder makes 2-pt shot from 12 ft
2:55.0,Offensive foul by A. Williams,,12-18,,
2:55.0,Turnover by A. Williams (offensive foul),,12-18,,
2:55.0,Phoenix full timeout,,12-18,,
2:55.0,J. Dudley enters the game for A. Williams,,12-18,,
2:55.0,,,12-18,,K. Humphries enters the game for D. Howard
2:39.0,,,12-20,2,D. Schroder makes 2-pt shot from 1 ft (assist by M. Dunleavy)
2:16.0,J. Dudley misses 3-pt shot from 25 ft,,12-20,,
2:15.0,,,12-20,,Defensive rebound by Team
2:15.0,Loose ball foul by M. Chriss (drawn by K. Humphries),,12-20,,
2:15.0,,,12-21,1,K. Humphries makes free throw 1 of 2
2:15.0,,,12-22,1,K. Humphries makes free throw 2 of 2
2:09.0,,,12-22,,Personal foul by K. Humphries (drawn by M. Chriss)
2:04.0,,,12-22,,Personal foul by T. Waller-Prince
2:00.0,J. Dudley misses 2-pt shot from 17 ft,,12-22,,
1:58.0,,,12-22,,Defensive rebound by M. Dunleavy
1:45.0,,,12-24,2,D. Schroder makes 2-pt shot from 19 ft (assist by K. Humphries)
1:33.0,D. Jones misses 2-pt shot from 22 ft,,12-24,,
1:30.0,,,12-24,,Defensive rebound by K. Humphries
1:27.0,Personal foul by M. Chriss (drawn by T. Waller-Prince),,12-24,,
1:27.0,,,12-24,,T. Waller-Prince misses free throw 1 of 2
1:27.0,,,12-24,,Offensive rebound by Team
1:27.0,,,12-25,1,T. Waller-Prince makes free throw 2 of 2
1:27.0,A. Williams enters the game for M. Chriss,,12-24,,
1:27.0,J. Eddie enters the game for D. Jones,,12-24,,
1:18.0,Turnover by T. Warren (bad pass; steal by M. Muscala),,12-25,,
1:12.0,,,12-25,,K. Humphries misses 2-pt shot at rim (block by T. Warren)
1:10.0,Defensive rebound by T. Warren,,12-25,,
1:06.0,T. Ulis misses 3-pt shot from 24 ft,,12-25,,
1:03.0,Offensive rebound by T. Warren,,12-25,,
1:00.0,T. Warren misses 2-pt shot from 5 ft,,12-25,,
0:56.0,,,12-25,,Defensive rebound by M. Dunleavy
0:53.0,,,12-27,2,D. Schroder makes 2-pt shot from 15 ft
0:34.0,J. Eddie misses 3-pt shot from 25 ft,,12-27,,
0:32.0,Offensive rebound by A. Williams,,12-27,,
0:30.0,A. Williams misses 2-pt shot from 6 ft,,12-27,,
0:26.0,,,12-27,,Defensive rebound by M. Muscala
0:09.0,,,12-27,,D. Schroder misses 3-pt shot from 25 ft
0:07.0,Defensive rebound by J. Dudley,,12-27,,
0:03.0,Offensive charge foul by T. Warren,,12-27,,
0:03.0,Turnover by T. Warren (offensive foul),,12-27,,
0:00.0,,,12-27,,T. Waller-Prince misses 3-pt shot from 32 ft
0:00.0,,,12-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,J. Dudley misses 2-pt shot from 21 ft,,12-27,,
11:44.0,Jump ball: M. Dunleavy vs. T. Warren (M. Muscala gains possession),,,,Jump ball: M. Dunleavy vs. T. Warren (M. Muscala gains possession)
11:44.0,,,12-27,,Defensive rebound by Team
11:29.0,,,12-30,3,T. Waller-Prince makes 3-pt shot from 25 ft
11:10.0,A. Williams makes 2-pt shot from 1 ft (assist by R. Price),2,14-30,,
11:03.0,,,14-30,,M. Dunleavy misses 2-pt shot from 2 ft
11:00.0,,,14-30,,Offensive rebound by K. Humphries
11:00.0,,,14-30,,K. Humphries misses 2-pt shot from 1 ft
10:59.0,Defensive rebound by R. Price,,14-30,,
10:40.0,T. Warren makes 2-pt shot from 13 ft,2,16-30,,
10:21.0,Personal foul by R. Price (drawn by J. Calderon),,16-30,,
10:21.0,,,16-30,,T. Hardaway enters the game for M. Dunleavy
10:16.0,,,16-30,,Shooting foul by J. Dudley (drawn by K. Humphries)
10:16.0,,,16-31,1,K. Humphries makes free throw 1 of 2
10:16.0,,,16-32,1,K. Humphries makes free throw 2 of 2
10:16.0,,,16-31,,D. Bembry enters the game for T. Waller-Prince
10:07.0,T. Warren misses 2-pt shot from 8 ft,,16-32,,
10:05.0,,,16-32,,Defensive rebound by K. Humphries
9:58.0,,,16-32,,M. Muscala misses 2-pt shot from 20 ft
9:57.0,Defensive rebound by A. Williams,,16-32,,
9:51.0,J. Eddie makes 3-pt shot from 25 ft (assist by R. Price),3,19-32,,
9:36.0,,,19-32,,Shooting foul by R. Price (drawn by K. Humphries)
9:36.0,,,19-33,1,K. Humphries makes free throw 1 of 2
9:36.0,,,19-33,,K. Humphries misses free throw 2 of 2
9:34.0,Defensive rebound by A. Williams,,19-33,,
9:19.0,Turnover by T. Warren (traveling),,19-33,,
9:10.0,,,19-33,,D. Bembry misses 2-pt shot from 2 ft
9:07.0,Defensive rebound by A. Williams,,19-33,,
9:00.0,J. Eddie makes 3-pt shot from 24 ft (assist by R. Price),3,22-33,,
8:43.0,,,22-35,2,J. Calderon makes 2-pt shot from 17 ft (assist by K. Humphries)
8:36.0,,,22-35,,Personal foul by K. Humphries (drawn by A. Williams)
8:36.0,Official timeout,,22-35,,
8:36.0,T. Ulis enters the game for T. Warren,,22-35,,
8:36.0,,,22-35,,D. Howard enters the game for M. Muscala
8:36.0,,,22-35,,E. Ilyasova enters the game for K. Humphries
8:28.0,J. Eddie misses 2-pt shot from 15 ft,,22-35,,
8:25.0,Offensive rebound by T. Ulis,,22-35,,
8:18.0,R. Price misses 3-pt shot from 24 ft,,22-35,,
8:17.0,,,22-35,,Defensive rebound by T. Hardaway
