time,San Antonio,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Afflalo vs. P. Gasol (D. Cousins gains possession),,,,Jump ball: A. Afflalo vs. P. Gasol (D. Cousins gains possession)
11:38.0,,,0-0,,D. Cousins misses 2-pt shot from 17 ft
11:38.0,Defensive rebound by L. Aldridge,,0-0,,
11:26.0,Turnover by K. Anderson (bad pass; steal by A. Afflalo),,0-0,,
11:22.0,,,0-0,,A. Afflalo misses 2-pt shot from 2 ft (block by K. Anderson)
11:22.0,,,0-0,,Offensive rebound by Team
11:11.0,,,0-2,2,D. Cousins makes 2-pt shot from 3 ft
10:53.0,K. Leonard misses 2-pt shot from 3 ft,,0-2,,
10:52.0,,,0-2,,Defensive rebound by D. Cousins
10:44.0,,,0-4,2,T. Lawson makes 2-pt shot from 16 ft
10:19.0,P. Gasol misses 2-pt shot from 8 ft,,0-4,,
10:18.0,,,0-4,,Defensive rebound by K. Koufos
10:13.0,,,0-4,,Turnover by T. Lawson (bad pass; steal by K. Anderson)
10:00.0,L. Aldridge misses 3-pt shot from 25 ft,,0-4,,
9:58.0,,,0-4,,Defensive rebound by A. Afflalo
9:44.0,,,0-4,,Offensive foul by K. Koufos
9:44.0,,,0-4,,Turnover by K. Koufos (offensive foul)
9:22.0,K. Leonard makes 2-pt shot from 8 ft,2,2-4,,
9:06.0,,,2-4,,Turnover by K. Koufos (lost ball; steal by P. Gasol)
8:54.0,T. Parker misses 2-pt shot from 19 ft,,2-4,,
8:54.0,,,2-4,,Defensive rebound by T. Lawson
8:50.0,,,2-4,,Shooting foul by K. Anderson (drawn by D. Cousins)
8:50.0,,,2-5,1,D. Cousins makes free throw 1 of 2
8:50.0,,,2-6,1,D. Cousins makes free throw 2 of 2
8:42.0,Turnover by P. Gasol (bad pass; steal by R. Gay),,2-6,,
8:37.0,,,2-8,2,K. Koufos makes 2-pt shot at rim (assist by R. Gay)
8:18.0,K. Leonard makes 2-pt shot from 13 ft,2,4-8,,
8:01.0,,,4-10,2,R. Gay makes 2-pt shot from 11 ft
7:50.0,,,4-10,,Personal foul by R. Gay (drawn by K. Leonard)
7:38.0,K. Leonard misses 2-pt shot from 13 ft,,4-10,,
7:38.0,,,4-10,,Defensive rebound by D. Cousins
7:28.0,,,4-10,,Shooting foul by K. Leonard (drawn by R. Gay)
7:28.0,,,4-11,1,R. Gay makes free throw 1 of 2
7:28.0,,,4-12,1,R. Gay makes free throw 2 of 2
7:03.0,K. Leonard makes 2-pt shot from 14 ft,2,6-12,,
6:44.0,,,6-14,2,D. Cousins makes 2-pt shot from 18 ft (assist by T. Lawson)
6:32.0,L. Aldridge misses 2-pt shot from 15 ft,,6-14,,
6:31.0,,,6-14,,Defensive rebound by A. Afflalo
6:20.0,,,6-14,,Turnover by D. Cousins (traveling)
6:04.0,K. Leonard makes 2-pt shot from 8 ft,2,8-14,,
6:04.0,Shooting foul by R. Gay (drawn by K. Leonard),,8-14,,
6:04.0,K. Leonard makes free throw 1 of 1,1,9-14,,
6:04.0,M. Ginobili enters the game for K. Anderson,,8-14,,
5:54.0,,,9-14,,K. Koufos misses 2-pt shot from 9 ft
5:53.0,Defensive rebound by K. Leonard,,9-14,,
5:46.0,M. Ginobili misses 3-pt shot from 25 ft,,9-14,,
5:46.0,,,9-14,,Defensive rebound by R. Gay
5:39.0,,,9-16,2,K. Koufos makes 2-pt shot from 6 ft (assist by R. Gay)
5:39.0,San Antonio full timeout,,9-16,,
5:39.0,,,9-16,,M. Barnes enters the game for R. Gay
5:27.0,Shooting foul by M. Barnes (drawn by L. Aldridge),,9-16,,
5:27.0,L. Aldridge makes free throw 1 of 2,1,10-16,,
5:27.0,L. Aldridge misses free throw 2 of 2,,10-16,,
5:27.0,D. Dedmon enters the game for P. Gasol,,10-16,,
5:27.0,P. Mills enters the game for T. Parker,,10-16,,
5:26.0,Offensive rebound by D. Dedmon,,10-16,,
5:14.0,L. Aldridge misses 2-pt shot from 6 ft,,10-16,,
5:14.0,Offensive rebound by D. Dedmon,,10-16,,
5:11.0,D. Dedmon makes 2-pt shot from 5 ft,2,12-16,,
4:57.0,,,12-18,2,K. Koufos makes 2-pt shot at rim (assist by T. Lawson)
4:39.0,K. Leonard makes 3-pt shot from 26 ft (assist by M. Ginobili),3,15-18,,
4:22.0,,,15-18,,D. Cousins misses 3-pt shot from 25 ft
4:22.0,Defensive rebound by P. Mills,,15-18,,
4:15.0,K. Leonard misses 3-pt shot from 25 ft,,15-18,,
4:15.0,Offensive rebound by L. Aldridge,,15-18,,
4:12.0,Turnover by L. Aldridge (lost ball; steal by T. Lawson),,15-18,,
4:11.0,Personal foul by M. Ginobili (drawn by T. Lawson),,15-18,,
4:11.0,,,15-18,,W. Cauley-Stein enters the game for D. Cousins
4:11.0,D. Lee enters the game for K. Leonard,,15-18,,
4:11.0,J. Simmons enters the game for L. Aldridge,,15-18,,
3:54.0,,,15-18,,Turnover by W. Cauley-Stein (bad pass)
3:30.0,M. Ginobili misses 3-pt shot from 25 ft,,15-18,,
3:30.0,,,15-18,,Defensive rebound by T. Lawson
3:21.0,,,15-20,2,T. Lawson makes 2-pt shot from 2 ft
3:06.0,Shooting foul by W. Cauley-Stein (drawn by D. Lee),,15-20,,
3:06.0,D. Lee makes free throw 1 of 2,1,16-20,,
3:06.0,D. Lee makes free throw 2 of 2,1,17-20,,
3:06.0,,,16-20,,B. McLemore enters the game for K. Koufos
3:06.0,,,16-20,,A. Tolliver enters the game for A. Afflalo
2:52.0,,,17-22,2,B. McLemore makes 2-pt shot from 19 ft (assist by T. Lawson)
2:32.0,D. Lee makes 2-pt shot from 8 ft (assist by P. Mills),2,19-22,,
2:26.0,,,19-22,,Sacramento full timeout
2:26.0,,,19-22,,G. Temple enters the game for T. Lawson
2:12.0,,,19-24,2,B. McLemore makes 2-pt shot from 12 ft (assist by G. Temple)
2:01.0,D. Dedmon makes 2-pt shot from 3 ft (assist by D. Lee),2,21-24,,
1:44.0,,,21-24,,W. Cauley-Stein misses 2-pt shot from 3 ft (block by D. Dedmon)
1:42.0,Defensive rebound by J. Simmons,,21-24,,
1:41.0,Turnover by J. Simmons (bad pass),,21-24,,
1:25.0,,,21-24,,B. McLemore misses 2-pt shot from 6 ft (block by D. Dedmon)
1:24.0,,,21-24,,Offensive rebound by Team
