time,Denver,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. M. Turner (T. Young gains possession),,,,Jump ball: N. Jokic vs. M. Turner (T. Young gains possession)
11:37.0,,,0-0,,C. Miles misses 2-pt shot from 18 ft
11:37.0,Defensive rebound by D. Gallinari,,0-0,,
11:19.0,D. Gallinari makes 2-pt shot from 20 ft (assist by J. Nelson),2,2-0,,
11:05.0,,,2-2,2,J. Teague makes 2-pt shot from 2 ft (assist by C. Miles)
10:40.0,W. Chandler makes 3-pt shot from 26 ft (assist by D. Gallinari),3,5-2,,
10:33.0,,,5-4,2,P. George makes 2-pt shot from 17 ft
10:14.0,Turnover by W. Chandler (bad pass; steal by J. Teague),,5-4,,
10:06.0,,,5-4,,C. Miles misses 3-pt shot from 25 ft
10:06.0,,,5-4,,Offensive rebound by M. Turner
10:02.0,,,5-4,,J. Teague misses 3-pt shot from 25 ft
10:01.0,Defensive rebound by N. Jokic,,5-4,,
9:45.0,W. Chandler makes 3-pt shot from 25 ft (assist by G. Harris),3,8-4,,
9:31.0,,,8-6,2,P. George makes 2-pt shot from 12 ft (assist by J. Teague)
9:12.0,W. Chandler misses 2-pt shot from 18 ft,,8-6,,
9:11.0,,,8-6,,Defensive rebound by P. George
9:01.0,,,8-8,2,P. George makes 2-pt shot from 20 ft
8:54.0,Shooting foul by C. Miles (drawn by D. Gallinari),,8-8,,
8:54.0,D. Gallinari makes free throw 1 of 2,1,9-8,,
8:54.0,D. Gallinari makes free throw 2 of 2,1,10-8,,
8:42.0,,,10-8,,Turnover by J. Teague (bad pass; steal by D. Gallinari)
8:31.0,N. Jokic makes 2-pt shot from 4 ft (assist by J. Nelson),2,12-8,,
8:14.0,,,12-10,2,M. Turner makes 2-pt shot from 19 ft (assist by J. Teague)
8:06.0,G. Harris makes 2-pt shot from 12 ft (assist by J. Nelson),2,14-10,,
7:51.0,,,14-10,,Turnover by J. Teague (bad pass; steal by N. Jokic)
7:46.0,W. Chandler makes 2-pt shot from 1 ft (assist by N. Jokic),2,16-10,,
7:31.0,,,16-10,,Shooting foul by J. Nelson (drawn by P. George)
7:31.0,,,16-11,1,P. George makes free throw 1 of 2
7:31.0,,,16-11,,P. George misses free throw 2 of 2
7:31.0,Defensive rebound by N. Jokic,,16-11,,
7:16.0,G. Harris makes 3-pt shot from 27 ft (assist by N. Jokic),3,19-11,,
7:07.0,,,19-11,,Indiana full timeout
6:56.0,,,19-11,,P. George misses 2-pt shot from 12 ft (block by W. Chandler)
6:55.0,Defensive rebound by G. Harris,,19-11,,
6:54.0,Turnover by G. Harris (lost ball; steal by P. George),,19-11,,
6:50.0,,,19-13,2,T. Young makes 2-pt shot from 2 ft (assist by P. George)
6:40.0,D. Gallinari misses 2-pt shot from 16 ft,,19-13,,
6:39.0,,,19-13,,Defensive rebound by T. Young
6:21.0,,,19-13,,M. Turner misses 2-pt shot from 20 ft
6:21.0,Defensive rebound by D. Gallinari,,19-13,,
6:07.0,N. Jokic makes 2-pt shot from 5 ft (assist by W. Chandler),2,21-13,,
5:50.0,,,21-13,,C. Miles misses 2-pt shot from 13 ft
5:49.0,Defensive rebound by N. Jokic,,21-13,,
5:49.0,,,21-13,,M. Ellis enters the game for C. Miles
5:49.0,Turnover by N. Jokic (lost ball; steal by M. Turner),,21-13,,
5:49.0,Jump ball: N. Jokic vs. M. Turner (T. Young gains possession),,,,Jump ball: N. Jokic vs. M. Turner (T. Young gains possession)
5:37.0,,,21-13,,M. Ellis misses 2-pt shot from 4 ft
5:37.0,Defensive rebound by N. Jokic,,21-13,,
5:28.0,W. Chandler makes 2-pt shot from 3 ft (assist by N. Jokic),2,23-13,,
5:11.0,,,23-13,,J. Teague misses 2-pt shot from 10 ft (block by D. Gallinari)
5:10.0,Defensive rebound by D. Gallinari,,23-13,,
5:07.0,N. Jokic makes 2-pt shot from 3 ft (assist by G. Harris),2,25-13,,
5:07.0,Shooting foul by P. George (drawn by N. Jokic),,25-13,,
5:07.0,N. Jokic makes free throw 1 of 1,1,26-13,,
4:51.0,,,26-16,3,M. Ellis makes 3-pt shot from 24 ft (assist by P. George)
4:42.0,Turnover by J. Nelson (bad pass; steal by M. Ellis),,26-16,,
4:35.0,,,26-16,,J. Teague misses 3-pt shot from 24 ft
4:33.0,Defensive rebound by D. Gallinari,,26-16,,
4:23.0,D. Gallinari misses 2-pt shot from 9 ft,,26-16,,
4:22.0,Offensive rebound by N. Jokic,,26-16,,
4:22.0,N. Jokic makes 2-pt shot from 1 ft,2,28-16,,
4:04.0,,,28-16,,P. George misses 2-pt shot from 19 ft
4:04.0,Defensive rebound by D. Gallinari,,28-16,,
3:57.0,Turnover by D. Gallinari (bad pass; steal by P. George),,28-16,,
3:51.0,,,28-18,2,M. Turner makes 2-pt shot from 2 ft (assist by T. Young)
3:50.0,Denver full timeout,,28-18,,
3:50.0,W. Barton enters the game for D. Gallinari,,28-18,,
3:50.0,M. Plumlee enters the game for G. Harris,,28-18,,
3:50.0,,,28-18,,L. Allen enters the game for T. Young
3:41.0,Turnover by N. Jokic (bad pass; steal by P. George),,28-18,,
3:36.0,,,28-18,,M. Ellis misses 2-pt shot from 2 ft
3:34.0,,,28-18,,Offensive rebound by M. Turner
3:34.0,,,28-20,2,M. Turner makes 2-pt shot from 1 ft
3:14.0,W. Barton misses 3-pt shot from 24 ft,,28-20,,
3:14.0,,,28-20,,Defensive rebound by M. Turner
2:59.0,,,28-20,,M. Turner misses 3-pt shot from 26 ft
2:58.0,Defensive rebound by N. Jokic,,28-20,,
2:46.0,W. Barton misses 2-pt shot from 6 ft (block by M. Turner),,28-20,,
2:45.0,,,28-20,,Defensive rebound by P. George
2:37.0,,,28-22,2,L. Allen makes 2-pt shot from 19 ft (assist by J. Teague)
2:21.0,J. Nelson makes 2-pt shot from 8 ft,2,30-22,,
2:05.0,,,30-22,,J. Teague misses 2-pt shot from 5 ft
2:04.0,Defensive rebound by N. Jokic,,30-22,,
1:54.0,M. Plumlee makes 2-pt shot from 4 ft (assist by J. Nelson),2,32-22,,
1:33.0,,,32-24,2,J. Teague makes 2-pt shot from 19 ft (assist by L. Allen)
1:26.0,,,32-24,,Personal foul by J. Teague (drawn by M. Plumlee)
1:26.0,K. Faried enters the game for N. Jokic,,32-24,,
1:26.0,J. Murray enters the game for J. Nelson,,32-24,,
1:26.0,,,32-24,,R. Stuckey enters the game for P. George
1:26.0,,,32-24,,A. Brooks enters the game for M. Turner
1:26.0,,,32-24,,A. Jefferson enters the game for J. Teague
1:11.0,J. Murray misses 3-pt shot from 25 ft,,32-24,,
1:11.0,,,32-24,,Defensive rebound by A. Jefferson
0:52.0,,,32-24,,A. Jefferson misses 2-pt shot from 12 ft
0:52.0,,,32-24,,Offensive rebound by L. Allen
0:44.0,,,32-26,2,M. Ellis makes 2-pt shot from 2 ft (assist by A. Jefferson)
0:31.0,W. Chandler makes 2-pt shot from 12 ft (assist by M. Plumlee),2,34-26,,
0:13.0,,,34-26,,A. Brooks misses 2-pt shot from 11 ft
0:13.0,,,34-26,,Offensive rebound by L. Allen
0:06.0,Personal take foul by J. Murray (drawn by M. Ellis),,34-26,,
0:00.0,,,34-26,,R. Stuckey misses 2-pt shot from 21 ft
0:00.0,,,34-26,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:33.0,M. Plumlee misses 2-pt shot from 12 ft,,34-26,,
11:33.0,,,34-26,,Defensive rebound by A. Jefferson
11:18.0,,,34-28,2,A. Jefferson makes 2-pt shot from 6 ft
11:08.0,Shooting foul by M. Ellis (drawn by W. Barton),,34-28,,
11:08.0,W. Barton makes free throw 1 of 2,1,35-28,,
11:08.0,W. Barton makes free throw 2 of 2,1,36-28,,
10:48.0,,,36-28,,A. Jefferson misses 2-pt shot from 7 ft
10:47.0,Defensive rebound by W. Barton,,36-28,,
10:41.0,W. Barton makes 2-pt shot from 1 ft,2,38-28,,
10:24.0,,,38-28,,Turnover by A. Jefferson (lost ball; steal by M. Plumlee)
10:15.0,W. Barton misses 3-pt shot from 26 ft,,38-28,,
10:15.0,,,38-28,,Defensive rebound by A. Jefferson
10:04.0,,,38-30,2,A. Brooks makes 2-pt shot from 2 ft
9:44.0,J. Murray misses 2-pt shot from 13 ft,,38-30,,
9:44.0,,,38-30,,Defensive rebound by L. Allen
9:26.0,,,38-32,2,A. Jefferson makes 2-pt shot from 12 ft
9:13.0,J. Murray misses 3-pt shot from 25 ft,,38-32,,
9:12.0,,,38-32,,Defensive rebound by A. Jefferson
9:06.0,,,38-35,3,A. Brooks makes 3-pt shot from 25 ft
9:05.0,Denver full timeout,,38-35,,
8:50.0,G. Harris makes 3-pt shot from 25 ft (assist by J. Murray),3,41-35,,
8:33.0,,,41-35,,R. Stuckey misses 2-pt shot from 16 ft
8:32.0,,,41-35,,Offensive rebound by L. Allen
8:25.0,Violation by M. Plumlee (def goaltending),,41-35,,
8:25.0,,,41-37,2,L. Allen makes 2-pt shot from 2 ft
8:04.0,W. Barton misses 2-pt shot from 20 ft,,41-37,,
8:03.0,,,41-37,,Defensive rebound by M. Ellis
7:45.0,,,41-39,2,M. Ellis makes 2-pt shot from 18 ft
7:39.0,K. Faried misses 2-pt shot from 3 ft (block by L. Allen),,41-39,,
7:39.0,Offensive rebound by Team,,41-39,,
7:29.0,K. Faried makes 2-pt shot from 3 ft (assist by J. Murray),2,43-39,,
7:29.0,,,43-39,,Shooting block foul by A. Jefferson (drawn by K. Faried)
