time,Atlanta,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Humphries vs. N. Jokic (D. Schroder gains possession),,,,Jump ball: K. Humphries vs. N. Jokic (D. Schroder gains possession)
11:42.0,P. Millsap makes 2-pt shot from 1 ft (assist by K. Bazemore),2,2-0,,
11:25.0,,,2-0,,W. Chandler misses 3-pt shot from 25 ft
11:24.0,Defensive rebound by Team,,2-0,,
11:09.0,K. Bazemore makes 2-pt shot at rim (assist by K. Humphries),2,4-0,,
10:55.0,,,4-2,2,G. Harris makes 2-pt shot from 13 ft (assist by N. Jokic)
10:39.0,Turnover by P. Millsap (bad pass),,4-2,,
10:20.0,,,4-4,2,W. Chandler makes 2-pt shot from 10 ft (assist by G. Harris)
10:04.0,D. Schroder makes 2-pt shot from 19 ft (assist by K. Humphries),2,6-4,,
9:52.0,,,6-4,,W. Chandler misses 3-pt shot from 26 ft
9:51.0,Defensive rebound by K. Humphries,,6-4,,
9:41.0,T. Sefolosha misses 2-pt shot from 16 ft,,6-4,,
9:40.0,,,6-4,,Defensive rebound by Team
9:21.0,,,6-7,3,E. Mudiay makes 3-pt shot from 25 ft (assist by W. Chandler)
9:12.0,Turnover by K. Bazemore (bad pass; steal by W. Chandler),,6-7,,
9:06.0,,,6-9,2,W. Chandler makes 2-pt shot from 6 ft
8:52.0,K. Humphries makes 2-pt shot at rim (assist by K. Bazemore),2,8-9,,
8:42.0,,,8-9,,D. Gallinari misses 3-pt shot from 24 ft
8:41.0,Defensive rebound by K. Bazemore,,8-9,,
8:27.0,T. Sefolosha misses 2-pt shot from 4 ft,,8-9,,
8:27.0,,,8-9,,Defensive rebound by D. Gallinari
8:21.0,,,8-9,,Turnover by D. Gallinari (lost ball; steal by T. Sefolosha)
8:16.0,K. Humphries makes 2-pt shot from 1 ft (assist by T. Sefolosha),2,10-9,,
8:16.0,,,10-9,,Denver full timeout
7:54.0,,,10-9,,D. Gallinari misses 2-pt shot at rim (block by P. Millsap)
7:52.0,Defensive rebound by K. Humphries,,10-9,,
7:47.0,K. Humphries makes 2-pt shot from 3 ft (assist by T. Sefolosha),2,12-9,,
7:31.0,,,12-11,2,W. Chandler makes 2-pt shot from 2 ft (assist by N. Jokic)
7:14.0,P. Millsap makes 3-pt shot from 25 ft (assist by D. Schroder),3,15-11,,
7:01.0,,,15-13,2,W. Chandler makes 2-pt shot from 17 ft (assist by N. Jokic)
6:46.0,P. Millsap makes 2-pt shot from 1 ft,2,17-13,,
6:35.0,,,17-15,2,G. Harris makes 2-pt shot at rim (assist by N. Jokic)
