time,Toronto,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. J. Valanciunas (P. Siakam gains possession),,,,Jump ball: M. Plumlee vs. J. Valanciunas (P. Siakam gains possession)
11:42.0,J. Valanciunas misses 2-pt shot from 9 ft,,0-0,,
11:40.0,Offensive rebound by K. Lowry,,0-0,,
11:35.0,K. Lowry makes 3-pt shot from 23 ft,3,3-0,,
11:10.0,,,3-3,3,J. Parker makes 3-pt shot from 25 ft (assist by G. Antetokounmpo)
10:43.0,K. Lowry makes 3-pt shot from 29 ft (assist by D. Carroll),3,6-3,,
10:18.0,,,6-3,,J. Parker misses 3-pt shot from 24 ft
10:18.0,Defensive rebound by Team,,6-3,,
10:18.0,,,6-3,,Loose ball foul by G. Antetokounmpo (drawn by P. Siakam)
9:56.0,D. Carroll makes 3-pt shot from 23 ft (assist by D. DeRozan),3,9-3,,
9:41.0,,,9-3,,J. Parker misses 2-pt shot from 14 ft
9:39.0,Defensive rebound by K. Lowry,,9-3,,
9:29.0,Shooting foul by T. Snell (drawn by D. DeRozan),,9-3,,
9:29.0,D. DeRozan makes free throw 1 of 2,1,10-3,,
9:29.0,D. DeRozan makes free throw 2 of 2,1,11-3,,
9:11.0,Shooting block foul by P. Siakam (drawn by M. Plumlee),,11-3,,
9:11.0,,,11-4,1,M. Plumlee makes free throw 1 of 2
9:11.0,,,11-4,,M. Plumlee misses free throw 2 of 2
9:10.0,Defensive rebound by D. Carroll,,11-4,,
8:50.0,D. Carroll misses 2-pt shot from 11 ft,,11-4,,
8:48.0,,,11-4,,Defensive rebound by T. Snell
8:41.0,,,11-4,,T. Snell misses 3-pt shot from 25 ft
8:38.0,Defensive rebound by D. DeRozan,,11-4,,
8:28.0,K. Lowry misses 3-pt shot from 25 ft,,11-4,,
8:26.0,Offensive rebound by P. Siakam,,11-4,,
8:24.0,P. Siakam makes 2-pt shot from 1 ft,2,13-4,,
8:11.0,,,13-7,3,M. Dellavedova makes 3-pt shot from 26 ft (assist by G. Antetokounmpo)
7:48.0,Turnover by D. DeRozan (bad pass; steal by G. Antetokounmpo),,13-7,,
7:41.0,,,13-9,2,J. Parker makes 2-pt shot at rim (assist by G. Antetokounmpo)
7:21.0,D. Carroll makes 3-pt shot from 24 ft (assist by K. Lowry),3,16-9,,
7:04.0,,,16-11,2,M. Plumlee makes 2-pt shot at rim (assist by M. Dellavedova)
6:42.0,J. Valanciunas misses 2-pt shot from 2 ft,,16-11,,
6:40.0,,,16-11,,Defensive rebound by G. Antetokounmpo
6:35.0,,,16-13,2,G. Antetokounmpo makes 2-pt shot at rim
6:06.0,D. DeRozan misses 2-pt shot from 20 ft,,16-13,,
6:05.0,,,16-13,,Defensive rebound by G. Antetokounmpo
6:02.0,Personal block foul by K. Lowry (drawn by G. Antetokounmpo),,16-13,,
6:02.0,,,16-13,,M. Brogdon enters the game for M. Dellavedova
6:02.0,,,16-13,,G. Monroe enters the game for M. Plumlee
5:51.0,,,16-15,2,T. Snell makes 2-pt shot from 3 ft (assist by G. Antetokounmpo)
5:43.0,Toronto full timeout,,16-15,,
5:35.0,D. DeRozan misses 3-pt shot from 24 ft,,16-15,,
5:33.0,,,16-15,,Defensive rebound by J. Parker
5:27.0,,,16-15,,G. Antetokounmpo misses 2-pt shot from 2 ft
5:25.0,Defensive rebound by D. DeRozan,,16-15,,
5:14.0,J. Valanciunas misses 2-pt shot from 18 ft,,16-15,,
5:13.0,,,16-15,,Defensive rebound by J. Parker
4:56.0,,,16-15,,J. Parker misses 2-pt shot from 18 ft
4:55.0,Defensive rebound by D. DeRozan,,16-15,,
4:46.0,D. DeRozan makes 2-pt shot from 9 ft,2,18-15,,
4:22.0,,,18-15,,G. Monroe misses 2-pt shot from 4 ft
4:20.0,Defensive rebound by P. Siakam,,18-15,,
4:08.0,D. Carroll misses 3-pt shot from 25 ft,,18-15,,
4:07.0,,,18-15,,Defensive rebound by G. Monroe
4:02.0,,,18-15,,Offensive charge foul by G. Antetokounmpo
4:02.0,,,18-15,,Turnover by G. Antetokounmpo (offensive foul)
4:02.0,,,18-15,,M. Beasley enters the game for G. Antetokounmpo
4:02.0,C. Joseph enters the game for K. Lowry,,18-15,,
3:50.0,D. DeRozan misses 2-pt shot from 10 ft,,18-15,,
3:49.0,,,18-15,,Defensive rebound by M. Beasley
3:36.0,,,18-15,,T. Snell misses 3-pt shot from 25 ft
3:35.0,Defensive rebound by Team,,18-15,,
3:35.0,,,18-15,,Loose ball foul by G. Monroe (drawn by J. Valanciunas)
3:21.0,C. Joseph misses 2-pt shot from 17 ft,,18-15,,
3:20.0,,,18-15,,Defensive rebound by M. Beasley
3:14.0,,,18-17,2,J. Parker makes 2-pt shot at rim (assist by M. Beasley)
2:55.0,Turnover by P. Siakam (traveling),,18-17,,
2:55.0,,,18-17,,Milwaukee full timeout
2:55.0,P. Patterson enters the game for P. Siakam,,18-17,,
2:55.0,L. Nogueira enters the game for J. Valanciunas,,18-17,,
2:46.0,Personal foul by L. Nogueira (drawn by G. Monroe),,18-17,,
2:41.0,,,18-19,2,M. Brogdon makes 2-pt shot at rim
2:41.0,,,18-19,,Violation by Team (jump ball)
2:28.0,D. DeRozan makes 2-pt shot from 15 ft,2,20-19,,
2:17.0,,,20-19,,T. Snell misses 3-pt shot from 24 ft
2:16.0,Defensive rebound by P. Patterson,,20-19,,
2:03.0,P. Patterson makes 3-pt shot from 25 ft (assist by C. Joseph),3,23-19,,
1:44.0,,,23-22,3,T. Snell makes 3-pt shot from 24 ft (assist by G. Monroe)
1:29.0,,,23-22,,Def 3 sec tech foul by M. Beasley
1:29.0,D. DeRozan makes technical free throw,1,24-22,,
