time,New Orleans,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Black vs. A. Davis (D. Cousins gains possession),,,,Jump ball: T. Black vs. A. Davis (D. Cousins gains possession)
11:40.0,D. Cousins misses 2-pt shot from 10 ft,,0-0,,
11:35.0,Offensive rebound by H. Thompson,,0-0,,
11:35.0,H. Thompson misses 2-pt shot from 2 ft,,0-0,,
11:30.0,,,0-0,,Defensive rebound by D. Russell
11:21.0,,,0-0,,D. Russell misses 3-pt shot from 25 ft
11:20.0,Defensive rebound by D. Cousins,,0-0,,
11:11.0,J. Holiday misses 2-pt shot from 2 ft,,0-0,,
11:08.0,,,0-0,,Defensive rebound by B. Ingram
10:56.0,,,0-3,3,B. Ingram makes 3-pt shot from 23 ft (assist by D. Russell)
10:38.0,S. Hill misses 3-pt shot from 26 ft,,0-3,,
10:37.0,,,0-3,,Defensive rebound by N. Young
10:35.0,,,0-3,,Turnover by D. Russell (lost ball)
10:26.0,Shooting foul by T. Black (drawn by J. Holiday),,0-3,,
10:26.0,J. Holiday misses free throw 1 of 2,,0-3,,
10:26.0,Offensive rebound by Team,,0-3,,
10:26.0,J. Holiday makes free throw 2 of 2,1,1-3,,
10:14.0,,,1-3,,J. Randle misses 2-pt shot from 21 ft
10:13.0,Defensive rebound by S. Hill,,1-3,,
10:04.0,A. Davis misses 2-pt shot from 20 ft,,1-3,,
10:03.0,,,1-3,,Defensive rebound by D. Russell
9:51.0,,,1-3,,D. Russell misses 2-pt shot from 20 ft
9:50.0,,,1-3,,Offensive rebound by T. Black
9:38.0,,,1-3,,B. Ingram misses 3-pt shot from 24 ft
9:37.0,Defensive rebound by S. Hill,,1-3,,
9:20.0,Offensive charge foul by D. Cousins,,1-3,,
9:20.0,Turnover by D. Cousins (offensive foul),,1-3,,
9:08.0,,,1-3,,N. Young misses 3-pt shot from 25 ft
9:07.0,Defensive rebound by A. Davis,,1-3,,
8:56.0,D. Cousins makes 3-pt shot from 27 ft (assist by J. Holiday),3,4-3,,
8:42.0,,,4-3,,J. Randle misses 2-pt shot from 5 ft
8:41.0,,,4-3,,Offensive rebound by T. Black
8:41.0,,,4-3,,T. Black misses 2-pt shot from 2 ft
8:39.0,,,4-3,,Offensive rebound by T. Black
8:38.0,,,4-5,2,T. Black makes 2-pt shot from 7 ft
8:26.0,A. Davis makes 2-pt shot from 1 ft (assist by J. Holiday),2,6-5,,
8:13.0,,,6-5,,B. Ingram misses 2-pt shot from 1 ft (block by A. Davis)
8:13.0,,,6-5,,Offensive rebound by Team
8:11.0,,,6-5,,Turnover by D. Russell (bad pass; steal by H. Thompson)
8:02.0,S. Hill misses 3-pt shot from 25 ft,,6-5,,
8:01.0,,,6-5,,Defensive rebound by J. Randle
7:52.0,,,6-7,2,N. Young makes 2-pt shot from 1 ft (assist by J. Randle)
7:46.0,D. Cousins makes 2-pt shot from 1 ft (assist by J. Holiday),2,8-7,,
7:42.0,,,8-7,,Turnover by D. Russell (bad pass)
7:26.0,Shooting foul by T. Black (drawn by D. Cousins),,8-7,,
7:26.0,D. Cousins misses free throw 1 of 2,,8-7,,
7:26.0,Offensive rebound by Team,,8-7,,
7:26.0,D. Cousins makes free throw 2 of 2,1,9-7,,
7:26.0,,,8-7,,T. Mozgov enters the game for T. Black
7:15.0,,,9-7,,Turnover by B. Ingram (bad pass; steal by H. Thompson)
7:05.0,Shooting foul by T. Mozgov (drawn by A. Davis),,9-7,,
7:05.0,A. Davis makes free throw 1 of 2,1,10-7,,
7:05.0,A. Davis misses free throw 2 of 2,,10-7,,
7:03.0,Offensive rebound by D. Cousins,,10-7,,
6:49.0,A. Davis misses 2-pt shot from 16 ft,,10-7,,
6:44.0,,,10-7,,Defensive rebound by T. Mozgov
6:29.0,,,10-9,2,J. Randle makes 2-pt shot from 1 ft (assist by D. Russell)
6:14.0,Shooting foul by T. Mozgov (drawn by A. Davis),,10-9,,
6:14.0,A. Davis misses free throw 1 of 2,,10-9,,
6:14.0,Offensive rebound by Team,,10-9,,
6:14.0,A. Davis makes free throw 2 of 2,1,11-9,,
6:04.0,,,11-9,,D. Russell misses 3-pt shot from 25 ft
6:02.0,,,11-9,,Offensive rebound by J. Randle
5:57.0,,,11-9,,Shooting foul by H. Thompson (drawn by B. Ingram)
5:57.0,,,11-9,,LA Lakers full timeout
5:57.0,,,11-9,,B. Ingram misses free throw 1 of 2
5:57.0,,,11-9,,Offensive rebound by Team
5:57.0,,,11-9,,B. Ingram misses free throw 2 of 2
5:56.0,Defensive rebound by D. Cousins,,11-9,,
5:37.0,D. Cousins misses 2-pt shot from 7 ft,,11-9,,
5:34.0,Offensive rebound by D. Cousins,,11-9,,
5:32.0,D. Cousins misses 2-pt shot from 1 ft,,11-9,,
5:28.0,Offensive rebound by D. Cousins,,11-9,,
5:19.0,J. Holiday misses 2-pt shot from 17 ft,,11-9,,
5:16.0,,,11-9,,Defensive rebound by J. Randle
4:53.0,,,11-9,,J. Randle misses 2-pt shot from 19 ft
4:52.0,,,11-9,,Offensive rebound by T. Mozgov
4:48.0,,,11-9,,D. Russell misses 2-pt shot from 2 ft
4:45.0,Defensive rebound by D. Cousins,,11-9,,
4:38.0,Turnover by D. Cousins (lost ball; steal by J. Randle),,11-9,,
4:33.0,,,11-11,2,D. Russell makes 2-pt shot from 3 ft (assist by J. Randle)
4:25.0,S. Hill misses 2-pt shot from 2 ft,,11-11,,
4:23.0,Offensive rebound by D. Cousins,,11-11,,
4:23.0,D. Cousins misses 2-pt shot from 1 ft,,11-11,,
4:21.0,,,11-11,,Defensive rebound by J. Randle
4:14.0,,,11-14,3,N. Young makes 3-pt shot from 26 ft (assist by D. Russell)
4:01.0,D. Cousins makes 3-pt shot from 26 ft (assist by J. Holiday),3,14-14,,
3:40.0,,,14-16,2,T. Mozgov makes 2-pt shot from 18 ft (assist by J. Randle)
3:31.0,Shooting foul by N. Young (drawn by J. Holiday),,14-16,,
3:31.0,J. Holiday makes free throw 1 of 2,1,15-16,,
3:31.0,J. Holiday makes free throw 2 of 2,1,16-16,,
3:31.0,A. Ajinca enters the game for D. Cousins,,15-16,,
3:31.0,E. Moore enters the game for H. Thompson,,15-16,,
3:31.0,,,15-16,,J. Clarkson enters the game for N. Young
3:31.0,,,15-16,,L. Nance enters the game for T. Mozgov
3:11.0,,,16-16,,Turnover by B. Ingram (bad pass)
3:01.0,J. Holiday makes 2-pt shot from 2 ft,2,18-16,,
2:38.0,,,18-18,2,D. Russell makes 2-pt shot from 4 ft (assist by B. Ingram)
2:18.0,E. Moore makes 2-pt shot from 1 ft (assist by J. Holiday),2,20-18,,
2:02.0,,,20-18,,D. Russell misses 3-pt shot from 25 ft
2:01.0,,,20-18,,Offensive rebound by L. Nance
2:00.0,,,20-18,,L. Nance misses 2-pt shot from 1 ft
1:58.0,Defensive rebound by E. Moore,,20-18,,
1:51.0,E. Moore misses 2-pt shot from 17 ft,,20-18,,
1:51.0,Offensive rebound by A. Davis,,20-18,,
1:51.0,,,20-18,,Loose ball foul by J. Randle (drawn by A. Davis)
1:51.0,New Orleans full timeout,,20-18,,
1:51.0,A. Davis makes free throw 1 of 2,1,21-18,,
1:51.0,A. Davis misses free throw 2 of 2,,21-18,,
1:51.0,D. Cunningham enters the game for A. Ajinca,,20-18,,
1:50.0,,,21-18,,Defensive rebound by J. Randle
1:31.0,,,21-18,,J. Clarkson misses 2-pt shot from 14 ft
1:29.0,Defensive rebound by J. Holiday,,21-18,,
1:16.0,E. Moore makes 3-pt shot from 24 ft (assist by S. Hill),3,24-18,,
1:06.0,,,24-18,,Offensive foul by L. Nance
1:06.0,,,24-18,,Turnover by L. Nance (offensive foul)
1:06.0,,,24-18,,C. Brewer enters the game for J. Randle
1:04.0,T. Frazier enters the game for J. Holiday,,24-18,,
0:56.0,E. Moore makes 2-pt shot from 1 ft,2,26-18,,
0:39.0,,,26-18,,B. Ingram misses 2-pt shot from 2 ft
0:37.0,Defensive rebound by D. Cunningham,,26-18,,
0:29.0,Turnover by S. Hill (traveling),,26-18,,
0:29.0,D. Cousins enters the game for A. Davis,,26-18,,
0:15.0,,,26-18,,Shooting foul by T. Frazier (drawn by J. Clarkson)
0:15.0,,,26-19,1,J. Clarkson makes free throw 1 of 2
0:15.0,,,26-20,1,J. Clarkson makes free throw 2 of 2
0:01.0,Turnover by T. Frazier (lost ball; steal by J. Clarkson),,26-20,,
0:00.0,,,26-20,,C. Brewer misses 3-pt shot from 68 ft
0:00.0,,,26-20,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,26-22,2,C. Brewer makes 2-pt shot from 15 ft
11:23.0,D. Cousins misses 2-pt shot from 6 ft,,26-22,,
11:21.0,,,26-22,,Defensive rebound by L. Nance
11:16.0,,,26-22,,J. Clarkson misses 2-pt shot from 18 ft
11:12.0,Defensive rebound by D. Cousins,,26-22,,
11:03.0,D. Cousins misses 2-pt shot from 21 ft,,26-22,,
11:00.0,,,26-22,,Defensive rebound by T. Ennis
10:56.0,,,26-22,,Turnover by C. Brewer (traveling)
10:37.0,E. Moore misses 2-pt shot from 5 ft,,26-22,,
10:35.0,,,26-22,,Defensive rebound by T. Mozgov
10:25.0,,,26-25,3,T. Ennis makes 3-pt shot from 26 ft (assist by J. Clarkson)
10:09.0,T. Frazier misses 2-pt shot from 2 ft,,26-25,,
10:08.0,,,26-25,,Defensive rebound by T. Ennis
9:59.0,,,26-27,2,T. Mozgov makes 2-pt shot at rim (assist by J. Clarkson)
9:37.0,D. Cousins misses 2-pt shot from 4 ft,,26-27,,
9:36.0,Offensive rebound by Team,,26-27,,
9:36.0,,,26-27,,Loose ball foul by T. Mozgov (drawn by D. Cousins)
9:23.0,D. Cunningham misses 3-pt shot from 24 ft,,26-27,,
9:22.0,,,26-27,,Defensive rebound by C. Brewer
9:17.0,,,26-27,,LA Lakers full timeout
9:03.0,,,26-27,,T. Ennis misses 2-pt shot from 2 ft
9:02.0,Defensive rebound by D. Cousins,,26-27,,
8:58.0,T. Frazier misses 2-pt shot from 2 ft (block by C. Brewer),,26-27,,
8:55.0,,,26-27,,Defensive rebound by L. Nance
8:41.0,,,26-30,3,T. Ennis makes 3-pt shot from 25 ft (assist by C. Brewer)
8:26.0,H. Thompson misses 2-pt shot from 18 ft,,26-30,,
8:25.0,,,26-30,,Defensive rebound by T. Mozgov
8:17.0,,,26-32,2,C. Brewer makes 2-pt shot from 1 ft
8:11.0,New Orleans full timeout,,26-32,,
8:02.0,D. Cousins makes 2-pt shot at rim (assist by E. Moore),2,28-32,,
7:45.0,,,28-34,2,T. Mozgov makes 2-pt shot from 20 ft (assist by T. Ennis)
7:35.0,T. Frazier makes 3-pt shot from 26 ft (assist by D. Cousins),3,31-34,,
7:20.0,,,31-36,2,L. Nance makes 2-pt shot from 2 ft (assist by C. Brewer)
7:11.0,Turnover by T. Frazier (bad pass; steal by T. Ennis),,31-36,,
7:08.0,,,31-36,,Shooting foul by T. Frazier (drawn by J. Clarkson)
7:08.0,,,31-37,1,J. Clarkson makes free throw 1 of 2
7:08.0,,,31-38,1,J. Clarkson makes free throw 2 of 2
7:08.0,J. Holiday enters the game for T. Frazier,,31-37,,
6:48.0,D. Cousins misses 2-pt shot from 12 ft,,31-38,,
6:45.0,,,31-38,,Defensive rebound by J. Clarkson
6:42.0,,,31-38,,Turnover by C. Brewer (bad pass)
6:32.0,D. Cousins makes 3-pt shot from 26 ft (assist by J. Holiday),3,34-38,,
6:15.0,,,34-40,2,J. Clarkson makes 2-pt shot from 2 ft
6:01.0,D. Cousins makes 2-pt shot from 7 ft,2,36-40,,
5:49.0,,,36-40,,C. Brewer misses 2-pt shot from 2 ft (block by D. Cousins)
5:47.0,Defensive rebound by H. Thompson,,36-40,,
5:23.0,E. Moore makes 3-pt shot from 27 ft (assist by D. Cousins),3,39-40,,
5:23.0,,,39-40,,LA Lakers full timeout
5:23.0,,,39-40,,B. Ingram enters the game for T. Mozgov
5:23.0,,,39-40,,N. Young enters the game for J. Clarkson
5:23.0,,,39-40,,J. Randle enters the game for L. Nance
5:23.0,,,39-40,,D. Russell enters the game for C. Brewer
5:23.0,,,39-40,,T. Black enters the game for T. Ennis
5:23.0,A. Davis enters the game for D. Cousins,,39-40,,
5:10.0,,,39-40,,D. Russell misses 3-pt shot from 27 ft
5:09.0,,,39-40,,Offensive rebound by J. Randle
4:59.0,,,39-40,,N. Young misses 3-pt shot from 26 ft
4:57.0,Defensive rebound by D. Cunningham,,39-40,,
4:42.0,A. Davis misses 2-pt shot from 5 ft,,39-40,,
4:39.0,,,39-40,,Defensive rebound by D. Russell
4:34.0,,,39-43,3,N. Young makes 3-pt shot from 27 ft (assist by D. Russell)
4:24.0,J. Holiday makes 2-pt shot from 5 ft,2,41-43,,
4:09.0,,,41-43,,J. Randle misses 2-pt shot from 3 ft (block by A. Davis)
4:07.0,Defensive rebound by J. Holiday,,41-43,,
4:03.0,E. Moore misses 3-pt shot from 26 ft,,41-43,,
4:00.0,,,41-43,,Defensive rebound by N. Young
3:57.0,,,41-46,3,N. Young makes 3-pt shot from 27 ft
3:40.0,Shooting foul by T. Black (drawn by A. Davis),,41-46,,
3:40.0,A. Davis misses free throw 1 of 2,,41-46,,
3:40.0,Offensive rebound by Team,,41-46,,
3:40.0,A. Davis makes free throw 2 of 2,1,42-46,,
3:40.0,S. Hill enters the game for H. Thompson,,41-46,,
3:40.0,,,41-46,,D. Nwaba enters the game for T. Black
3:21.0,,,42-48,2,B. Ingram makes 2-pt shot at rim
3:05.0,A. Davis makes 2-pt shot from 3 ft (assist by E. Moore),2,44-48,,
2:54.0,,,44-50,2,J. Randle makes 2-pt shot at rim (assist by D. Russell)
2:39.0,A. Davis makes 2-pt shot at rim (assist by J. Holiday),2,46-50,,
2:11.0,,,46-50,,Turnover by N. Young (traveling)
2:11.0,Official timeout,,46-50,,
2:11.0,,,46-50,,J. Clarkson enters the game for D. Nwaba
2:11.0,D. Cousins enters the game for D. Cunningham,,46-50,,
2:11.0,Violation by Team (jump ball),,46-50,,
2:01.0,Turnover by J. Holiday (bad pass),,46-50,,
2:01.0,,,46-50,,L. Nance enters the game for J. Clarkson
1:47.0,,,46-52,2,D. Russell makes 2-pt shot from 3 ft
1:35.0,Shooting foul by J. Randle (drawn by D. Cousins),,46-52,,
1:35.0,D. Cousins makes free throw 1 of 2,1,47-52,,
1:35.0,D. Cousins makes free throw 2 of 2,1,48-52,,
1:22.0,,,48-54,2,D. Russell makes 2-pt shot from 13 ft
1:10.0,A. Davis misses 2-pt shot from 2 ft,,48-54,,
1:09.0,,,48-54,,Defensive rebound by N. Young
0:49.0,,,48-54,,Turnover by N. Young (lost ball; steal by A. Davis)
0:45.0,J. Holiday misses 3-pt shot from 25 ft,,48-54,,
0:45.0,Offensive rebound by Team,,48-54,,
0:45.0,,,48-54,,Loose ball foul by D. Russell (drawn by A. Davis)
0:45.0,,,48-54,,Technical foul by D. Russell (drawn by A. Davis)
0:45.0,A. Davis makes technical free throw,1,49-54,,
0:45.0,A. Davis misses free throw 1 of 2,,49-54,,
0:45.0,Offensive rebound by Team,,49-54,,
0:45.0,A. Davis makes free throw 2 of 2,1,50-54,,
0:36.0,,,50-56,2,B. Ingram makes 2-pt shot at rim (assist by J. Randle)
0:30.0,A. Davis makes 2-pt shot from 1 ft (assist by J. Holiday),2,52-56,,
0:30.0,Shooting foul by L. Nance (drawn by A. Davis),,52-56,,
0:30.0,A. Davis makes free throw 1 of 1,1,53-56,,
0:12.0,,,53-56,,Shooting foul by D. Cousins (drawn by N. Young)
0:12.0,,,53-58,2,N. Young makes 2-pt shot from 2 ft (assist by D. Russell)
0:12.0,,,53-59,1,N. Young makes free throw 1 of 1
0:12.0,H. Thompson enters the game for D. Cousins,,53-58,,
0:12.0,,,53-58,,C. Brewer enters the game for L. Nance
0:05.0,J. Holiday makes 2-pt shot from 10 ft,2,55-59,,
0:02.0,,,55-59,,N. Young misses 3-pt shot from 25 ft
0:00.0,Defensive rebound by Team,,55-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
