time,Denver,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Gallinari vs. M. Gortat (J. Wall gains possession),,,,Jump ball: D. Gallinari vs. M. Gortat (J. Wall gains possession)
11:40.0,,,0-0,,M. Morris misses 2-pt shot from 10 ft
11:39.0,Defensive rebound by D. Arthur,,0-0,,
11:21.0,D. Gallinari misses 3-pt shot from 27 ft,,0-0,,
11:20.0,Offensive rebound by W. Barton,,0-0,,
11:13.0,Turnover by J. Nurkic (lost ball; steal by M. Gortat),,0-0,,
10:57.0,,,0-3,3,O. Porter makes 3-pt shot from 25 ft (assist by M. Gortat)
10:43.0,Turnover by J. Nurkic (3 sec),,0-3,,
10:26.0,,,0-3,,O. Porter misses 3-pt shot from 27 ft
10:25.0,Defensive rebound by D. Arthur,,0-3,,
10:07.0,J. Nelson misses 2-pt shot from 15 ft,,0-3,,
10:06.0,,,0-3,,Defensive rebound by O. Porter
10:01.0,,,0-3,,Turnover by J. Wall (bad pass; steal by D. Gallinari)
9:50.0,J. Nurkic makes 2-pt shot from 3 ft (assist by D. Gallinari),2,2-3,,
9:36.0,,,2-3,,Turnover by M. Morris (bad pass; steal by J. Nelson)
9:23.0,J. Nelson misses 2-pt shot from 17 ft,,2-3,,
9:23.0,,,2-3,,Defensive rebound by Team
9:23.0,Loose ball foul by J. Nurkic (drawn by M. Gortat),,2-3,,
9:11.0,,,2-3,,J. Wall misses 2-pt shot from 14 ft
9:10.0,Defensive rebound by J. Nurkic,,2-3,,
9:04.0,W. Barton makes 2-pt shot from 1 ft,2,4-3,,
8:38.0,,,4-5,2,M. Gortat makes 2-pt shot from 16 ft
8:23.0,D. Arthur makes 3-pt shot from 27 ft (assist by J. Nelson),3,7-5,,
8:12.0,,,7-5,,M. Morris misses 2-pt shot from 11 ft
8:10.0,Defensive rebound by J. Nurkic,,7-5,,
8:02.0,J. Nurkic makes 2-pt shot from 1 ft (assist by J. Nelson),2,9-5,,
7:44.0,,,9-5,,M. Morris misses 2-pt shot from 16 ft
7:43.0,Defensive rebound by D. Gallinari,,9-5,,
7:31.0,Shooting foul by O. Porter (drawn by D. Gallinari),,9-5,,
7:31.0,D. Gallinari makes free throw 1 of 2,1,10-5,,
7:31.0,D. Gallinari misses free throw 2 of 2,,10-5,,
7:30.0,,,10-5,,Defensive rebound by M. Gortat
7:18.0,,,10-5,,Turnover by O. Porter (traveling)
7:05.0,D. Gallinari makes 3-pt shot from 27 ft (assist by D. Arthur),3,13-5,,
7:03.0,,,13-5,,Washington full timeout
6:43.0,,,13-5,,O. Porter misses 2-pt shot from 18 ft
6:41.0,,,13-5,,Offensive rebound by M. Gortat
6:39.0,,,13-5,,M. Gortat misses 2-pt shot at rim
6:38.0,Defensive rebound by J. Nelson,,13-5,,
6:35.0,Turnover by D. Gallinari (traveling),,13-5,,
6:24.0,,,13-5,,Turnover by M. Gortat (lost ball; steal by W. Barton)
6:19.0,J. Nelson makes 2-pt shot from 1 ft (assist by W. Barton),2,15-5,,
6:07.0,,,15-5,,Turnover by O. Porter (step out of bounds)
5:52.0,D. Gallinari misses 2-pt shot from 7 ft,,15-5,,
5:51.0,,,15-5,,Defensive rebound by J. Wall
5:33.0,,,15-5,,Turnover by J. Wall (bad pass; steal by J. Nelson)
5:28.0,W. Barton makes 2-pt shot from 1 ft (assist by J. Nelson),2,17-5,,
4:59.0,,,17-5,,B. Beal misses 2-pt shot from 15 ft
4:59.0,,,17-5,,Offensive rebound by Team
4:59.0,,,17-5,,Turnover by Team (shot clock)
4:59.0,,,17-5,,K. Oubre enters the game for M. Morris
4:50.0,Turnover by D. Arthur (lost ball),,17-5,,
4:50.0,W. Chandler enters the game for D. Arthur,,17-5,,
4:35.0,,,17-5,,B. Beal misses 2-pt shot from 4 ft
4:34.0,Defensive rebound by Team,,17-5,,
4:17.0,W. Barton misses 2-pt shot from 17 ft,,17-5,,
4:17.0,,,17-5,,Defensive rebound by O. Porter
4:08.0,,,17-8,3,B. Beal makes 3-pt shot from 23 ft (assist by J. Wall)
3:55.0,W. Chandler makes 3-pt shot from 23 ft (assist by J. Nelson),3,20-8,,
3:43.0,Personal foul by D. Gallinari (drawn by B. Beal),,20-8,,
3:43.0,,,20-8,,J. Smith enters the game for M. Gortat
3:43.0,N. Jokic enters the game for J. Nurkic,,20-8,,
3:37.0,,,20-8,,B. Beal misses 2-pt shot from 20 ft
3:36.0,Defensive rebound by J. Nelson,,20-8,,
3:31.0,Shooting foul by K. Oubre (drawn by D. Gallinari),,20-8,,
3:31.0,D. Gallinari makes free throw 1 of 2,1,21-8,,
3:31.0,D. Gallinari makes free throw 2 of 2,1,22-8,,
3:07.0,,,22-10,2,O. Porter makes 2-pt shot from 6 ft
2:54.0,D. Gallinari makes 2-pt shot from 18 ft (assist by J. Nelson),2,24-10,,
2:42.0,,,24-12,2,B. Beal makes 2-pt shot at rim (assist by J. Wall)
2:14.0,D. Gallinari misses 3-pt shot from 27 ft,,24-12,,
2:14.0,,,24-12,,Defensive rebound by J. Wall
2:01.0,,,24-14,2,J. Wall makes 2-pt shot at rim
2:01.0,Denver full timeout,,24-14,,
2:01.0,,,24-14,,M. Thornton enters the game for B. Beal
2:01.0,J. Murray enters the game for W. Barton,,24-14,,
2:01.0,Violation by Team (jump ball),,24-14,,
1:50.0,,,24-14,,Personal foul by M. Thornton (drawn by N. Jokic)
1:44.0,J. Nelson misses 2-pt shot from 16 ft,,24-14,,
1:43.0,,,24-14,,Defensive rebound by J. Smith
1:31.0,,,24-16,2,J. Smith makes 2-pt shot from 1 ft (assist by J. Wall)
1:14.0,Turnover by N. Jokic (lost ball; steal by J. Wall),,24-16,,
1:07.0,,,24-16,,O. Porter misses 3-pt shot from 28 ft
1:05.0,,,24-16,,Offensive rebound by K. Oubre
1:04.0,,,24-16,,K. Oubre misses 2-pt shot from 2 ft
1:02.0,Defensive rebound by N. Jokic,,24-16,,
0:57.0,Turnover by J. Nelson (lost ball),,24-16,,
0:48.0,,,24-16,,Offensive foul by J. Smith
0:48.0,,,24-16,,Turnover by J. Smith (offensive foul)
0:44.0,,,24-16,,Personal foul by J. Smith (drawn by N. Jokic)
0:44.0,N. Jokic makes free throw 1 of 2,1,25-16,,
0:44.0,N. Jokic makes free throw 2 of 2,1,26-16,,
0:44.0,,,25-16,,A. Nicholson enters the game for J. Smith
0:44.0,J. Hernangomez enters the game for D. Gallinari,,25-16,,
0:39.0,,,26-16,,J. Wall misses 2-pt shot from 1 ft
0:38.0,Defensive rebound by J. Hernangomez,,26-16,,
0:38.0,,,26-16,,Personal foul by K. Oubre
0:38.0,J. Hernangomez makes free throw 1 of 2,1,27-16,,
0:38.0,J. Hernangomez misses free throw 2 of 2,,27-16,,
0:37.0,,,27-16,,Defensive rebound by K. Oubre
0:27.0,,,27-16,,A. Nicholson misses 2-pt shot from 14 ft
0:26.0,,,27-16,,Offensive rebound by J. Wall
0:25.0,,,27-18,2,J. Wall makes 2-pt shot at rim
0:01.0,N. Jokic makes 2-pt shot from 21 ft (assist by J. Hernangomez),2,29-18,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Turnover by J. Murray (palming),,29-18,,
11:34.0,,,29-18,,Turnover by A. Nicholson (illegal screen)
11:27.0,W. Barton misses 2-pt shot from 1 ft,,29-18,,
11:26.0,,,29-18,,Defensive rebound by M. Thornton
11:19.0,,,29-20,2,M. Thornton makes 2-pt shot from 16 ft
11:05.0,J. Murray misses 2-pt shot from 5 ft,,29-20,,
11:03.0,Offensive rebound by N. Jokic,,29-20,,
11:01.0,N. Jokic misses 2-pt shot from 2 ft,,29-20,,
11:01.0,,,29-20,,Defensive rebound by M. Thornton
10:55.0,,,29-22,2,M. Thornton makes 2-pt shot from 11 ft (assist by K. Oubre)
10:46.0,W. Chandler misses 3-pt shot from 26 ft,,29-22,,
10:43.0,Offensive rebound by N. Jokic,,29-22,,
10:25.0,W. Chandler misses 2-pt shot from 18 ft,,29-22,,
10:24.0,Offensive rebound by J. Murray,,29-22,,
10:13.0,W. Chandler makes 2-pt shot at rim (assist by J. Murray),2,31-22,,
10:01.0,,,31-24,2,T. Burke makes 2-pt shot from 16 ft
9:51.0,Turnover by N. Jokic (bad pass),,31-24,,
9:40.0,Personal foul by W. Chandler (drawn by M. Morris),,31-24,,
